00-00	DECLARASON UNIVERSAL DI DIRITU DI OMIS
00-01	Suma qui qui ricunhicidu dignidadi di tudu membru di familias I se diritus djusta na tudu sintidu, I ca pudi passadu pa utru djintis, I ta fassi liberdadi fundamental di djustisa cu paz na mundu intidu.
00-02	Suma falta di cunsi, cu disprezu di diritu di omis I ta leba malbadessa na manera di pensa di pecaduris suma mundu qui na bin bin, nunde qui tudu pecaduris dibidi papia livri, di fia, di ca tene medu di nada, nim di coitadessa, I papia e declarason suma cussa ma garandi qui omi sunha.
00-03	Omi padidu pa viki, pa quila I dibidi tadjadu di tudu manera pa ca nada di mal utchal, pa quila I criadu manga di diritus pa pudi difindil.
00-04	Suma na mundu tudu djintis dibidi mama, I purcis pa I dadu coragem pa e mama ba ta quirci cada dia.
00-05	Suma qui carta qui Nason Unida scribi pa si povu, I cuirta risso si fiansa na diritu di omi qui tudu qui I sedu suma pecadur qui djusta qui virus na mundu I qui misti djuda pa tudu omis cu mindjeri mama I pa I ten mindjor condison di bida na metadi di tudu ermon.
00-06	Suma stadus qui pui na son djurmenti pui mon pa firmanta I pa djuda nason unida leba e barbade pa tudu ladu I pa pul cu tudu si forsa pa I rispitadu qui liberdadi qui mistidu.
00-07	So ora qui tudu djintis intindi diritu e barbadi, pa tudu por I ianda pa dianti pudi senu
00-08	ASSEMBLEIA GERAL
00-09	Danu e DECLARASON UNIVERSAL DI DIRITU DI OMI suma cussa qui tudu djintis misti pa I tchiga pa tudu povu intidu qui sta na mundu, pa tudu djintis qui sta na mundu o quilis qui pudu pa djuda povu, pa e tene sempri na corson I pa e fassi forsa pa sina tudu djintis o da considju pa cada quin sibi rispita liberdadi di si companher, I pa el propi se quil qui na leba qui barbadi pa tudu ladu disna di si terra, te na terra di utrus djintis pa tudu pudi cunsi e DECLARASON. Povu cu stadu qui pui na un son I dibidi fassi djintis vivi e Declarason I pa e mamal na ladu qui cada quin sinta bas di si stadu.
01-00	ARTIGO 1º.
