00-00	Ohuminyo Yoluali Yoku Tata Ovimuenyo Viomanu
00-01	Unu womanu loku sumbila omuenyo wapata omanu vosi kilu lieve, olio esila liovihandeleko li nena eyovo, esunga kuenda ombembua voluali
00-02	Ekambo liu kulihiso kuenda oku pembula ovihandeleko vitata omuenyo womanu ku tuala omanu ko kulinga uvi kuenje uvi waco wa nena onyeno vovitima viomanu vosi, yu va sanga ocisimilo calonga cokuti omunu lomunu okuete omoko lutoyi woku tava pamue okupatala eci cosi ayongola pamue kayongola kuenda ka kuata usumba woku talisua ohali.
00-03	Okutata omuenyo womanu oco cavelapo , kuenje ciwa nda ocihandeleko caco ci kolisua luvangi oco okuti lomue kaka yonjiwe oku fetuluinya ukuavo uvi olingile.
00-04	Ca sesamela okuti pokati kolofeka viosi pa kala ocisola lukamba.
00-05	Ekolelo liomanu vosi va tiamela ko Hongele Yolofeka (Nasoes Unidas) lia kapiwa kovihandeleko vikola vioku tata omuenyo womanu, yu vaci pitulula vali vukanda owu okuti, esumbilo kuenda unene womunu vi tunda koku kapa omanu vosi pomangu yimosi- okuti vosi vasoka kunene - nda ulume nda ukayi kuenda loku vaha cimosi civa kuatisa okuama kovaso loku kuata eyovo liocili.
00-06	Olofeka viosi vi tiamela ko Hongele Yolofeka (Nasoes Unidas) kuenda ombonge yavo, vali kunda okuti esumbilo voluali kuenda esumbilo lomuenyo womanu te viamoleha kovilinga, oco eyovo liocili.
00-07	Kovisila evi vioku tata omuenyo womanu oko ku tunda eyovo liocili kuenda esanju lia suapo liomanu.
00-08	Onjango Yinene
00-09	Ohuminyo eyi yoku tata omuenyo womanu, voluali luosi oko kocimaho oluali lua sesamela oku lona, apata osi , olofeka viosi, oco okuti omanu vosi kuenda olombonge viosi violohongele viomanu vavi kapa vovitima viavo kuenje ohuminyo yaco yendelela kuvosi okuti okulisumbila pokati oco eyovo lienda kovaso, nda pokati komanu vakuafeka yimosi nda pokati kolofeka vioposamua vatiamela vo Hongele yolofeka va tava ovihandeleko evi.
01-00	ONDAKA YA 1
01-01	Omanu vosi kilu lieve va citiwa lonjila yimosi leyovo limosi, lomoko yimosi kuenda unu umosi, kuenje momo vosi va kuete olondunge, va sesamela okulisumbila pokati ndavamanji.
02-00	ONDAKA YA 2
02-01	Citava okuti omanu va tonomala oku tukola loku kisika ocihandeleko ca sonehiwa vo Huminyo eyi, nda ocindele nda otekava, nda ulume nda ukayi, nda ukuelimi lie nda lie, nda ukuetavo nda hukuetavoko, nda ukuosoma we nda we, nda ukuafeka ye nda ye, nda ohuasi nda ohukui pamue cimue cikuavo.
02-02	Kovaso yovihandeleko evi kakuli vali lacimue cikuavo, nda citumiwa lusoma wofeka nda lusoma wolonganji, nda wovofeka nda woposamua.
03-00	ONDAKA YA 3
