00-00	shijierenquanxuanyan
00-01	jianyuduirenleijiatingsuoyouchengyuandeguyouzunyanjiqipingdengdehebuyidequanlidechengren, naishishijieziyou, zhengyiyuhepingdejichu, 
00-02	jianyuduirenquandewushihewumieyifazhanweiyemanbaoxing, zhexiebaoxingdianwuliangrenleideliangxin, er1geshirendouxiangyouyanlunhexinyangziyoubingmianyuzhijinghekuifadeshijiedelailin, yibeixuanbuweiputongrenmindezuigaoyuanwang, 
00-03	jianyuweishirenleibuzhipobudeyidingerzouxianduibaozhengheyapojinxingfanpan, youbiyaoshirenquanshoufazhidebaohu, 
00-04	jianyuyoubiyaocujingeguojianzhijiguanxidefazhan, 
00-05	jianyugelianheguoguojiaderenminyizailianheguoxianzhangzhongzhongshentamenduijibenrenquan, rengezunyanhejiazhiyijinannupingdengquanlidexinnian, bingjuexincuchengjiaodaziyouzhongdeshehuijinbuheshenghuoshuipingdegaishan, 
00-06	jianyugehuiyuanguoyeyishiyuantonglianheguohezuoyicujinduirenquanhejibenziyoudepubianzunzhonghezunxing, 
00-07	jianyuduizhexiequanliheziyoudepubianzhidaoduiyuzhegeshiyuandechongfenshixianjuyousidasidadezhongyaoxing, 
00-08	yincizhehuir, 
00-09	dahui, 
00-10	fabuzhe1shijierenquanxuanyan, zuoweisuoyourenminhesuoyouguojiashijinrshixiandegongtongbiaozhun, yiqimei1gerenheshehuijigoushijizhubenxuanyan, shijinrtongguojiaohuihejiaoyucujinduiquanliheziyoudezunzhong, bingtongguoguojiadeheguojidejianjincuoshi, shizhexiequanliheziyouzaigehuiyuanguobenshenrenminjizaiqiguanxiadixiadelingtuderenminzhongdedaopubianheyouxiaodechengrenhezunxing;
01-00	di1tiao
01-01	shirendoushengerziyou, zaizunyanhequanlishang1lupingdeng. tamenfuyoulixingheliangxin, bingyingyidixiongguanxidejingshenxiangduidai. 
02-00	di2tiao
02-01	shirendouyouzigexiangyoubenxuanyansuozaide1qiequanliheziyou, bufenzhongzu, fuse, xingbie, yuyan, zongjiao, zhengzhihuoqitajianjie, guojihuoshehuichushen, caichan, chushenghuoqitashenfendengrenhequbie. 
02-02	bingqiebudeyin1rensuoshudeguojiahuolingtudezhengzhide, xingzhengdehuozheguojidedeweizhibutongeryousuoqubie, wulungailingtushidulilingtu, tuoguanlingtu, feizizhilingtuhuozhechuyuqitarenhezhuquanshouxianzhideshirzhixia. 
03-00	di3tiao
03-01	shirendouyouquanxiangyoushengming, ziyouherenshenanquan. 
04-00	di4tiao
04-01	renherenbudeshiweinulihuonuyi;1qiexingshidenulizhiduhenulimaimai, junyingyuyijinzhi. 
05-00	di5tiao
05-01	renherenbudejiayikuxing, huoshiyicanrende, burendaodehuowuruxingdedaiyuhuoxingfa. 
06-00	di6tiao
06-01	shirendouzai4mian8fangdouyouquanbeichengrenzaifaluqianderenge. 
07-00	di7tiao
07-01	faluzhiqianshirendoupingdeng, bingyouquanxiangshoufaludepingdengbaohu, bushourenheqishi. shirendouyouquanxiangshoupingdengbaohu, yimianshouweifanbenxuanyanderenheqishixingweiyijishandongzhezhongqishiderenhexingweizhihai. 
08-00	di8tiao
08-01	renherendangxianfahuofalusuofuyutadejibenquanlizaoshouqinhaishi, youquanyouhegedeguojiafatingduizhezhongqinhaixingweizuoyouxiaodebujiu. 
09-00	di9tiao
09-01	renherenbudejiayirenyidaibu, jujinhuofangzhu. 
10-00	di10tiao
10-01	shirendouwanquanpingdengdeyouquanyou1gedulierwupianyidefatingjinxinggongzhengdehegongkaideshenxun, yiquedingtadequanliheyiwubingpandingduitatichuderenhexingshizhikong. 
11-00	di11tiao
11-00	fanshouxingshikonggaozhe, zaiweijinghuodebianhushangsuoxude1qiebaozhengdegongkaishenpaneryifazhengshiyouzuiyiqian, youquanbeishiweiwuzui. 
11-01	renherenderenhexingweihuobuxingwei, zaiqifashengshiyiguojiafahuoguojifajunbugouchengxingshizuizhe, budebeipanweifanyouxingshizui. xingfabudezhongyufanzuishishiyidefaluguiding. 
12-00	di12tiao
12-01	renherendesishenghuo, jiating, zhuzhaihetongxinbuderenyiganshe, taderongyuhemingyubudejiayigongji. shirendouyouquanxiangshoufalubaohu, yimianshouzhezhongganshehuogongji. 
13-00	di13tiao
13-00	shirendouzaigeguojingneiyouquanziyouqianxihejuzhu. 
13-01	shirendouyouquanlikairenheguojia, baokuoqibenguozainei, bingyouquanfanhuitadeguojia. 
14-00	di14tiao
14-00	shirendouyouquanzaiqitaguojiashifanhexiangshoubihuyibimianpohai. 
14-01	zaishizaiyouyufeizhengzhixingdezuixinghuoweibeilianheguodezongzhiheyuanzedexingweierbeiqisudeshirxia, budeyuanyongcizhongquanli. 
15-00	di15tiao
15-00	shirendouyouquanxiangyouguoji. 
15-01	renherendeguojibuderenyiboduo, yibudefourenqigaibianguojidequanli. 
16-00	di16tiao
16-00	chengniannannu, bushouzhongzu, guojihuozongjiaoderenhexianzhiyouquanhunjiahechenglijiating. tamenzaihunyinfangmian, zaijiehunqijianhezailihunshi, yingyoupingdengdequanli. 
16-01	zhiyoujingnannushuangfangdeziyouhewanquandetongyi, cainengdihun. 
16-02	jiatingshitianrandehejibendeshehuidanyuan, bingyingshoushehuiheguojiadebaohu. 
17-00	di17tiao
17-00	shirendoudeyouzijiadecaichansuoyouquanyijitongtarenheyoudesuoyouquan. 
17-01	renherendecaichanbuderenyiboduo. 
18-00	di18tiao
