00-00	segyeingweonseoneon
00-01	inryuyi jeonce seongweonyi goyun joneomgwa pyeongdeunggwa byeonhaji anhneun gweonrireul seunginhami segyeyi jayu, jeongyihago hwapyeongyi gicoida,
00-02	ingweoneul musihamgwa moyoghami yamaneun geugageuro doeyeossgo, i geugagdeuli inryuyi yangsimeul oyeom hayeossgo, jeonce saram modu yeonseolgwa sinangjayuga issgo gongguhago bingoni eobsneun segye omi botongeun inminyi gajang nopeun soweoneuro balpyobadyeossda,
00-03	saramdeuli pogryeoggwa eogabeuro banbyeoneuro ggeutyi sudaneul haji anheureo, beobciro eongweoneul bohohaneun pilyohami issneunda,
00-04	modeun narayi joheun gwangyeyi gaebaleul cogjinhaneun pilyohami issneunda,
00-05	ryeonhabgugyi modeun hoeweongugyi inmini ryeonhabgugheonjangeseo giboningweon, saramyi joneomgwa gacihago namnyeopyeongdeunggweone sinnyeomeul jungsinhayeossgo, keun jayueseo sahoejinbohago salneun supyeongyi gaeseon hameul cogjinhagiro gyeolsimhayeossda,
00-06	modeun hoeweongugi ryeonhabguggwa hyeobryeoghameuro inweongwa gibonjayue bopyeonjonjunggwa junhaengeul cogjinhameul maengsehayeossda,
00-07	i gweonrideulgwa jayudeuleul bopyeoneuro aleumi i maengsereul cungbuneuro silhyeoneume keun jungyoseongi issneunda,
00-08	ie jigeum,
00-09	ryeonhabgugdaehoe,
00-10	modeun saramgwa modeun naraga noryeogeuro silhyeonneun gongdongpyojuneul hago, modeun saramgwa sahoegiguga neul i seoneoneul gieoghago, noryeogeuro gyohoehago gyoyugeuro gweonrihago jayue jonjungeul jogjinhago, narayihago gugjeyi jeomjinhaneun josiro, i gweonrideulgwa jayudeule modeun hoeweongug jasinyi inmingwa gwanhalhabadneun ddangyi inminegeseo bobyeongwa hyogwai issneun seungingwa junhaengeul eodge haneuro, i segyeingweonseoneoneul bal pohaneunda,
01-00	ceosjjae
01-01	saramdeuli i segyero odaga modu jayuhago, joneomgwa gweonrii pyeongdongeuro issneunda, geudeul riseonggwa yangsimi issnungo, hyeongjeyi jeongsineuro sanghoro ciryoha so.
02-00	duljjae
02-01	saramdeuli modu i seoneoneseo sseun jeonce gweonrihago jayuga issneun jagyeogi issneunda. jongjog, busaeg, seongbyeol, mal, jonggyo, jeongci ddoneun dareun gyeonhae, gugjeog ddolneun sahoeculsin, sogseong, culsaeng ddoneun dareun caiga issji malara.
02-02	saramyi nara ddoneun ddangyi jeongciyi, haengjeongyi ddoneun gugjeyi jiwiyi cairo caiga issji malara, amuri i ddang dogribryeongto, taggwanryeongto, bijaciryeongto ddoneun dareun modeun jugweonhanjega issneunda.
03-00	sesjjae
03-01	saramdeuli modu saengmyeong, jayuhago insinanjeoni issneun gweonriga issneunda.
04-00	nesjjae
04-01	saramdeuli kulriddoneun noyeeul haji malara, modeun hyeongsigyi noyejedohago noyemuyeogeul geumjihaso.
05-00	daseosjjae
05-01	saramdeuli hoghyeong, janhoghan, biindon ddoneun moyoghaneun ciryo ddoneun hyeongbeoleul badji malara.
06-00	yeoseosjjae
06-01	saramdeuli modeun goseseo beobeuro ingyeogeul seunginbadneun gweonriga issneunda.
07-00	ilgobjjae
07-01	saramdeuli beobeuro pyeongdeunghago, beobyi pyeongdeunghaneun bohoreul badgo, modeun cabyeoleul badanhneungweonriga issneunda, i seoneoneul wibanhaneun modeun cabyeolgwa i cabyeoleul seondonghaneun haengdongyi wiheomeul piro saramdeuli pyeongdeunghaneun bohoreul badneun gweonriga issneunda.
08-00	yeodeolbjjae
08-01	heonbeob ddoneun beobeuro badneun gibongweonriga cimhaebadda, sarami gongindoen narabeobweoneseo i cimhaero hyogwaga issneun guje sudaneul eodneun gweonriga issneunda.
09-00	ahobjjae
09-01	sarameul imyiro cepo, gugeum ddoneun cubanghaji malara.
10-00	yeoljjae
10-01	geuyi gweonrihago yimureul hwaginhago geuege oneun modeun hyeongsa gobaleul simpanharo modeun sarami wanjeondongdeunghan dogribeun pyeonaega eobsneun beobweoneseo geunyanggwa yeolgi jaepaneul badneun gweonriga issneunda.
11-00	yeolhanjjae
11-00	hyeongsa gobaleul badneunsaramigug bangyi modeun bojeungi issneun yeolgi simpaneseo babeuro joega isseumeul ibjeungji anheumyeon joega eobseumeul saenggagbadneun gweonriga issneunda.
