00-00	Seehadayti Garwah Baad Kukta
00-01	Seehada le karaamat kee garway inki gide takke edde yaaqitoonu duude waana yaaxigeenim baadal curriyataay, qadlii kee wagari rakiiboh tanim kinnim cedak,
00-02	Seehadayti garwah iggimaa kee bura aliinoh abtoy seehadaytiino kas cerissat sinam bahtem kee seehada yab kee diini curriyat elle leeh, gilic kee assommik elle tesseqqeh xintu dudda baadih geyto seehadaytuk inkih naba fayxi kinnim cedak,
00-03	Seehadayti dulmi kee xukkot koosituh ellecaboh eleytoh qeebi haysite wayuh seehadayti garwa garti xintoh dacayri geytam saqlah tanim cedak,
00-04	Ummattah fanal qalliini dadal ilsiisaanam saqlah tanim kinnim cedak,
00-05	Galli-Maroh ayyuntitte qusba addah kukti addal tan seehadayti rakiiboh garway, seehadayti karaamat kee nihiriiy, labhaa kee sayyo garwah missoowul leh tan ekkel warissiiy, usun ummatta dadal kee nuway meqe caaloota farakka le curriyatih addat elle daabimta gurra yaysiisoonuh niya maqoonum warseenim cedak,
00-06	Adoytiitih tan doolatwa Galli-Maro lih makayyoh taamitak seehadayti garwa kee rakiibo curriyatitte baadal inkih dudda luk dacrissuh culte xagana cedak, Galli-Marok inkitani Daffeyna,
00-07	Ta seehadayti garwah baad kukti yangalen maqaaney inkih tan ayyuntitte kee agattinaani maaddam faxximta kinnim baxxaqissaah, toh kah kinnim kulli mari, ummatta a kukta kasat leh iyya, barsaa kee baritto ta garwa kee curriyatitteh caddi agat kee baad caddol inkih maaqatta maaqattah dadlisak, tet oggol kee abinat-hayti adoytiitih tan doolatwa isi ayyuntih addaa kee ken xintoh tan rasitteh addal inkih xiikissuh macaltam gida.
01-00	1 Margaqa
01-01	Karaamat kee garwa wagittaamal seehada inkih gide akkuk, currik taabuke. Usun kas kee cissi loonuuh, keenik mariiy mara lih toobokinni kasat gexsitam faxximta.
02-00	2 Margaqa
