00-00	PEUNYATAAN UMUM TEUNTANG HAK ASASI MANUSIA
00-01	Ta bileung-bileung ranub lam puan han tok deulapan di dalam raga ta timang-timang Peunyataan Umum nyan na tujoh bilangan paleng utama;
00-02	Teuseubot bak phon “martabat alamiah” hak nyang pantaih makheulok manusia hak-hak nyang saban dan muteulak sah teumpat teumeuduk “kemerdekaan, keadilan, perdamaian dunia”;
00-03	Suai kedua nyang ditimang-timang dipandang hana yum oreung abeihna leu that buet awak nyan lagee binatang beungeh meuradang hatee manusia;
00-04	Rasa teumakot tiep uroue sabee udep ngon matee hana leu bida hoe hoe nyang tajak hana bebah lee sang donya nyoe ka akhee tamong neuraka meubacut na yum di nyawong ureung peupeu meulinteung dilaboih saja nyang keuh seubab nyan hai teungku piyeung seurata ureung haroik merdeka;
00-05	Suai neumboi lhee cuba timang lom atoe ngon hukom hak asasi manusia nyang keuh cara peuteunang kaom liwat Peusyarikatan Bangsa-Bangsa keupeut diseubut peukong hubongan ngon dan rakan di leu neugara nyang keulimong, kheun Piagam nyan peuyakin bandum keu hak asasi manusia nyang keulimong, haroih tapeutrang hak-hak geutanyoe bek teuk meucawoe meuraba-raba;
00-06	Suai martabat hareukat umat nyoe hak seunaroe bandum manusia inong ngon agam duek bak saree jeut mangat tapikee keumajuan beusama udep leubeh get keu seurata ulee supaya bek meupakee seusama syedara;
00-07	Suai keunam bandum seupakat dong bak rapat deungon PBB bandum bangsa suara ka bulat junjong that-that hak asasi nyang keutujoh, bak muphom beuthat leubeh meukarat bebah merdeka nyang paleng peunteng bah peuteupat cara peuseulamat janji nyang kana jinoe meulangkah ke
00-08	Peunyataan Umum Majeulih Umum
00-09	Peusyarikatan Bangsa-Bangsa
00-10	suai nyang ka kayem ta kheun-kheun hak asasi bandum umat manusia Peunyataan Umum nyan keu ukoran umum keu tiep-tiep bangsa seugala neugara nyoe tamuphom Peunyataan nyan dum jeut tasuson sion-on bandum reuncana nyang diseubut-seubut nibak phon-phon tabie keu kaom ajaran ngon didekan nyata deungon nyan geutanyoe maken tamuphom hak-hak kaom keu bebah merdeka lom nibak nyan peureulee leubeh tapeumaju leubeh tapeumeuseuhue dari nyang ka ka leubeh dimuphom le kaom, leubeh diakue takheun ibarat lampue dalam geulita.
