00-00	EJUKONWO GBEFANDEDE SOSO ACE AGBETOTOWO NGU
00-01	Soso egbexoxo do amenyinyi to alokpa dekpo kpwime kodo enusoso ci wo yi dogu wawa do eseji ko fafa le egbeme,
00-02	Soso edemaso le agbeto yoyo be agbeto me ci yi don kanlinnuwawa va egbeme, yi agbeto fon egu, yi shinxome, ehonwo yi do yi ejukonwo de egbefan be agbetowo le vo a xonuxonu, a vo a xose, a gbedon a gu aya le eko,
00-03	Soso agbewoxe kpokpo do ese ji o, e le vevide be wo de do a zhin ameji; no de nyi nene o, agbeto a va so ezo ta, a so nyidon le akon, a fongu do eganwuame kodo ametafudotowo ji,
00-04	Soso ngusendodo no dekawawa ko exlododo a yi nguko le ejukonwo gblame,
00-05	Soso enyo ciwo yi le esewemame wowo ejukon ciwo yi do DEKAWAWAGBE gbe degbefan yi nu be yewo kando agbeto cewo ji, le amenyinyi ko eyi wanawome, le ngusuwo kodo nyonuwotasoweme, yi yewo so egbe do eju no nonome, ngukoyiyi, no agbemenono a nyo no ame kpu, no agbeto a kpo vovo a wa enu ci yi drwi,
00-06	Soso ejuwo kodo wowo kplekplegbe gbesosome, no wo a so na bubu agbeto, a mi dada le eyi cewo ji no agbeto a vo fafa,
00-07	Soso dandandanme o, gbohwe agbe towo a wa do egbefan lo ji o, wo do a do susu deke do ace kodo vovokpokpo lo wo ji.
00-08	EYITADO
00-09	BOBOGAN DE EGBEFAN CE soso ace agbetotowo ngu;
00-10	Egbefandede ce yi nyi ejukonwo, plengu do, yi wo a wa no, yi ameshyame kodo wowo bobowo a do no engukuvi, a tekpo, soto enukplankplan ko engununyanya gome, a tekpo no amebubu ko vovokpokpo a yi ameshyame kodo wowo bobowo a do no engukuvi, a tekpo, soto enu kplankplan ko engununyanya gome, a tekpo no amebubu ko vovokpokpo a yi nguko kengu no, le blewublewume o, edo lowo a nyi wawa le ejukplekple lowo me, no wo a zan wo nyononwito le ame ciwo yi do kple kplegbe lowo xwe kodo ame ciwo yi wo so do alome no wo no wo a kpa ace no wo.
01-00	Akpa 1
01-01	Agbetowo plengu vano gbeme ko vovodeka gbeswegbeswe, soto amenyinyi ko acewo gome; wo xono susunywin ko jimenywi so esexwe. Wo do a we novi dada wowo nonowo gbo.
02-00	Akpa 2
02-01	Amedekpokpwi do a kpo nyona le ace ko vovo ciwo yi le egbe fandede ce lo me. Amede de do egbe a mo ako, gbaza, ngusukonyonunyinyime, egbe, sensen, politikinyo alo enyobudewo ci yi kan agbeto, dokun, jijixwe alo enyo alokpabude yi a na yi agbeto da kpo nenehan nyona.
02-02	So zeto yenu o, wo de do egbe a zondo politikise alo jejeshi le xixeme no eju amedeeto nu a de eju lo do akpo. No eju cime amelo so xo ablode can e le ejubuugonme can, de le yidekishi can alo de do egbe a zan yideki le ci e drwi nene can o wo de do egbe a didoakpo.
03-00	Akpa 3
03-01	Amedekpokpwi do no agbenono le vovokpokpo ko kandoji amenutoto me.
04-00	Akpa 4
04-01	Amede de do egbe a so ehalo wa ahwashi alo kannumo; agbeto a so wa ahwashi alo kannumo le alodekpo kpwinu nyi ese.
05-00	Akpa 5
05-01	Wo de do a de efun no agbeto, kpo wo da do aya no agbeto, a wa xomevevenu, elannu alo enudeagbetokpoto nuwo kodo medekpokpwi.
06-00	Akpa 6
06-01	Amedeka do egbe a nya le afidekpokpwi mo agbetonyinyi yeeto do ace kodo ese ciwo wo do a nyi.
07-00	Akpa 7
07-01	Le ese nuko o, agbetowo plengu nyi enudeke, e le gbeswegbeswe; wo do egbe no condoji alo nyona esetowo gbeswegbeswe. Wo plengu do egbe no condoji dekengume egacime yi wo dedeo voklan do enumowe a so gban egbefandede ce lo kodo wanadekpokpwi ci a na yi wo a gbin.
08-00	Akpa 8
08-01	Agbetodekpokpwi do egbe a je ehwe le kojodoxu eyijumeto ci gbo a je ehwe le dru no wo gban ace alomajengu ciwo ese gangan alo ese gbalidekpokpwi ni wo.
09-00	Akpa 9
09-01	Wo de do egbe ci a le ame gbali gbali enudemawamawa, akpangu sensento a so do egame alo a do ese a so nyi ti le eyijume.
10-00	Akpa 10
10-01	Agbetodekpokpwi do ace, le egbe soswe kongu me yi enyo ci nu o yi e le o, wo a si ni shigbe le wo a se amebuwoto nene, le ahwame le kojodoto ciwo ji wo da zhin, yi wo a no enyoji, wo da no agbetoji. Le eganome o, kojodotolo a nu ace kodo esekonyinyi eyitowo ni alo adodwi ci le enyo vwin ciyi byo etodondon ciwo yi wo dodo o ni.
11-00	Akpa 11
11-00	No wo do enyovwin ciwo byo etodondon no amede o, gboxwe ese a xo meloo, kojodotowo do a defyo le ahwame, le esemonu mo nenehame o, ye wa enyovwin ci yi byo etodondon nyawo, madefyo godu o, wo de do egbe a mo melo wa nenehamee nu. Le kojo lo doxu o, wo do a tekpo a hwlingan le ese nyikome gboxwe a glo.
11-01	Wo de do egbe a so ese xo amede no enyo alo enumadoengi ci yi ese eju lo to alo ese ejuwo plenguto de gbe le hwecinu wo wa enu lo. Neneke o, ese de xo enuvwin ci yi byo etodondon deo, ese hunno yi wo a so xo ameci yi je ago lo le hwenonune; wo da don eto no amelo wugan eto ci ese hwenonuto lo byo.
12-00	Akpa 12
12-01	Wo de do a so tafutafu a yi je amebunyome a so xodyi yi ko eyi mewo, eyi nuwo neneke o, ganwuameto de de do ace azhin amebu wenawo ji a hlen, yi a gbe so gble nyiko ni; ese lo, gbe nene wanawo.
13-00	Akpa 13
13-00	Amede kpokpwi do ace vo, a dyi sa a yi afi ci yi drwi; neneke yi e do ace a do noxu le eju de kpokpwi me.
13-01	Amede kpokpwi do ace a to le eju de kpokpwi me: e senng to le eyi nto jume a yi kaka a gbe tro gbo va me fafede.
14-00	Akpa 14
14-00	No eganwuamecekpatowo je egame no amede o, no ame lo a so senngu a hwlen eyi ta o, e dogbe a byo bexu eju de kpokpwi yi eju lo do a xwe fafa de.
14-01	No amede je esenu me nyao o, ace ejukonwo plenguto cide de nagbe be yi le shito a yi eju bu me.
15-00	Akpa 15
15-00	Amede kpokpwi do a nyi ejudekamevi.
15-01	Eganwuamecekpato de de do ace yi a gbe no eyi jumeto de be yi da gbe nyi yewo jumevi; neneke de do ace yi a gbe ni be yi ngu gbe so eju bu a tro eju hon me vi.
16-00	Akpa 16
16-00	Le asudede alo nyonudede game o, dekaje ko cugbeje ciwo yi nyi akobunowo, ejubujubumetowo alo sensen ebuebu me to wo o, wo senng de wo nono wo, yi a so egbe do eju a gbaku. Ace deka nme yi wo do le enushyanume so dede hwenu kaka va so yi wo dekiwo gbegbe hwenu.
16-01	Ame ciwo yi jiji a de wo nonowo o, wo vi do a na egbeta dekangume gbohwe eju a nya be wo de wo nonowo nyao.
