00-00	[missing]
00-01	Hapovaun jau cuzati cunuunicun ja jahaquin jau cuzaquin jan jonivo jaton derecho jato horixonyovaatimun nutuztirazi jaha hapovohnucanpu. Jaton derecho jato respetaxonyamahaito terroristaquicavizquin hapo zinaativo shinanquin. Nutuztirazi j aharazix ravucananhi jatimunhcanquihnucanpu.
00-02	Nutuztirazinxon jaton hapovaun jato nichinha vohax hiyoohi tziztocohoonivomun "Naciones Unidas" quin yohihi nonhcanucanpu, jahonxonmun cuzaxon jau cuzatirahqui yohiquin quirica cunuucannixohqui, quiyoovi jonin janovi jau cuzatimunhquimun yohicanixohqui. Jato mucativo shinanquin tiirazi jato chituyovaatimunhquimun yohicanixohqui. Xanovomun vutzacun jonimun vutzahcanquihnuyamaquin jaacavizrazi jatimun yohicanixohqui.
00-03	Jato hinaativo shinanquin sharaahi jaquizti janon jato jau cuzaquinxanhquinmun yohicanixohqui. Nutuztirazixon jaton hapon jato nichinha vohax "Naciones Unidas" tziztocohoohi voxonmun nutuztirazinoha jaton derecho jato respetaxonxahinnovo jato jau cuzaquinxanhquinmun yohicanixohqui, tzovan jato hinaati shinanquin.
00-04	Ja jahaquin jau cuzati quirica cunuunivo ja jahaquin jau cuzanonvo jato joniya xanovo honanmatimunhcanquihnucanpu. Jaa jato nichinhai jonin jato chituyovaatimunhqui. Tzovanrivi jato hinaayamatimunhqui.
00-05	Asamblea General jarixonmun "Declaracion Universal de los Derechos Humanos" yohicanixohqui. Jaa nutuztirazin jaha jonivaun jaton hapovutan ja jahaxanhquin yohiquinmun cunuunivohquiqui shinanquin quiyoo jonivorivi jonitzavaun derechorivi respetaxonxahinnovo yohiquinmun tzova hinaayamaxahinnovo jato yohicanixohqui.
00-06	Cooncovin jaton nutunxon jahoxanhquin nututzaxon ja jahaxon jau cuzati yohiquin quiricanan cunuunivo ja jahaquin respetaxon ja jahaquin jau cuzahira hapovohquiqui hiintimunhcanquihnu, Naciones Unidavaun jonivo hixon ja jahaquin jau cuzahoxanhquin nututzanoharocon jato hinaahirahcanihqui hiintimunhcanquihqui.
01-00	Articulo 1
01-01	Tzovan jato jumahaito hinaayamanonmun vacunoxcanquihnucanpu. Tzovan jato zinaayamanonmun vacunoxcanquihnucanpu. Jonitzan derechocavizyahtoxrivimun vacunoxcanquihqui. Quiyoovinin shinanquin hiromaquin jaucuzahavorahquiqui shinantimunhcanquihqui. Vacurazixquicavizhi quiyoovinixjatimunhcanquihnucanpu.
02-00	Articulo 2
02-01	Nan quiricanan jau cuzati quiyoo cunuunivo ja jahaquin jau cuzatimunhnucanpu. Joni quiyoovinin derechorivimunhqui tzova hinaayamatimunhcanquihqui. Nan quiyoo derechoyamunhcanquihqui. Joxohocatzi chaho, vinshinhocatzi panshin, jonihocatzi xano, quechua yovanhaihocatzi castellano yovanhai, Dios coonhaihocatzi Dios coonyamahai, cuzaquin jaton hapo shinanhoxanhquin vutzaquin shinanhai, rato nutunoha jahavaun jauyahocatzi jaumahizra jaton caivohqui jahavo, raquihaxra vacucanixqui, cutzarazira tuxuhcanihqui, vutza sharaacunmun vutza hiromamaamahcanquihqui jaacavizrazimunhcanquihqui.
