00-00	Arrpa' anaret ̃allohuen allpon derechos nent ̃e'ne po'noch yocop nentcha' atet ̃ yepa'yena allohueney acheneneshay ama't erraparen arr patsro
00-01	Yapa' yenoten nerra'm yemnen o'ch yeychena e'ne cohuen ane patsro, ama yemnene o'ch enalleta nentcha' yepatare'tene' nent ̃ yocten ya; namia nent ̃cha' ya'mcha'nochtana'tenaya ama yemnene o'ch orrta.
00-02	Nerra'm yemnen o'ch e'ne pocte' es yepanna'ta nama nerra'm yemnen o'ch e'ne cohuen mueche't ̃yeychena ane patsro, an poctetsa o'ch yenotua. Atto ye'nalletyesa arr patsro e'ne attecma cohuen yesherba'yen allohueney nentey yecha'yetsa ane patsro, amach enalle nent ̃ atsenatpo' entenet.
00-03	Nama allohuenacpay nentey arromnatey e'ne attecma enall nent ̃ otenet derechos nentcha' e'ne cohuen yocshatene' ane patsro. Nentpa' ama't eseshapa' amach puerratamperryeto ama't errponana. Tarrana yenoten ahuatoten nerra'm esempo achenenesha'pa' ama esoye enchete'te an derechos, netpa' errotuanen pa'yesete't po'potantan nent tsena'tenet. Nentpa' yenoten yeyochro ama apapahuoyaye. Nama yenoten an atarr cohuen allohuenacpay nerra'm chap allempo allohueney e'ne cohueno'tsa'yeney arr patsro. Tarro'mar nerra'm atet yocsha'yena arr patsro amach es ya'mcha' - nochtana'tenaye, amach enalle nent ̃cha' yemuerochtatene'. Ama't allempo es yenos po'pon nent ̃cohuen yenten ya, amach enalle nent ̃cha' yote' eso'marte' penen po'pon cotapnats. Nerra'm yapa' yame'nena po'pon nent ̃cohuen yenten ya amach enalle nentcha' yepatare'tene'.
00-04	Nent ̃o'mar yenoten e'ne pocte' o'ch yene' nonets attoch yenotatanna'tyena ora allpon an derechos attoch allohueney e'nech cohuen yentannena allochnapa' amach enalle achen nent ̃ amuerochtatarettetsa. Allochnapa' amach orrtateneto atparnats nent ̃ atet amuerochtatarettenet.
00-05	Nama yenoten e'ne pocte' e'nech cohuen yamo'tstannena po'pon achenenesha' nent ̃yecha'yetsa po'pon anetso'mar arr patsro.
00-06	Nama yenoten allohuen allpon pa'namen anetso'marnesha' nent ̃orrtatene nent ̃ otenet Naciones Unidas, netpa nenta e'ne cohuen entenet net. Nento'mar net nenet nonets all quellco atto allohueney arromnatey nentey enalletyetsa arr patsro e'nech attecma cohuen yesherba'yen nama allohuenacpay attecma enall nent otenet derechos attoch e'ne cohuen yocsha'yena arr patsro allohueney ama t coyaneshohuen. Nent ̃o'mar netpa' an e'nenet o'ch orrtatenet nent ̃ cohuen sherbets allohuenacpay acheneneshay arr patsro. Allochnapa' attoch allo'na yesen yenpanna'tnomtsa attoch yocsha'yena e'ne cohuen arr patsro o'ch yechyen nent yepallta'yena nama amach enalle nent ̃ amcha 'nochtana 'tenaye, e 'nech cohueno 'tsa 'yeney.
00-07	Nama yenoten allohuen pa'namen anetso' marnesha' nent ̃ orrtatene' Naciones Unidas netpa' net po'non attoch torra'yeset attoch ame'nachet allohuen achenenesha' nent ̃erraparo'tsa'yenet an patsro, allochnapa' attoch e'nech cohuen entuenet an derechos namet; nentpa' allohuenacpuet e'nech cohueno'tsa'yenet.
00-08	Nama yenoten nerra'm po'noch e'nech cohuen yetsotuer e'ne atet ̃yene' yenon an poctetsa o'ch yenotatanna'ta an derechos nent ̃ allohuenacpay allochnapa' e'nech cohueno'tsa 'yeney.
00-09	Nento'mar te'pa'
00-10	ASSAMBLEA GENERAL nentara Naciones Unidas arrpa' orrtatenet
