00-00	Kalaenu Nu Kakarayan Kngli Nu Tamlaw Swanyam
00-01	Shamaanen nishinglin tu koyuay a chunyam a pingtengay putyiay kngli nu maenin a shingin nu luma nu tamlaw, kichu nu chuyu, chengyi a hoping nu kalaenu nu kakarayan,
00-02	Shamaanen masharumaay tu ku nihosu a nigome tu kngli nu tamlaw yaman a pawshing, tyamgoay kuni a pawshing tu naay a harateng nu tamlaw. Tayniay iraay a chuyu nu shual a harateng, awaay a kyongchu a kuypa kalaenu nu kakarayan, sha akawang a harateng nu potong a tamlaw han,
00-03	Shamaanen tu chua nishetiay ku tamlaw tu pawchen a yapo, iraay mabawhu pali kngli nu tamlaw a piyaw,
00-04	Shamaanen iraay nichuching a tu yuyi nu kwocha piyaw,
00-05	Shamaanen shumualay a tamlaw nu kwocha nu UN iShanchang Nu UN pakushuelinay chipen a kngli nu tamlaw, chunyam a chachi nu tamlaw a pingteng a kngli nu fainayan a fafahyan han, maharatengay tu itaangayay tu miming chuchin chinpu shehuy a shuyping nu shengho han,
00-06	Shamaanen nishiwanay tu huywankwo a UN malachafay, nichuching pupyan a chunchong a chunshing ikngli nu tamlaw a chipen a chiyu han,
00-07	Shamaanen iraay lyokay tu kuni a kngli a chiyu ishishan chongfen kuni a shiwan tala taangayay a chongyawshing,
00-08	Shalaw anuhatini,
00-09	Taangayay A Huy,
00-10	Shalakay tu kuni a Kalaenu Nu Kakarayan Kngli Nu Tamlaw Swanyam, nishishan a kongtong a hapyawchun kilumut tamlaw a kwocha. Pimaharateng Tamlaw a chikow nu shehuy mararil tu kuni a swanyam, pichuching chunchong tu kngli a chiyu u chawhuy a chawu, u chanching a choshi nu kwocha a kwochi, shapimachenglin a machunshingaw pupyan a yushaw tamlaw nu huywankwo a tamlaw nu shera kuni a kngli a chiyu.
01-00	Shaka chechay
01-01	Chiyu mahufuchay tu tamlaw, maemin pingdeng ichunyan a kngli. Iraay chaira lishing a naay a naay a harateng, pimaulahsha u harateng nu kaka shafa.
02-00	Shaka tusha
02-01	Iraay tamlaw iraay a chike kngli a chiyu nu kuni a swanyan, awaay chubye nu chongchu, fuse, shingpye, shual, chongchaw, chengchi anucha ruma harateng, kwochi anucha chushen nu shehuy, chaychan, mahufuch anucha ruma shenfen.
02-02	Anu iraay chengchi, shingcheng anucha kwochi a tiwey nu kwocha anucha shera nu tamlaw chabye, biawa tamlaw chabye, awaay tuli, tokwan, chua chichi anucha iraay ruma iraay a lalemak chukng shanchi maemin chabye.
03-00	Shaka tulu
03-01	Iraay tamlaw kngli nu shengming, chiyu a ankng nu tamlaw.
04-00	Shaka shopat
04-01	Aka bimasharuma chima maemin nuli anucha nuyi. Biawa maan shingshi a nuli a chitu a nuli a niacha niliwal maemin.
05-00	Shaka lima
05-01	Aka biira tamlaw kushing anucha chanlin a anucha chua kalintaw a anucha wulushing a tayu anucha shingfa.
06-00	Shaka enem
06-01	Iraay tamlaw iishakachua maemin iraay a kngli linke nu aayaw nu fali.
07-00	Shaka pitu
07-01	Pingteng tamlaw iaayaw nu fali, iraay ira a kngli pingteng a pawhu nu fali, aki biira chishi. Iraay tamlaw ira a kngli pingteng a pawhui, shamaanen biawa hay nu wefan a chishi kuni a swanyam a shantong a shingwe tuni a chishi.
08-00	Shaka falu
08-01	Anu machinhayay tu mapafeli a chipen a kngli shanfa anucha fali, iraay tamlaw ikuni a chinhay yushaw mapatilun a kngli.
09-00	Shaka shiwa
09-01	Aka bichepet, bilikut anucha bifalah tu tamlaw linyi.
10-00	Shaka muetep
10-01	Iraay tamlaw malichay a kngli tuli a awa a fating pyanyi, shamaanen bichoting tu kngli a yiwu ira a bipanting tu shingshi a kongsu ira.
11-00	Shaka muetep ira ku chechay
11-01	Ira a tamlaw shingshi a kongkaw, anu chua machengshi ira chuy u fali u kongkay a shenpan, iraay mapakushuelin a kngli awa chuy. Biira shenpan ilichay pachaku shaeliay a pawchang maemin.
11-02	Ishingshi a shingwe anucha chua shingwe nu tamlaw, anu awa chuy shalakay u fali nu kwocha anucha kwochi, aka biira chuy. Aka bitaangayay ku shingfa tu iraay a fali a kuyting chuy.
12-00	Shaka muetep ira ku tusha
12-01	Aka bikanshe tu lalemak nu niah, luma, paaruan a tongshin nu tamlaw linyi, aka bichinhay tu yongyu a minyu ira. Iraay tamlaw mapawhuay pimyan a kngli tuni a kanshe anucha chinhay.
13-00	Shaka muetep ira ku tulu
13-01	Iraay tamlaw ikwocha chiyu maru a linah a kngli.
13-02	Iraay tamlaw shalak a kngli kwo, iraay ini kwocha nu niah ira, iraay nukay a kngli.
14-00	Shaka muetep ira ku shopat
14-01	Iraay tamlaw ipaputal a kwocha kilimay a tikelaay tu pihu pimyan a kngli tu pohay.
14-02	Anu iraay malichay a lalemak u chua chengchishing a chuyshing anucha wefan a shingwe chongchi anucha wanche nu UN, aka bishaeli tuni a kngli.
15-00	Shaka muetep ira ku lima
15-01	Iraay tamlaw iraay a kngli kwochi.
15-02	Aka biafash tu kwochi nu tamlaw, aka bifulin tu kaybyan a kngli tu kwochi.
16-00	Shaka muetep ira ku enem
16-01	Iraay fainayan a fafahyan nikalafu a chifafahi a kngli, awaay shanchi nu chongchu, kwochi anucha chongchaw. Ihunyin, ichehun a ilihun, biira pingteng a kngli.
16-02	Anu chua kilumutay tu fainayan a fafahyan, aka binikalafu, aka bichifafahi.
16-03	U luma tyanlan a chipen a tanwan nu shehuy, bimapawhu shehuy a kwocha.
17-00	Shaka muetep ira ku pitu
17-01	Iraay tamlaw maemin chaychankng nu niah, malairaay ruma tamlaw chaychankng.
17-02	Aka biafash tu chaychan nu tamlaw linyi.
18-00	Shaka muetep ira ku falu
18-01	Iraay tamlaw kngli nu harateng, naay a harateng a chongchaw a chiyu. Iraay kuni a kngli kaybyan a chiyu tu chongchaw anucha shinyang, niah anucha chiti, pyawshi a chiyu kongkay anucha mimi u chawyi, u shichan, u lipay a kayli tu chongchaw anucha shinyang.
19-00	Shaka muetep ira ku shiwa
19-01	Iraay tamlaw chiyu kngli nu harateng a shumual. Iraay kuni a kngli iraay harateng chua makanshe a chiyu, u meche a cha lichayay kwoche kilim a, ala a pafeli a chiyu tu shaoshi a harateng.
20-00	Shaka tusha a pulu
20-01	Iraay tamlaw kngli nu hoping shahurul a cheshe a chiyu.
20-02	Aka biaka kaecha ira tamlaw twanti.
21-00	Shaka tusha a pulu ira ku chechay
21-01	Iraay tamlaw u niah anucha u chiyu pili a taypyaw chancha a kngli chili tu kwocha.
21-02	Iraay tamlaw u pingteng a chihuy chancha a kngli kongwu nu kwocha.
21-03	U harateng nu tamlaw chichu nu ichel nu chengfu. Bibyawshan tuni a harateng u tingchi a shuelin a pili. Bipafeli pili u pupyan a pingteng a towpyawkng,u awa a ngangan anucha u malatulung a chiyu a towpyaw chengshu.
22-00	Shaka tusha a pulu ira ku tusha
22-01	U tamlaw chengwan nu shehuy, shalaw iraay ira a kngli shehuy a pawchang, shishan tu mashaeli a chingchi, shehuy a wenhwa a knglichiyu fachan nu chunyan a linke. U ichel nu kwocha a hocho nu kwochi, u lalemak nu kaput a chiwan nu kwocha.
23-00	Shaka tusha a pulu ira ku tulu
23-01	Iraay tamlaw kongcho a, pili a ku niah tu chiye, kongcheng a hoshi a kongcho a tyawchan a ira a kngli shiye a pawshan.
23-02	Iraay tamlaw tong kong tong chow a kngli, aka biira chishi.
23-03	Ira kongcho a tamlaw maemin ira a kngli kongcheng a hoshi a acha. Biira niah a paru nuluma fuho a shengho a tyawchan chunyan nu tamlaw. Anu iraay piyaw bipafeli tu ruma pawchang nu shehuy.
23-04	Iraay tamlaw chuchiay a chanchaay tu konghuy wehu a kngli tu liyi nu niah.
24-00	Shaka tusha a pulu ira ku shopat
24-01	Iraay tamlaw pashela a shalama a kngli, iraay ira a kongcho a shichan holi a shanchi, pashela a kngli tingchi pafeliay tu paychi.
25-00	Shaka tusha a pulu ira ku lima
25-01	Iraay tamlaw ira a kngli wehu a shengho a shuychun tu chankang a fuli nu niah a paru nuluma, iraay kumaen, riku, luma, paishing a piyaw a shehuy a fuwu. Anu hilayay tu ihilay tu kongcho, maalalaay tu, chanfeay tu, patay tu fainay, malitengay tu anucha ruma chua kongchi a lalemak tu kilim a ichel tu paychi, iraay mapawchang a kngli.
25-02	Iraay wina a wawa machaoku a mapalang a kngli tiwa. Biira wawa, hunsheng anucha chua hunsheng, pingteng a shehuy a pawhu.
26-00	Shaka tusha a pulu ira ku enem
26-01	Iraay tamlaw mapakafana a kngli maemin. Aka bishaeli ku pakafana tu paychi, u shatapang a chipen a kaytwan shahatinisha. U shatapang a pakafana yiwu. Biira chishu a chiye a pakafana pupyan. Bifawah akawang a pakafana u chengchi itamlaw pingteng.
26-02	Bifachan tu koshing nu tamlaw pakafana chongfen, bichachang chunchong kngli nu tamlaw a chipen a chiyu. Bichuching pakafana lyokay, emem a paliw nu kwocha, chongchu anucha chitwan nu chongchaw, bichuching tu wehu a hotong ku UN tu hoping.
26-03	Iraay wama a wina ichongle nu pakafana nu wawa pili a kngli ayaw.
27-00	Shaka tusha a pulu ira ku pitu
27-01	Iraay tamlaw chiyu chancha wenhwa a shengho nu shehuy, tanam tu yishu, malaira a kosho a chinpu a mashalak a fuli kngli.
27-02	Imashalak a chingshen a wuchi a liyi kosho, wensho anucha yishu nu niah, irray tamlaw mapawhu a kngli.
28-00	Shaka tusha a pulu ira ku falu
28-01	Iraay tamlaw tu shehuy a kwochi a chishu shaeli a kngli. Ikuni a chishu, mashishan maparu a kngli a chiyu kuni a swanyam maemin chongfen.
29-00	Shaka tusha a pulu ira ku shiwa
29-01	Iraay tamlaw shehuy a chelin maemin, shamaanen fachan acha ishehuy koshing ira chiyu a chongfen alatek.
29-02	Shingshiay tamlaw tu kngli a chiyu, mashanchi acha fali. Choli a muti tuni a shanchi, u acha pafeli tu piyaw a chunchong a chenglin tu kngli a chiyu nu ruma tamlaw, shiying shaeli nu tawte, kongkong a chishu a pupyan a fuli iminchu a shehuy.
29-03	Shingshi tuni a kngli a chiyu, aka biwepe chongchi a wanche nu UN imaan lalemak maemin.
30-00	Tulu a pulu
30-01	Aka bishumual , tyawwen nu kuni a swanyam maemin, iraay maan kwocha, chitwan anucha tamlaw pohway a kngli tu maparu a maan kngli a chiyu kuni a swanyam han.
