00-00	Kom Mapu Fijke Az Tani Az Mogeleam
00-01	("Preambulo" pi ta wigka)
00-02	Kimnieel fij mapu mew tani kimgen kvme felen kisugvnew felen xvr kvme mvlen. Tvfaci zugu ni mvleken mvleyem yamvwvn ka xvr kvme nor felen kom pu renmawke ce mew.
00-03	Gewenonmu yamuwvn, zuamgewenonmu kvme felen, goymagenmu nor felen mvley re jazkvnkawvn: Fey mew mvley xvrvmzugu kom pu ce tani kvme mogeleam kisuke ni feyentun mew, kisu ni rakizuam mew ka ni wimtun mew ni mvleal egvn.
00-04	Tani mvlenoam kainetuwvn zugu, awkan zugu tvfeyci wezake vbmen egvn mvley tani xvrvmuwael tvfeyci wvnenkvleci pu ce zugu mew tani yamgeam xvr kvme nor felen.
00-05	Ka kimnieel ni rvf kvme zugugen, wenvykawvn kom pu Xokinke Ce egvn, nuwkvlelu Kine Mapu mew ("Naciones Unidas" pi ta wigka): Tvfa egvn xawvlelu "Naciones Unidas" mew nuwtuaygvn tvfaci "Fvxa Cijka" mew kvme xvr norkvletuam ni mogen kom pu wenxu ka pu zomo mvlelu ixofij mapu mew feyci, kom xawvci pu ce tani werkvel ci Pu Xokinke Ce ("Estados Miembros" pi ta wigka) mvlelu fij mapu kom pvle kejuwayin tain yamfalafiel xvr kvme felen ka nor felen piwigvn.
00-06	Femueci mvlcy ni kimniegeael kom mapu mew nor kvme felen ka kisugvnew mvlen tvfaci rakizuam kvzaw mew.
00-07	Fey mew Fvxa Xawvn mew ("Asamblea General" pi ta wigka)
00-08	Wixanpvramgey tvfaci Fvxa Cijka Kom Mapu Fijke Az Ce Tani Az Mogeleam pigelu.
00-09	Rvf kvme zugugelu am fey mew ta mvley tani kvzawael kom pu ce fij mapu mew, pu fvxake vbmen, kom pu ce wvnenkvlelu cem zugu mew rume, pu wenxu ka pu zomo mvley tani newenmayafiel ka wenunpvramafiel tvfaci zugu az mogeleam kom pu mogen ce, fey mew ta yamgeay xvr felen ka nor felen tvfaci mogen mew.
01-00	Kine Xoy (1)
01-01	Kom pu mogence kisuzuam mvlekey, kom cegeygvn, logkogeygvn ka piwkegeygvn, nieygvn kimvn fey mew mvley tani yamniewael ka epunpvle kejuwael egvn.
02-00	Epu Xoy (2)
02-01	KINE. Kom xipace, fijke mojfvn ce wixapvraley ni kvme felen, nor felen tvfaci Fvxa Cijka mew, cumgeay rume ni zugun, ni wimtun, cem azgeay rume, cem kimvn rume nieay.
02-02	EPU. Kom pu xokin ce, cem az mogengeayrume mvlelu fij mapu, ka femueci xvr nvwkvley tvfaci Fvxa Cijka mew.
03-00	Kvla Xoy (3)
03-01	Kom ce mvley ni mogeleael, kisugvnew feleael ka yamniegeael.
04-00	Meli Xoy (4)
04-01	Iney rume gelay ni xafkintuceael. Gewelayay xafkintucen ran mew kuyfi reke.
05-00	Kecu Xoy (5)
05-01	Cem ce rume wezakamekegelayay, kupafkamekegelayay.
06-00	Kayu Xoy (6)
06-01	Kom ce fij mapu mew mvley ni kimgeael, wirintukulelu am ni vy wigka zugu mew ("Personalidad Juridica" pi ta wigka).
07-00	Reqle Xoy (7)
07-01	Kom femgey ce wigka ni wirikon zugu mew ("Ley" pi ta wigka) fey mew kom pu ce pepi nvway tvfaci zugu mew. Yamgerumenole cuci sugu rume wirintukulelu tvfaci "Fvxa Cijka" mew.
08-00	Pura Xoy (8)
08-01	Pu wigka mew mvley kine ruka cew ni norvmgekemum ixofij wezake zugu; fey mew pepi nvway kom pu ce tani igkanmageam, yamvnmagenole tvfeyci nor zugu wirintukulelu fvta cijka mew "Constitucion" pigelu, nielu kom pu xokinke ce fij mapu.
09-00	Ayja Xoy (9)
09-01	Gelay iney rume ni koraltukugeael ka wemvnentugeael ka wemvnentugeael tani mapu mew wezakamekenole.
10-00	Mari Xoy (10)
10-01	Tvfeyci wigka norvmzuguwe ruka mew, kom pu ce mvley ajkvtunmageael ni zugu, tani kimgeam ni weza femvn kam femnon ka tani kimgeam cumueci ni feletuael ragi kakelu pu ce.
11-00	Mari Kine Xoy (11)
11-01	KINE. Cem ce rume kimvnmagenole ni weza femvn gelay cumuelu tani zajunmageael ka mvley ni elunmageael tani igkawam.
11-02	EPU. Kuyfi iney rume weza femfule, feyci mew zajufalnofule tvfeyci zugu gelay cumuelu ni zajunmageael fewla. Ka gelay cumuelu ni zoy fvxa zajunmageael feypilenole fewla tvfeyci nor zugu mew wirintukulelu Fvxa Cijka mew.
12-00	Mari Epu Xoy (12)
12-01	Wigka ni wirikon zugu mew ("Ley" pi ta wigka) nvwkvley kom pu ce ka fey mew mvley ni igkanmageael egvn kake ce zugukonle ni mogen mew, kam ka ce pekanka lef konle ni ruka mew, kom tani felen mew ka wezaka zuguyekanmagele.
13-00	Mari Kvla Xoy (13)
13-01	KINE. Kom pu ce mvley ni kisugvnew miyawael xokinke ce ("Estados" pi ta wigka) ni mapu mew.
13-02	EPU. Kom pu ce pepi xipayay cem xokinke ce ("Estado" pi ta wigka) mew rume ka kisu ni mvlemum, welu ka pepi winotuay.
14-00	Mari Meli Xoy (14)
14-01	KINE. Cem zugu mew rume inayawgele cem ce rume, tvfa mvley ni gvnaytuniegeael ("asilar" pi ta wigka) cem xokin ce mew rume.
14-02	EPU. Welu tvfeyci gvnaytucen kvmelayay, rvf weza femle tvfaci ce, inayawlel (lagvmle, wenele) ka yamnofile tvfaci "Naciones Unidas" ni wixanpvramnieel ci zugu.
15-00	Mari Kecu Xoy (15)
15-01	KINE. Kom pu ce pepi nvwkvleay cem az mogen ("nacionalidad" pi ta wigka) mew rume.
15-02	EPU. Iney rume mvntunmagelayay ni az mogen ("nacionalidad") ka pepi nvway ka konaygvn kake az mogen mew kvpa femle egvn.
16-00	Mari Kayu Xoy (16)
16-01	KINE. Kom pu zomo ka pu wenxu pepi kureyeway kvpa kvreyewle cem xipacegeaygu rume, kekewme az mogen nieaygu rume. Kvpa niele kisu ni pu fvren egu femaygu mvten. Ka femueci kvme feleaygu: iney rume cumekelayaygu egu kurewenkvlen kam wvzatule egu rume.
16-02	EPU. Tvfaci epu ce re kisuzuam pile egu mvten fey wvla pepi kureyewaygu.
16-03	KVLA. Kom pu fijke ce renmawengenofule gelayafuy ce kom mapu, fey mew ta pu xokin ce ("Estado" pi ta wigka) ka kom pu ce mvley tani gvnaytunieael fijke fvrenwen ka renmawen.
17-00	Mari Reqle Xoy (17)
17-01	KINE. Kom pu ce mvley kisu ni gengeael, ka xokinke ce ni gengeael cemu rume.
17-02	EPU. Iney rume pekanka mvntunmagelayay ni nieel (cemgeay rume).
18-00	Mari Pura Xoy (18)
18-01	Cem rakizuam rume cem feyentun rume nieay fij pu ce gelayay cumuelu ni mvntunmageael ka takunmageael. Kisuzuam kvpa konle kake feyentun mew femay mvten, kvpa kimelle ni rakizuam ka feyentun ka pepi kimelafi.
19-00	Mari Ayja Xoy (19)
19-01	Kom pu ce pepi entuay ni rakizuam ka zugu, ka pepi kimellafi kompvle cumueci rume (radiomu, telemu, wirinmu) ka pepi kintuay, ramtuay ka joway zugu tani kvzawkvlenmu. Ka femueci tvfaci zugu pepi kimellafi cew rume.
20-00	Epu Mari Xoy (20)
20-01	KINE. Kom pu ce kisu ni gvnewmu pepi xawvay cem piei xokin ce egvn rume.
20-02	EPU. Welu cem ce rume pinole ni konaeal cem xokin ce ni kvzaw mew rume, gelay cumuelu ni gagegeael.
21-00	Epu Mari Kine Xoy (21)
21-01	KINE. Cem ce rume pepi konay logkolealu tvfeyci xokin ce mew nvwkvlelu Kine Mapu mew ("Pais" pi ta wigka) kam werkvaygvn kine ce kisu egvn tani zujiel.
21-02	EPU. Kom pu ce xvr pepi konay tani kine Mapu Xokin ce mew ni cem kvzaw mew rume.
21-03	KVLA. Tvfey ci Kine Mapu Xokin ce mew logkolelu: Logkogey kom pu ce mvlelu fey ci xokinmu tani zuam. Tvfa ci pu ce mvxvmmuway tani zujiam ni logko egvn, kom xvr pepi feypiaygvn iney tani zuamniefiel tani logkogeal.
22-00	Epu Mari Epu Xoy (22)
22-01	Tvfey ci logkolelu Kine Mapu Xokin Ce mew mvley wvlael ixofij keju tani kvme feleam ka kvme mogeleam kom pu ce mvlelu tvfey ci Xokin mew. Tvfaci logko kvme pepi kejunole ni pu ce mvley tani kejuaetew kake Mapu Xokin Ce.
23-00	Epu Mari Kvla Xoy (23)
23-01	KINE. Kom pu ce mvley ni nieael kvzaw, mvley kisu zujiael ni kvzaw femueci ta xvr feleay ta pu ce. Cem ce rumje penoloe kvzaw mvley tani gvnaytunieaetew wvnenkvleci pu ce ixofij zugu mew, tani Kine Mapu Xokin Ce mew.
23-02	EPU. Kom pu ce cumgeay rume mvley ni kom xvr kujigeael tani kvzaw mew egvn.
23-03	KVLA. Kom Kvzawci pu ce mvley ni kvme kujiniegeael; tani kvme mogeleam ka kvme mogelneam ni pu fvren. Puwjenole tvfaci mogeam, mvley ni kejugeael tani Kine Mapu Xokin Ce mew.
23-04	MELI. Tvfeyci pu kvzawfe rvf kvme felenole, yamvnmagenole ni zugu egvn pepi xawvluwaygvn tani kinewvn igkawam egvn.
24-00	Epu Mari Meli Xoy (24)
24-01	Kom Kvzawfe pu ce mvley ni vrkvtuael ni kvzaw mew, ka tani zoy kvzawnoam, yamvnmageael ni orario ka tani kine mufv antv vrkvtuael fij xipantu.
25-00	Epu Mari Kecu Xoy (25)
25-01	KINE. Kom pu ce mvley ni kvme mogen nieael; kuxanle egvn tani peael lawen, tani kvme iyael egvn, kvme tukuluwvn ni peael, kvme ruka mew ni mvleael, tani peael lawentufe ce egvn. Tvfa rume falile tani keju kujigeael. Ka femueci pepi kvzawnole mvley ni kejuaetew ka gvnaytuaetew pu wvnenkvleci pu ce ixofij zugu mew tani Kine Mapu Xokin mew.
25-02	EPU. Pvnenci pu zomo ka mvle-mvlegeci pu picike ce mvley ni peaetew ka kejuaetew kvmeke lawentucefe ka femueci kom pu picike ce mvley ni gvnaytuniegeael kom pu Xokin Ce mew.
26-00	Epu Mari Kayu Xoy (26)
26-01	KINE. Kom pu ce pepi kimay fij cijkatun, cem ce rume kujilayay tani kimam. Welu kom pu ce mvley tani rvf kimelgeael fij zugu wvneluw cijkatukeel tani kim cegeam. Cem ce rume zoy kvpa cijkatule tani zoy kimam femay mvten ka kom pu ce cumgeay rume, pepi konay cem cijkatun mew rume, tani ayvnieel ni inayael.
26-02	EPU. Kom tvfaci cijkatun ka kimeltun mvley ni kejuael kvme cegeam, kim cegeam, nor vegeam, mvley ni newenmayafiel ta nor felen ka kisugvnew felen tvfaci mogen mew. Mvley tani kejuael welukon yamniewael mew ka wenvykawael kom pu ce ka fijke Xokinke Pu Ce, cem az mogen rume nieaygvn. Kom tvfaci kimeltun mvley ni kejukvzawmayafiel ka wixanpvramafiel fij kvmeke zugu "Naciones Unidas" mew.
26-03	KVLA. Kom pu kurewen mvley kisu egu ni piael cem kimvn ka cijkatun nieael tani pu pvnen.
27-00	Epu Mari Reqle Xoy (27)
27-01	KINE. Kom pu ce mvley ni kisuzuam nvwael cem wimtun mew rume mvlele tani Xokin Ce mew, ka tani kintuael, inakonael, ka nvael cem fvtake kimvn rume mvlele.
27-02	EPU. Cem ce rume mvley tani gvnaytukunienmageae ka kuniwtukunienmageael tani gvbam ka tani kimvn niele ka femueci mvley ni niegeael tvfaci zugu cuci ce rume kuwv mew entule cem kvzaw rume.
28-00	Epu Mari Pura Xoy (28)
28-01	Fijke Kine Mapu Xokin Ce mew mvley ni kvme nor elgeael zugu, femueci ta kom pu ce mvlelu fij mapu yamvnmageay ni nor az felen.
29-00	Epu Mari Ayja Xoy (29)
29-01	KINE. Kom pu ce mvley tani rvf nieael kvme zugu, kvme rakizuam ka tani nor cegeael tani ragi pu Xokin Ce mew, fey mew am xemkvlelu ce reke ka amulnielu cem kvzaw rume.
29-02	EPU. Tani nor felenmu ka kisugvnew felenmu kom pu ce nvwkvleay wigka ni wirikon zugu mew ("Ley" pi ta wigka) mvten, fey mew ta kakelu pu ce yamvnmageay ni kvme feleael, kisugvnew felen, ni nor feleael ka tani mvleam xvr ka nor mogen kom pu Xokinke Ce mew.
29-03	KVLA. Kom tvfaci nor zugu cumkaw rume gelay ni nvgeael weluka ka pekagka amulgeale. "Naciones Unidas" ta pekagka amulael mogen, wixanpvrammekelay tvfaci "Fvxa Cijka".
30-00	Kvla Mari Xoy (30)
30-01	Tvfaci "Fvxa Cijka", cew tani kimelgen cumueci ni mvleael mogen fij mapu, gelay cem xokin ce rume ni nvafiel tani goymalafiel ka tani kvzawmayafiel tani namvmnaqvmgeam cuci zugu rume pegelgeael tvfaci "Fvxa Cijka" mew.
