00-00	[missing]
00-01	Ponente waa kewenge beye kekinani tomame inke tomamo anobay wadani bay adomonke kedamay ingimpa tomamo watape betente mono wenkaba waa kewegimpa.
00-02	Tomenani enenamay beye mono waomo kewenge beye tomenani ananipa wakete godominke entegoke beye ekame inke tomemoke nangi kebo imopa ante anamay inginani tomenani yekede ekame inani inke anamay inani tomenanike godominke ponente kekinani.
00-03	Tomenani manomay waomo imonte wakedani kewegimpa tomemo wakeki beye inkete mono ongeyemo tomaa tomenani ebano tokode nenani anobay mono kete negimo imompa.
00-04	Tomenani ananipa manomay waponi kemo ate godominke watape kegqkimpa tomenani wabeka nani keka.
00-05	Waakiwiminipa ante wabeka kewenani yewemonte daa pononanipa tomemo waomo waa kewenge beye aye adobay minito kewenge adobay impa ante ananipa ongiyenani tono onkiyenani adobay tomenani kewenge waa kewenge impa ante ananipa.
00-06	Wabeka kewenani monorilay tomenani wakedanipa ankedanimpa ananipa, tomaa nani beetente wabeka kedani waponi inomo kewenani tomenani watape keeme kedamay mono waomo imonte kekedanimpa.
00-07	Manomaymono beye wakedanipa tomaa ono waa kewengi beye godominke wakete ate noynga tomaa mono ani wakemo ate toynga kemompa anginani.
00-08	Tomamo beetentetedeke
00-09	Nowopone manomay amopa
00-10	Manomay tomamo waomo beye ampa
00-11	Tomamo iyomo kewemo aye anobay wabeka kewenani godominke kekedanimpa, tomamo waomo tomaa na ni keyomo kemo imompa, tome beyenke kemo imompa, godominke kemo waa bakimpa, manomay kemoni ate tomenani enenkedanimpa, nani kemo ate waokedani kewegimpa, aye manomay kemo ate inomo inke wabeka kedani godominke kekinani manomay mono kemo ate inomo inke wabeka adobay godominke kemo gan wenamay igimpa tomemo mono keyomo.
01-00	Nani anomo 1
01-01	Tomamo waomo ekame wee anamay inani tomemo kewengi beye tomamo neemompa noynga impa aye anobay impa wadani inanite wakeki beye angampa.
02-00	Nani anomo 2
02-01	Tomamo waomo nemompa mono wakewengi beye aganpa toma kogodi anobay mono wao bay tomamo pinamay geya godominke wakete kewengimo ante angampa.
02-02	Aye adobay nani keyomo wado kedamay inkedanimpa kowekogodi bay awedibakirno ante, anobay genente kekemoni tomameka nani keyomo aye tomaa ome tomemonke ponente godominke mono keyomo kekimpa manomay kedamay imo ate wedenki wegimpa, tomemo adomke kekimo.
03-00	Nani anomo 3
03-01	Tomamo waomo waakete kewengimpa imompa, keeme kedamay watape waomo yekede kewegimpa.
04-00	Nani anomo 4
04-01	Adokanki manomay impa ante temoneketante pinte inkekaympa, manomay kemo kete kekedanimpa ananipa tomanomo kedamay inkeminimpa ante ampa.
05-00	Nani anomo 5
05-01	Ekame inke manomay kete wenonkeboympa ante ponente keramayaye adobay keeme inke wiwa kedamay inkedanimpa.
06-00	Nani anomo 6
06-01	Tomamo waomo neemompa toynga keki tomanomo manomay waomo nani kebay geya kete watape kewengimpa tomemo ponente keki impa ante angampa.
07-00	Nani anomo 7
07-01	Tomamo beye adobay nano ley amay nemompa, maninani wadani inanipa ante anamay ingimpa adobay tomamo beye nano amay ampa. Tomamo adobay wakete kewengimpa wiwa kedamay kewegimpa ante ampa.
08-00	Nani anomo 8
08-01	Tomamo waomo tomaa mono kewengi beye nemompa tomaa nani keyomo aye adobay manomay nani geya geya keyomo wiwa kedamay tomemo kewengi beyeampa nano amay adobay kekemoni.
09-00	Nani anomo 9
09-01	Ekame inke maniganka pomimpa .ante anamay inkedanimpa, aye teemonedamay wabi imipa ante anamay inginani.
10-00	Nani anomo 10
10-01	Tomamo waakeki beye neemompa, adobay tomamo imompa, tomamo waomo adobay imompa ante tomanani nani nangi keyomo amo enenkedanimpa aye adobay tomaa kigame inke moneketante nani aa wakeki impa.
11-00	Nani anomo 11
11-01	Tomamo waomo wiwa wenonte kemo mono kewenge beye neemo imompa tomaa tomenani nano amaytono nani waakeki ganka nowo tomaa naniganka tomimi wiwa kedi deebakiganka kekimpa.
11-02	Ekame inke nanomae wiwa kebipa ante anamay inkedanimpa tomenani tomimi manomay kete wenomimpa nani angi ganka, emewo wengi ganka tomimi wiwa kedi beye kedanipa tomenani wabi imimpa nani angi ganka.
12-00	Nani anomo 12
12-01	Ekame inkete adoke awengo bay impa ante anamay inkedanimpa tomimi kewenge beye tomaa tomimi wenani tono kewenomo ekame inke ponte onabay ikedanimpa tomamo waomo nano amay kewemo imompa.
13-00	Nani anomo 13
13-01	Tomamo waomo kigame anamay inani kewokimpa aye anobay apengimpa tomemo mono kewente ponomo beye.
13-02	Tomamo waomotomimi aenente ponkebimpa.
14-00	Nani anomo 14
14-01	Tomemo eyomome inke kewenginani watape tote kewegimo aye adobay wabeka inke kewenginani.
14-02	Mani monito watape kewe ekame inke weeponte anamay inkedanimpa aye wiwa kedamay inkedanimpa tomaa nani keyomo anamay inkedanimpa tomame mono kewenomo beye.
15-00	Nani anomo 15
15-01	Tomamo waomowado tedemo watape kewengimo imompa.
15-02	Ekame waomo inke piinte peyempote enamay inkedanimpa aye adobay waka ingante enamay inkedanimpa.
16-00	Nani anomo 16
16-01	Ongiyenani tono onkiyenani tomenani pikenani bate ate adobay wakete kewengi beye nenanipa aye adobay wakabodani tono wegongi igante ponenani monte ate tomenani adobay wakete kewengi nenanipa aye adobay nanoge monte pamenani wakewegi beye nenanipa.
16-02	Ekame inke adokanke waa inte beetenamay inga tomenga adoke onkiye ingante momaygampa.
16-03	Nani wenkabo inani yekede iyomo kowe pedani inkedanimpa tomenani kowe wakete kewengi imompa nene ome nano anbay.
17-00	Nani anomo 17
17-01	Tomamo waomo mono kewenge beye neemompa tomemo kewenge aye adobay adoke adoke iyomo kewenkebimpa.
17-02	Ekame inke ponte wee anamay inkedanimpa tomimi kewenomo.
18-00	Nani anomo 18
18-01	Tomamo waomo imonte ananay inginani adobay ponemo imompa, mono adobay wegongi ingante ponemo imompa aye adobay tomemo wado ponemo imompa tomemo kewengi beye aye tomenani ananipa tomanomo adobay kewengi impa, enenge, tomemo mono kee, aye manomay impa ante akimoni.
19-00	Nani anomo 19
19-01	Tomamo waomo imonte keeme anamay inkedanimpa aye wiwa kedamay anamay waka ome maniganka impa ante tededamay inginani naniganka waka kii ome toy impa ante anamay inginani tomenani watape kiwiginani.
20-00	Nani anomo 20
20-01	Tomamo waomo imompa watape keeme anmay inani kewegimpa.
20-02	kame inkete wakabodani nani beetente nani keyomo beetenamay inginga tomemo betente keyomonki kete kewegimpa.
21-00	Nani anomo 21
21-01	Tomamo waomo anamay inani mono ome beye awene bakimpa ekame inke bito bakebimpa ante anamay tomeganki ponente bakinga.
21-02	Tomamo waomo kigame anamay inani nene nani keyomo adobay kekimpa.
21-03	Tomenanike ponente manomay mono ome beye kete kewegimpa ankedanimpa godominki manomay kemo ate tbmanani tomenga waponi kekampa ante mono awene bakibeye mono gidinani akedanipa.
22-00	Nani anomo 22
22-01	Tomamo waomo iyomo watape kete kewegimo imompa tomaa manomay kemo ate wabeka kewenani tomenani wakedanipa tomemo minkayonta nenomo tokode wenani tomenkaka tomemomke ponente mono ome beye kekimpa.
23-00	Nani anomo 23
23-01	Tomamo waomo anamay inani ome kekimpa anamay inani tomemonke kekimo wii tomenke wa wa kekimoni waka ponte manomay kedamay inginga.
23-02	omamo waomo imonte ekame inke ponte piinte daagodonamay inkedanimpa wadani nani kete eempo anopo egimpa.
23-03	Tomamo waomo mono kete eebeye anopo iinki kete tawemo ate onodo anopo kowe pononani egimpa manomay genado gena watape kete ente kewegimoni aye adobay mono imonte adani kewegimpa.
23-04	Tomamo waomo adobay negimpa manomay nemo ate waakedani kewegimpa.
24-00	Nani anomo 24
24-01	Tomamo waomo adobay gemangi neginmo imompa gote enate toke beye epogado ome ketawo ante ponente gemagimpa tomenede adobay tokode ponogrnani.
25-00	Nani anomo 25
25-01	Tomamo waomo tomenani ebano kete watape nani kewemay kewegimo imompa watape tomimi gidinani kewengi beye aye anobay watape wiwa badamay kewenge beye, watape kete kengibeye, weeko wenaki beye, tomemo kewenomo beye, biimo kedani kowe mee ongongi beye aye tomamo watape wiwa kedamay kewengi; aye anamay ongongimpa ome nooponi nani kedani beye daykawo beye, komante inani beye, pameynani beye, aye anobay pike badani beye tomamo anobay imompa tomemo wiwa baki beye.
25-02	Teke. winenani inke yedemana badani ate edemo aakimo imompa tomenani inanite. Tomanani edemo moynani winenani enadani ate aye anobay ononke manani inanite, aye anobay tomamo watape wadani bay kete kewegimpa.
26-00	Nani anomo 26
26-01	Tomamo waomo enenge beye neemo imompa. Keeme godonamay enegimo imompa, manoamay kete tomamo tomebeyenke. Tomaa mono kee kowe keki impa iyomo mono kebeye yekede enenaniki manomay keki impa; nangi nani ayomo yekee tomamo adobay akimo imompa.
