00-00	INSAN SHHUGUGLARY SHHAGGYNDA UMUMI BeJANNAMe
00-01	Besher ailesinin butun uzvlerine khas olan lejaget shhissinin ve onlaryn beraber ve ajrylmaz shhuguglarynyn tanynmasynyn azadlyg, edalet ve umumi sulshhun esasy oldughunu nezere alarag,
00-02	insan shhuguglaryna etinasyzlyg ve nifretin besherijjeti deshhshete ketiren barbarizm shhereketlerine sebeb oldughunu ve insanlaryn soz ve etigad azadlyghyna malik, gorkhu ve eshhtijachdan azad olduglary dunjanyn jaradylmasynyn besherijjetin en ali isteji oldughunu nezere alarag,
00-03	insanyn son vasite kimi istibdad ve zulme garshy gijama galkhmagha mechbur olmamasyny temin etmek uchun insan shhuguglarynyn ganunun shhakimijjeti ile mudafie olunmasynyn zerurilijini nezere alarag,
00-04	khalglar arasynda meshhriban munasibetlerin inkishafyny desteklemejin vachiblijini nezere alarag,
00-05	Birleshmish Milletlerin khalglarynyn BMT Nizamnamesinde esas insan shhuguglaryna, insan shekhsijjetinin lejaget ve dejerine, kishi ve gadynlaryn shhugug beraberlijine inamlaryny tesdig etdiklerini ve dashha kenish azadlyg sheraitinde sosial tereggi ve shhejat sheraitinin jakhshylashdyrylmasyna jardym etmeji get etdiklerini nezere alarag,
00-06	uzv dovletlerin BMT ile emekdashlyg sheraitinde insan shhuguglaryna ve esas azadlyglara umumi shhormet ve onlara emel olunmasyna jardym etmeji oshhdelerine koturduklerini nezere alarag,
00-07	bu shhugug ve azadlyglaryn kharakterinin tam shekilde derk olunmasynyn shhemin oshhdelijin shherterefli jerine jetirilmesi uchun bojuk eshhemijjet kesb etdijini nezere alarag,
00-08	BMT Bash Assamblejasy
00-09	Insan shhuguglary SHHaggynda Umumi Bejannameni, shher bir kesin ve chemijjetin shher bir organynyn bu Bejannameni reshhber tutarag maarifchilik ve tedris jolu ile shhemin shhugug ve azadlyglara shhormet olunmasyna jardym etmesi ve milli ve bejnelkhalg sevijjede tereggiperver tedbirler jolu ile, shhem teshkilatyn uzvu olan khalglary, shhem de onlaryn jurisdiksijasy altynda olan erazilerin khalglary arasynda umumilikde ve effektiv tanynmasy ve shhejata kechirilmesine sej kostermeleri megsedile butun khalglar ve butun dovletlerin jerine jetirmeje chan atmaly olduglary vezife kimi bejan edir.
01-00	Madde 1
