00-00	maanabaadhikaarera saarbajaniina gheaassannaapatra
00-01	yehetu maanaba paribaarera sakala sadasyera samaana o abichchhedya adhikaarasamuuha ebang sahajaata maryaadaara sbiikrtii hachchhe bishbe shaanti, sbaadhiinataa ebang nyaayabichaarera bhitti;
00-02	yehetu maanaba adhikaarera prati abajnyaa ebang ghrnnaara phale maanubera bibeka laanychhita bodha kare emana saba barbarochita ghattanaa sangghattita hayechhe ebang yehetu emana ekatti prthibiira udbhabake saadhaaranna maanussera sarbochcha kaangkhaa ruupe ghossannaa karaa hayechhe, yekhaane sakala maanussa dharma ebang baaka sbaadhiinataa bhoga karabe ebang abhaaba o shangkaamukta jiibana yaapana karabe;
00-03	yehetu maanussa yaate atyaachaara o utpiiddanera mukhe sarbashessa upaaya hisebe bidroha karate baadhya naa haya sejanya aainera shaasana dbaaraa maanabaadhikaara sangrakssanna karaa ati prayojaniiya;
00-04	yehetu jaatisamuuhera madhye bandhutbapuurnna samparka unnayanera prayaasa grahanna karaa atyaabashyaka;
00-05	yehetu sadasya jaatisamuuha jaatisangghera sanade maulika maanabaadhikaara, maanaba dehera maryaadaa o muulya ebang naarii purussera samaana adhikaarera prati taandera bishbaasa punarbyakta karechhena ebang brhattara sbaadhiinataara parimannddale saamaajika unnati ebang jiibanayaatraara unnatatara maana arjane drddhapratijnya hayechhena;
00-06	yehetu sadasya raassttrasamuuha jaatisangghera sahayogitaaya maanabaadhikaara o maulika sbaadhiinataa samuuhera prati saarbajaniina sanmaana brddhi ebang edera yathaayatha paalana nishchitakarannera lakssya arjane anggiikaarabaddha;
00-07	yehetu e sbaadhiinataa ebang adhikaarasamuuhera ekatti saadhaaranna upalabdhi e anggiikaarera puurnna baastabaayanera janya sarbaadhika gurutbapuurnna
00-08	ejanya ekhana
00-09	saadhaaranna parissada
00-10	ei
00-11	maanabaadhikaarera saarbajaniina ghossannaapatra
00-12	jaari karachhe
00-13	e ghossannaa sakala jaati ebang raassttrera saaphalyera saadhaaranna maanadandda hisebe sei lakssye nibedita habe, yekhaane pratitti byakti ebang samaajera pratitti angga e ghossannaake sabasamaya mane rekhe paatthadaana o shikssaara maadhyame ei sbaadhiinataa o adhikaara samuuhera prati shraddhaabodha jaagrata karate sachesstta habe ebang sakala sadasya raassttra o taadera adhiinastha bhuukhannddera jaatisamuuha uttarottara jaatiiya o aantarjaatika prayaasera maadhyame ei adhikaara ebang sbaadhiinataasamuuhera saarbajaniina o kaaryakara sbiikrti aadaaya ebang yathaayatha paalana nishchita karabe.
01-00	dhaaraa 1
01-01	samasta maanussa sbaadhiinabhaabe samaana maryaadaa ebang adhikaara niye janmagrahanna kare. taandera bibeka ebang buddhi aachhe; sutaraang sakalerai eke aparera prati bhraatrtbasulabha manobhaaba niyye aacharanna karaa uchita.
02-00	dhaaraa 2
02-01	e ghossannaaya ullekhita sbaadhiinataa ebang adhikaarasamuuhe gotra, dharma, barnna, shikssaa, bhaassaa, raajanaitika baa anyabidha mataamata, jaatiiya baa saamaajika utpatti, janma, sampatti baa anya kona maryaadaa nirbishesse pratyekerai samaana adhikaara thaakabe.
02-02	kona desha baa bhuukhannddera raajanaitika, siimaanaagata baa aantarjaatika maryaadaara bhittite taara kona adhibaasiira prati konaruupa baissamya karaa habenaa; se desha baa bhuukhanndda sbaadhiinai hoka, hoka achhibhuukta, asbaayatbashaasita kingbaa saarbabhaumatbera anya kona siimaabaddhataaya biraajamaana.
03-00	dhaaraa 3
03-01	jiibana, sbaadhiinataa ebang daihika niraapattaaya pratyekera adhikaara aachhe.
04-00	dhaaraa 4
04-01	kaauke adhiinataa baa daasatbe aabaddha karaa yaabe naa. sakala prakaara kriitadaasa prathaa ebang daasabyabasaa nissiddha karaa habe.
05-00	dhaaraa 5
05-01	kaauke niryaatana karaa yaabe naa; kingbaa kaaro prati nisstthura, amaanabika baa abamaananaakara aacharanna karaa yaabe naa athabaa kaauke ehena shaasti deoyaa yaabe naa.
06-00	dhaaraa 6
06-01	aainera saamane pratyekerai byakti hisebe sbiikrti laabhera adhikaara aachhe.
07-00	dhaaraa 7
07-01	aainera chokhe sabaai samaana ebang byaktinirbishesse sakalei aainera aashraya samaanabhaabe bhoga karabe. ei ghossannaa langghana kare emana kona baissamya baa baissamya srssttira prarochanaara mukhe samaana bhaabe aashraya laabhera adhikaara pratyekerai aachhe.
08-00	dhaaraa 8
08-01	shaasanatantre baa aaine pradatta maulika adhikaara langghanera kssetre upayukta jaatiiya bichaara aadaalatera kaachha theke kaaryakara pratikaara laabhera adhikaara pratyekerai rayechhe.
09-00	dhaaraa 9
09-01	kaaukei kheyaalakhushiimata greptaara baa antariinna karaa kingbaa nirbaasana deoyaa yaabe naa.
10-00	dhaaraa 10
10-01	nijera adhikaara o daayitba nirdhaaranna ebang nijera biruddhe aaniita phaujadaari abhiyoga niruupannera janya pratyekerai puurnna samataara bhittite ekatti sbaadhiina ebang nirapekssa bichaara-aadaalate prakaashya shunaani laabhera adhikaara rayechhe.
11-00	dhaaraa 11
