00-00	kvaam paav ueatiang efn din naa viak lam ꫛ otn fu khhong lian ueahꪷb kuak
00-01	ueapian hu ecng vaa:
00-02	viak okng nyoan aueh lamm ꫛ otn fu - pueng kvian ueacꪷng piang ueabaa aueh ook khhoyo sia khhong cu hua ꫛ  kuang cua ueahn ueapian  lamm ꫛ aueh ayd tue taang ueacꪷng piang kamb oian haan ueatiang efn  din.
00-03	viak ueayoiad lueb laan kamb du ngaayo  lamm ꫛ otn fu hue paa ayp hod pueng khhu ueayoiad osyo baab lueb laan sia auec bun khhong cu fan ꫛ, viak saang etng ueamng ueatiang efn din kuang an hue fu ꫛ ayd tue taang os vaan kamb  saang hid khhong, ueabaa nyoꪰng mi  cuab pueng  khhu yoaan kua kamb ueapian taang  tun dꪷ emn laang auef auec mon sung sud khhong cu env ꫛ.
00-04	lamm ꫛ otn fu ayd faab luad ayp ec ayv aueh  cu ꫛ ueabaa ayd okhhm khhin  kamm tꪷ paang ueamng hiak vaa okhhm naab haab ueatiang.
00-05	ueapian ueacng ueac bok son viak ueayoiad ook tuem kaang ayp maa haa su tuk cu ueac ꫛ ueayoꪷn ueamng you  nueng pueng ueank lian ueahꪷb kuak kuang hian ueacng  ayd nyoan paav luang ueac khhong ueacaa ayd kvian auenyo khhong ot ꫛ - ueapian lam ꫛ otn fu tuem kaa sung aueh cu ꫛ aueh kvian nyoing caayo ueacꪷng piang etng aueh ueahian ook ecng tuem lꪰk ngon aueh baan ueamng  saang osm hong  kin luang ueayon di ueas -  tue taang ueas .
00-06	pueng ueank ueacaa ueahn ayd nyoan paav, pom kamb luang pun etng  lian ueahꪷb kuak, ueahn hued khhuen cu ꫛ hu hꪰk epng  kvian tue taang khhong luk ꫛ.
00-07	nyoan ueahian ecng pueng kvian kamb tue taang khhong lu ꫛ emn khhꪷ auenyo duang sung sud aueh viak ueayoiad piang pꪷ kuang nyoan paav  ni.
00-08	aykhh ni paang ohyo auenyo lian ueahꪷb kuak paav kvaam:
00-09	aueb paav kvaam tua ueatiang efn din viak lamm ꫛ otn fu ni  dꪷ ueapian aym ueathk taak aueh tua pueng ueank ekng aueh ueatiang kaa ueayoꪷn ueamng hu ecng ayv nam toyo luang pun etng khhong baan ueamng uealꪷng ngam hod aueb kvaam paav ni, cꪰng nyoꪷ sung viak hꪰk epng pueng kvian   kamb tue taang aueh luk ꫛ  eob hok  kaayo cian kamb bok son, kꪷ ueasng diav ueahn hued  paav ueac aueh cu ꫛ ueayoiad ueamng ueacaa ueapian ueacaa ueahn khhong lian ueahꪷb kuak you dom efn din ueamng ueacaa haak lam du ueaoaa kan khhꪰk emn kamb nam toyo pueng kvian ueapian ueacaa kamb ayd tue taang laang di pun etng auec ueamiad ehng kuang kum ueamng ueacaa hue vaa ueamng nok.
01-00	hud 1
01-01	ueatiang kaa cu ꫛ sing ook maa auef kꪷ aueh ayd tue taang kamb ueacꪷng piang toyo lam ꫛ otn fu - cu hua ꫛ auef kꪷ aueh mi kvian saang osm luang ueayoiad ꫛ kamb ueayoiad auec bun kamb ayd ueabꪷng di kamb viak hꪰk epng ueasng ueahn diav.
02-00	hud 2
