00-00	OPShTA DEKLARATSIJA O PRAVIMA ChOVJEKA
00-01	BUDUDJI da su priznavanje urodjenog dostojanstva i jednakikh i neotudjivikh prava svikh chlanova ljudske obitelji temelj slobode, pravde i mira u svijetu,
00-02	BUDUDJI da su neposhtivanje i preziranje prava chovjeka imali za posljeditsu akte, koji su grubo vrijedjali savjest chovjechanstva, i bududji da je stvaranje svijeta u kojem dje ljudska bidja uzhivati slobodu govora i vjerovanja i slobodu od strakha i nestashitse bilo proglasheno kao najvisha tezhnja obichnikh ljudi,
00-03	BUDUDJI da je bitno da prava chovjeka budu zashtidjena vladavinom prava, da chovjek ne bude primoran da kao posljednjem sredstvu pribjegne pobuni protiv tiranije i ugnjetavanja,
00-04	BUDUDJI da je bitno da se unapredjuje razvoj prijateljskikh odnosa izmedju naroda,
00-05	BUDUDJI da su narodi Ujedinjenikh natsija ponovo potvrdili u Povelji svoju vjeru u osnovna prava chovjeka, u dostojanstvo i vrijednost chovjekove osobe i u ravnopravnost mushkaratsa i zhena i poshto su odluchili da unapredjuju drushtveni napredak i bolji zhivotni standard u shiroj slobodi,
00-06	BUDUDJI da su se Drzhave Chlanitse obavezale da, u suradnji s Ujedinjenim natsijama, postignu unapredjenje opshteg poshtivanja chovjekovikh prava i osnovnikh sloboda i njikhovo odrzhavanje,
00-07	BUDUDJI da je zajednichko razumijevanje tikh prava i sloboda od najvedje vazhnosti za puno ostvarenje te obaveze,
00-08	GENERALNA SKUPShTINA PROGLAShAVA
00-09	OVU OPShTU DEKLARATSIJU O PRAVIMA ChOVJEKA kao zajednichko mjerilo postizanja za sve narode i sve drzhave radi toga da bi svaki organ drushtva, imajudji Deklaratsiju stalno na umu, tezhili da uchenjem i odgojem doprinesu poshtivanju ovikh prava i sloboda i da bi progresivnim natsionalnim i medjunarodnim mjerama osigurali njikhovo opshe i djelotvorno priznavanje i odrzhavanje, kako medju narodima samikh Drzhava Chlanitsa, tako i medju narodima onikh podruchja koja su pod njikhovom ingerentsijom.
01-00	Chlan 1.
01-01	Sva ljudska bidja radjaju se slobodna i jednaka u dostojanstvu i pravima. Ona su obdarena razumom i svijeshdju i treba da jedno prema drugome postupaju u dukhu bratstva.
02-00	Chlan 2.
02-01	Svakome su dostupna sva prava i slobode navedene u ovoj Deklaratsiji bez razlike bilo koje vrste, kao shto su rasa, boja, spol, jezik, vjera, politichko ili drugo mishljenje, narodonosno ili drushtveno porijeklo, imovina, rodjenje ili drugi pravni polozhaj.
