00-00	AKOK MEMVENDE ENYIN A MENGAN BOD
00-01	Eyon bia non na fili, sosoo ai mvoe bia so bia olugu biave ekokom mod.
00-02	Eyon bia non na fili ya nyol ai a nsisim ene dzom ya mod ose ayi, adzene fe, ai na ndimi, tege yene, ebiandi y'akar so e minsingi ai minyanda a minnam.
00-03	Eyon bia non na ngomena ayian kala enyin asu e na bod be za bam nge batibili bo.
00-04	Eyon bia non na fulu mbga etam, fulu anyan, fulu edin ndzo ene mfi asu mie bod ya minnam.
00-05	Eyon bia non na Akok Memvende Ekuan Elad Meyon amem na aluman asu na enyin bod bese etebe etu dzia.
00-06	Eyon bia non na abui minnam mbamena ai Ekuan Elad meyon mo yebe ovan ye na si ese ebaala memvende m'enyin ma.
00-07	ai na ovan te otobo mbog vom ose.
00-08	Binga yen hne na Ekuan Elad meyon y'anon Akok Memvende ya Mengan bod ane zen, ane ndzon bia yian wulu asu etie fili dzaan. Antoa na a zen te, a ndzon te nnam ose obele nkil woe, ve da, ntsogan one mbog: olugu etie mod.
01-00	Atin 1
01-01	Abiali bod bese, tege ai sesala, bene etie dzia a mis memvende y'enyin, dzom dzia etu fili nkobo, fili ntsogan, fili mboan. Ve abiali te, mod ose ayem dze ene abe, dze ene mben asu e mod mbog antoa ai mfi na enyin ewulu mezen mene sosoo.
02-00	Atin 2
02-01	Akok Memvende Enyin ane asu mod ose sesala ase ki. Fam, mininga, mbubua, ebig, Evindi, Ntanan mod ose tege ai sesala.
02-02	Mfa mbog Akok Memevende Enyin atele nnam ose etu dzia.
03-00	Atin 3
03-01	Mod ose ayian ai enyin ai e dzom y'akala enyin dzie. Mod ose akiebe ai etoa fili.
04-00	Atin 4
04-01	Mod ose ane mod. Ebi ai etibili bene eki.
05-00	Atin 5
05-01	Mod ayian ki ai tun nged.
06-00	Atin 6
06-01	Mod ose ane mod e Vom se y'ane, e vom se akwi.
07-00	Atin 7
07-01	Mvende ya bi mod ose akyae da. Mvende Y'akala fe bod bese akyae deda.
08-00	Atin 8
08-01	Mod ose abele ngul n'ake etsig ntol ya nnam woe nge adan fe kwi nala n'abe e endegele mezen ya Akok Memvende ya nnam voe l'akaman ai nye.
09-00	Atin 9
09-01	Mbole, Mekaban, ebi a fuan bine eki.
10-00	Atin 10
10-01	Mod ose ane fili, abele fe ngul asili dzos asu medzo y'enyin dzie, amu nda medzo ene engeggama.
11-00	Atin 11
11-00	Dzos ya nda medzo etam ave boban a mis mebod tege dan mvende ndo alede na mod abo evus.
11-01	Mod zin ayian ki ai endegele ntie mvende ya nnam y'ayem ki evus dzie. Ve da, ane evus ane mvende.
12-00	Atin 12
12-01	Mod abele ki na abebe enyin e mod mbog adan dan mam ya metii ai atii die. Nge mod abebe e ze enyin mvende y'abi nye.
13-00	Atin 13
13-00	A si ndon, mod ose ane ngul y'awulu mbol y'adin. Sem fe ane mod ose abele ngul atobo e vom ayi.
13-01	Mod ose abele ngul y'abole a nnam abiali woe ake tobo mfa se y'adin. Nge ki akodo e za nnam asu na adugan a nnam abiale woe.
14-00	Atin 14
14-00	Nnam enenam ene, mod ose ane ngul y'akodo ake dzen mvoe nnam mfe.
14-01	Sesala nge e mod y'akodo abele Medzo ai nnam woe nge ki na akodo mvende.
15-00	Atin 15
15-00	Mod ose abele nnam abiali abe si dzam sun ai nye.
15-01	Ve da, mod ose ane ngul ya fol nnam abiali woe.
16-00	Atin 16
16-00	A si fam ai mninga abog bekui ya bod, bebele ngul y'atindi metin m'alug ai abonde nda bod tege ai sesala - Akyae ane osusua ai amos alug, fam ai minnga bene etie dzia dzia a mis me mvende abog beman y'alug.
16-01	Metin m'alug matinban ve ai nyian fam ai minnga ya badzo na balug.
16-02	Nda bod ene tin enyin asu te memvende me nnane mebele na mekalaga dzo.
17-00	Atin 17
17-00	Mod ose ane ngul y'afug akuma yane endie, to ane etam to ki ane a nkunda.
