00-00	TAFASWIRI AN-KIBUSHI NIM-MATEKELEZO KI DUNIA NIN-HAKI-L-ADAMI
00-01	An-fahitanga amba, fikubalianga amba binadamu djabi nitirahinyi ndreka usheu ndreka haki meranga nandzari ro musingi nin-nafasi, nin-haki ndreka usalama duniani ;
00-02	An-fahitanga amba, tsifahizanga ndreka fipuzisanga haki-l-adami ro mikutsonga fanganovanga shitrendro ki katili maneitri rohu nin-umati djabi, amin’ni zenyi, fitunga nin-ulemengu mbu kuruhusu binadamu ivulanga ndreka ikwamini aminnafasi, bila tahutru wala taabu nin-ufukara, ro nikutekelezanga kirasimi, ustaarabu beheben-djabi ninhulumbelu ;
00-03	An-An- fahitanga amba, angatin’ni sharia-musingi nin-ndreu, zanatani nin-Uvumoja nin-Twaifa (Shama nin-Daula nin-Ulemengu) nikutekeleza mara hafa uaminifu nin-ndreu amin’ni haki musingi nim-binadamu ; amin’ni usheu ndreka kima ninhulu an-rohuni, amin’ni fihiranga nin-haki nin-lalahi ndreka viavi, amin’zenyi, reu nampahei amba reu nangala azima ampadeha aluha fangadzarisanga maisha nimbinadamu ndreka ampiditri an-lalanga raha mbu andei tanafu tsara am-maisha nin-nafasi nankitinyi nimbinadamu ;ahitanga amba, nikulazimu natou nguvu fihavangana bainan’ni tani ndreka tani ;
00-04	An- fahitanga amba, Daula Angatin-shama iti ndreka shama nin-Uvumoja nin-Twaifa (Shama nin-Daula nin-Ulemengu) nangala wahadi an-ndreu angaraka kabaru retu ata haki-ladami ndreka nafasi musingi ikustehinyi nankitinyi amin’ni dunia mafia ;
00-05	An- fahitanga amba, fikutruganga djumla nin-sharia ndreka nafasi retu nandzari muhimu swafi an-fikustehianga namuna kulazimu, wahadi iti ;
00-06	Trengwe djumla nampahei amba Matekelezo ki Dunia nin-Haki-l-Adami iti
00-07	ro daradja angabungabun-djabi nin-ustaarabu nikulazimu nahazu nin-kula karazanga zanatani ndreka nishani, anga binadamu djabi ndreka kula karazanga ninfikueshingandreu, ihisi Matekelezo iti daima amin’ni luhan-ndreu, anganu djitihadi amin’ni fampidzuruanga ndreka fitarimianga, ampiasa masitaha nin-sharia ndreka nafasi retu ; amin’ni zenyi, anganu modeli ata, amin’ndreu mangapiditri an-lalanga moramora-moramora satua mifotutru tani ou mifotutru dunia, reu ikutsonga ata fikubalianga ndreka fikurumianga reu iti, ike nin-ankitinyi amin’ni dunia mafiha ; rangu amin’ni zanatani nin-Daula angatin’ni Uvumoja nin-Twaifa (Shama nin-Daula nin-Ulemengu) ata an-tani amin’ni hifadhwi ni sharian-ndreu.
01-00	Kanuni aluha
01-01	Binadamu djabi nitirahinyi an-nafasi, reu bokeu miranga amin’ni usheu ndreka haki. Reu teraka ndreka akili ndreka hikima, amin’ni zenyi, reu nikulazimu nisi tweranga nin-fihavanga reu sambi reu.
02-00	Kanuni faha aroini :
