00-00	ADA ASSIMATURUSENG NASENGNGE HAK-HAK SIMULAJAJINNA PADATTA RUPA TAU
00-01	Pura ritimbang nasengnge dipattongengngi ri asengnge allebbireng napanjajie puang seuwae na hak-hak pada nappunnai manengnge salasureng padatta rupa tau ianaro simulangenna riasengnge merdeka e . Ade'e na atennangengnge tuo ri linoe.
00-02	Pura ritimbang nasengnge gau de'e nasipakalebbireng pole padatta rupa tau ianaro mancaji pangkaukang makassara najajianni maggoppo maneng accairengnge na ajapparu'e ri laleng atina rupa tau. na ri purennuangi rijajiangi seddi lino naonroi'e padatta rupa tau ye'paneddingi'e riasengnge ininnawa mappau ada tongeng na ininawa suju'e ri Puang seuwae sibawa ininnawa leppe'e pole riasengnge akkitaureng na teggennekengnge pura mancaji seddi purennuang marilaleng pole taumaegae.
00-03	Pura ritimbang nasengnge hak-hak padatta rupa tau parellu riatoro ri lalenna sure hukung'e, narekko de wedding seddi seddi tau nateru-terusi molai laleng salae na nasengnge laleng madeceng naola makkuraga pacelliri sifa' salae ye temmappakasitaue.
00-04	Pura ritimbang nasengnge sipakau ripadatta massalassureng pole seddi negara sibawa negara laingne parellu ri pamasse.
00-05	Pura ritimbang nasengnge ianaro Bangsa Bangsae pole ri asseddingenna Bangsa Bangsae na ri lalenna piagamna pura ripamasse atteprenna ri hak hak simulangenna rupa tau ri pancajie ri Puang Seuwae, ri appongeng madecenna na allebbirengna seddi seddi rupa tau, na hak hak terripasilaingeng pole makkunrai na urane'e. na pura nappettui molai addecengeng attuwongenna rilalenna kemerdekaan ye lebbi maloangnge.
00-06	Pura ritimbang nasengnge negara negara anggotae pura majjanci molai addecengeng ri lalenna penghargaanna na penghormatanna ri hak hak simulangenna padatta rupa tau na kebebasang kebebasang tongengnge na massamang najama sibawa Asseddingenna Bangsa Bangsae.
00-07	Pura ritimbang nasengnge paddisseng padae ri hak hak na kebebasangnge parellu mencaji sanreseng pole janci pura ripau'e, ianatu :
00-08	Tudang Sipulung
00-09	Ye Mappanesaengngi
00-10	Ada Assimaturusenna Hak - Hak Simulajajinna Rupa Tau
00-11	Riasengnge seddi tettongeng wassele pura naolae sininna Bangsa na Negarae ye situjue napurennuangnge sininna rupa tau ri lalenna masyaraka'e. Ada assima turuseng pura ri panjaci sanreseng , ri ala pakkuraga massappa paddissengeng ye pamasseengngi penghargaangnge ri hak hak kebebasanna rupa tau'e.
01-00	Passaleng 1
01-01	Sininna rupa tau ri jajiangngi rilinoe nappunnai manengngi riasengnge alebbireng . Nappunai riasengnge akkaleng, nappunai riasengnge ati marennni na sibole bolena pada sipakatau pada massalasureng.
02-00	Passaleng 2
02-01	Sininna rupa tau nappunnai maneng riasengnge hak na kebebasang ye tarukie ri lalenna Ada Assamaturusengnge, na degaga riasengnge mappasilaingeng appongeng, mappasilaingeng warenna uli, mappasilaingeng urane na makkunrai, mappasilaingeng bangsa, bahasa, agama na atteppereng, politik, arega mappasilaingeng assaleng ussulu bangsana , assugirenna, onro jajianna arega pangka'na.
02-02	Nasengnge degaga ripasilaingeng riasengnge sifa' politi'na, hukungna na pangka'na ri internasionale' pole negara arega kampong naonroie' seddi tau pole. Mo pole negara ye merdekae ye engkae wilaya wilaya wakkelenna,arega naparentae.
03-00	Passeleng 3
03-01	Sininna rupa tau nappunnai hak tuo ri linoe, paneddingi riasengnge attennangeng na assalamakeng ri watakkalena seddi sedddi tau.
04-00	Passaleng 4
04-01	Degaga riaseng seddi seddi tau wedding ri pancaji ata na didangkangeng topa. Nasaba ye riaseng addangkangeng ata ianatu laleng salah.
05-00	Passaleng 5
05-01	Degaga seddi tau wedding ri sessa na digaukang pappada olokoloe'.
06-00	Passaleng 6
06-01	Sininna rupa tau nappunai hak ripattongeng ri olona hukungnge nasengnge allebbireng seddi seddi tau , motega tega monro.
07-00	Passaleng 7
07-01	Sininna rupa tau nappunai hak riasengnge sanreseng hukung na de' gaga ripasilaingeng. Nappunai maneng hak pada ri sininna pangkaukang makassara na mappassae ye de'e nasituju sibawa Ada assamaturusengnge, na sininna ada salae ye pancajie appassang na akkasarakangnge.
08-00	Passaleng 8
08-01	Sininna rupa tau napunnai hak riasengnge makkuraga addecengeng ri pengadilan nasional'e molaie jamang jamang sala ye de e nasituju hak hak marilaleng ye napuwere Undang Undang Dasar na hukungnge.
09-00	Passaleng 9
09-01	Degaga seddi rupa tau wedding ri tikkeng, ri tahang na riabbiang pappada olokoloe'
10-00	Passaleng 10
10-01	Sininna rupa tau , ri passamai, nappunai hak ri paradilang adele'e na ri peradilang bebasae' na de' namatane ciwali, ri laleng ripattette riasengnge hak na kewajibang kewajibanna na rilaleng sininna tuntutanna pidana ye ripettuangngi.
11-00	Passaleng 11
11-00	Sininna rupa tau ye dituntue nasaba riaseng mappigau assalang ri hukungnge depa diaseng salah, lettu ripabuttiangngi assalanna menuru hukungnge rilalenna pengadilang ye pada naisseng maneng tauwe, naengka diarengngi jaminang napperelluangngengngi belai alena.
