00-00	VSEOBShchA DEKLARATSIYa ZA PRAVATA NA ChOVEKA
00-01	Kato vze predvid, che priznavaneto na dostoinstvoto, prisshcho na vsichki chlenove na choveshkiya rod, na tekhnite ravni i neotmenimi prava predstavlyava osnova na svobodata, spravedlivostta i mira v sveta,
00-02	Kato vze predvid, che prenebregvaneto i neuvazhavaneto na pravata na choveka dovedokha do varvarski deyaniya, koito potresokha svestta na chovechestvoto, i che szdavaneto na edin svyat, v koito khorata shche se radvat na svoboda na slovoto i ubezhdeniyata si i shche bdat svobodni ot strakh i lisheniya be provzglaseno za nai-skroveniya stremezh na choveka,
00-03	Kato vze predvid, che e neobkhodimo pravata na choveka da bdat zakrilyani ot zakona taka, che chovek da ne bde prinuzhdavan da pribyagva km bunt sreshchu tiraniyata i potisnichestvoto, kato posleden izkhod,
00-04	Kato vze predvid, che e neobkhodimo da se natsrchava razvitieto na priyatelski otnosheniya mezhdu narodite,
00-05	Kato vze predvid, che narodite na Obedinenite natsii potvrdikha v Ustava svoyata vyara v osnovnite prava na choveka, v dostoinstvoto i stoinostta na choveshkata lichnost, v ravnopravieto na mzhete i zhenite, i obyavikha svoyata reshimost da nasrchavat obshchestveniya napredk i po-dobro zhizneno ravnishche pri po-golyama svoboda,
00-06	Kato vze predvid, che drzhavite-chlenki se zadlzhikha da postignat v strudnichestvo s Organizatsiyata na Obedinenite natsii, vseobshcho uvazhenie i zachitane na pravata na choveka i negovite osnovni svobodi,
00-07	Kato vze predvid, che obshchoto razbirane na tezi prava i svobodi e ot nai-golyamo znachenie za plnoto osshchestvyavane na tozi obet,
00-08	OBShchOTO SBRANIE
00-09	provzglasyava tazi Vseobshcha deklaratsiya za pravata na choveka kato obshcha myarka, km postiganeto na koyato tryabva da se stremyat vsichki narodi i drzhavi, taka che vseki chovek i vseki organ na obshchestvoto, imaiki postoyanno predvid tazi Deklaratsiya, da se stremyat, chrez prosveta i obrazovanie, da sdeistvat za zachitane na tezi prava i svobodi i chrez posledovatelni natsionalni i mezhdunarodni merki da osiguryat tyakhnoto vseobshcho i efektivno priznavane i spazvane, kakto sred narodite i drzhavite-chlenki na Organizatsiyata, taka i sred narodite ot teritoriite, namirashchi se pod tyakhna yurisdiktsiya.
01-00	Chlen 1
01-01	Vsichki khora se razhdat svobodni i ravni po dostoinstvo i prava. Te sa nadareni s razum i svest i sledva da se otnasyat pomezhdu si v dukh na bratstvo.
02-00	Chlen 2
02-01	Vseki chovek ima pravo na vsichki prava i svobodi, provzglaseni v tazi Deklaratsiya, bez nikakvi razlichiya, osnovani na rasa, tsvyat na kozhata, pol, ezik, religiya, politicheski ili drugi vzgledi, natsionalen ili sotsialen proizkhod, materialno, obshchestveno ili drugo polozhenie.
02-02	Osven tova, nyama da se dopuskat nikakvi razlichiya, osnovani na politicheskiya, praniya ili mezhdunarodniya statut na drzhavata ili teritoriyata, km koyato chovek prinadlezhi, bez ogled na tova, dali tazi strana ili teritoriya e nezavisima, pod popechitelstvo, nesamoupravlyavashcha se ili podlozhena na kakvoto i da e drugo ogranichenie na suvereniteta.
03-00	Chlen 3
03-01	Vseki ima pravo na zhivot, svoboda i lichna sigurnost.
04-00	Chlen 4
04-01	Nikoi ne tryabva da bde drzhan v robstvo ili krepostnichestvo: robstvoto i trgoviyata s robi sa zabraneni vv vsichkite im formi.
05-00	Chlen 5
05-01	Nikoi ne tryabva da bde podlagan na iztezaniya ili na zhestoko, nechoveshko ili unizitelno tretirane ili nakazanie.
06-00	Chlen 6
06-01	Vseki chovek, kdeto i da se namira, ima pravo na priznavane na negovata pravosubektnost.
07-00	Chlen 7
