00-00	Adamuridagunt to Tagumairaguedaru Garada to Ayanuhabaun luagu le yubat haun guerigia ubauwagu
00-01	Subusewati ubauwagu, dan lan ligirun guerigia lun ladugueni le ligundan, ibihalai le yubai lun lidan dereguedaguaue, ligia lan laguechabai gudumei hadan sun iduhenu.
00-02	Subusewatiluagu, dan lan meferen lan luma mabahuedueniwa lan le yubai lun guerigia, ru lan ubafu lun afasihani, manuragunti gine saminaue ubauwagu. Ligia lichigunbai subudi lun giarabailan linuragun guerigia lidangien anufudei labu yumuraue le gadanbalin, lun luba gia lawagachun lau le aubai magundan lan, arinegalai me le uaguti lafinera;
00-03	Subusewatiluagu megeiwa tan aban lurudu lun taunigiruni sun le yubai haun guerigia, lun luba gia uala afosuruti lun laduegueni le mabusienru lubai tanagangien lurudu;
00-04	Subusewati gine luagu megeiwa lan lahimeidun umadaguaue lidan sun ubau;
00-05	Subusewati luagu, sun lan fulasu le aundarubai tidaun Ubau Uarati ruhamali hafine tuagu Garada to, mamai tichiga inebehabu hawagu iduhenu fulasurugu, ayanuha luagu le yubai lun guerigia, ru tugia me uarani lun wuegueritabu wueri ubauwagu; afinewati luagu lawansera lan me sun ubau lugundu hawiwanda me guerigia lidan ibagari richati;
00-06	Subusewati luagu, sun lan ubau le aundarubai tidaun Adamuri Lani Ubau Uarati arinegana luagu neibai lan inebehabu luagu le yubai lun guerigia aduegalai me ligundan:
00-07	Subusewati luagu, dan uara lan saminaue sigenewali, lagunfuliruba daradu:
00-08	adamuridagunt to
00-09	Tagumairaguedaru
00-10	garada to ayanuhabaun luagu le
00-11	yubathaun guerigia ubauwagu
00-12	Lun luba gia hasubudiraguedueni tila lun sun ubau, haun sun guerigia. Aban garada ichigutu adundehani haun sun mutu lun luba gia inebe lan sun saminaue le tidanbai, haucha wagia me lun taraudun tidan luban furendei, haun furumieguaruegue dandu lidan hagaira ha asibihabalun kaisi lidan sun fulasu le aubai terereha.
01-00	Saminaue 1
01-01	Sun guerigia nasiruati yuti lun, lidan uarani, lawiwanduni libagari kai le aubai labusienra, gatu gine lanagun lungua buidu hadan libegu.
