00-00	RUQ'ALAJIRISAXIK CHI RUWAeCH RONOJEL RUWACH'ULEW RI RUCH'OJIB'AL RUK'ASLEN JUN WINAeQ
00-01	Xa roma k'a ri kolotajik, ruq'atik ri tzij, chuqa' ri tik'asaes uxlanib'ael k'u'x chi ruwaech re ruwach'ulew, uxlaynaeq k'a pa ruwi' ri nimalaej ruq'ij ruk'aslen ri winaeq, chuqa' xa roma k'a ri mansachel man ewael ruch'ojib'al kik'aslen konojel ri ach'alal ri'il chi ruwaech re ruwach'ulew;
00-02	Xa roma k'a ri man etaman ta chuqa' ri man ya'on ta ruq'ij ruch'ojib'al rul'aslen jun winaeq yeb'an k'iy itzel taq b'anob'ael, nimalaej taq ch'a'oj pa ruk'u'x kik'aslen ri winaqi'; chuqa' xq'alajirisaex chi ri nimalaej rurayb'ael ri winaeq ja ri xtiril ta apo jun utzilaej k'aslen ri man jun ta chik xinb'iri'il, man jun ta chik wayjal, meb'a'il, xa xtikil ta apo jun k'aslen ri akuchi' man jun oyowal, man jun ch'a'oj rejqalen rub'ixik jun na'oj chuqa' man jun ta ch'a'oj rejqalen runimaxik ri jalajoej kuqub'ab'ael taq k'u'x;
00-03	Xa roma k'a chi yalan nimalaej rejqalen ruch'ojib'al ruk'aslen jun winaeq k'atzinel ruto'ik rik'in taqanel q'atb'ael tzij, richin k'a chi ri winaeq manaeq ta xtub'aen rajael ruk'exel roma ri tijoj poqonal chuqa' ri itzel taq b'anob'ael nuk'uel pa ruk'aslen;
00-04	Xa roma k'a yalan nimalaej rejqalen rusamajixik jun utzilaej ajowab'ael chi kikojoel ri juley chik taq ruwach'ulew;
00-05	Xa roma k'a ri Nima taq Ruwach'ulew kitzob'ajin ki' kikamlun rub'ixik kitzij chi rupan jun Taqanel Wuj ri kikuqub'ab'ael k'u'x pa ruwi' ri nimalaej taq ruch'ojib'al ruk'aslen ri winaeq, ri nimalaej ruq'ajarik chuqa' ri ruq'ij ri winaeq, chuqa' chi xa junan ruq'ij ruch'ojib'al ruk'aslen ri achin rik'in ri ixoeq, chuqa' xkipab'a' ki' chunimirisaxik ri kik'ojlen chuqa' ri rutzil kiwaech ri winaqi' pa rub'eyal jun qitzij kolotajik;
00-06	Xa roma k'a ri ruwa taq Rach'ulew Kachb'il ki' chuqa' ri Nima Moloj Ri'il kichin ri Ruwach'ulew Kitzob'ajin ki', xkipab'a' ki' chi ruchajixik ri qitzij ajowab'ael chuqa' ri qitzij ruch'ojib'al, ri qitzij rukolotajik kik'aslemal ri winaqi' chi ruwaech ri rach'ulew;
00-07	Xa roma k'a ri xa jun ta runojib'al ruk'ojlemal re ch'ojib'ael re' rik'in ri kolotajik ja ta ri' ri xtiya' ruq'ij richin ri qitzij rusamajixik re jun utzilaej samaj re';
00-08	Ri Nimalaej Moloj Ri'il nuya' rutzijol re Ruq'alajirisaxik chi Ruwaech Ronojel Ruwach'ulew re Ruch'ojib'al Ruk'aslen ri Winaeq chi xa jun ta ri kinojib'al xtikib'aen ri tinamit je' chuqa' ri ruwa taq Ruwach'ulew richin chi man xa xe ta ri winaeq pa ruyonil chuqa' ri moloj taq ri'il, xtoqa ta pa kik'u'x jantape' ri ruya'ik rutzijol rik'in ri utzilaej b'anob'ael chuqa' rik'in ri tijonik, rik'in ri rusamajixik re ch'ojib'ael re' chuqa' ri kolotajik, xa xtikichajij ta k'a ri rusamajixik re samaj re', xa eqal eqal ta k'a xtik'iy ri ruya'ik ruq'ij pa taq ruwach'ulew man xa xe ta ri pa taq kitinamit ri ruwa taq Ruwach'ulew kitzob'ajin ki' chuqa' xa xtisamajix ta ri pa taq ruwach'ulew e k'o pa taq kicholajen.
01-00	Mokaj jun (1)
01-01	Konojel ri winaqi' kan kalaxib'en pe ri kolotajik, ri junan kiq'ij, ri junan kejqalen, junan kich'ojib'al pa kik'aslen, xa achi'el k'a ri kik'ojlen, ri kinojib'al kichajin xa tik'amun k'a chi nimalaej konojel xtikajo' ki'.
