00-00	A NUCAMA SINANXUN CA AXA ANU TIMECE UNICAMAN ESAQUIN CAXA:
00-01	CAMAXUNBI CA 'UNANIA: Camabi uni ca betsibe senen 'ice quixun camaxunbi 'unance 'aish ca camabi uni, uni itsin racueocema 'janan cemei ami mananquin 'atimocena 'aish chuamarua bucuti 'icen.
00-02	CAMAXUNBI CA 'UNANIA: Camabi uni ca betsibe senen 'ice quixun sinanti 'ainbi ca an usaquin sinancema unicaman an sinancex a meu 'ice uni 'aisamaira temeramianan pae tanmiquin 'atimoia, uni rairi usoquin uni 'ati ca 'aisama 'ice quicebetanbi. Usaquin betsi uni 'ati cueenima ca camabi uni esai iti 'icen: anu nu nui cara banaia a cupi ubiocema iti, 'ianan anu nu cara sinania a cupi ubiocema 'iti, 'ianan anu cara pisa tania pianan ain cueence nu bianan uinu cara 'isa tania anu 'iabi ca betsi uni unin racueotima icen.
00-03	CAMAXUNBI CA 'UNANIA: Gobiernocaman uni upitax bucunun quixun bana meniocema 'ain temeraquin ca unicaman masa nuituquin ain 'apumibi nishi 'acananti sinanti 'icen.
00-04	CAMAXUNBI CA 'UNANIA: Camabi netenu 'ice unicama ubiocema 'aish chuamarua 'inun ca camabi netenu 'ice gobiernobe ain unicamaribi betsi gobierno 'imainun ain unicamabe nishananima upi iti 'icen.
00-05	CAMAXUNBI CA 'UNANIA: Gobiernocaman xucex timece unicaman ca upima nu 'acema 'aish ca camabi uni betsibe senen 'aish ubionancema upiti iti ice quixun sinanquin camabi uni usai 'inun 'aquinu camaxbi 'iasamaira oi upiti bucunun.
00-06	CAMAXUNBI CA 'UNANIA: Gobiernocamanribi ca caxa, camabi 'apun anece unicaman sinancesaribi oquin cananuna nunribi sinanin. Usaxun cananuna atubetan atun sinancesabi oi nun netenu 'ice unicama 'atima nu 'acema 'aish upiti bucunun 'aquinti 'ain.
00-07	CAMAXUNBI CA 'UNANIA: Camabi unicama ubiocema upiti bucunun ca camaxunbi pain ene banacama unanquin sinanti 'icen.
00-08	Gobiernocaman xucex timece unicaman ca esaquin caxa:
00-09	A NUCAMA SINANXUN CA AXA ANU TIMECE UNICAMAN ESAQUIN CAXA:
00-10	Camabi netenu 'ice unicaman: esai 'iti 'aish ca camabi uni upiti bucuti ice quixun sinanquin ca ene quiricanua nuice banacama manutimoquin sinanan an ene bana 'unancema unicamanribi upi oquin 'unanun 'unanmiti 'icen. Camabi gobiernonen ca ain netenu ice unicaman ene banacama upi oquin 'unanun 'aquinti 'icen. Camabi netenu 'ice unicaman ene banacama upi oquin 'unanun ca gobiernocama betsi gobiernobe 'aquiananti 'icen.
01-00	1.
01-01	Ui uni cara 'iti ice axbi ca betsi unibe gobiernonen iscex senen iti icen. Ui cara ain tita ain papa 'iaxa quixun sinanquinma ca gobiernonen sinancex ax betsibe senen 'icen. Camaxunbi ca sinanti 'unanin. Camaxunbi ca anu nu ati cara asabi 'icen, anu nu 'ati cara 'aisama 'ice quixun 'unanti 'icen. Usa 'ain ca camaxbi ain xucenbe 'icesaribiti nuiananti 'icen.
02-00	2.
02-01	Uinu 'ice emanu 'ice uni cara ax 'ice, ui unin aintsi cara ax 'ice, ax cara xanu 'ice, ax cara nuce bene 'ice, uisa banan cara banaia. Nucen Papa Diosmi cara sinania, ami sinanima anu nubi rabi cara sinania, ui unicamax cara 'apu 'iti ice quixun sinania, anu nu cara sinania, uisai cara ain papa ain tita 'ia, nunu cara ax 'ice, nunuma cara, usa nucama sinanquinma ca gobiernonen camabi uni nu 'atima 'acema 'aish ca betsi unibe senen ice quixun sinanti 'icen.
02-02	Uisa cara ain nete ice, a nete cupi ca uni 'atimoce 'itima 'icen.
03-00	3.
03-01	Ui unibi ca betsi unin bamamiti sinantima 'icen. Ca chiquitimoi sipuace 'itima 'icen. Ca 'atimoce 'itima 'icen.
04-00	4.
04-01	Uinu 'ice unixbi ca chiquitimoquin maruce 'itima 'icen. Uni chiquitimoquin maruxun 'ibuati 'aima iti 'icen.
05-00	5.
05-01	Uinu ice unibi ca 'aisamaira oquin uni itsin pae tanmitima 'icen. Betsi uni ami nishquin pae tanmiquin 'atimoce a ca 'itima 'icen. Nuina 'acesa oquin 'atimoce ca uni 'itima 'icen.
06-00	6.
06-01	Uinu 'ice unixa uinu cara 'ia a ca anu 'ice gobiernonen uni itsi 'acesaribi oquin sinanti 'icen, ax betsi unisaribi 'ice cupi.
07-00	7.
07-01	Uinu ice unibi, ami uni itsin upima sinanquin paranan 'atimonunma ca gobiernonen 'aquinti 'icen. Ene banacama sinanquinma ain cueences a oquin unin uni itsi atimoi ami 'esenanunma ca gobiernonen beruati 'icen.
08-00	8.
08-01	Uni nu 'atima 'acema 'icebi uni itsin 'atimoce 'ixun ca a unin an uni bana menioxunce 'apu cati 'icen. Cacexun ca menioti 'icen, gobiernonen cacesabi oquin.
09-00	9.
