00-00	mneaiaak𑄴ksa+mr𑄴 bek𑄴unor𑄴 man𑄳raakgoc𑄴
00-01	yaaiyyaanat𑄳yyaae mneai girir𑄴 bek𑄴unat𑄳yyaa𑄴 sa+m aao ttnttn𑄳yyaa𑄴 bnbn𑄳yyaa𑄴 aak𑄴ks+maanii aa𑄳aa aamana jdar𑄴 aaic𑄴jodar𑄴 mnnii halad𑄳yyaae pitiimit𑄴 sn𑄴di, sdhiinat aa𑄳aa gam𑄴 bijherar𑄴 khudhi aaibe;
00-02	yaaiyyaanat𑄳yyaae mneai aak𑄴ks+maaar𑄴 p𑄳rati aaalehan𑄴 aa𑄳aa ghinenr𑄴 phale mneaihor𑄴 aaed lc𑄴kheneai aaedok𑄳yyaa𑄴 gari aaemn𑄴 mrn dok𑄳yyaa𑄴 bedhok𑄳yyaa𑄴 km𑄴 garineai aa𑄳aa yaaiyyaanat𑄳yyaae aaedok𑄳yyaa𑄴 aaek𑄳h𑄴n𑄴 pitiimir𑄴 phuriuudineai aaajaaac𑄴 mneaihor𑄴 bega ddngar𑄴 aajh gar hayyaae, yaaiyyaanat𑄴 bek𑄴 mneaihor𑄴 dhar𑄴ma aa𑄳aa kadh kanr𑄴 ju pebk𑄴 aa𑄳aa kana rt𑄴 aao na ddoreyyaae ji+mknii kdebk𑄴;
00-03	yaaiyyaanat𑄳yyaae mneai yaa𑄳yyaaen𑄴 kl𑄴kd aao mer𑄴pdho m𑄱yyaat𑄴 begathumor𑄴 ju aaijhebe lreai gat𑄳yyaa𑄴 tidebaar𑄴 n𑄳ha han𑄴 senat𑄳yyaa𑄴 aaaainor𑄴 ssan𑄴 dineai mneaiyyaaor𑄴 aak𑄴ks+m thup𑄴 garn bega ddngar𑄴 garac;
00-04	yaaiyyaanat𑄳yyaae jdar𑄴 mat𑄴dh𑄳yyaaa ghnt𑄳yyaae jhk𑄴gari doledleai samre thnr𑄴 jugol𑄴 khmkaiai garn;
00-05	yaaiyyaanat𑄳yyaae sadas𑄳yyaaa jt𑄴un𑄴 jtisa+mghar𑄴 sanade aar+m mneaiyyaaor𑄴 aak𑄴ks+m, mneai keyyaaer𑄴 aaic𑄴jot𑄴 aao dm𑄴 aa𑄳aa mile maradar𑄴 sa+m aak𑄴ks+maaar𑄴 p𑄳rati trr𑄴 bic𑄴sec𑄴 tuli dhareneai aa𑄳aa aa𑄳ham sdhiinatr𑄴 cglt𑄴 smjik𑄴 uujonii aa𑄳aa ji+mknii calnr𑄴 uujoniir𑄴 mn𑄴 aagebt𑄳yyaa𑄴 daramara hoyyaaon𑄴;
00-06	yaaiyyaanat𑄳yyaae sadas𑄳yyaaa rej𑄳yyaaayyaani jtisa+mghar𑄴 balbal𑄴diyyaaeai mneaiaak𑄴ks+m aao aar+m sdhiinataaniir𑄴 p𑄳rati bek𑄴unat𑄳yyaa𑄴 aaic𑄴jot𑄴 brn aa𑄳aa aaedrr𑄴 damedle khmkaiai plnr𑄴 tk𑄴gari phebt𑄳yyaae aaimn𑄴-jabn𑄴 aaek𑄴jadh;
00-07	yaaiyyaanat𑄳yyaae aae sdhiinat aa𑄳aa aak𑄴ks+maanii aaek𑄳h𑄴n𑄴 aaajeaaac𑄴 tter𑄴pn aae aaimn𑄴-jamn𑄴 puro garibt𑄳yyaa𑄴 bega ddngar𑄴 km𑄴
00-08	aaedt𑄳yyaa𑄴 aaik𑄴kh𑄳yyaae
00-09	sdhran𑄴 parisat𑄴
00-10	aaeaiyyaan𑄴
00-11	mneaiaak𑄴ksa+mr𑄴 bek𑄴unor𑄴 man𑄳raakgoc𑄴
00-12	leghi niyyaaom𑄴 bneyyaaon𑄴
00-13	aae ddik𑄴lresan𑄴 bek𑄴 jti aa𑄳aa rej𑄳yyaaar𑄴 gam𑄴phalar𑄴 aaajeaaac𑄴 aaek𑄳h𑄴n𑄴 khudho aaijhebhe km𑄴 gari yaaeba, yaaiyyaanat𑄴 aaikaa𑄱 aaikaa𑄱 mnuc𑄴 aa𑄳aa samjar𑄴 aaikaa𑄱 aaikaa𑄱 herdom aae ddik𑄴lresannare nitaa𑄱 aaidot𑄴 tuli parisunan aao sighenloi𑄱 aaeai sdhiinat aao aak𑄴ks+maaniir𑄴 p𑄳rati s𑄳rat𑄴dh jgebr𑄴 ceret𑄳h𑄴 garibhe aa𑄳aa bek𑄴 sadas𑄳yyaaa rej𑄳yyaaa aao trr𑄴 dakhalii bhiidheuuunot𑄴 jt𑄴unor𑄴 aaudhouuut𑄳yyaae jtiiyyaaa aao god pitiimit𑄴 ceret𑄳h𑄴r𑄴 mt𑄴dhame aaeai aak𑄴ks+m aa𑄳aa sdhiinataanii bek𑄴unor𑄴 aao gunot𑄴 lghe  pr km𑄴 garilan aa𑄳aa se kmn𑄴 gamedleai pln𑅁
01-00	dhr 1
01-01	bek𑄴 mnuc𑄴 niribhili sa+m aaic𑄴jot𑄴 aa𑄳aa aak𑄴ks+m nineai jan𑄴mn𑄴𑅁 trr𑄴 aaed aa𑄳aa but𑄴dhi aaghe; senat𑄳yyaa𑄴 bek𑄴unar𑄴 aaek𑄴jan𑄴 aarek𑄴 janar𑄴 p𑄳rati gam𑄴 dol𑄴 cid𑄳yyaae nineai caln uucit𑄴𑅁
02-00	dhr 2
02-01	aae leghi kayyaae degeyyaae sdhiinat aa𑄳aa aak𑄴ksa+mr𑄴 gutii, dhar𑄴ma, bar𑄴na, sik𑄴kh, bhc𑄴, rjanitik𑄴 b nnk𑄳h𑄴n𑄴 mat𑄴, jtiiyyaa𑄴 b smjik𑄴 phuriuut𑄳yyaa𑄴, jan𑄴ma, sam𑄴patii b aaan𑄳yyaaa kana aaic𑄴jot𑄴 bc𑄴bijer𑄴 chr bek𑄴une sa+m aak𑄴ks+m theba𑅁
02-02	kana dec𑄴 ba mdibhider𑄴 rjanitik𑄴, simine b pitiimir𑄴 aaic𑄴joda uuugure tr𑄴 kana aaadhibsiir𑄴 p𑄳rati kanaragam𑄴 terac𑄴 merac𑄴 gar na haba; se dec𑄴 b mdibhide sdhiin𑄴 hok𑄴, hok𑄴 aaachibhukaa, aaasyyaaitaassita ki+mb sr𑄴babhaumataar𑄴 aaan𑄳yyaaa kana siminer𑄴 bhidire𑅁
03-00	dhr 3
03-01	ji+mkni, sdhiinat aa𑄳aa keyyaae rak𑄴khet𑄳yyaa𑄴 bek𑄴unor𑄴 aak𑄴ks+m aaghe𑅁
04-00	dhr 4
04-01	krare aamanatale b kmat𑄳yyaa𑄴 bn𑄳hi rgh yaaeda nayyaa𑄴𑅁 bek𑄴 dharanar𑄴 km𑄴kdeyyaae aa𑄳aa gbur𑄴gareyyaae bepr𑄴 bhac𑄴 neyaa haba𑅁
05-00	dhr 5
05-01	krare mr𑄴pit𑄴 gar na yaaeba; ki+mb krar𑄴 p𑄳rati aadnii, aaamneaiyyaaor𑄴 b aaagamnar𑄴 kadhbt𑄳h𑄴 k𑄳ha na yaaeba aa𑄳aa krare aaedok𑄳yyaa𑄴 sc𑄴ti diyyaa na yaaeba𑅁
06-00	dhr 6
06-01	aaaainor𑄴 muju+myyaae bek𑄴un𑄴 mnuc𑄴 aaiyaaebhe aaijhep𑄴 hobhr𑄴 aak𑄴ks+m aaghe𑅁
07-00	dhr 7
07-01	aaaainor𑄴 cogot𑄴 bek𑄴une sa+m aa𑄳aa bek𑄴 mnuc𑄴 sabur𑄳ha𑄱𑄱 bek𑄴une aaaainor𑄴 aac𑄴s𑄳rayyaa𑄴 sa+mgari phebk𑄴𑅁 aaeai leghi kayyaae kadhghn𑄴 na mni aaemen𑄴 kana uuno b duno phragar𑄴 km𑄴 gari sa+m gari aac𑄴s𑄳rayyaa𑄴 lbhar𑄴 aak𑄴ks+m bek𑄴unar𑄴 aaghe𑅁
08-00	dhr 8
08-01	ssan𑄴tat𑄳re b aaaaine diyyaa aar+m aak𑄴ks+m na mnile sak𑄳yyaa𑄴 yaaadebade jtiiyyaa𑄴 bijer𑄴 aadladat𑄴un𑄴 gam𑄴 dol𑄴 km𑄴 phebt𑄳yyaa𑄴 bek𑄴unar𑄴 aak𑄴ks+m rayyaae𑅁
09-00	dhr 9
09-01	krare yaaak𑄳yyaa𑄴sak𑄳yyaa𑄴 bni nejn b bniithan ki+mb rej𑄳yyaaa chr gar na yaaeba𑅁
10-00	dhr 10
10-01	aamanar𑄴 aak𑄴ks+m aao km𑄴 knt𑄴 tuliden aa𑄳aa aamanar𑄴 mane na kaneai aan𑄳yyaa𑄴 phaujadri nlic𑄴 mbibet𑄳yyaa𑄴 bek𑄴unor𑄴 puro sa+m gari aaek𑄳h𑄴n𑄴 sdhiin𑄴 aa𑄳aa nirapek𑄴kha bijer𑄴-aadladat𑄴 p𑄳raks𑄳yyaaa sunni sebr𑄴 aak𑄴ks+m rayyaae𑅁
11-00	dhr 11
11-00	sc𑄴tidibr𑄴 aaabardhe dujii hale bek𑄴 mnujor𑄴 aamanapakaa bal𑄴den khmkaiai aak𑄴ks+mhayyaae aaek𑄳h𑄴n𑄴 p𑄳raks𑄳yyaaa aadladat𑄴 aaaain𑄴aaanusre duc𑄴 dhuri na phn sa+m nir𑄴duc𑄴 kanr𑄴 aak𑄴ks+m theba𑅁
11-01	krare aaedok𑄳yyaa𑄴 kana km𑄴 b bhulot𑄳yyaa𑄴 sc𑄴tir𑄴 aaabardhe dujii k𑄳ha na yaaeba, yaae km𑄴 b bhul𑄴 hanr𑄴 samayyaa𑄴 jtiiyyaaa b pitiimir𑄴 aaaaine dan𑄴ddaniiyyaa𑄴 aaabart𑄴 na aaela𑅁 sc𑄴tidiber𑄴 aaabart𑄴 hanr𑄴 samayyaa𑄴 yaae sc𑄴ti phebr𑄴 aaela, tt𑄴un𑄴 bajamn𑄴 ddngar𑄴 sc𑄴ti diyyaa na yaaeba𑅁
12-00	dhr 12
12-01	kra nijor𑄴 gopan𑄴 ki+mb tr𑄴 gharar𑄴, giri aao cidhipdir𑄴 aaic𑄳yyaa𑄴mata jiyyaan𑄴pai garn ki+mb tr𑄴 sunm𑄴 aao  aaic𑄴joda uurure pire phude pr gar na caliba𑅁 aae bbat𑄳yyaa𑄴 jiyyaan𑄴pai garn b pirepnr𑄴 pic𑄴siyyaan𑄴di aaaainor𑄴 aac𑄴s𑄳rayyaa𑄴 lbhar𑄴 aak𑄴ks+m bek𑄴unor𑄴 rayyaae𑅁
13-00	dhr 13
13-00	aamanar𑄴 rej𑄳yyaaar𑄴 cerahit𑄳yyaa𑄴di sdhin𑄴bhbe larcar aa𑄳aa thebt𑄳yyaa𑄴 aak𑄴ks+m bek𑄴unor𑄴 rayyaae𑅁
13-01	bek𑄴unor𑄴 aamanar𑄴 dec𑄴sumut𑄴do yaae kana dec𑄴 chrijn aa𑄳aa aamanadejat𑄴 phiri aaejnr𑄴 aak𑄴ks+m rayyaae𑅁
14-00	dhr 14
14-00	mr𑄴pidot𑄴un𑄴 rak𑄴khe pebt𑄳yyaa𑄴 nnk𑄳h𑄴n𑄴 dejat𑄴 aas𑄳rayyaa𑄴 p𑄳rr𑄴than garn aa𑄳aa se dejar𑄴 aas𑄳rayyaae thnr𑄴 aak𑄴ks+m bek𑄴unar𑄴 rayyaae𑅁
14-01	aaarjanitik𑄴 aaabart𑄴 aa𑄳aa jtisa+mghar𑄴 uudic𑄳yyaae aa𑄳aa muul𑄴niitir𑄴 bengkang kmat𑄴un𑄴 gec𑄴siyyaak𑄴gari phuri uut𑄳yyaa𑄴 nlijor𑄴 lage aae aak𑄴ks+m p𑄳rr𑄴than na garn yaaeai pre𑅁
15-00	dhr 15
15-00	bek𑄴unor𑄴 aaek𑄳h𑄴n𑄴 jtiiyyaaatr𑄴 aak𑄴ks+m rayyaae𑅁
15-01	krare yaaak𑄳yyaa𑄴sak𑄳yyaa𑄴 jiyyaan𑄴 manehayyaa𑄴 tr𑄴 jtiiyyaaatt𑄴un𑄴 bhk𑄴 nadent𑄴un𑄴 bt𑄴 diyyaa na yaaeba, ki+mb kra jtiiyyaaat lrebr𑄴 aak𑄴ks+m bt𑄴 diyyaa na yaaeba𑅁
16-00	dhr 16
16-00	dhar𑄴ma, gutii aao jti bek𑄴une buro bayyaaajar𑄴 marat𑄴miler𑄴 mel gar aa𑄳aa giri bnebr𑄴 aak𑄴ks+m rayyaae𑅁 mel, negamogor𑄴jii+mknii aa𑄳aa nek𑄴mok𑄴 srsri d𑄳yyaaedi trr𑄴 sa+m aak𑄴ks+m theba𑅁
16-01	melt𑄴 mun𑄴juk𑄴 marat𑄴miler𑄴 sdhiin𑄴 aa𑄳aa puro aa𑄳hi puran hal𑄳he t𑄳yyaae mel km𑄴 thum𑄴 haba𑅁
16-02	giri halad𑄳yyaae samjar𑄴 aaajeaaac𑄴 aa𑄳aa aar+m gutii-aaekak𑄴, senat𑄳yyaae samc𑄴 aao rej𑄳yyaaat𑄴un𑄴 nirpat𑄳h𑄴 lbhar𑄴 aak𑄴ks+m rayyaae𑅁
17-00	dhr 17
17-00	bek𑄴unar𑄴 gai aa𑄳aa aaan𑄳yyaaajanar𑄴 samre milineai mili sam𑄴patiir𑄴 mlik𑄴 habr𑄴 aak𑄴ks+m aaghe𑅁
17-01	krare yaaak𑄳yyaa𑄴sak𑄳yyaa𑄴 jingiri singiri tr𑄴 sam𑄴patiiun𑄴 bt𑄴 diyyaa na yaaeba𑅁
18-00	dhr 18
18-01	bek𑄴unar𑄴 dhar𑄴ma, aaed aao cid𑄳yyaae sdhiinatyyaa𑄴 aak𑄴ks+m rayyaae𑅁 aae aak𑄴ks+m samre dhar𑄴ma b bic𑄴sec𑄴 badalnr𑄴 aak𑄴ks+m aa𑄳aa aaeai samre, degepr b mure mure, gai b aaan𑄳yyaaar𑄴 samre milineai, sik𑄴khedn𑄴, lr𑄴cr𑄴, dhiyyaan𑄴 garn b plebr𑄴 mt𑄴dhame dhar𑄴ma b bic𑄴sec𑄴 garibr𑄴 aak𑄴ks+maao aaiyyaaot𑄴 theba𑅁
19-00	dhr 19
19-01	bek𑄴unar𑄴 mat𑄴 dibr𑄴 aa𑄳aa mat𑄴 phagad+mngir𑄴 sdhiinatyyaa𑄴 aak𑄴ks+m rayyaae𑅁 aaagur𑄴 mat𑄴 didr𑄴 aa𑄳aa rej𑄳yyaaar𑄴 simine cauhitii yaae kana mt𑄴dhame khabar𑄴 pn dok𑄳yyaa𑄴 aa𑄳aa tataa𑄱 gepan𑄴, lan aao aaudholan sdhiinataao aae aak𑄴ks+maaar𑄴 mat𑄴dh𑄳yyaa pare𑅁
20-00	dhr 20
20-00	bek𑄴unar𑄴 sn𑄴tipunaa𑄱 khalt𑄴 aaejn aao samiti garnr𑄴 sdhiinatyyaa𑄴 aak𑄴ks+m rayyaae𑅁
20-01	krare kana jadhjat𑄳yyaa𑄴 hant𑄴 bale jor𑄴 gar yaaeda nayyaa𑄴𑅁
21-00	dhr 21
21-00	nije nije b aaabhedar𑄴 bjilan mnuc𑄴janar𑄴 mt𑄴dhame aamana dejar𑄴 ssan𑄴 pariclanyyaa𑄴 aaa+msag𑄳rahan𑄴 aak𑄴ks+m bek𑄴unar𑄴 rayyaae𑅁
21-01	aamanar𑄴 dejar𑄴 sar𑄴krii cguriit𑄴 sa+m ju phebr𑄴 aak𑄴ks+m bek𑄴unar𑄴 rayyaae𑅁
