00-00	VSEOBECNA DEKLARACE LIDSKYCH PRAV
00-01	U vedomi toho,
00-02	ze uznani prirozene dustojnosti a rovnych a nezcizitelnych prav clenu lidske rodiny je zakladem svobody, spravedlnosti a miru ve svete,
00-03	ze zneuznani lidskych prav a pohrdani jimi vedlo k barbarskym cinum, urazejicim svedomi lidstva, a ze vybudovani sveta, ve kterem lide, zbaveni strachu a nouze, se budou tesiti svobode projevu a presvedceni, bylo prohlaseno za nejvyssi cil lidu,
00-04	ze je nutne, aby lidska prava byla chranena zakonem, nema-li byt clovek donucen uchylovat se, kdyz vse ostatni selhalo, k odboji proti tyranii a utlaku,
00-05	ze je nutne podporovat rozvoj pratelskych vztahu mezi narody,
00-06	ze lid Spojenych narodu zduraznil v Charte znovu svou viru v zakladni lidska prava, v dustojnost a hodnotu lidske osobnosti, v rovna prava muzu i zen a ze se rozhodl podporovat socialni pokrok a vytvorit lepsi zivotni podminky ve vetsi svobode,
00-07	ze clenske staty prevzaly zavazek zajistit ve spolupraci s Organizaci spojenych narodu vseobecne uznavani a zachovavani lidskych prav a zakladnich svobod a
00-08	ze stejne chapani techto prav a svobod ma nesmirny vyznam pro dokonale splneni tohoto zavazku,
00-09	Valne shromazdeni
00-10	vyhlasuje tuto
00-11	Vseobecnou deklaraci lidskych prav
00-12	jakozto spolecny cil pro vsechny narody a vsechny staty za tim ucelem, aby se kazdy jednotlivec a kazdy organ spolecnosti, maje tuto deklaraci stale na mysli, snazil vyucovanim a vychovou rozsirit uctu k temto pravum a svobodam a zajistil postupnymi opatrenimi vnitrostatnimi i mezinarodnimi jejich vseobecne a ucinne uznavani a zachovavani jak mezi lidem clenskych statu samych, tak i mezi lidem uzemi, jez jsou pod jejich pravomoci.
01-00	Clanek 1
01-01	Vsichni lide rodi se svobodni a sobe rovni co do dustojnosti a prav. Jsou nadani rozumem a svedomim a maji spolu jednat v duchu bratrstvi.
02-00	Clanek 2
02-01	Kazdy ma vsechna prava a vsechny svobody, stanovene touto deklaraci, bez jakehokoli rozlisovani, zejmena podle rasy, barvy, pohlavi, jazyka, nabozenstvi, politickeho nebo jineho smysleni, narodnostniho nebo socialniho puvodu, majetku, rodu nebo jineho postaveni.
02-02	Zadny rozdil nebude dale cinen z duvodu politickeho, pravniho nebo mezinarodniho postaveni zeme nebo uzemi, k nimz urcita osoba prislusi, at jde o zemi nebo uzemi nezavisle nebo pod porucenstvim, nesamospravne nebo podrobene jakemukoli jinemu omezeni suverenity.
03-00	Clanek 3
03-01	Kazdy ma pravo na zivot, svobodu a osobni bezpecnost.
04-00	Clanek 4
04-01	Nikdo nesmi byt drzen v otroctvi nebo nevolnictvi; vsechny formy otroctvi a obchodu s otroky jsou zakazany.
05-00	Clanek 5
05-01	Nikdo nesmi byt mucen nebo podrobovan krutemu, nelidskemu nebo ponizujicimu zachazeni nebo trestu.
06-00	Clanek 6
06-01	Kazdy ma pravo na to, aby byla vsude uznavana jeho pravni osobnost.
07-00	Clanek 7
07-01	Vsichni jsou si pred zakonem rovni a maji pravo na stejnou ochranu zakona bez jakehokoli rozlisovani. Vsichni maji pravo na stejnou ochranu proti jakekoli diskriminaci, ktera porusuje tuto deklaraci, a proti kazdemu podnecovani k takove diskriminaci.
08-00	Clanek 8
08-01	Kazdy ma pravo, aby mu prislusne vnitrostatni soudy poskytly ucinnou ochranu proti cinum porusujicim zakladni prava, ktera jsou mu priznana ustavou nebo zakonem.
09-00	Clanek 9
09-01	Nikdo nesmi byt svevolne zatcen, drzen ve vazbe nebo vyhosten do vyhnanstvi.
10-00	Clanek 10
10-01	Kazdy ma uplne stejne pravo, aby byl spravedlive a verejne vyslechnut nezavislym a nestrannym soudem, ktery rozhoduje bud o jeho pravech a povinnostech, nebo o jakemkoli trestnim obvineni vznesenem proti nemu.
11-00	Clanek 11
11-00	Kazdy, kdo je obvinen z trestneho cinu, povazuje se za nevinneho, dokud neni zakonnym postupem prokazana jeho vina ve verejnem rizeni, v nemz mu byly zajisteny veskere moznosti obhajoby.
11-01	Nikdo nesmi byt odsouzen pro cin nebo opomenuti, ktere v dobe, kdy byly spachany, nebyly trestne podle statniho nebo mezinarodniho prava. Rovnez nesmi byt ulozen trest tezsi, nez jakeho bylo lze pouzit v dobe, kdy byl trestny cin spachan.
12-00	Clanek 12
12-01	Nikdo nesmi byt vystaven svevolnemu zasahovani do soukromeho zivota, do rodiny, domova nebo korespondence, ani utokum na svou cest a povest. Kazdy ma pravo na zakonnou ochranu proti takovym zasahum nebo utokum.
13-00	Clanek 13
13-00	Kazdy ma pravo volne se pohybovat a svobodne si volit bydliste uvnitr urciteho statu.
13-01	Kazdy ma pravo opustit kteroukoli zemi, i svou vlastni, a vratit se do sve zeme.
14-00	Clanek 14
14-00	Kazdy ma pravo vyhledat si pred pronasledovanim utociste v jinych zemich a pozivat tam azylu.
14-01	Toto pravo nelze uplatnit v pripade stihani skutecne oduvodneneho nepolitickymi zlociny nebo ciny, ktere jsou v rozporu s cili a zasadami Spojenych narodu.
15-00	Clanek 15
15-00	Kazdy ma pravo na statni prislusnost.
15-01	Nikdo nesmi byt svevolne zbaven sve statni prislusnosti ani prava svou statni prislusnost zmenit.
16-00	Clanek 16
16-00	Muzi a zeny, jakmile dosahnou plnoletosti, maji pravo, bez jakehokoli omezeni z duvodu prislusnosti rasove, narodnostni nebo nabozenske, uzavrit snatek a zalozit rodinu. Pokud jde o manzelstvi, maji za jeho trvani i pri jeho rozvazani stejna prava.
16-01	Snatky mohou byt uzavreny jen se svobodnym a plnym souhlasem nastavajicich manzelu.
16-02	Rodina je prirozenou a zakladni jednotkou spolecnosti a ma narok na ochranu ze strany spolecnosti a statu.
17-00	Clanek 17
17-00	Kazdy ma pravo vlastnit majetek jak sam, tak spolu s jinymi.
17-01	Nikdo nesmi byt svevolne zbaven sveho majetku.
18-00	Clanek 18
18-01	Kazdy ma pravo na svobodu mysleni, svedomi a nabozenstvi; toto pravo zahrnuje v sobe i volnost zmenit sve nabozenstvi nebo viru, jakoz i svobodu projevovat sve nabozenstvi nebo viru, sam nebo spolecne s jinymi, at verejne nebo soukrome, vyucovanim, provadenim nabozenskych ukonu, bohosluzbou a zachovavanim obradu.
19-00	Clanek 19
19-01	Kazdy ma pravo na svobodu presvedceni a projevu; toto pravo nepripousti, aby nekdo trpel ujmu pro sve presvedceni, a zahrnuje pravo vyhledavat, prijimat a rozsirovat informace a myslenky jakymikoli prostredky a bez ohledu na hranice.
20-00	Clanek 20
20-00	Kazdemu je zarucena svoboda pokojneho shromazdovani a sdruzovani.
20-01	Nikdo nesmi byt nucen, aby byl clenem nejakeho sdruzeni.
21-00	Clanek 21
21-00	Kazdy ma pravo, aby se ucastnil vlady sve zeme primo nebo prostrednictvim svobodne volenych zastupcu.
21-01	Kazdy ma pravo vstoupit za rovnych podminek do verejnych sluzeb sve zeme.
21-02	Zakladem vladni moci budiz vule lidu; ta musi byt vyjadrena spravne provadenymi volbami, ktere se maji konat v pravidelnych obdobich na zaklade vseobecneho a rovneho hlasovaciho prava tajnym hlasovanim nebo jinym rovnocennym postupem, zabezpecujicim svobodu hlasovani.
22-00	Clanek 22
22-01	Kazdy clovek ma jako clen spolecnosti pravo na socialni zabezpeceni a narok na to, aby mu byla narodnim usilim i mezinarodni soucinnosti a v souladu s organizaci a s prostredky prislusneho statu zajistena hospodarska, socialni a kulturni prava, nezbytna k jeho dustojnosti a k svobodnemu rozvoji jeho osobnosti.
23-00	Clanek 23
23-00	Kazdy ma pravo na praci, na svobodnou volbu zamestnani, na spravedlive a uspokojive pracovni podminky a na ochranu proti nezamestnanosti.
23-01	Kazdy, bez jakehokoli rozlisovani, ma narok na stejny plat za stejnou praci.
23-02	Kazdy pracujici ma pravo na spravedlivou a uspokojivou odmenu, ktera by zajistovala jemu samemu a jeho rodine zivobyti odpovidajici lidske dustojnosti a ktera by byla doplnena, kdyby toho bylo treba, jinymi prostredky socialni ochrany.
23-03	Na ochranu svych zajmu ma kazdy pravo zakladat s jinymi odborove organizace a pristupovat k nim.
24-00	Clanek 24
24-01	Kazdy ma pravo na odpocinek a na zotaveni, zejmena take na rozumne vymezeni pracovnich hodin a na pravidelnou placenou dovolenou.
25-00	Clanek 25
25-00	Kazdy ma pravo na takovou zivotni uroven, ktera by byla s to zajistit jeho zdravi a blahobyt i zdravi a blahobyt jeho rodiny, pocitajic v to zejmena vyzivu, satstvo, byt a lekarskou peci, jakoz i nezbytna socialni opatreni; ma pravo na zabezpeceni v nezamestnanosti, v nemoci, pri nezpusobilosti k praci, pri ovdoveni, ve stari nebo v ostatnich pripadech ztraty vydelecnych moznosti, nastale v dusledku okolnosti nezavislych na jeho vuli.
25-01	Materstvi a detstvi maji narok na zvlastni peci a pomoc. Vsechny deti, at manzelske nebo nemanzelske, pozivaji stejne socialni ochrany.
26-00	Clanek 26
26-00	Kazdy ma pravo na vzdelani. Vzdelani necht je bezplatne, alespon v pocatecnich a zakladnich stupnich. Zakladni vzdelani je povinne. Technicke a odborne vzdelani budiz vseobecne pristupne a rovnez vyssi vzdelani ma byt stejne pristupne vsem podle schopnosti.
26-01	Vzdelani ma smerovat k plnemu rozvoji lidske osobnosti a k posileni ucty k lidskym pravum a zakladnim svobodam. Ma napomahat k vzajemnemu porozumeni, snasenlivosti a pratelstvi mezi vsemi narody a vsemi skupinami rasovymi i nabozenskymi, jakoz i k rozvoji cinnosti Spojenych narodu pro zachovani miru.
26-02	Rodice maji prednostni pravo volit druh vzdelani pro sve deti.
27-00	Clanek 27
27-00	Kazdy ma pravo svobodne se ucastnit kulturniho zivota spolecnosti, uzivat plodu umeni a podilet se na vedeckem pokroku a jeho vytezcich.
27-01	Kazdy ma pravo na ochranu moralnich a materialnich zajmu, ktere vyplyvaji z jeho vedecke, literarni nebo umelecke tvorby.
28-00	Clanek 28
28-01	Kazdy ma pravo na to, aby vladl takovy socialni a mezinarodni rad, ve kterem by prava a svobody stanovene v teto deklaraci byly plne uplatneny.
29-00	Clanek 29
29-00	Kazdy ma povinnosti vuci spolecnosti, v niz jedine muze volne a plne rozvinout svou osobnost.
