00-00	PORAUSENAPAN AN ARAMAS RAIT
00-01	Pokiten kich mei sinei pwe popunapen pung me kinamwe non fonufan a popuseni ukukun ach miriti nonnofengenin an aramas meinisin rait,
00-02	Pokiten a fen fis chommong fitikoko ren an akkaemon aramas atai an pwan ekkoch aramas rait nge kich mi fen sinei pwe aramasen unusen fonufan mi wesewesen mochen pwe repwe kinamwe non ar kewe rait,
00-03	Pokiten mi auchea an aramas rait me non annuk an esap wor ariaffou are an esap wor emon epwe ariaffoua pwan emon,
00-04	Poikiten mi fakkun namot an mu me mu repwe tongofengen,
00-05	Pokiten mu meinisin non United Nations ra affata me non nour we Charter usun ar nuku pwe mei wor popunapen an aramas meinisin rait, o mi wor namoten an epwe nonnofengen chok an aramas meinisin rait, mwan fengen me fefin, fan iten an epwe wor tipeeu pun epwe wor kinamwe,
00-06	Pokiten mu meinisin ra fen en me pon pwe repwe ansi ewe mwichen United Nations ne asinengeni unusen fonufan usun angangen are napanapen an aramas rait,
00-07	Pokiten mi wesewesen ennetin auchea an aramas repwe wesewesen sinei me miriti ekkei rait,
00-08	Iei Popun,
00-09	EWE GENERAL ASSEMBLY
00-10	A Asinengeni Kich
00-11	EI PORAUSENAPAN AN ARAMAS RAIT pwe epwe fis pwe eu anen an aramas meinisin repwe annomu non ar ekiek iteiten fansoun meinisin, nupwen ar asukun, are nupwen ar angang ekis meinisin non eu fonu are no unusen fonufan, pwe emon me emon, fonu me fonu, are mu me mu repwe miriti o repwe fori pungun pusin nefiner fengen non ewe United Nations are ar repwe pwan fori pungun ngeni ekkewe fonu ni nom fan tumunuen United Nations.
01-00	Tetten 1.
01-01	Esap wor och mettoch epwe appeti aramas seni fansoun ar uputiu non ar tufich me rait. Ar ekiek epwe mecheres o esap pet ren och sakkun mettoch pun ir repwe nonnomfengen non kinamwe o pwipwi annim.
02-00	Tetten 2.
02-01	Emon me emon epwe eani ekkei rait o epwe pwan uri mecheresin met mi mak non ei PORAUS, esap wor akinimumu ren och sakkum mettoch, ren anuen unuchcher are pokiten ir mwan are fefin, esap wor nifinifin rer pokiten kapasen fonuer, ar namanam, mefien netiper meinisin, ar newo me pisekir, tori fansoun me nenien are uputiu, are ren chok och sakkun napanaper.
02-02	Esap nifinifin ngeni emon aramas pokiten akinikin nefinen mu me mu are fonu me fonu ren och sakkun mefien ewe fonu, ren aukukun nemenian are tettenin me nein fonu meinisin non fonufan; ese nifinifin ika ewe fonu ni uta non mun, mei nom fan nemenien eu mu, are ika ewe fonu ese tongeni pusin uta non an nemenem.
03-00	Tetten 3.
03-01	Emon me emon aramas mei wor an rait an epwe manaw, tufich me kinamwe.
04-00	Tetten 4.
04-01	Esap wor emon epwe angang mwan o esap wor emon epwe tongeni nouni amanaw pwan emon aramas; esap tongeni tufich an emon epwe nounmwani emon aramas chon angang ika ese atoou niwinin, o esap tongeni tufich an emon epwe amomo are kamo aramas pwe noun amanaw.
05-00	Tetten 5.
05-01	Esap wor emon epwe ariaffouu are echchimwa emon, are esap wor emon epwe angei niwinin an fofforungaw non ekkoch napanap epwe usun chok napanapen man.
06-00	Tetten 6.
06-01	Ekis meinisin mei wor an emon aramas rait an epwe wor ekiekin non pungun aototen annuk.
07-00	Tetten 7.
07-01	Aramas meinisin mi nonnofengen chok rer annuk, iwe emon me emon epwe wor tumunun fan nurun annuk. Meinisin epwe wor tumunur ren an esap wor akinikin ngenir ika emon a atai pungun ei Poraus ngenir. Emon mi tongeni tipis ika a fori angangen akinikin nge mi ataeno pungun ei annuk.
08-00	Tetten 8.
08-01	Emon mi wor an rait an epwe wor chon anisi non kapung fan iten an ekkoch napanap ataeno pungun an rait usun mi mumu ngeni non ei annuk.
09-00	Tetten 9.
09-01	Esap fakkun wor emon aramas epwe ares, kanupus are katoou (exile) seni fonu ika pwe ese fateoch popun.
10-00	Tetten 10.
10-01	Aramas meinisin repwe chok nonnofengen non an epwe mumu ngeni emon me emon punguochchun are wenecharen kapung fansoun kutten pungun an emon rait me pungun wisan o pwan fansoun kutten an emon itingeni och tipis.
11-00	Tetten 11.
11-01	Fansoun an pur kapasen och tipis won emon, mei wor an rait an aramas meinsin repwe mefi pwe ese fori ewe tipis tori an epwe pwano me non kapung pwe a wesewesen tipis, nge akkom epwe wor chon peni me non ewe kapung.
11-02	Esap wor emon epwe tongeni tipis ren och sakkun foffor ika pwe ese sinei pwe mei ngaw ewe foffor a fori, non annukun eu fonu are fen non annukun unusen fonufan, fansoun a fori ewe foffor. Esap wor och niwinin tipis epwe nap seni ewe sakkun pinasen tipis mei mak non ewe chok fansoun a fis eu foffor.
12-00	Tetten 12.
12-01	Esap wor emon epwe tongeni atai an emon rait ren metochchun mi momomon, ren an famini, ren nenian, are ren porausen noun taropwe o esap pwan wor emon epwe atamwanieno sufenin itochchun emon ika ese fateoch popun.
13-00	Tetten 13.
13-01	Emon me emon mei wor an rait an epwe mokut fetan are nonnom non kinikinin eu me eu fonu.
13-02	Emon me emon mi wor an rait an epwe pusin tou seni eu fonu are seni pusin fonuan, o mi pwan wor an rait an epwe pwan pusin niwinsefaniti fonuan.
14-00	Tetten 14.
14-01	Emon me emon mi wor rait an epwe suno won ekkoch fonu pwe epwe tongeni wor an kinamwe seni sakkun ariaffoun non fonuan.
14-02	Ei rait esap tongeni amanawa emon fansoun an kapung ren och fofforungaw ese nom non pungun eu neni (non-political crimes) are esap pwan tongeni amanawa ren sakkun foffor mi u ngeni pungun me annukun United Nations.
15-00	Tetten 15.
15-01	Emon me emon mei wor an rait an epwe wor fonu (mu) epwe mak i.e.
15-02	Esap wor emon epwe tongeni aweiresi emon seni ewe fonu (mu) a mak non, o esap wor emon epwe pinei emon ika a mochen siwini fonuan (neni a mak ie).
16-00	Tetten 16.
16-01	Mwan me fefin, fansoun a tori ierir, mei wor ar rait ar repwe puppunu o fori ar famini, ese nifinifin anuen unuchcher, fonuer, are ar namanam. Nonnofengen chok ar rait non ar puppunu (fansoun ar puppunu, are pwan fansoun ar mufesen.
16-02	Puppunu epwe fis fansoun chok ruomon ra pusin finata pwe ra fakkun tipeeufengen ar repwe puppunu.
16-03	Famini wesewesen popunapen tettenin mwichen aramas o mei wor an eu famini rait an epwe wor tumunun meren mwichen aramas pwan meren fonu.
17-00	Tetten 17.
17-01	Mei wor an emon me emon rait an epwe pusin akkanaemon chok won pisekin are pwan an epwe chngeni ekkoch won och pisek.
17-02	Esap wor emon epwe pinepin seni pusin pisekin ika esa fateoch popun.
18-00	Tetten 18.
18-01	Mei wor an emon rait won pusin an ekiek, an mefi me an namanam; mei pachenong non ei rait an emon epwe siwini an namanam me an pusin nuku o mei pwan wor an emon pusin rait non an akkanaemon are fitifiengen me chienan an epwe pwarata fan mesan aramas are nemonomon usun an nukun an namanam ren an asukuna, pomweni, fen ngeni are forachchu pungun an namanam.
19-00	Tetten 19.
19-01	Mei wor an emon me emon rait an epwe wor an mefi me an kapas. Mei pachenong non ei rait an emon epwe kamoch won mefian o esap wor emon epwe ataeno mefian ren an epwe kutta, angei are asinefetanei usun an ekiek non sokkun chok an a mochen finata, ese nifinifin aukukun nenian an tongeni.
20-00	Tetten 20.
20-01	Emon me emon mei wor an rait an epwe fiti sokkun amwicheich mi wor kinamwe me tipeeu non.
20-02	Emon esap tongeni achchimwa emon an epwe fiti eu sokkun mwich (association).
21-00	Tetten 21.
21-01	Mei wor an emon me emon rait an epwe pusin angang non kefemenin (government) fonuan won inisin are an epwe pusin finata chon aweni awan (representative).
21-02	Emon me emon mi wor an rait an epwe nonnongeni sokkun aramas meinisin non an aninnis ngeni fonuan.
21-03	Mochenin aramas epwe fis pwe popunapen wis non kofemen (government); mefian aramas epwe pwano non fansoun an fis uttut. Uttut epwe fis ren meinisin aramas epwe nonnofengen chok aukukun an emon me emon fot (vote). Uttut mi tongeni fis non monomon are non sokkun angangen uttut minne epwe nonnofengen chok ren meinisin.
22-00	Tetten 22.
22-01	Emon, pokiten i pwan chok emon aramas, mei wor an rait an epwe wor tumunun an tufich o an epwe sinei meinisin an rait non pekin anen moni, pekin pwapwa me eorunien eu neni mi namot chapur ngeni itan me sufenin tori unusen an tufich. Ekkei meinisin epwe pwak me non aototen tipeeufengen usun mi namot ngeni utan are tufichin eu fonu.
23-00	Tetten 23.
23-01	Mei wor an emon me emon rait an epwe angang, an epwe pusin finata sokkun angang a mochen eani, an epwe wenechchar me ukukoch napanapen an angang o mei pwan wor an emon me emon rait an epwe wor tumunun seni osupwangen an ese wor an angang.
23-02	Emon me emon, ses nifinifin ion, mei wor an rait an epwe angei niwinin aukukun an angang.
