00-00	Hattak Moma Iholisso
00-01	Hattakat yaakni' ayya'shakat momakat ittillawwi biyyi'ka. Naalhpisa'at hattak momakat immi'. Alhinchikma hattak momakat ishtayoppa'ni.
00-02	Hookya nannalhpisa' ihingbittooka ittimilat taha. Himmaka hattakat aa-ayya'shahookano ilaapo' nanna anokfillikakoot nannikchokmoho anokfillihootokoot yammako yahmichi bannahoot ayya'sha.
00-03	Nannalhpisa' ihingbittookookano kaniya'chi ki'yo. Immoot mahaa'chi hattakat ayya'sha aalhlhika.
00-04	Nannalhpisa' ihingbittooka immoot mahaahookya hattakat ikayoppa'chokmat ibaachaffa ikbannokmat ilaapo' nanna aanokfillikakoot yahmichi bannahoot ayya'sha.
00-05	Hattak momakat nannaka ittibaachaffa biyyi'kakma chokma'ni. Hattak yaakni' ayya'shakat nannalhpisa'a naapiisa' alhihaat momakat ittibaachaffa biyyi'kakma nanna momakat alhpi'sa biyyi'ka'ni.
00-06	Yaakni' hattak ayya'shakat momakat nannaka yahmi bannahoot ayya'shakat holisso holissochi: Chihoowaat hattak ikbikat ittiilawwi biyyi'kaho Chihoowaat naalhpisa' ikbittooka yammako hattakat kanihmihoot ayya'sha bannakat yammohmihoot ayya'sha'chi.
00-07	Hattak yaakni' ayya'shakat momakat yammookano ittibaachaffahookmaka'chi nannakat alhpi'sa biyyi'ka'chika.
00-08	Hattak momakat ithanahookmaka'chi.
00-09	Himmaka' nittak ayya'shakat
00-10	General Assemblyat
00-11	Nanna momaka nannaka ithanacha ittibaachaffahookmakoot nannaka alhincha'chikat holisso ikbi.
01-00	AnompaKanihmo'si1
01-01	Himmaka' nittakookano hattak yokasht toksalicha'nikat ki'yo. Hattak momakat ittillawwi biyyi'kacha nanna momaka ittibaachaffa'hitok.
02-00	AnompaKanihmo'si2
02-01	Hattakat pisa ittimilayyokhacha kaniyaho aamintihookya momakat ittillawwi biyyi'ka.
02-02	Hattakat yaakni' kaniya'o aamintihookya ittillawwi biyyi'ka.
03-00	AnompaKanihmo'si3
03-01	Hattakat hattak yoka'shcha aba'nikat imalhpi'sa ki'yo. Hattakat holiitopa biyyi'ka.
04-00	AnompaKanihmo'si4
04-01	Hattak yoka'at ikshoka'ni.
05-00	AnompaKanihmo'si5
05-01	Hattakat hattakaakaynika kalakshichit nanna impallammicha'nikat iksho nanna kanihmi ki'yoka.
06-00	AnompaKanihmo'si6
06-01	Hattakat momakat hattak biyyi'ka.
07-00	AnompaKanihmo'si7
07-01	Hattak naapiisa' alhihaat hattak momaka ittillawwicha'nikat imalhpi'sa.
08-00	AnompaKanihmo'si8
08-01	Hattakat nannikchokmoho hattak iyahmohmikma naapiisa' alhihaakoot hattak yamma apila'chi.
09-00	AnompaKanihmo'si9
09-01	Hattakat nanna kanihmi ki'yoka yokacha' ki'yo kanahoot nanna onhochika.
10-00	AnompaKanihmo'si10
10-01	Yokashtokookma court ishtayyana inaapisa'akoot inaapisa'chi nannakat alhpi'sa biyyi'ka'chiho.
11-00	AnompaKanihmo'si11
11-00	Kanahaat nanna ikchokmoho yammohmi imahoobakmat naapiisa' alhihaakoot nannakat alhpi'sa biyyi'kaho inaapiisa'chi, anompa loma' nannakya ikshoho.
11-01	Nannakat ikchokmoho ishyammohtok ki'yokya naapiisa' alhihaat nannalhpisa'a ilanchikma falammisht anompa achonhochi banna'nihookya yahma' ki'yo, naalhpisa'at ikshokishtokootoko.
12-00	AnompaKanihmo'si12
12-01	Nanna ishkanihtok ki'yohootoko kanahaat nanna chiikanihcha' ki'yo.
13-00	AnompaKanihmo'si13
13-00	Kaniya'o aya chibannakmat ishiyya'hi biyyi'ka. Kaniya'o anta chibannakmat ishanta'hi biyyi'ka.
13-01	Yaakni' kaniya'ookya ishiyya'hi biyyi'ka. Aatokmat falamat ishaa-attatokma aya chibannakmat ishiyya'hi biyyi'ka.
14-00	AnompaKanihmo'si14
14-00	Kaniya'o ishantaka kanahaat ikayoppachokma kaniya'ookya ishiyya'hi biyyi'ka.
14-01	Nanna ikchokmoho ishyammohmikmat kaniya'ookya ishiyya' ki'yo.
15-00	AnompaKanihmo'si15
15-00	Kaniya'o ishaa-attattookookya kaniya'o aya chibannakmat ishiyya'hi biyyi'ka.
15-01	Kaniya'o ishaa-attattookmat anta chibannakmat ishanta'hi biyyi'ka.
16-00	AnompaKanihmo'si16
16-00	Hattakat ihoo tawwa'at kaniya'o ittihaalalli bannakmat ittihaalalla'nikat imalhpi'sa.
16-01	Ittihaalalli ikbannokmat ittihaalalla' ki'yo kaniya'ookya.
16-02	Kanahaat ittihaalallittookat inchokka' chaffaat ayya'shakmano holitto'pa.
17-00	AnompaKanihmo'si17
17-00	Hattak momakat nannakat imayya'sha biyyi'ka.
17-01	Kanahoot imaaisha' ki'yo immi'ootoko.
18-00	AnompaKanihmo'si18
