00-00	renquanxuanyan
00-01	jianyuduirenleijiatingsuoyouchengyuandeguyouzunyanjiqipingdengdehebuyidequanlidechengren, naishishijieziyou, zhengyiyuhepingdejichu, 
00-02	jianyuduirenquandebidiheqifuyifazhanweilihaibaoxing, zhexiebaoxingdianwulaorenleideliangxin, er1gerenrenxiangyouyanlunhexinyangziyoubingmianyuchutouhekuifadeshijiedelailin, jingyibeixuanbuweiputongrenmindezhigaozhiwang, 
00-03	jianyuweishirenleibuzhiguzhudingerzouxianduibaozhengheqifujinxingfanpan, youbiyaoshirenquanshoufazhidezhiying, 
00-04	jianyuyoubiyaocujingeguojianyouhaoguanxidefazhan, 
00-05	jianyugelianheguoguojiaderenminyizailianheguoxianzhangzhongzhongshentamenduijibenrenquan, rengezunyanhejiazhiyijinandenudepingdengquanlidexinnian, bingsimoucuchengjiaodaziyouzhongdeshehuijinbuheshenghuoshuipingdegaishan, 
00-06	jianyugehuiyuanguoyeyisimoutonglianheguohezuoyicujinduirenquanhejibenziyoudepubianzunzhonghezunxing, 
00-07	jianyuduizhexiequanliheziyoudepubianxiaodeduiyuzhegesimoudechongfenshixianjuyouhendadezhongyaoxing, 
00-08	yincierjin, 
00-09	dahui, 
00-10	fabuzhe1shijierenquanxuanyan, zuoweisuoyourenminhesuoyouguojiasimingshixiandegongtongdepu, yiqimei1gerenheshehuijigoushibushijidebenxuanyan, simingshihuanjiaohuihejiaoyucujinduiquanliheziyoudezunzhong, bingshihuanguojiadeheguojidejianjincuoshi, shizhexiequanliheziyouzaigehuiyuanguobenshenrenminjizaidixialingtuderenminzhongdedaopubianhedishidechengrenhezunxing;
01-00	di1tiao
01-01	renrenshengerziyou, zaizunyanhequanlishang1lupingdeng. tamenfuyoulixingheliangxin, bingyingyidixiongguanxidejingshenxiangduidai. 
02-00	di2tiao
02-01	renrenyouzigexiangyoubenxuanyansuozaide1qiequanliheziyou, buganfenzhongzu, fuse, xingbie, yuyan, zongjiao, zhengzhihuoqitajianjie, guojihuoshehuichushen, caichan, chushenghuoqitashenfendengshenqubie. 
02-02	bingqiebuganyin1rensuoshudeguojiahuolingtudezhengzhide, xingzhengdehuozheguojidedeweizhibutongeryoushenqubie, wulungailingtushidulilingtu, tuoguanlingtu, feizizhilingtuhuozhechuyuqitashenzhuquanshouxianzhideshitouzhixia. 
03-00	di3tiao
03-01	renrenyouquanxiangyoushengming, ziyouherenshenanquan. .
04-00	di4tiao
04-01	shuiyebuganshiweinulihuocihourende;1qiexingshidenulizhiduhenulimaimai, junyingyuyijinzhi. 
05-00	di5tiao
05-01	shuiyebuganjiayikuxing, huoshiyicanrende, burendaodehuowuruxingdedaiyuhuoxingfa. 
06-00	di6tiao
06-01	renrenzainalidouyouquanbeichengrenzaifaluqianderenge. 
07-00	di7tiao
07-01	faluzhiqianrenrenpingdeng, bingyouquanxiangshoufaludepingdengzhiying, bushoushenqishi. renrenyouquanxiangshoupingdengzhiying, yimianshouweifanbenxuanyandeshenqishixingweiyijishandongzhezhongqishideshenxingweizhihai. 
08-00	di8tiao
08-01	shuidangxianfahuofalusuofuyutadejibenquanlizaoshouqinhaishi, yeyouquanyouhegedeguojiafatingduizhezhongqinhaixingweizuodishidebujiu. 
09-00	di9tiao
09-01	shuiyebuganrenyidaiqilailie, guanqilailiehuohongchuqulie. 
10-00	di10tiao
10-01	renrenwanquanpingdengdeyouquanyou1gedulierwupianyidefatingjinxinggongzhengdehegongkaideshenxun, yiquedingtadequanliheyiwubingpandingduitatichude1qiexingshizhikong. 
11-00	di11tiao
11-00	fanshouxingshikonggaozhe, zaiweijinghuodebianhushangsuoxude1qiebaozhengdegongkaishenpaneryifazhengshiyouzuiyiqian, youquanbeishiweiwuzui. 
11-01	shuide1qiexingweihuobuxingwei, zaiqiqishiyiguojiafahuoguojifajunbugouchengxingshizuizhe, yebuganbeipanweifanyouxingshizui. xingfabuganzhongyufanshishishiyongdefaluguiding. 
12-00	di12tiao
12-01	shuidesishenghuo, jiating, zhuzhaihetongxinyebuganrenyiganshe, taderongyuhemingyubuganjiayigongji. renrenyouquanxiangshoufaluzhiying, yimianshouzhezhongganshehuogongji. 
13-00	di13tiao
13-00	renrenzaigeguozhineidouyouquanziyouqianxihejuzhu. 
13-01	renrenyouquanlikai1qieguojia, baokuozijiadeguojiazainei, bingyouquanfanhuitadeguojia. 
14-00	di14tiao
14-00	renrenyouquanzaiqitaguojiamouheqibihuyibimianpohai. 
14-01	zaizhenzhengyouyufeizhengzhixingdeshihuoweibeilianheguodezongzhiheyuanzedexingweierbeiqisudeshitouxia, buganyuanyongcizhongquanli. 
15-00	di15tiao
15-00	renrenyouquanxiangyouzijiadeguoji. 
15-01	shuideguojiyebuganrenyiboduo, yebuganfourenqigaibianguojidequanli. 
16-00	di16tiao
16-00	chengniandenandenude, bushouzhongzu, guojihuozongjiaodeshenxianzhiyouquanhunjiaheqijiating. tamenzaihunyinfangmian, zaijiehunqijianhezaililieshi, yingyoupingdengdequanli. 
16-01	zhiyoujingnandenudeshuangfangdeziyouheshixingdetongyi, cainengdihun. .
16-02	jiatingshitianrandehejibendeshehuidanyuan, bingyingshoushehuiheguojiadezhiying. 
17-00	di17tiao
17-00	renrendeyoudandudecaichansuoyouquanyijitongtarenheyoudesuoyouquan. 
17-01	shuidecaichanyebuganrenyiboduo. 
18-00	di18tiao
18-01	renrenyousixiang, liangxinhezongjiaoziyoudequanli;cixiangquanlibaokuogaibiantadezongjiaohuoxinyangdeziyou, yijidanduhuojiti, gongkaihuomimideyijiaoyi, shijian, libaihejielubiaoshitadezongjiaohuoxinyangdeziyou. 
19-00	di19tiao
19-01	renrenyouquanxiangyouzhuzhanghefabiaoyijiandeziyou;cixiangquanlibaokuochiyouzhuzhangerbushouganshedeziyou, heshihuan1qiemeijiehebulunguojiemou, jieshouhechuandixiaoxihesixiangdeziyou. 
20-00	di20tiao
20-00	renrenyouquanxiangyouhepingjihuihejieshedeziyou. 
20-01	shuiyebuganguzhulishuyumou1tuanti. 
21-00	di21tiao
21-00	renrenyouzhijiehuoshihuanziyouxuanzededaibiaocanyuzhilibenguodequanli. 
21-01	renrenyoupingdengjihuicanjiabenguogongwudequanli. 
21-02	renmindeyizhishizhengfuquanlidejichu;zhe1yizhiyingshihuandingqidehezhenzhengdexuanjuyuyibiaoxian, erxuanjuyingbizhupubianhepingdengdetoupiaoquan, bingshihuanbujimingtoupiaohuoxiangdangdeziyoutoupiaochengxujinxing. 
22-00	di22tiao
22-01	meigeren, zuoweishehuide1yuan, youquanxiangshoushehuiweifu, bingyouquanxiangshoutadegerenzunyanherengedeziyoufazhansuobixudejingji, shehuihewenhuafangmiangezhongquanlideshixian, zhezhongshixianshishihuanguojiasimingheguojihezuobingbizhugeguodezuzhihecaifushitou. 
23-00	di23tiao
23-00	renrenyouquanzuoshi, ziyouzhaoshi, xiangshougongzhengheshixingdezuoshitiaojianbingxiangshoumianyushimeilaliedeweifu. 
23-01	renrenyoutonggongtongchoudequanli, buganyoushenqishi. 
23-02	mei1gegongzuoderen, youquanxiangshougongzhengheshixingdebaochou, baozhengshitazijiahezijiarenyou1gefurendezunyandeshenghuotiaojian, biyaoshibingfuyiqitafangshideshehuiweifu. 
23-03	renrenyouweiweihuqiliyierqihecanjiagonghuidequanli. 
24-00	di24tiao
24-01	renrenyouxiangyoudajianghexianxiadequanli, baokuogongzuoshijianyouhelixianzhihedingqigeixinxiujiadequanli. 
25-00	di25tiao
25-00	renrenyouquanxiangshouweiweichitazijiahezijiarendejiankanghefulisuoxudeshenghuoshuizhun, baokuoshiwu, yishang, zhufang, yiliaohebiyaodeshehuifuwu;zaizaodaoshimeilalie, binglao, canfei, nanrenmeilalie, shuailaohuozaiqitabunengkongzhideshitouxiasangshimoushengnenglishi, youquanqiweifu. 
25-01	mamahewawayouquanxiangshoutebieweifuhedabang. shifanwawa, wulunhunshenghuosiwawa, douyingqitongyangdeshehuizhiying. 
26-00	di26tiao
26-00	renrendouyoushoujiaoyudequanli, jiaoyuyingdangshiyixue, zhishaozaichujihejibenjieduanyingruci. chujijiaoyuyingshuyiwuxingzhi. jishuhezhiyejiaoyuyingpubianqizhe. gaodengjiaoyuyinggenjuchengjierdui1qierenpingdengkaifang. 
26-01	jiaoyudemudezaiyuchongfenfazhanrendegexingbingjiaqiangduirenquanhejibenziyoudezunzhong. jiaoyuyingcujingeguo, gezhongzuhuogezongjiaojituanjiandexiaode, rongrenheyouyi, bingyingcujinlianheguoweihuhepingdegexianghuodong. 
26-02	fumuduiqixiaoziguinusuoyingshoudejiaoyudezhonglei, youyouxianxuanzedequanli. 
27-00	di27tiao
27-00	renrenyouquanziyoucanjiashehuidewenhuashenghuo, xiangshouyishu, bingfenxiangkexuejinbujiqichanshengdefuli. 
27-01	renrenduiyouyutasuochuangzuodeshenkexue, wenxuehuomeishuzuopinerchanshengdejingshendehewuzhideliyi, douyouxiangshouzhiyingdequanli. 
28-00	di28tiao
28-01	renrenyouquanyaoqiu1zhongshehuideheguojideshidao, zaizhezhongshidaozhong, benxuanyansuozaidequanliheziyounenghuodechongfenshixian. 
29-00	di29tiao
29-00	renrenduishehuifuyouyiwu, yinweizhiyouzaishehuizhineitadegexingcaikenengdedaoziyouhechongfendefazhan. 
29-01	renrenzaixingshitadequanliheziyoushi, zhishoufalusuoquedingdexianzhi, quedingcizhongxianzhidewei1mudezaiyubaozhengduipangrendequanliheziyougeiyuyingyoudechengrenhezunzhong, bingzai1geminzhudeshehuizhineishiyingdaode, gonggongzhixuhepubianfulidezhengdangxuyao. 
29-02	zhexiequanliheziyoudexingshi, wulunzaishenshitouzhixiadoubuganweibeilianheguodezongzhiheyuanze. 
30-00	di30tiao
30-01	benxuanyanzhineideshentiaowen, doubuganjieshiweimoxushenguojia, jituanhuogerenyouquanjinxingshenzhizaipohuaibenxuanyansuozaideshenquanliheziyoudehuodonghuoxingwei. 
