00-00	shijierenquanxuanyan
00-01	jianyuduirenleijiatingsuoyouchengyuandeguyouzunyanjiqipingdengdehebuyidequanlidechengren,naishishijieziyou, zhengyiyuhepingdejichu,
00-02	jianyuduirenquandewushihewumieyifazhanweiyemanbaoxing,zhexiebaoxingdianwulerenleideliangxin,er1gerenrenxiangyouyanlunhexinyangziyoubingmianyukongjuhekuifadeshijiedelailin,yibeixuanbuweiputongrenmindezuigaoyuanwang,
00-03	jianyuweishirenleibuzhipobudeyidingerzouxianduibaozhengheyapojinxingfanpan,youbiyaoshirenquanshoufazhidebaohu,
00-04	jianyuyoubiyaocujingeguojianyouhaoguanxidefazhan,
00-05	jianyugelianheguoguojiaderenminyizailianheguoxianzhangzhongzhongshentamenduijibenrenquan, rengezunyanhejiazhiyijinannupingdengquanlidexinnian,bingjuexincuchengjiaodaziyouzhongdeshehuijinbuheshenghuoshuipingdegaishan,
00-06	jianyugehuiyuanguoyeyishiyuantonglianheguohezuoyicujinduirenquanhejibenziyoudepubianzunzhonghezunxing,
00-07	jianyuduizhexiequanliheziyoudepubianlejieduiyuzhegeshiyuandechongfenshixianjuyouhendadezhongyaoxing,
00-08	yincixianzai,dahui,fabuzhe1shijierenquanxuanyan,zuoweisuoyourenminhesuoyouguojianulishixiandegongtongbiaozhun,yiqimei1gerenheshehuijigoujingchangmingnianbenxuanyan,nulitongguojiaohuihejiaoyucujinduiquanliheziyoudezunzhong,bingtongguoguojiadeheguojidejianjincuoshi,shizhexiequanliheziyouzaigehuiyuanguobenshenrenminjizaiqiguanxiaxialingtuderenminzhongdedaopubianheyouxiaodechengrenhezunxing;
01-00	di1tiao
01-01	renrenshengerziyou,zaizunyanhequanlishang1lupingdeng. tamenfuyoulixingheliangxin,bingyingyixiongdiguanxidejingshenxiangduidai. 
02-00	di2tiao
02-01	renrenyouzigexiangyoubenxuanyansuozaide1qiequanliheziyou,bufenzhongzu, fuse, xingbie, yuyan, zongjiao, zhengzhihuoqitajianjie, guojihuoshehuichushen, caichan, chushenghuoqitashenfendengrenhequbie. 
02-02	bingqiebudeyin1rensuoshudeguojiahuolingtudezhengzhide, xingzhengdehuozheguojidedeweizhibutongeryousuoqubie,wulungailingtushidulilingtu, tuoguanlingtu, feizizhilingtuhuozhechuyuqitarenhezhuquanshouxianzhideqingkuangzhixia. 
03-00	di3tiao
03-01	renrenyouquanxiangyoushengming, ziyouherenshenanquan. 
04-00	di4tiao
04-01	renherenbudeshiweinulihuonuyi;1qiexingshidenulizhiduhenulimaimai,junyingyuyijinzhi. 
05-00	di5tiao
05-01	renherenbudejiayikuxing,huoshiyicanrende, burendaodehuowuruxingdedaiyuhuoxingfa. 
06-00	di6tiao
06-01	renrenzairenhedefangyouquanbeichengrenzaifaluqianderenge. 
07-00	di7tiao
07-01	faluzhiqianrenrenpingdeng,bingyouquanxiangshoufaludepingdengbaohu,bushourenheqishi. renrenyouquanxiangshoupingdengbaohu,yimianshouweifanbenxuanyanderenheqishixingweiyijishandongzhezhongqishiderenhexingweizhihai. 
08-00	di8tiao
