00-00	shijierenquanxuanyan
00-01	jianyuduirenleijiatingsuoyouchengyuandeguyouzunyanjiqipingdengdehebuyidequanlidechengren, naishishijieziyou, zhengyiyuhepingdejichu, 
00-02	jianyuduirenquandebuxuhuirgencaihuyijiufazhanweialabazadechenshi, zhexiechenshiaotoulerenleideliangxin, er1gerenrenbeilayanlunhexinyangziyoubingmianyukongjuhebanshoudeshijiedelailin, yijiubeixuanbuweichangxingrenjiardezuigaoyuanwang, 
00-03	jianyuweishirenleibuzhiyubeibiezheduibaozhengheyapojinxingfanpan, chenshirenquanshoufazhidebaohudebiyao, 
00-04	jianyuchencujingeguojiantijiguanxidefazhandebiyao, 
00-05	jianyugelianheguoguojiaderenminyijiuailianheguoxianzhangzhongzhongshentamenduijibenrenquan, rengezunyanhejiazhiyijinannu1bianrdadequanlidexinnian, bingzaduicuchengjiaodaziyouzhongdeshehuijinbuheshenghuoshuipingdegaishan, 
00-06	jianyugehuiyuanguoyijiushiyuangenlianheguobaobanryicujinduirenquanhejibenziyoudepubianzunzhonghezunxing, 
00-07	jianyuduizhexiequanliheziyoudepubianlejiegenzhegeshiyuandechongfenshixianchenbeirdadezhongyaoxing, 
00-08	yincixianzai, 
00-09	dahui, 
00-10	fabuzhe1shijierenquanxuanyan, zuoweisuoyourenminhesuoyouguojianulishixiandegongtongbiaozhun, yiqimei1gerenheshehuijigouchangxinglirmingnianbenxuanyan, nulitongguojiaohuihejiaoyucujinduiquanliheziyoudezunzhong, bingtongguoguojiadeheguojideaiduircuoshi, bianzhefarshizhexiequanliheziyouaigehuiyuanguozijigerderenminjiaiqibanzhedelingtuderenminzhongdedaopubianhechenxiaoguodechengrenhezunxing;
01-00	di1tiao
01-01	renrenshengerziyou, aizunyanhequanlishang1chanpingdeng. tamenchenlixingheliangxin, bingyingyi1gezuordejingshenxiangduidai. 
02-00	di2tiao
02-01	renrenchenzigebeilabenxuanyansuozaide1qiequanliheziyou, bufenzhongzu, fuse, xingbie, yuyan, zongjiao, zhengzhihuoqitajianjie, guojihuoshehuichushen, caichan, chushenghuoqitashenfendengrenhequbie. 
02-02	bingqiebengyin1rensuoshudeguojiahuolingtudezhengzhide, xingzhengdehuozheguojidedeweizhibutongerchenqubie, bulungailingtushidulilingtu, tuoguanlingtu, feizizhilingtuhuozhechuyuqitarenhezhuquanshouxianzhidechar. 
03-00	di3tiao
03-01	renrenchenbeilashengming, ziyouherenshenanquandequanli. 
04-00	di4tiao
04-01	bengrangrenherenzuonulihuonuyi;1qiexingshidenulizhiduhenulimaimai, junyingyuyijinzhi. 
05-00	di5tiao
05-01	bengduirenherenjiayikuxing, huoshiyicanrende, burendaodehuowuruxingdedaiyuhuoxingfa. 
06-00	di6tiao
06-01	renrenairenhedefangchenbeichengrenaifaluqianderengedequanli. 
07-00	di7tiao
07-01	faluzhiqianrenrenpingdeng, bingchenbalanfaludepingdengbaohudequanli, bushourenheqishi. renrenchenbalanpingdengbaohudequanli, yimianshouweifanbenxuanyanderenheqishixingweiyijichehezhezhongqishiderenhexingweizhihai. 
08-00	di8tiao
08-01	renherendangxianfahuofalusuofuyutadejibenquanlizaoshouqinhaishi, chenyouhegedeguojiafatingduizhezhongqinhaixingweizuochenxiaoguodebujiudequanli. 
09-00	di9tiao
09-01	bengduirenherenjiayirenyichashi, jujinhuofangzhu. 
10-00	di10tiao
10-01	renrenwanquanpingdengdechenyou1gedulierwupianyidefatingjinxinggongzhengdehegongkaideshenxunquanli, yiquedingtadequanliheyiwubingpandingduitatichuderenhexingshizhikong. 
11-00	di11tiao
11-01	fanshouxingshikonggaozhe, zaiweijinghuodebianhushangsuoxude1qiebaozhengdegongkaishenpaneryifazhengshichenzuiyiqian, chenbeishiweiwuzuidequanli. 
11-02	renherenderenhexingweihuobuxingwei, zaiqifashengshiyiguojiafahuoguojifajunbugouchengxingshizuizhe, bengbeipanweichenxingshizui. bengxingfabingfanzuishishiyongdefaluguidingzhong. 
12-00	di12tiao
12-01	bengduirenherendesishenghuo, jiating, zhuzhaihetongxinrenyicanhe, bengduitaderongyuhemingyujiayicaihui. renrenchenbalanfalubaohudequanli, yimianshouzhezhongcanhehuocaihui. 
13-00	di13tiao
13-01	renrenaigeguojingneichenziyouqianxihejuzhudequanli. 
13-02	renrenchenlikairenheguojiadequanli, baokuoqibenguozainei, bingchenfanhuitadeguojiadequanli. 
14-00	di14tiao
14-01	renrenchenzaiqitaguojiataochenghebalanbihuyibimianpohaidequanli. 
14-02	zaizhenzhengyouyufeizhengzhixingdezuixinghuoweibeilianheguodezongzhiheyuanzedexingweierbeiqisudechar, bengyuanyongcizhongquanli. 
15-00	di15tiao
15-01	renrenchenbeilaguojidequanli. 
15-02	bengbarenherendeguojirenyiboduo, yebengfourenqigaibianguojidequanli. 
16-00	di16tiao
16-01	chengniannannu, bushouzhongzu, guojihuozongjiaoderenhexianzhichenhunjiahechenglijiatingdequanli. tamenaihunyinfangmian, aijiehunqijianhezaijiechuhunyueshi, yingchenpingdengdequanli. 
16-02	zhiyoujingnannushuangfangdeziyouhewanquandetongyi, cainengdihun. .
16-03	jiatingshitianrandehejibendeshehuidanyuan, bingyingshoushehuiheguojiadebaohu. 
17-00	di17tiao
17-01	renrenchendandudecaichansuoyouquanyijitongtarenhechendesuoyouquan. 
17-02	bengrenyiboduorenherendecaichan. 
18-00	di18tiao
18-01	renrenchensixiang, liangxinhezongjiaoziyoudequanli;cixiangquanlibaokuogaibiantadezongjiaohuoxinyangdeziyou, yijidanduhuojiti, gongkaihuoanhanzheyijiaoyi, shijian, libaihejielubiaoshitadezongjiaohuoxinyangdeziyou. 
19-00	di19tiao
19-01	renrenchenbeilazhuzhanghefabiaoyijiandeziyoudequanli;cixiangquanlibaokuochenzhuzhangerbushouganshedeziyou, hetongguorenhemeijiehebulunguojietaocheng, jieshouhechuandixiaoxihesixiangdeziyou. 
20-00	di20tiao
20-01	renrenchenbeilahepingjihuihejieshedeziyoudequanli. 
20-02	bengbiezherenherenlishuyumou1tuanti. 
21-00	di21tiao
21-01	renrenchenzhijiehuotongguoziyoubaladedaibiaocanyuzhilibenguodequanli. 
21-02	renrenchenpingdengjihuicanjiabenguogongwudequanli. 
21-03	renmindeyizhishizhengfuquanlidejichu;zhe1yizhiyingyidingqidehezhenzhengdexuanjuyuyibiaoxian, erxuanjuyingyijupubianhepingdengdetoupiaoquan, bingyibujimingtoupiaohuoxiangdangdeziyoutoupiaochengxujinxing. 
22-00	di22tiao
22-01	meigeren, zuoweishehuide1yuan, chenbalanshehuibaozhangdequanli, bingqiechenbalantadegerenzunyanherengedeziyoufazhansuobixudejingji, shehuihewenhuafangmiangezhongquanlideshixiandequanli, zhezhongshixianshitongguoguojianuliheguojibiaozhebarganbingyizhaogeguodezuzhiheziyuandechar. 
23-00	di23tiao
23-01	renrenchenganhuor, ziyoubalazhiye, balangongzhengheheshideganhuortiaojianbingbalanmianyushiyedebaozhangdequanli. 
23-02	renrenchentonggongtongchoudequanli, bushourenheqishi. 
23-03	mei1geganhuorderen, chenbalangongzhengheheshidebaochoudequanli, baozhengshitazijigerhejialirenchen1gefuherendezunyandeshenghuotiaojian, biyaoshibingfuyiqitafangshideshehuibaozhang. 
23-04	renrenchenweiweihuqiliyierzuzhihecanjiagonghuidequanli. 
24-00	di24tiao
24-01	renrenchenbeilaxiuxihexianxiadequanli, baokuogongzuoshijianbeihelibinzhehedingqibachuxiujiadequanli. 
25-00	di25tiao
25-01	renrenchenbalanweiweichitazijigerhejialirendejiankanghefulisuoxudeshenghuoshuizhun, baokuoshiwu, yizhe, zhufang, yiliaohebiyaodeshehuifuwudequanli;zaizaodaoshiye, buheshi, canfei, dangjiadecailiangchuan, shuailaohuoaiqitabunengkongzhidetianchengrsangshixiangdangrshi, chenbalanbaozhangdequanli. 
25-02	muqinhertongchenbazun, balantebiezhaoguhexiezhudequanli. 1qiertong, bulunhunshenghuofeihunsheng, douyingbalantongyangdeshehuibaohu. 
26-00	di26tiao
26-01	renrendouchenshoujiaoyudequanli, jiaoyuyingdangmianfei, zhishaoaichujihejibenjieduanyingruci. chujijiaoyuyingshuyiwuxingzhi. bashigenzhiyejiaoyuyingpubiansheli. gaodengjiaoyuyinggenjuchengjierdui1qierenpingdengkaifang. 
26-02	jiaoyudemudezaiyuchongfenfazhanrendegexingbingjiaqiangduirenquanhejibenziyoudezunzhong. jiaoyuyingcujingeguo, gezhongzuhuogezongjiaojituanjiandelejie, rongrenheyouyi, bingyingcujinlianheguoweihuhepingdegexianghuodong. 
26-03	fumuduiqizinusuoyingshoudejiaoyudezhonglei, chenyouxianbaladequanli. 
27-00	di27tiao
27-01	renrenchenziyoucanjiashehuidewenhuashenghuo, balanyishu, bingfenxiangkexuejinbujiqichanshengdefulidequanli. 
27-02	renrenduiyouyutasuochuangzuoderenhekexue, wenxuehuomeishuzuopinerchanshengdejingshendehewuzhideliyi, chenbalanbaohudequanli. 
28-00	di28tiao
28-01	renrenchenbie1zhongshehuideheguojidezhixudequanli, aizhezhongzhixuzhong, benxuanyansuozaidequanliheziyounenghuodechongfenshixian. 
29-00	di29tiao
29-01	renrenduishehuichenyiwu, yongzhiyouaishehuizhongtadegexingcaikenengdedaoziyouhechongfendefazhan. 
29-02	renrenzaixingshitadequanliheziyoushi, zhishoufalusuoquedingdexianzhi, quedingcizhongxianzhidewei1mudezaiyubaozhengduipangrendequanliheziyougeiyugaichendechengrenhezunzhong, bingai1geminzhudeshehuizhongshiyingdaode, gonggongzhixuhepubianfulidezhengdangxuyao. 
29-03	bulunairenhechar, bengzhexiequanliheziyoudexingshiweibeilianheguodezongzhiheyuanze. 
30-00	di30tiao
30-01	benxuanyanderenhetiaowen, bengjieshiweimoxurenheguojia, jituanhuogerenchenjinxingrenhezhizaipohuaibenxuanyansuozaiderenhequanliheziyoudehuodonghuoxingweidequanli. 
