00-00	shijierenquanxuanyan
00-01	jianyuduirenleijiatingsuoyouchengyuandeguyouzunyangaotamendepingdengdegaobuyidequanlidechengren, shishijieziyou, zhengyigaohepingdejichu, 
00-02	jianyuduirenquandeqiaobuqigaowugaoyifazhanweiyemanbaoxing, zhexiebaoxingdianwulerenleideliangxin, er1gedajiaxiangyouyanlungaoxinyangziyoubingmianyukongjugaokuifadeshijiedelailin, yibeixuanbuweiputongrenmindezuigaobuguoledeyuanwang, 
00-03	jianyuweishirenleibuzhipinmingduibaozhenggaoyapojinxingfanpan, youbiyaoshirenquanshoufazhidebaohu, 
00-04	jianyuyoubiyaocujingeguojianyouhaoguanxidefazhan, 
00-05	jianyugelianheguoguojiaderenminyizailianheguoxianzhangyineizhongshentamenduijibenrenquan, rengezunyangaojiazhigaonannupingdengquanlidexinnian, bingjuexincuchengjiaodaziyouzhongdeshehuijinbugaoshenghuoshuipingdegaishan, 
00-06	jianyugehuiyuanguoyeyishiyuangaolianheguohezuoyicujinduirenquangaojibenziyoudepubianzunzhonggaozunxing, 
00-07	jianyuduizhexiequanligaoziyoudepubianlejieduiyuzhegeshiyuandechongfenshixianjuyoudadeyaomingdezhongyaoxing, 
00-08	yincixianzai, 
00-09	dahui, 
00-10	fabuzhe1shijierenquanxuanyan, zuoweisuoyourenmingaosuoyouguojianulishixiandegongtongbiaozhun, yiqimei1gerengaoshehuijigouchangzaiyibenxuanyan, nulitongguojiaohuigaojiaoyucujinduiquanligaoziyoudezunzhong, bingtongguoguojiadegaoguojidejianjincuoshi, shizhexiequanligaoziyouzaigehuiyuanguobenshenrenminjizaiqiguanxiaxialingtuderenminzhizhongdedaopubiangaoyouxiaodechengrengaozunxing;
01-00	di1tiao
01-01	dajiashengerziyou, zaizunyangaoquanlishangtou1lupingdeng. tamenfuyoulixinggaoliangxin, binggaipaiyixiongdiguanxidejingshenxiangduidai. 
02-00	di2tiao
02-01	dajiayouzigexiangyoubenxuanyansuozaide1qiequanligaoziyou, buzuoxingyouzhongzu, fuse, xingbie, yuyan, zongjiao, zhengzhihuozheqitajianjie, guojihuozheshehuichushen, caichan, chushenghuozheqitashenfendengrenhequbie. 
02-02	bingqiebuzuoxingyin1rensuoshudeguojiahuozhelingtudezhengzhide, xingzhengdehuozheguojidedeweizhibutongeryousuoqubie, wulungailingtushidulilingtu, tuoguanlingtu, feizizhilingtuhuozhechuyuqitarenhezhuquanshouxianzhideqingkuangzhixia. 
03-00	di3tiao
03-01	dajiayouquanxiangyoushengming, ziyougaorenshenanquan. 
04-00	di4tiao
04-01	renherenbuzuoxingshiweinulihuozhenuyi;1qiexingshidenulizhidugaonulimaimai, jungaipaiyuyijinzhi. 
05-00	di5tiao
05-01	renherenbuzuoxingjiayikuxing, huozheshiyicanrende, burendaodehuozhewuruxingdedaiyuhuozhexingfa. 
06-00	di6tiao
06-01	dajiazainabiandouyouquanbeichengrenzaifaluzhiqianderenge. 
07-00	di7tiao
07-01	faluzhiqiandajiadoupingdeng, bingyouquanxiangshoufaludepingdengbaohu, bushourenheqishi. dajiayouquanxiangshoupingdengbaohu, miandeshouweifanbenxuanyanderenheqishixingweigaoshandongzhezhongqishiderenhexingweizhihai. 
08-00	di8tiao
08-01	renherendangxianfahuozhefalusuofuyutadejibenquanlizaoshouqinhaishi, youquanyouhegedeguojiafatingduizhezhongqinhaixingweizuoyouxiaodebujiu. 
09-00	di9tiao
09-01	renherenbuzuoxingrenyizhuoqilai, guanqilaihuozheganchuqu. 
10-00	di10tiao
10-01	dajiawanquanpingdengdeyouquanyou1gedulierwupianyidefatingjinxinggongzhengdegaogongkaideshenwen, yiquedingtadequanligaoyiwubingpandingduitatichuderenhexingshizhikong. 
11-00	di11tiao
11-00	fanshouxingshikonggaozhe, zaiweijinghuodebianhushangsuoxude1qiebaozhengdegongkaishenweneryifazhengshiyouzuiyiqian, youquanbeishiweiwuzui. 
11-01	renherenderenhexingweihuozhebuxingwei, zaiqifashengshiyiguojiafahuozheguojifajunbugouchengxingshizuizhe, buzuoxingbeipanweifanyouxingshizui. xingfabuzuoxingzhongyufanzuishishiyongdefaluguiding. 
12-00	di12tiao
12-01	renherendesishenghuo, jiating, zhuzhaigaotongxinbuzuoxingrenyiganshe, taderongyugaomingyubuzuoxingjiayigongji. dajiayouquanxiangshoufalubaohu, miandeshouzhezhongganshehuozhegongji. 
13-00	di13tiao
13-00	dajiazaigeguojingneiyouquanziyouqianxigaojuzhu. 
13-01	dajiayouquanlikairenheguojia, baokuoqibenguozainei, bingyouquanfanhuitadeguojia. 
14-00	di14tiao
14-00	dajiayouquanzaiqitaguojiaxunqiugaoxiangshoubihu, miandeshoupohai. 
14-01	zaizhenzhengyouyufeizhengzhixingdezuixinghuozheweibeilianheguodezongzhigaoyuanzedexingweierbeiqisudeqingkuangxia, buzuoxingyuanyongcizhongquanli. 
15-00	di15tiao
15-00	dajiayouquanxiangyouguoji. 
15-01	renherendeguojibuzuoxingrenyiboduo, yibuzuoxingfourenqigaibianguojidequanli. 
16-00	di16tiao
16-00	chengniannannu, yongbuzheshouzhongzu, guojihuozhezongjiaoderenhexianzhiyouquanhunjiagaochenglijiating. tamenzaihunyinfangmian, zaijiehunqijiangaozaijiechuhunyueshi, gaipaiyoupingdengdequanli. 
16-01	zhiyoujingnannushuangfangdeziyougaowanquandetongyi, caizuoxingdihun. .
16-02	jiatingshitianrandegaojibendeshehuidanyuan, binggaipaishoushehuigaoguojiadebaohu. 
17-00	di17tiao
17-00	dajiadouyoudandudecaichansuoyouquangaohetarenheyoudesuoyouquan. 
17-01	renherendecaichanbuzuoxingrenyiboduo. 
18-00	di18tiao
18-01	dajiayousixiang, liangxingaozongjiaoziyoudequanli;cixiangquanlibaokuogaibiantadezongjiaohuozhexinyangdeziyou, gaodanduhuozhejiti, gongkaihuozhemimideyijiaoyi, shijian, libaigaojielubiaoshitadezongjiaohuozhexinyangdeziyou. 
19-00	di19tiao
19-01	dajiayouquanxiangyouzhuzhanggaofabiaoyijiandeziyou;cixiangquanlibaokuochiyouzhuzhangerbushouganshedeziyou, gaotongguorenhemeijiegaobulunguojiexunqiu, jieshougaochuandixiaoxigaosixiangdeziyou. 
20-00	di20tiao
20-00	dajiayouquanxiangyouhepingjihuigaojieshedeziyou. 
20-01	renherenbuzuoxingposhilishuyumou1tuanti. 
21-00	di21tiao
21-00	dajiayouzhijiehuozhetongguoziyouxuanzededaibiaocanyuzhilibenguodequanli. 
21-01	dajiayoupingdengjihuicanjiabenguogongwudequanli. 
21-02	renmindeyizhishizhengfuquanlidejichu;zhe1yizhigaipaiyidingqidegaozhenzhengdexuanjuyuyibiaoxian, erxuanjugaipaiyijupubianhepingdengdetoupiaoquan, bingyibujimingtoupiaohuozhexiangdangdeziyoutoupiaochengxujinxing. 
22-00	di22tiao
22-01	meigeren, zuoweishehuide1yuan, youquanxiangshoushehuibaozhang, bingyouquanxiangshoutadegerenzunyangaorengedeziyoufazhansuobixudejingji, shehuigaowenhuafangmiangezhongquanlideshixian, zhezhongshixianshitongguoguojianuligaoguojihezuobingyizhaogeguodezuzhigaoziyuanqingkuang. 
23-00	di23tiao
23-00	dajiayouquangongzuo, ziyouxuanzezhiye, xiangshougongzhenggaoheshidegongzuotiaojianbingxiangshoumianyushiyedebaozhang. 
23-01	dajiayoutonggongtongchoudequanli, bushourenheqishi. 
23-02	mei1gegongzuoderen, youquanxiangshougongzhenggaoheshidebaochou, baozhengshitabenrengaojiashuyou1gefuherendezunyandeshenghuotiaojian, biyaoshibingfuyiqitafangshideshehuibaozhang. 
23-03	dajiayouweiweihuqiliyierzuzhigaocanjiagonghuidequanli. 
24-00	di24tiao
24-01	dajiayouxiangyouxiuxigaoxianxiadequanli, baokuogongzuoshijianyouhelixianzhigaodingqigeixinxiujiadequanli. 
25-00	di25tiao
25-00	dajiayouquanxiangshouweiweichitabenrengaojiashudejiankanggaofulisuoxudeshenghuoshuizhun, baokuoshiwu, yizhe, zhufang, yiliaogaobiyaodeshehuifuwu;zaizaodaoshiye, jibing, canfei, shougua, shuailaohuozhezaiqitabunengkongzhideqingkuangxiasangshimoushengnenglishi, youquanxiangshoubaozhang. 
25-01	nianggaohaiziyouquanxiangshoutebiezhaogugaoxiezhu. 1qiehaizi, wulunhunshenghuozhefeihunsheng, dougaipaixiangshoutongyangdeshehuibaohu. 
26-00	di26tiao
26-00	dajiadouyoushoujiaoyudequanli, jiaoyugaipaimianfei, zhishaozaichujigaojibenjieduangaipairuci. chujijiaoyugaipaishuyiwuxingzhi. jishugaozhiyejiaoyugaipaipubiansheli. gaodengjiaoyugaipaigenjuchengjierdui1qierenpingdengkaifang. 
26-01	jiaoyudemudezaiyuchongfenfazhanrendegexingbingjiaqiangduirenquangaojibenziyoudezunzhong. jiaoyugaipaicujingeguo, gezhongzuhuozhegezongjiaojituanjiandelejie, rongrengaoyouyi, binggaipaicujinlianheguoweihuhepingdegexianghuodong. 
26-02	dieniangduitamendezinugaipaishoudejiaoyudezhonglei, youyouxianxuanzedequanli. 
27-00	di27tiao
27-00	dajiayouquanziyoucanjiashehuidewenhuashenghuo, xiangshouyishu, bingfenxiangkexuejinbugaotachanshengdefuli. 
27-01	dajiaduiyouyutasuochuangzuoderenhekexue, wenxuehuozhemeishuzuopinerchanshengdejingshendegaowuzhideliyi, youxiangshoubaohudequanli. 
28-00	di28tiao
28-01	dajiayouquanyaoqiu1zhongshehuidegaoguojidezhixu, zaizhezhongzhixuzhizhong, benxuanyansuozaidequanligaoziyouzuoxinghuodechongfenshixian. 
29-00	di29tiao
29-00	dajiaduishehuifuyouyiwu, yinweizhiyouzaishehuiyineitadegexingcaideyouziyougaochongfendefazhan. 
29-01	dajiazaixingshitadequanligaoziyoushi, zhishoufalusuoquedingdexianzhi, quedingcizhongxianzhidewei1mudezaiyubaozhengduipangrendequanligaoziyougeiyugaipaiyoudechengrengaozunzhong, bingzai1geminzhudeshehuizhongshigaipaidaode, gonggongzhixugaopubianfulidezhengdangxuyao. 
29-02	zhexiequanligaoziyoudexingshi, suibianshenmeshihoudoubuzuoxingweibeilianheguodezongzhigaoyuanze. 
30-00	di30tiao
30-01	benxuanyanderenhetiaowen, buzuoxingjieshiweimoxurenheguojia, jituanhuozhegerenyouquanjinxingrenhezhizaipohuaibenxuanyansuozaiderenhequanligaoziyoudehuodonghuozhexingwei. 
