00-00	shijierenquanxuanyan
00-01	duirenleijiatingsuoyouchengyuandeguyouzunyanjiqi1bianrdadehebuyidequanlidechengren, shishijieziyou, zhengyiyuhepingdejichudeguochu, 
00-02	duirenquandebudaijianhebaihuaiyijiufazhanweiyemanbaoxing, jiexiebaoxingdianwulerenleideliangxin, er1gerengedinggechenyanlunhexinyangziyoubingmianyukongjuhekuifadeshijiedelailin, yijiubeixuanbuweiputongrenmindezuigaoxinqirdeguochu, 
00-03	weishirenleibuzhipobudeyidingerzouxianduibaozhengheyapozhiwai, youbiyaoshirenquanshoufazhidebaohudeguochu, 
00-04	youbiyaocujingeguojian1maiziguanxidefazhandeguochu, 
00-05	gelianheguoguojiaderenminyijiuzailianheguoxianzhangzhongzhongshentamenduijibenrenquan, rengezunyanhejiazhiyijinannu1bianrdadequanlidexinnian, bingjuexincuchengjiaodaziyouzhongdeshehuijinbuheshenghuoshuipingdegaishandeguochu, 
00-06	gehuiyuanguoyijiushiyuantonglianheguo1qibihua, yicujinduirenquanhejibenziyoudepubianzunzhonghezunxingdeguochu, 
00-07	duijiexiequanliheziyoudepubianlejieduiyujiegeshiyuandechongfenshixianjuyoubeirdadezhongyaoxingdeguochu, 
00-08	yinciyanshixia, 
00-09	dahui, 
00-10	fabujie1shijierenquanxuanyan, zuoweisuoyourenminhesuoyouguojianulishixiandegongtongbiaozhun, yiqigedinggerenheshehuijigouduanbuledaomojiegexuanyan, nulitongguojiaohuihejiaoyucujinduiquanliheziyoudezunzhong, bingtongguoguojiadeheguojidejianjincuoshi, shijiexiequanliheziyouzaigehuiyuanguobenshenrenminjizaitaguanxiaxiadedejierderenminzhongdedaopubianhechenxiaoguodechengrenhezunxing;
01-00	di1tiao
01-01	rengedinggeshengerziyou, zaizunyanhequanlishangbanrbanrda. tamenchenlixingheliangxin, bingyingyixiongdiguanxidejingshenxiangduidai. 
02-00	di2tiao
02-01	rengedinggechenzigechenjiegexuanyansuozaide1qiequanliheziyou, bufenzhongzu, fuse, xingbie, yuyan, zongjiao, zhengzhihuoqitajianjie, guojihuoshehuichushen, caichan, chushenghuoqitashenfendengrenhequbie. 
