00-00	shijierenquanxuanyan
00-01	jianwuduirenleijiatingsuoyouchengyuandeguyouzunyanjiqipingdengdehebuyidequanlidechengren, naishishijieziyou, zhengyiyuhepingdejichu, 
00-02	jianwuduirenquandewushihewumieyifazhanweiyemanbaoxing, zhexiebaoxingzhanwulerenleideliangxin, er1gerenrenxiangyouyanlunhexinyangziyoubingmianyukongjuheguifadeshijiedelailin, yibeixuanbuweiputongrenmindezuigaoyuanwang, 
00-03	jianwuweishirenleibuzhipobudeyidingerzouxianduibaozhengheyapojinxingfanpan, youbiyaoshirenquanshoufazhidebaohu, 
00-04	jianwuyoubiyaocujingeguojianyouhaoguanxidefazhan, 
00-05	jianwugelianheguoguojiaderenminyizailianheguoxianzhangzhongzhongshentamenduijibenrenquan, rengezunyanhejiazhiyijinannupingdengquanlidexinnian, bingshouxincuchengjiaodaziyouzhongdeshehuijinbuheshenghuoshuipingdegaishan, 
00-06	jianwugehuiyuanguobingyishiyuantonglianheguohezuoyicujinduirenquanhejibenziyoudepubianzunzhonghezunxing, 
00-07	jianwuduizhexiequanliheziyoudepubianlejieduiwuzhegeshiyuandechongfenshixianjuyouhendadezhongyaoxing, 
00-08	yincixianzai, 
00-09	dahui, 
00-10	fabuzhe1shijierenquanxuanyan, zuoweisuoyourenminhesuoyouguojianulishixiandegongtongbiaozhun, yiqimei1gerenheshehuijigoujingchangmingnianbenxuanyan, nulitongguojiaohuihejiaoyucujinduiquanliheziyoudezunzhong, bingtongguoguojiadeheguojidejianjincuoshi, shizhexiequanliheziyouzaigehuiyuanguobenshenrenminjizaiqiguanxiaxialingtuderenminzhongdedaopubianheyouxiaodechengrenhezunxing;
01-00	di1tiao
01-01	renrenshengerziyou, zaizunyanhequanlishang1lupingdeng. tamenfuyoulixingheliangxin, bingyingyixiongdiguanxidejingshenxiangduidai. 
02-00	di2tiao
02-01	renrenyouzigexiangshoubenxuanyansuozaide1qiequanliheziyou, bufenzhongzu, fuse, xingbie, yuyan, zongjiao, zhengzhihuoqitajianjie, guojihuoshehuichushen, caichan, chushenghuoqitashenfendengrenhequbie. 
03-00	di3tiao
03-01	renrenyouquanxiangyoushengming, ziyouherenshenanquan. 
04-00	di4tiao
04-01	renherenbudeshiweinulihuonuyi;1qiexingshidenulizhiduhenulimaimai, junyingyuyijinzhi. 
05-00	di5tiao
05-01	renherenbudejiayikuxing, huoshiyicanrende, burendaodehuowuruxingdedaiyuhuoxingfa. 
06-00	di6tiao
06-01	renrenzairenhedefangyouquanbeichengrenzaifaluqianderenge. 
07-00	di7tiao
07-01	faluzhiqianrenrenpingdeng, bingyouquanxiangshoufaludepingdengbaohu, bushourenheqishi. renrenyouquanxiangshoupingdengbaohu, yimianshouweifanbenxuanyanderenheqishixingweiyijishandongzhezhongqishiderenhexingweizhihai. 
08-00	di8tiao
08-01	renherendangxianfahuofalusuofuyutadejibenquanlizaoshouqinhaishi, youquanyouhegedeguojiafatingduizhezhongqinhaixingweizuoyouxiaodebujiu. 
09-00	di9tiao
09-01	renherenbudejiayirenyidaibu, jujinhuofangzhu. 
10-00	di10tiao
10-01	renrenwanquanpingdengdeyouquanyou1gedulierwupianyidefatingjinxinggongzhengdehegongkaideshenxun, yiquedingtadequanliheyiwubingpandingduitatichuderenhexingshizhikong. 
11-00	di11tiao
11-00	fanshouxingshikonggaozhe, zaiweijinghuodebianhushangsuoxude1qiebaozhengdegongkaishenpaneryifazhengshiyouzuiyiqian, youquanbeishiweiwuzui. 
11-01	renherenderenhexingweihuobuxingwei, zaiqifashengshiyiguojiafahuoguojifajunbugouchengxingshizuizhe, budebeipanweifanyouxingshizui. xingfabudezhongwufanzuishishiyongdefaluguiding. 
12-00	di12tiao
12-01	renherendesishenghuo, jiating, zhuzhaihetongxinbuderenyiganshe, taderongyuhemingyubudejiayigongji. renrenyouquanxiangshoufalubaohu, yimianshouzhezhongganshehuogongji. 
13-00	di13tiao
13-00	renrenzaigeguojingneiyouquanziyouqianxihejuzhu. 
13-01	renrenyouquanlikairenheguojia, baokuoqibenguozainei, bingyouquanfanhuitadeguojia. 
14-00	di14tiao
14-00	renrenyouquanzaiqitaguojiaxunqiuhexiangshoubihuyibimianpohai. 
14-01	zaizhenzhengyouwufeizhengzhixingdezuixinghuoweibeilianheguodezongzhiheyuanzedexingweierbeisudeqingkuangxia, budeyuanyongcizhongquanli. 
15-00	di15tiao
15-00	renrenyouquanxiangyouguoji. 
15-01	renherendeguojibuderenyiboduo, yibudefourenqigaibianguojidequanli. 
16-00	di16tiao
16-00	chengniannannu, bushouzhongzu, guojihuozongjiaoderenhexianzhi, youquanhunjiahechenglijiating. tamenzaihunyinfangmian, zaijiehunqijianhezaijiechuhunyueshi, yingyoupingdengdequanli. 
16-01	zhiyoujingnannushuangfangdeziyoudehewanquandetongyi, cainengdihun. 
16-02	jiatingshitianrandehejibendeshehuidanyuan, bingyingshoushehuiheguojiadebaohu. 
17-00	di17tiao
17-00	renrendeyoudandudecaichansuoyouquanyijitongtarenheyoudesuoyouquan. 
17-01	renherendecaichanbuderenyiboduo. 
18-00	di18tiao
18-01	renrenyousixiang, liangxinhezongjiaoyoudequanli;cixiangquanlibaokuogaibiantadezongjiaohuoxinyangdeziyou, yijidanduhuojiti, gongkaihuomimideyijiaoyi, shijian, libaihejielubiaoshitadezongjiaohuoxinyangdeziyou. 
19-00	di19tiao
19-01	renrenyouquanxiangyouzhuzhanghefabiaoyijiandeziyou;cixiangquanlibaokuochiyouzhuzhangerbushouganshedeziyou, hetongguorenhemeijiehebulunguojiexunqiu, jieshouhechuandixiaoxihesixiangdeziyou. 
20-00	di20tiao
20-00	renrenyouquanxiangyouhepingjihuihejieshedeziyou. 
20-01	renherenbudeposhilishuwumou1tuanti. 
21-00	di21tiao
21-00	renrenyouzhijiehuotongguoziyouxuanzededaibiaocanyuzhilibenguodequanli. 
21-01	renrenyoupingdengjihuicanjiabenguogongwudequanli. 
21-02	renmindeyizhishizhengfuquanlidejichu;zhe1yizhiyingyidingqidehezhenzhengdexuanjuyuyibiaoxian, erxuanjuyingyijupubianhepingdengdetoupiaoquan, bingyibujimingtoupiaohuoxiangdangdeziyoutoupiaochengxujinxing. 
22-00	di22tiao
22-01	meigeren, zuoweishehuide1yuan, youquanxiangshoushehuibaozhang, bingyouquanxiangshoutadegerenzunyanherengedeziyoufazhansuobixudejingji, shehuihewenhuafangmiangezhongquanlideshixian, zhezhongshixianshitongguoguojianuliheguojihezuobingyizhaogeguodezuzhiheziyuanqingkuang. 
23-00	di23tiao
23-00	renrenyouquangongzuo, ziyouxuanzhuanzhiye, xiangshougongzhengheheshidegongzuotiaojianbingxiangshoumianwushiyedebaozhang. 
23-01	renrenyoutonggongtongchoudequanli, bushourenheqishi. 
23-02	mei1gegongzuoderen, youquanxiangshougongzhengheheshidebaochou, baozhengshitabenrenhejiashuyou1gefuherendezunyandeshenghuotiaojian, biyaoshibingfuyiqitafangshideshehuibaozhang. 
23-03	renrenyouweiweihuqiliyierzuzhihecanjiagonghuidequanli. 
24-00	di24tiao
24-01	renrenyouxiangshouxiuxihejianxiadequanli, baokuogongzuoshijianyouhelixianzhihedingqigeixinxiujiadequanli. 
25-00	di25tiao
