00-00	FAJUUMENUMI SIDRUWAAS SATI ANAU
00-01	Yineni aat mati fangaaf fati anau di sidruwaas soola, san umaje sirere di saasu ban poop sisofut di uceen soo silakom fujuumaf fati di malegenam, di kairaay di duniaay burom ;
00-02	Yineni jaat anau nasonsong mati kamanjaataak di enoosey sidruwaas sati anau soo singarulomi makojiam, ban malegen munkul mujawulojaw di duniaay man Anoosan mungoolengoolen usanken man suumimi nusof man suumimi, nupak di makooleniam di bugaalab ;
00-03	Yineni jaat mati sensen man aakemmi mofam apooy sidruwaas sati anau, takumngarul anau tuunool eri manakaan wajakut ;
00-04	Yineni jaat mati kalingen bapaalaay bati sisukas jajak;
00-05	Yineni jaat di kabaatak kati duniaay burom, bukanak kulanlaan kuyiisen mankusofumi sidruwaas sati anau di fangaaf fati anau di malegenaam mati anan di kare'enak burom aniine di aseek ban poop kujunjuum burok man mati anau mujaw faculey;
00-06	Yineni jaat mati sisukas sandomi soo di "Organisation des Nations Unies" sijunjuum ejuum yati sidruwaas sati anau di duniaay burom sikaani.
00-07	Yineni jaat mati sidruwaas sati anau kankaan waaf waamak wariinge ejuum man wasankeninaa ukaani.
00-08	Asambule Seneraal
00-09	Esosof mati furimaf ufe fujuumenumi sidruwaas sati anau kankaamn waaf wajake maamak bee bukanak burom di sisukas burom. Moo kaane jajak man bukanak di sikafaas kujuum mankulingenufo di kuyiisenufo kuniilak natimkarang mukaanaam moomu burom enesey maapi kaanimi man duniaay burom eyinen di ekaan siluwaas soosu nen mansiregumi eeno.
01-00	Fujuum 1
01-01	Bukanak burom nan kuwolimi kurere kererer di waafaw burom. Kubabaj poop buyejet di karampenoor.
02-00	Fujuum 2
02-01	Anoosan nababaj sidruwaas soosu burom; bajut aseek bajut aniine, bajut an ati kansanken kubuto, bajut an ati kapongol kubuto, bajut paarti ebuto, bajut an abaji di muceen benen bajut ro kapajul kuceen kati po1itik kati luwa mba kati esuk, yabaje fangaaf fooliyo mba ebajut.
03-00	Fujuum 3
03-01	Anoosan nababaj druwa ebaj fuyiifaf foola, ebaj kapooy kati fangaaf fool a di kaano nen man amangumi eeno.
04-00	Fujuum 4
04-01	An letalako amiikeel ati akeen, letarok bee akeen; ban poop miikeliyaay di kanoomen kati kumiikeel firenifiren.
05-00	Fujuum 5
05-01	Bajut katooranding an; an letassuutukeni.
06-00	Fujuum 6
06-01	Anoosan oomu di druwaay yoola banooban ban ammi.
07-00	Fujuum 7
07-01	Luwaay ere'en re'en bukanak burom anoosan nababaj kapooyak kakonak kati luwaay. Anoosan nababaj kapooy mba mukaanaay maluse furimaf ufe.
08-00	Fujuum 8
08-01	Anoosan nungoolengoolen ulamandi furim mba mukaanaay maluse sidruwaas soosuna san umanjumi luwaay eseneso.
09-00	Fujuum 9
09-01	An letungoolen ulaaf an manusofool, nukulool mba nukesoorool.
10-00	Fujuum 10
10-01	Anoosan nubabaj druwa kayiisen di bantabaay wabajimi tiribinaal yan umanje elaanut di anoosani yooyu eje'em bee efeley.
11-00	Fujuum 11
11-01	Luwaay yoone an anoosan kurege oo akaane mataaniye kulaafoolaaf bee funakaf fati kiitiyey yiiseni jaat wakaanumi mankoone akila akaane oo babajerab kujuumak koola.
11-02	An leekukulool mati waaf wan umanje nan ukaanumi ulakout wataaniye di luwaay di poop an letakaanool saariyong yawuuje yawarin ekaani.
12-00	Fujuum 12
12-01	An uwarut unoken di mukaanaam mati an, sindaay yati an, mba tan tati an mba nuyenten fangaaf foola mba nukajen kajamaak koola. Luwaay epoopooy anau di waafaw buirom.
13-00	Fujuum 13
13-01	An anoosan nababaj druwa ejaw ban suumoomi di ekin ban suumoomi di esukey yoola.
13-02	Anoosan nababaj druwa epur mof haani moola di elaanul nan suumool.
14-00	Fujuum 14
14-01	Nan taanimi anoosan nungoolene ujaw ugongoto do mof mubuto.
14-02	Letungoolen ubaj kagongoto kukila lako jaat nububuj an.
15-00	Fujuum 15
15-01	Anoosan nubabaj druwa ebaj mof miiya.
15-02	An letangoolen afiren an mee ebaj mof moola mba epur di moo.
16-00	Fujuum 16
16-01	Akambaani di ajanga kariinge buyebo Kungoolengoolen kuyaboor mankubaj kuniil bapajuloorut sisiiw mba sisuk mba bungarab. Kurere di kayaboorak di buyebaab di ebaney yoolibo.
16-02	Buyebaab mambukaan, kuyabooraak kujamoor.
16-03	Bukanak kakinum di kaakemmi mofam kuwawar kupooy fiilaf falakomi fufaaraf fati kalakaak.
17-00	Fujuum 17
17-01	Anoosan, nababaj druwa ebaj waaf woola fuko'ol mba wan kunampoore di kupaalool.
17-02	An letungoolen ubot fubaj fati ata fo di mee.
18-00	Fujuum 18
18-01	Anoosan wuniwun, manubaj kawonoor kiiya, ejuk yiiya di bungar biiya, suumi jaat nungoolene uruung mba nuje'etum bungarab biiya tiyangaraay nen man buccengum eeno.
19-00	Fujuum 19
19-01	Anoosan nababaj druwa, ebaj kawonoor kiiya di kayiisen ko nen manumangumi eeno. Yoo elakomi an awarut ajaakali ebaj siwonoor soola. Nangoolengoolen ayab kurim mba siwonoor san angoolene afasiken doo esukool mba tiyang.
20-00	Fujuum 20
20-01	Druwaas ewuwun anoosani manajuumen kamit mba kafa yati kasuumaay.
20-02	An letungoolen unoken an di kafa yanamangut.
21-00	Fujuum 21
21-01	Anoosan nungoolengoolen ulako di fujuum fati mukaanaam mati mofam miiya mba nubaj kan ufojule kaje'e beet ejuumi.
21-02	Anoosan nungoolengoolen ubaj fujuum di mukaanaam mati mofam miiya.
21-03	Kamangak kati bukanak koo kukiimi sembaay yati kaakemmi mofam. Kamangak kukila woteey eyiisenemi ko. Moo kaane woteey ekila ewawar ebaj waati di waati.
22-00	Fujuum 22
22-01	Anoosan tan ukinumi sensen manubajuto kayeraay yoola. Kayeraay yooyuna ejowumulojowum di sidruwaas sati fubajaf di sati tan akinumi di sati mukaanaam moola. Kayeraay yooyu an angoolent abajaatiyo; moo kaane esukoo esuk enampoonampoor di sisuk saasu man kayeraay yooyu ekila ebajo.
23-00	Fujuum 23
23-01	Anoosan nababaj druwa ebaj burok basuumoo.
23-02	Bajut aseek bajut aniine anoosan aroke burok nababaj druwa mankucaamool bacaam bare'e nan burokab banakaanumi.
23-03	Anoosan ammi di burok kuwawar kucaamool yaj manangoolen acookoor sindaay yoola, nangoolen abaj kayere di fangaaf foola.
23-04	Anoosan nababaj druwa kajuumen fujum fati kurokaak, nangoolengoolen en poop anokendo mankumak aajaay.
24-00	Fujuum 24
24-01	Anoosan nababaj druwa ebaj kunak kati kayoolo, kati furaar. Waatay yati burokab ewawar erewoor ban di ebaj waati yati kayoolo ban pankucaam bukanak.
25-00	Fujuum 25
25-01	Anoosan nababaj druwa wakoyume bee akila, bukanak koola, furiaf wanaw di tan akinumi wawar jak. An masuumaati mubaje nen kasumut nen an ataool ajime mba an eluupool efumoe. Bukanak kuwawar kurampenool.
25-02	Mudeenanaam di kuniilak kuwawar kubaj kakaanum di karampen kaamak. Kuniilak burom "Kabaji di kayaboore mba kayaboorut" kure'e. Koo burom kuwawar kubaj kacookoor kajake.
26-00	Fujuum 26
26-01	Anoosan nababaj druwa kakarang an awarut acaam kakarang. Aniil nawawar akarang bacaamut waafowaaf kakarang kati siteginikas di kati burok kuwawar kukambuli di bukanak burom. Silekoolas saamakas poop bajut kafajul.
26-02	Nafaay yati kakarangak yoo eenom majakaam mati anau di fangaaf foola. Kakarang kujunjuum fujuum fati epooy sidruwaas sati anau; yoo yakoney ebenenbenen bapaalaab di mof majuupoe di tutooraay yati mof majuupoe di sisiiw sajuupoe di bukan kanaamut di ungar di wanoosan wakaanimi man kayeraay elako di duniaay.
26-03	Kubajaak kati kuniilak koo koote kanoken kunooliil di kakaranng kan koo kumanngumi.
27-00	Fujuum 27
27-01	Anoosan nababaj druwa ekaan mukaanaam mati bukanool, nanes mammujaw facul mammunafaool.
27-02	Anoosan ajoonene waaf mba naciik waaf, luwaay ewawar eppooyuwo.
28-00	Fujuum 28
28-01	Anoosan nababaj druwa man majoone mulako di mofool di duniaay maje'e bee ekaan man siluwaas sammi di kaytak uke singoolen sirok jak.
29-00	Fujuum 29
29-01	Anoosan nawawar anafa kan kukinoorumi, bukoo keb kungoolene kurampenool man moola mujaw facul.
29-02	Man kakinoorak kusuum, babaj luwa yajuumeni mati mati manemat sidruwaas soola di mukaanaam mati bukanak an anoosani sidruwaas soola di majakaam moola murelore tan maamu mati aamu mutoongumi.
29-03	Sidruwaas di siluwaas san ujukulaana siwarut sipur di wan sisukas sati “Nations Unies” sisofumi.
30-00	Fujuum 30
30-01	Waaf uleero di kayitak uke wan umanje an mba bukan mba mof mungoolengoolen mujowum to mammukajen sidruwaas di siluwaas sandomi kayitak asambule seneraal yati oni eyinenyinenuko eban di epurenuko di burokab booliyo n° 217 (III) bati fuleengafu fati desambuur nan fubajumi kunak unen di emitey 1948.
