00-00	'gro·ba·mi'i·dbang·cha·gi·'dzam·gling·gsal·bsgrags,
00-01	de·yang· 'dzam·gling·nang·gi·zhi·bde·dang·drang·khrims, de·las·dal·dbang·tshu·gi·gzhi·'gyam·gtso·bo·de· 'gro·ba·mi'i·rigs·ga·ra·dang·mnyam· lhan·cig·skyes·te·yod·pa'i·brtsi·mthong·dang·'adr·mnyam, rang·dang·'brel·ba·med·pa'i·dal·dbang·tshu·in·pa'i·ngos·'dzin·grub·in,
00-02	de·yang· 'gro·ba·mi'i·dal·dbang·lu·cha·gans·ma·'bad·mi·dang·, brtsi·bkur·ma·'bad·mi·lu·brten·te· kla·klo'i·spyod·pa·dang·'brel·ba'i·bya·spyod·lu·brtson·bcug·ste· 'gro·ba·mi'i·rnam·dpyod·de·ra·khong·khro·dang·ldan·mi·cig·lu·bzo·ste·yodp·ma·tshad,spyir·btang·'gro·ba·mi·tshu·gis· rang·ra·so·so'i· kha'i·dal·dbang·dang·yid·ches·kyi·dal·dbang·, de·las· 'drog·'jigs·medp·gcig·dgo·pa'i·dal·dbang·tshu·khag·che·shos·gcig·lu·'gyur·te·yodp·in,
00-03	de·yang· ga·dem·gcig·'bad· 'gro·ba·mi·tshu·gis· dbang·skyong·dang·dbang·gnon·las·bzlog·thabs·lu· mtha·mjug·gi·thabs·shes·bzum·cig·'bad· ngo·brgal·'bad·dgop·medp·sbe·bzhag·dgo·pa·cin· 'gro·ba·mi'i·dbang·cha·de· khrims·gyis·nyen·srung·'bad·dgop· ga·ni·las·khag·che,
00-04	de·yang· rgyal·khab·tshu·gi·bar·na·mthun·'brel·yar·drag·dang·gong·'phel·gtang·dgop·de·yang·ga·ni·las·khag·che,
00-05	de·yang· 'dzam·gling·spyi·tshogs·kyi·'thus·mi·in·pa'i·rgyal·khab·kyi·mi·tshu·gis· spyi·tshogs·kyi·bka·khrims·nang·lu· 'gro·ba·mi'i·dal·dbang·gi·gzhi·rtsa, 'gro·ba·mi'i·ngos·'dzin·dang·rin·thang·, pho·mo·'adr·mnyam·gyi·thob·dbang·, de·las· rgya·che'i·dal·dbang·gi·thog·las·mi·sde·yar·drag·gtang·ni·dang· spus·tshad·ldan·pa'i·mi·tshe·yar·drag·gtang·dgop·'bad·tshud·de·yod,
00-06	de·yang·'thus·mi·rgyal·khab·tshu·gis·yang· 'dzam·gling·spyi·tshogs·dang·gcig·khar·lgap·mthud·de· 'dzam·gling·nang·lu·gus·bkur·yar·drag·gtang·ni·dang·, 'gro·ba·mi'i·thob·dbang·dang·gzhi·rten·gyi·dal·dbang·tshu·grub·ni·lu·khas·len·'bad·de·yod, de·yang· thob·dbang·dang·dal·dbang·de·dang·'brel·ba'i· spyir·btang·go·ba·len·dgop·'di· de·nang·'khod·de·yod·pa'i·khas·blangs·tshu·ga·ra·'grub·tshugsp·'bad·dgo·mi·de·in,
00-07	de·'bdaw·las· da·las·phar,
00-08	'dzam·gling·spyi·tshogs·yongs·khyab·zhal·'dzoms·nang·las,
00-09	'gro·ba·mi'i·dbang·cha·gi·'dzam·gling·gsal·bsgrags·'di· mi·dang·rgyal·khab·ga·ra·gis·gans·tshad·gcig·gi·thog·las·grub·dgop·mi·gcig·dang·, mi·ngom·re·re·bzhin·dang·mi·sde'i·las·tshogs·tshu·gis· gsal·bsgrags·'di·dus·rgyun·du·sems·khar·dran·te· shes·rig·yon·tan·gyi·thog·las· thob·dbang·dang·dal·dbang·tshu·lu·bskyed·dgo·pa'i·gus·zhabs·yar·drag·gtang·ni·dang·,rgyal·yongs·dang·rgyal·spyi·gis· 'dzam·gling·yongs·dang· 'thus·mi'i·rgyal·khab·kyi·mi·tshu·dang·, rang·so'i·mnga·khongs·kyi·sa·khongs·tshu·nang·yod·pa'i·mi·tshu·las·yang· nus·shugs·ldan·pa'i·ngos·'dzin·dang·mig·lta·tshu·thob·thabs·'bad·ni'i·spyir·btang·gans·tshad·cig·'bad·gsal·bsgrags·'bdaw·in,
01-00	rtsa·tshan·1pa,
01-01	'gro·ba·mi·tshu·ga·ra·dal·dbang·gi·thog·las·skyes·te·yodp·las· ga·ra·lu·brtsi·mthong·dang·thob·dbang·'adr·mnyam·sbe·yod, mi·tshu·ga·ra·smra·shes·don·go·ba'i·mtshan·nyid·dang·ldnam·las· ga·ra·gis·laa·ga·ci·ra·'bad·rung· gcig·gis·gcig·lu·spun·cha'i·'du·shes·bskyed·thog·las·laa·'bad·dgo,
02-00	rtsa·tshan·2pa,
02-01	'gro·ba·mi·rigs·ga·ra·lu· gsal·bsgrags·'di·nang·'khod·de·yod·pa'i· thob·dbang·dang·dal·dbang·tshu· 'gro·ba·mi'i·rigs·kyi·dbye·ba·dang·, sha·bkyag mtshan·rtags, kha·skad, chos·lugs, srid·don·dang·gzhan·gnad·don, mi·khungs, rgyu·dngos, skye·sa'i·yul·dang·stobs·go·sa·la·sogs·pa·ga·ni·lu·yang·dbye·ba·ma·phye·bar· 'adr·mnyam·sbe·thob·dgo, lhag·par·du· rgyal·khab·kyi· chab·srid·dang·, sa·khongs, yngan· rgyal·spyi'i·nang·gi·gans·rim·dang·, yngan· rang·dbang·dang·blo·gtad·can, yngan· rang·dbang·gi·thog·lu·skyong·gzhag·med·pa'i·sa·khongs, yngan· rang·dbang·lu·tshad·bzung·'bad·yod·pa'i·sa·khongs·ga·ste·gi· mi·ra·in·rung· de·tshu·yang· so·sor·'bad·dbye·ba·phye·mi·chog
03-00	rtsa·tshan·3pa,
03-01	'gro·ba·mi·ga·ra·lu·mi·tshe'i·dal·dbang·dang·rang·dbang·, de·las·nyen·srung·gi·thob·dbang·yod,
04-00	rtsa·tshan·4pa,
04-01	'gro·ba·mi·ga·ra·in·rung· bran·gyog·'bad·bzhag·ma·chogp·dang·,bran·gyog·rin·lugs·'di·dang· bran·gyog·tshong·'brel·gyi·rigs·ga·ci·ra·in·rung·bkag·dam·'bad·dgo,
05-00	rtsa·tshan·5pa,
05-01	'gro·ba·mi·ga·ra·in·rung· sdug·spyod·dang·gdug·rtsub, mi'i·spyod·pa·las·'ads·pa'i· yngan· dma·phab·dang·'brel·ba'i·laa·tshu·dang·nyes·khrims·sogs·bkal·ba'i·nyes·spyod·myong·bcug·ni·'di·mi·chog
06-00	rtsa·tshan·6pa,
06-01	khrims·kyi·'dun·sa·ga·ste·'bad·rung· ga·ra·lu· 'gro·ba·mi·in·pa'i·ngos·'dzin·gyi·thob·dbang·yod,
07-00	rtsa·tshan·7pa,
07-01	khrims·'dun·lu·'gro·ba·mi·ga·ra·'adr·mnyam·inm·las· ga·ra·lu·khrims·'dun·las· chags·sdang·phyogs·ris·med·pa'i·nyen·srung·gi·thob·dbang·yod, gsal·bsgrags·'di·lu·cha·gans·ma·'bad·bar·gshig·ste·byung·ba'i· nye·ring·dang·phyogs·ris, de·bzum·ma'i·nye·ring·dang·phyogs·ris·lu·rgyud·skul·'bad·ba'i·rigs·ga·ra·las·srung·skyob·'bad·dgo·pa'i·thob·dbang·yod,
08-00	rtsa·tshan·8pa,
08-01	rtsa·khrims·chen·mo·dang· yngan· khrims·gzhung·gang·rung·gis·gnang·yod·pa'i·gzhi·rten·thob·dbang·lu·gnod·pa'i·bya·spyod·re·byung·tshe· rgyal·yongs·kyi·lcogs·grub·can·gyi·khrims·zhib·tshogs·pa'i·kha·thug·las·nus·pa·dang·ldan·pa'i·sel·thabs·'bad·dgop·'di·ga·ra·gi·thob·dbang·in,
09-00	rtsa·tshan·9pa,
09-01	khrims·dang·ma·mthun·par·'dzin·bzung·'bad·ni·dang·, do·dam·og·lu·btsugs·ni, yngan· mthar·bshud·gtang·ni·sogs·ga·lu·yang·'bad·mi·chog
10-00	rtsa·tshan·10pa,
10-01	mi·ngom·gang·rung·gi·thob·dbang·dang·'gan·'khri, de·las· de·lu·bkal·yod·pa'i·khrims·'gal·gyi·nyes·'dzugs·tshu· drang·bden·thag·bcad·'bad·ni'i·don·lu· rang·dbang·can·dang·yngan· nye·ring·las·'ads·pa'i· khrims·zhib·tshogs·pa·gcig·gis·'bad·dgo·pa'i·thob·dbang·mi·ngom·ga·ra·lu·yod,
11-00	rtsa·tshan·11pa,
