00-00	DUNUNA BENMAKAN KA A BEN
00-01	Bani fabadenna tomasere le ye, horoya ni telen ani jususuma di dununa do,
00-02	Bani adamaya lasabati lonbaliya ni a la gboyane le nanin benkanni di men ka moolu lamuriti, ka ke sababu di fana ka moolu kunna fulen, ka alu lo horoya ninina ka alu bo misikinaya do,
00-03	Bani adamaya lakanda ye wajibi le di, fo jamana ye ke jamana dafani le di sariya bolo ma, wole ye a kela moolu te muriti ka don jede makadan waa la,
00-04	Bani jamanalu la teeben ni alu la kaninteya ye fen ne di men kakan ka senbenteya,
00-05	Bani jamana mennu ye "ONU" dekuruba kono, wolu bara alu kan di ko alu di adamaden nakadan, ka a lawuriki ka ban ka ce ni muno lakana ko bee do,
00-06	Bani alu bara alu kan di fana, ko alu di adamaya lafasa, ka adamaden la horoya dafa sila bee kan,
00-07	Bani, bee benni miriya kelen ma, ka a lo adamaya lasabati ma, wo ye wajibi le di bee ne, walako miriya wo ye se lataamala sila bee kan, "ONU" gbaraba bara a kandi: ko adamaden lakanda sariya nin bara ke dununa bee ye wajibi di, sa bee ye a to i hankili la, ka i tesidi, ka moolu karan a la, ka alu jodon a la, ka a latinma jamanala te.
01-00	Sariya 1
01-01	Adamadennu bee sodonna kakan, horoya do, fabadenna do ani sariya ta fan do. Hankili ni sonome ye alu bee ma, a kakan wo do alu ye bakelenna sila lataaman alu noon te.
02-00	Sariya 2 nan
02-01	Moo kelen kelenna bee ni adamaden lakadan sariya kakan, i keda moo suusu di, i sii te mafene nna, i fadikolo te mafenenna, i kan te mafenenna, i la dina te mafenenna, i la jamana mara hankili te mafenenna, i sodondiya te mafenenna.
02-02	Ani fana jamanalu suuya te danbola ka a ben sariya wolu ma, alu mara hankili keda a suusu di, alu ma ke jamanalu horoyani di, alu keda mara suusu kono.
03-00	Sariya 3 nan
03-01	Adamaden kelen kelenna bee nii kakan ka lakanda, ka a la horoya lakanda, ka a kun nakanda.
04-00	Sariya 4 nan
04-01	Moo si makan ka ke jon di, ka ke bolokono moo di, jonna ni jonsan sila bee bara laton.
05-00	Sariya 5 nan
05-01	Jankankata suusu ma kan ka sii moo la min di se fe siila a la adamadenna la, ka a kunnajii.
06-00	Sariya 6 nan
06-01	Adamaden kelen kelenna bee la mooya ka kan ka lon a ne sariya kunda bee la, a keda fanfan di.
07-00	Sariya 7 nan
07-01	Moo bee ka kan sariya na kodo, a ka kan fanan bee ye maben na kelen ma sariya bolo. Moo makan ka lafisaya moo di ka ben sariya nin lataamanna ma.
08-00	Sariya 8 nan
08-01	Moo bee di se i makasila i la jamana sariya bonnu la ni bila keda i la toneli sila ma, ni wo te sariya sila ma.
09-00	Sariya 9 nan
09-01	Moo si te se minala ten, ka a don kaso la hamante ka gben a la jamana kono ni kun te a la.
10-00	Sariya 10 nan
10-01	A wajibiyani, adamaden na ko ye ke ko hakika di, ka a lankenemaya kitibon na telen konoma, ka a jo ni a jalaki danfaranbo.
11-00	Sariya 11 nan
11-01	Moo moo na a midada sika la sariya bolo ma, a ka kan ne ka jate folo ko a son te a do, han kiti ye a jalaki lankenemaya.
11-02	Moo moo na a midada sariya kodo bolo ma, sariya kuda sila ma kan ka lo a ma. Ani fana a la midali fanka ma kan ka tanbi sariya kodo jate la.
12-00	Sariya 12 nan
12-01	Moo ma kan ka a bila a moo noo la kolu do ten; ka bo a la denbaya kolu ma, a la gbundu sebelu, ka wa sii a la lukono kolu la. A ma kan ka a dantinen, a ma kan ka a suma gboya. Sariya ka kan ka bee lakanda ko suu wolu ma.
13-00	Sariya 13 nan
13-01	Taa ni seyi dahani bee ye jamana kono. Jamana yoro yoro fana ka i diya, i dise i siila yen.
13-02	Moo kee di se ka bo jamana kono, a keda a fabada di, a keda jamana gbede di, ka ban ka a koseyi.
14-00	Sariya 14 nan
14-01	Dannatanbikolu kodo, bee di se i kun karifadiya ninina jamana gbede do, i don ma kan ka jen a la.
14-02	Ni sariya lonin te moo ma, moo men na a la jamana sariya tinenna ka a bori.
15-00	Sariya 15 nan
15-01	Moo bee ka kan ka ke jamana do jamanaden di.
15-02	Moo si te se ha jen a la jamana denna la, i don di se fanan jamana gbede denna sodonna.
16-00	Sariya 16 nan
16-01	Ni alu sii seda a ma, kamarennu ni den musolu di se fudula noon ma, sinooya te a do, dina ko te a do. Alu bee kakan sariya na kodo ko bee do, fudu bolo ma.
16-02	Fudu te sidi alu te fo alu fila bee ba ben a ma.
16-03	Denbaya le ye jama tefeden di. Wo do, a kakan ka lakanda jamana bolo.
17-00	Sariya 17 nan
17-01	Moo moo, a keda a kelen na, a keda jama do, a di se ka a ta sodon.
17-02	Moo si bolo fen ma kan ka mina a la fanka bolo ma.
18-00	Sariya 18 nan
18-01	Hankili lamiri, sonome lamiri ani dina lawasanin bee ye. I di se ka i diyananta ta dinalu do, ka a silalu lataama.
19-00	Sariya 19 nan
19-01	A lawasanin bee ye ka a miriya jida, foli do, sebeli do, ka hankili ninin fan bee, sila bee fe. Ko si ma kan ka ke moo la wo si do.
20-00	Sariya 20 nan
20-01	A lawasani bee ye ba noon nadee, kuna do, keweli do men ni janfa sila te kelen di.
20-02	Moo te se karabala ka ladon dee do, dee min man di a ne.
21-00	Sariya 21 nan
21-01	Jamanaden bee di se kela jamana kantii di, a yedekani walal a la moo suwandini.
21-02	Jamanaden bee kakan jamana baarakundalu do bolo kelen ma.
21-03	Jamana kantiilu fanka siini jamana den na lannaya le ma; jamanadennu ye alu sawo yidala wote ni wote le, ka ala lannaya moolu suwandi telen ni sariya do.
22-00	Sariya 22 nan
22-01	Jamana bee kakan ka jamanadennu lakanda na kelen ma. Sodon sila fe, dariya sila fe, lonni sila fe, lakandali wo ye bola jamana boloko le do ani a ye min sodonna ani jamana gbedelu la baaranooya do.
23-00	Sariya 23 nan
23-01	Bee kakan ka baara sodon, ka baara ke sonoya do, baara men duman i ne; bee kakan ka latanka baaratanna ma jamana kono.
23-02	Baara mennu jate kakan, wolu kakan ka sara na kelen ne ma a kebaalu ye.
23-03	Baara kakan ka sara sodon, sara men di baarala ni a la denbaya balo hali a ma dese.
23-04	Baaralalu la noon nakafo dahani alu ye, alu la munanfan makadan sila fe.
24-00	Sariya 24 nan
24-01	Noononni ni nanate wajibiyani baarala bee ye, men ni sara tee te kelen di.
25-00	Sariya 25 nan
25-01	Se wajibiyani bee ye, se men di ani a la denbaya daha, ka alu kisi konkon ma, ka alu dafiyabo, ka lau jiya, ka alu dandan ani ka alu musakalu na. Ni jankaro ni baaratanna ani misikinaya latee suusu seda i ma, i kakan ka makadan.
25-02	Denbatii ni a den kakan ka mademen; den sodonda fudu do, a ma sodon fudu do, a bee kakan.
26-00	Sariya 26 nan
26-01	Kakan wajibiyani bee ye, a don ma kan ka sara katere karan saara folo ni a filanan ma. Karan saara folo ye wajibi le di bee ye. Baara makaran ka kan ka aalawanka. Bee ka kan ka karan saara naaninan masodon tee sidi bolo le ma.
26-02	Karan ka kan ka moo llawanka, ha a la mooya lasabati, ka a la horoya lawasa. A kakan ka ke sababu di ka noon nagboyane boloka, ka hina ni terinooya ladon dununa do, siyalu te, dinalu te, ka "ONU" deekuruba mademen ben nadonna dununa kono.
26-03	A dahani denbatiilu ye ka alu den bila karan na, karan men duman alu ye.
27-00	Sariya 27 nan
27-01	A wajibiyani bee ye ka tere i la jamana lonniko bee do han ka a tono sodon.
27-02	Bee la baara tono kakan ka lakanda, a keda sebe di, a keda lonni suusu di.
28-00	Sariya 28 nan
28-01	A dahani jamana bee ye ka bo sila di, sila men di sariya ninnu lakanda ka ke kunnafulen di adamadennu ma.
29-00	Sariya 29 nan
29-01	Bolo koyinin kelen te bere ta, wo do, bee kakan ka kolo i la jama.
29-02	Jamana dafani do, ebee kakan ka to sariya le ko walako i kana bila dolu tone do.
29-03	Sariya ninnu kakan ka lataaman "ONU" deekuruba la miriya le kan. A makan ka llataaman miriya gbede kan.
30-00	Sariya 30 nan
30-01	Dalilu si te moo bolo, a te jamana bolo, ka bo sila di, sila men di sariyaba ninnu tinen.
