00-00	[missing]
01-00	Articulo 1
01-01	Ojjana esejja ojjana oyaja yojjaya cuayani quiapame oyajayojjaya quiapame ojjana eseya quiapame quia tai jjashauabataiquiani ecueya epejji jayo jjaya ojjana jajji ojjanajaassi eseyajayojja.
02-00	Articulo 2
02-01	Jjanahuequiani eseya quiapame ebaejji oyajayojjaya esyajeme eponacuanaya yojjaya eeme cuijjicuana jayojjayapia ai jeme ojjana cuijji quiaquepepia ai quia ahuo pia ai eyaejja jea ojjequijo jjashahuabaquinai quiapame joposo achejajji acuaemi pueyani so, o achemeshijo ba, eso.o
02-02	Achajja mimime acuemi esejja so, o miya niniaani eseejja e sohuijoya piajajjipia mimime eseyajayojja pojjeama eseyabejjo jjiya jjemo seya escuela cuana same esesohuihuuohuijji iyaame.
03-00	Articulo 3
03-01	Eseja najeateejobaeani teedojjojeseya cuahuamajjebaeni esejameshijo esecuayajjimeshio quiapane baeni ayapishanajea cuayacayiome.
04-00	Articulo 4
04-01	A,a eseejja quiajji ijiacajjijjemo aje ca ohuequia cajjicuichi jjemo ajecao’e quia cajji cachinacuana jjenoquiacajji jjojicuanajjemo ajecaquia cajji ca esejja.
05-00	Articulo 5
05-01	A, a pia cuuisa nahuejja.
06-00	Articulo 6
06-01	Oyajayojjaya esecuayajjiepo cuana chamajo eseyaquianahue presedente cuanaja o ya niya carded tehuemeemajje miya presedente tehuemecue eseya acajeyio micuaya tehuemrhuecue quiapame ebaejji.
07-00	Articulo 7
07-01	Oyajayojjaya casecoma esecuayajjima tehuejjimajo esedijjemimijjiseja botlana mimijjijoya.
08-00	Articulo 8
08-01	Esejaya sipohjji botiama yajjajo sipojjijojo jamajoya eyaya dejjama se huohui sa ana ecuiameessi.
09-00	Articulo 9
09-01	A5a o,e jadobajjamadeijia cuajiajji mique meshijobae a,a o,e mimsjajijji miya o,e quia pane baecue mique meshijo.
10-00	Articulo 10
10-01	Ojjaana nahuecue esejja cuana ojjana dejjaojjana dejja jjaadichichaquinaje nahue jji nahuecue ejjayia ojjequiya.
11-00	Articulo 11
11-01	Sipojji pia jahuanacani ehuodeejjiyaebacapuani jojo eya ejahuanajji puani ojjana pojjajo sipojjijo. Miya mique guanase cuiamajje ecuaya miyaya guogui ajjaje ecuaya mi mique mique ecueya miya ebajjipojjiama.
12-00	Articulo 12
12-01	A,a piaja equiya sijje poquijji equimese guoguiajja jjinajo miyayia caje eqquineseya a,a piaja papeni napajji pia ai oya tecuetecueje.
13-00	Articulo 13
13-01	Miya achacuashai poquije pojja quiahuesha pojja a,a pia neshiya sijje pojja a,a.
14-00	Articulo 14
14-01	A,a piaja ebaguapionajopojji joya ebacua piona quianahuejo a,ahuohuijjaajji ebacua piona nahuejo A,apiaja ebacuapiona sijji miya saaja yiomajje quecua cajeyio bayiomajje oya jjeshecajeyio.
15-00	Articulo 15
15-01	Ojjona se jja shahuabaquiani jiquio esecuayanaje meshijo achemeshijo cuayase baajja jama jojoya ohue jjashahuabaqui. Cue Eseyajje jio ojjequisapomajje jjajia ojje quicuenomaya ohue.
16-00	Articulo 16
16-01	Cuiijji y,epona .jja huia quicajji tiimajje jjahuia quicajji, apoa jjahuana quicajji tiimajje jjahuanaquicajji ecuuehuana sejo eyabecahio. Eseja huanase. Aje esya jjayojja jja sha huabaquime poani. Tiimajjeya, jjahuanaquicajji eshoica chojja. Ecuana ese_ejja jjahuanaquiani tiimajje de 20 shequiajeme pomajje jja ba cuane quiani ecuaa a piacuiijji yacojjocajo epona jjianacuiamajje. Eponaja quiajiajo macuiijjijo yacajjahuiaquicajji esejacomunidad jo siba hiani ojjana esejabacuaejjanei enaese.ya sohuihuo huicani oja chiicuaaso huihuocanipiaai.
17-00	Articulo 17
17-01	Ojjana aquiana ca esejayanomoya jiquio eseja jjeshe piaja pujjiama ojjana cuijjiyaca aquiana ojajjeshe ojayanomapoani. A,Aca_aquina nahuejji joya ojajjeshe.
18-00	Articulo 18
18-01	Ojjanase jjashahuaba quiani oyajayojja. Be ca quiamase beca quiakene. Jjashahuaquijejiyoina piajjashuaba ki hiomepoaje.
19-00	Articulo 19
19-01	Ojana sejjasha huabaquiani ejja jjia ojjequijo ehuohuijji jiquio piameshijo baecacuana quiamasejo oyajayojja yacase cornaca quiatai emimijji miyaca piacomunidad joba ebaesapomajje cabaehio cueya mi quejjashahuabaquijo etiipojji huohuimajje emeshimese eseja huanasenijjeca shacuijji.
20-00	Articulo 20
20-01	Ojjanasejja chicha quiani reuniojo e'anijji A'A reunionjo aia molesta ajji jjasha jja ajjaquia jjapoaaje reunionjo anicaohue A'Amimimimijji shajja ajjacue ohuei, A Ajo ya cajaapoaje cuanayejji i, q u i o reunionjo anijeAAnahuejji.
21-00	Articulo 21
21-00	Ojjana se jja shahuabaquianica reunionjo eanijji etiipina,i. Joya reunionjo yasijje poquisapoani capoquicajji. A acuanajoya cajaapoaje yejji.
21-01	Ojjana jaa huana jjipoani ejjachichaqui comunidad jobae.
21-02	Chamapoani jamajoyaca hishiacue chamapoajo ese ejja jamajjeyachamapoa escuelacuana ena cuana ettipojjichamajo ojjana jjashahuabaquiani esejame shijo eseja etticuanajo.
22-00	Articulo 22
22-01	Esejabana cuana A'A nahuejji, eseja bacuajahijiajji aquiana jjeshe quiani epona cuana oja aquianajo jiquio esejame shijo baeca ayuda acajji ojaya e'i jjia jjijo epona oyajayojja pomajje cuijjijayojja epona chacochaho ajjacabeca.
23-00	Articulo 23
23-01	Chacochoco majamajamajje ojjanase jjashauaba quiani echacochacojji joya shocomejjepo ajjani capoquicajji quiahuesha chacoa oyaca poquiahua ohue oyaja yojjaya aya.
23-02	Jiquio chacochaco majje esejabacuapiona cuana bejjo jjeshena esebaejiijo epona oyajayojja poaje enahuejji. Oyajayojjaya ojjana cuana nahuejji.
24-00	Articulo 24
24-01	A'acha cochaco neineijji quiamanomi poaje mecahuajje echacojjl, eshequibiaco jjajjanei dsequijopuecayiojji.
25-00	Articulo 25
25-01	Jjahuanaquicue quiaboejia baecuemano jjimaepojji yeejjimaebaejji equi iyacue boeama ebaejji kejajacue shueamaebaejji.
25-02	Eyeyajo ebacuado jocue dostoryasijje ojaya eshicuijjie quiajji. Ebacua joyapiajajia oyajayojjaya chijji jayojjaya ajia jia poso seya ana eshoi.
26-00	Articulo 26
26-01	Eshoi quiana sosema sohuihuohui cani profesor ya sabe epojji eleeejji esumajji etehuetehuejjipia'ai eshoi caquiacamajaya ecojji esahuihuejji profesor quiamayapoani echi imesecuana ojabacuajo eshoi escuelapojo ettipoajoca-camajaamapoa je hio esejachi yahueejiacajji escuela huasijje sabe.epojji.
26-02	Ojjana nahuejji ojjasahuihuahui jji, etiicuana erepesta ajji ojjananijje ejjapeequijji esenijje ese-ejja cuananijje ojjananijje dejjacuananijje.
26-03	Essejabaca eyaya jianabia cajjipiaa pojjiama esejalla shahuabaquijjija ache escuelasijje yajianobiaje miyasabe eciimese enaese cuana.
27-00	Articulo 27
27-01	Artista poanaje sabespomajje sabepomajje cantasepoani esyasabepomajje setehuetehuecajji Esejatehue A'a piatehuemeehiojji sosejji ohuetehuemecue esejayajjasha huabaquiaja majje quisapa ja'a poani.
28-00	Articulo 28
28-01	Siipojjicuana etiipojjiepua sohuihuohuicajji esejacomunidad jobaecuana ejjashahuabaquijji etiicuaaiyaacajje poquicue jama acajjebaa cuamapoquicue jjasha ajja quicue.
29-00	Articulo 29
29-01	Jaahuanacue comunidad cuana A'Aquiasjehuebaejji eshoi cuana jaahuanacuequiabojia o a cue mi quebacua manojjimaepojji.
29-02	Quiapame jjabojiquicue A'Amimijajijji peiotajo A'A jjaquishiquijji miya eseejja quishajo sosecaje 20 sose huisome jjabeca' equibamecue ohue joyamiyadejja quishijemi yayasocequiaje etiipojjijaesohuijo epoa. Eseya chacochaco sapoajjaa caoeA'A chacochacojji esejabacuacuana'bobiajji shahuabaquijjijo caseca chacochacoani de,jamajja shahuabaquime yaoepocue.
30-00	Articulo 30
30-01	Oyajayojjaya ejja'a quihio chamahiose ya'ahia bajeyio'hiajjaseyade oyajayojja yaseya'ahia chama hiojjadeba jeojeohionaje seyade.
