00-00	Inimoiguste uelddeklaratsioon
00-01	Pidades silmas, et inimkonna koigi liikmete vaeaerikuse, nende vordsuse ning voorandamatute oiguste tunnustamine on vabaduse, oigluse ja ueldise rahu alus; ja
00-02	pidades silmas, et inimoiguste polastamine ja huelgamine on viinud barbaarsusteni, mis piinavad inimkonna suedametunnistust, ja et sellise maailma loomine, kus inimestel on veendumuste ja sonavabadus ning kus nad ei tarvitse tunda hirmu ega puudust, on inimeste uellaks pueuedluseks kuulutatud; ja
00-03	pidades silmas vajadust, et inimoigusi kaitseks seaduse voim selleks, et inimene ei oleks sunnitud viimase abinouna ueles tousma tuerannia ja rohumise vastu; ja
00-04	pidades silmas, et on vaja kaasa aidata sobralike suhete arendamisele rahvaste vahel ja;
00-05	pidades silmas,et uehinenud rahvaste perre kuuluvad rahavad on pohikirjas kinnitanud oma usku inimese pohioigustesse, inimisiksuse vaeaerikusse ja vaeaertusse ning meeste ja naiste vordoiguslikkusesse ning on otsustanud kaasa aidata sotsiaalsele progressile ja elutingimuste parandamisele suurema vabaduse juures; ja
00-06	pidades silmas,et liikmesriigid on kohustatud koostoeoes Uehinenud Rahvaste Organisatsiooniga kaasa aitama inimoiguste ja pohivabaduste ueldisele austamisele ja nendest kinnipidamisele; ja
00-07	pidades silmas, et ueldisel arusaamisel nende oiguste ja vajaduste iseloomust on suur taehtsus selle kohustuste taeielikuks taeitmiseks,
00-08	kuulutab Peaassamblee vaelja
00-09	kaeesolevaga Inimoiguste uelddeklaratsiooni kui uelesande, mida peavad pueuedma taeita koik rahvad ja riigid.
00-10	Iga inimene ja iga uehiskondlik organ peab kaeesolevat deklaratsiooni alati silmas pidades selgitus- ja haridustoeoega alati kaasa aitama nende oiguste ja vabaduste austamisele ning rahvuslike ja rahvusvaheliste progressiivsete abinoudega tagama, et need oigused ja vabadused leiaksid ueldist ja efektiivset tunnustamist ja taeitmist nii organisatsiooni liikmeiks kui ka nende jurisdiktsiooni alla olevate territooriumide rahvaste poolt.
01-00	Artikkel 1.
01-01	Koik inimesed suennivad vabadena ja vordsetena oma vaeaerikuselt ja oigustelt. Neile on antud moistus ja suedametunnistus ja nende suhtumist ueksteisesse peab kandma vendluse vaim.
02-00	Artikkel 2.
02-01	Igal inimesel peavad olema koik kaeesoleva deklaratsiooniga vaelja kuulutatud oigused ja vabadused, olenemata rassist, nahavaervusest, soost, usulisest, poliitilisest voi muudest veendumustest, rahvuslikust voi sotsiaalsest paeritolust, varanduslikust, seisuslikust voi muust seisundist.
02-02	Lisaks sellele ei tohi inimeste vahel vahet teha riigi voi territooriumi poliitilise, oigusliku voi rahvusvahelise seisundi pohjal, olenemata sellest, kas territoorium, mille kodanik ollakse, on soltumatu, hooldusalune voi monel muul viisil oma suveraeaensuses piiratud.
03-00	Artikkel 3.
03-01	Igal inimesel on oigus elule, vabadusele ja isikupuutumatusele.
04-00	Artikkel 4.
04-01	Kedagi ei voi pidada orjuses voi oigusteta seisundis; orjus ja orjakaubandus uekskoik millisel kujul on keelatud.
05-00	Artikkel 5.
05-01	Kellegi suhtes ei tohi rakendada piinamisi voi julma, ebainimlikku, tema vaeaerikust alandavat kohtlemist voi karistust.
06-00	Artikkel 6.
06-01	Igal inimesel, uekskoik kus ta ka ei viibiks, on oigus oma oigussubjektsuse tunnustamisele.
07-00	Artikkel 7.
07-01	Koik inimesed on seaduse ees vordsed ja neil on ilma igasuguse vahetegemiseta oigus seaduse vordsele kaitsele. Koigil inimestel on oigus olla vordselt kaitstud uekskoik missuguse diskrimineerimise eest, mis on vastuolus kaeesoleva deklaratsiooniga, ja sellisele diskrimineerimisele kihutamise eest.
08-00	Artikkel 8.
08-01	Igal inimesel on temale konstitutsiooniga voi seadusega tagatud pohioiguste rikkumise korral oigus efektiivsele oiguste ennistamisele kompetentsete rahvuskohtute kaudu.
09-00	Artikkel 9.
09-01	Kedagi ei voi meelevaldselt vahistada, kinni pidada voi pagendada.
10-00	Artikkel 10.
10-01	Igal inimesel on tema oiguste ja kohustuste maeaeratlemiseks ja temale esitatud kriminaalsueuedistuste pohjendatuse kindlakstegemiseks taeieliku vordsuse alusel oigus sellele, et tema asi vaadataks avalikult ja koiki oigluse noudeid jaergides laebi soltumatu ja erapooletu kohtu poolt.
11-00	Artikkel 11.
11-00	Igal kuriteos sueuedistataval inimesel on oigus sellele, et teda loetakse sueuetuks kuni tema sueuelisuse kindlakstegemiseni seaduslikus korras avalikul kohtulikul arutamisel, kus talle on tagatud koik voimalused kaitseks.
11-01	Kedagi ei voi sueuedi moista kuriteos mone teo voi tegevusetuse eest, mis nende kordasaatmise ajal ei olnud kuriteod rahvusliku seaduse voi rahvusvahelise oiguse jaergi. Samuti ei voi maeaerata raskemat karistust, kui see, mida oleks voinud kohaldada kuriteo kordasaatmise ajal.
12-00	Artikkel 12.
12-01	Kellegi isiklikku ja perekonnaellu ei voi meelevaldselt vahele segada, kellegi korteripuutumatust, kirjavahetuse saladust voi au ja reputatsiooni ei tohi meelevaldselt maeaerida. Igal inimesel on oigus seaduse kaitsele selliste vahelesegamiste ja rikkumiste eest.
13-00	Artikkel 13.
13-00	Igal inimesel on oigus riigi piires vabalt liikuda ja oma elukoht valida.
13-01	Igal inimesel on oigus lahkuda uekskoik milliselt maalt, kaasa arvatud kodumaa ja kodumaale tagasi poeoerduda.
14-00	Artikkel 14.
14-00	Igal inimesel on oigus tagakiusu ees varjupaika otsida teistes maades ja seda varjupaika kasutada.
14-01	Seda oigust ei saa kasutada jaelitamise puhul, mis tegelikult tuleneb mittepoliitilisest kuriteost voi teost, mis on vastuolus Uehinenud Rahavaste Organisatsiooni eesmaerkide ja pohimotetega.
15-00	Artikkel 15.
15-00	Igal inimesel on oigus kodakondusele.
15-01	Kelleltki ei saa tema kodakondsust voi kodakondsuse muutmise oigust meelevaldselt aera votta.
16-00	Artikkel 16.
16-00	Taeisealiseks saanud meestel ja naistel on oigus ilma igasuguste kitsendusteta rassi, rahvuse voi usu pohjal abielluda ja perekonda asutada. Neil on vordsed oigused abiellu astumise suhtes, abielus olemise ja abielu lahutamise ajal.
16-01	Abielu voib solmida vaid molema abielluva poole vabatahtlikul ja taeielikul nousolekul.
16-02	Perekond on uehiskonna loomulik ja pohiline rakuke ning tal on oigus uehiskonna ja riigi kaitsele.
17-00	Artikkel 17.
17-00	Igal inimesel on oigus vara omamisele nii ueksikult kui ka teistega koos.
17-01	Kelleltki ei tohi tema vara meelevaldselt aera votta.
