00-00	[missing]
00-01	[missing]
01-00	Statya 1
01-01	Beiil boketchur omen khilkich nyan urumker baldaritno, temi nongarduk egden ngi-da achcha. Beiil boketchur men dolan akagchimur binnetyn.
02-00	Statya 2
02-01	Irek-da bei, ngi-da bimi, erek. Deklaratsiyat gapcha pravalbu gadin.
02-02	- Ngunmerdukuii, torendukuii, asi-da biden nari-da biden, engeya-da biden, yan-da achcha biden, ngiduk-da baldadungat.
02-03	- Nongan baldacha toren kho egden-da biden, kho kochuken-da biden, eniken ngiduk-da ngelniken meen mergendi, ngiide, eniken etur beidi bidin.
03-00	Statya 3
03-01	Ometel beiilbu ngii-da esni oshheiry, beidi oon tegettin tachin tegetchin.
04-00	Statya 4
04-01	Beiilbu ngi-da esni unir, nyan khaaratta.
05-00	Statya 5
05-01	Beiilbu ngi-da esnen davutta. Beyu bei meptipi esni keelemette. Beyu bei ngingichin esni khoietto.
06-00	Statya 6
06-01	Beiilbu boketchur, ngi-da ile-da biden zakon dysutchin.
07-00	Statya 7
07-01	Beiil kubigyr, Zakondu omen khilkin, nyan meen dolivur binnivutei bishhi Zakon belechindi.
08-00	Statya 8
08-01	Beiil Konstitutsiyat bopche nykylgimen, ngi-gol shhairykan tarak bei sudach, men pravalbi bylygimkennen.
09-00	Statya 9
09-01	Ngii-da, ngiiv-de Ynidishhenkindi, shhinashhunli esni nodar, nyan baldacha tfrdekui i esni ilbeskne.
10-00	Statya 10
10-01	Sud, beietiki kheenvelig neeche bishhiken, nongan tarav, emi aiutti ugin sudla, boketchur ishhich, nenmechinnen.
11-00	Statya 11
11-00	SHHymkyliche bei, nongan kenslivu orivan, bokechchen, elivun bakrikatnan-nyun, beidi elivun kenelich nokche goniken domkuchunnan. - tachikan nongartakun aiich biden belechendi sud bakchin.
11-01	Ngi-da esni SHHymkymun, nyan shhilgichshody, nongan mergendi kenelivu echu or goniken domkottakan, shhilgiginyn tala opcha Zakonduk esni egden bis.
12-00	Statya 12
12-01	Irek-da, omtel bei dyuvan, ngi-da esni oshheire, nongan dyalvu nyan beidi tegemen ngi-da esni shhungdir, esni daargatti, ngeluketti.
13-00	Statya 13
13-00	Irek-da bei men togetti torduk, ile-da khorridi men dyui iluridi togechinnen.
13-01	Ometel bei men tordukuii khonte torle khurinnen, nyan tachin-da amaski muchumnaan.
14-00	Statya 14
14-00	Ometel bei, nongman kholoto tokuten men bugdukui, khonte bugla dirishhimnen.
14-01	OON prinsipaldi nongan geletgeketnen, bei bugtuky esnen khorre.
15-00	Statya 15
15-00	Ometel bei yami-da grazhdanstvonkan binnen.
15-01	Tarangach ngi-da esnen ataldy.
16-00	Statya 16
16-00	Asinyun, nari, ngunmirduky nyan tedetidukun eniken dakra men dolin gamatsir.
16-01	Men dolivur deridyur omen mergelken bimi gamatchir.
16-02	Gosudarstvo tarak pimeru etunnen.
17-00	Statya 17
17-00	Ometel bei tegelgendunen men eneelken binnen.
17-01	Tarangman ngi-da esnen tiir.
18-00	Statya 18
18-01	Ometel bei men mergelken, tedenelken binnen nyan tarav khonte beiilteki telengdykyn.
19-00	Statya 19
19-01	Ometel bei beidi domkuchinna nyan tarav beielteki eniken ngelde mutunnen, tarav gosudarstvo esnen shhaiutta.
20-00	Statya 20
20-00	Ometel bei chakabakaldu khollechinnel.
20-01	Ngi-da yak-ta urechin gruppala, organizatsiyala beiyu esni nuket.
21-00	Statya 21
21-00	Ometel bei men gosudarstvoni dyuleski ngyndinen gorbetten belechimen.
21-01	Nongan gosudarstvo nyndimen, tala gurgevchimnen, nyan khonte beiilgechin omen shhilky togechimnen.
21-02	Ngunmir gonivutnen pravitelstvo doshhunnan. Nyan pravitelstvo ergyl shhinnivunukan obynnan.
22-00	Statya 22
