00-00	HEIMSYVIRLYSING UM MANNARAeTTINDI
00-01	Tath verthur at vithurkenna, at menniskjuni er virthing iborin, og at allir limir mannaaettarinnar eiga somu omissiligu raettindi, og hetta er stoethith undir fraelsi, raettvisi og frithi i heiminum.
00-02	Har sum mannaraettindini hava verith fyri vanbyti og vanvirthing, hevur tath havt vith saer raethuligar gerthir, sum hava skakath samvitsku mannaaettarinnar, og ein heimskipan, har sum folk nytur talu- og truarfraelsi og fraelsi fra otta og neyth, hevur verith bothath sum menniskjunar haegsta mith og mal.
00-03	Tath varthar almikith um, mannaraettindi vertha vard vith logum, um folk ikki skal vertha noytt til sum evstu rath at taka til uppreistur moti harthraethi og kugan.
00-04	Tath varthar almikith um at elva og stimbra vinalag tiothanna millum.
00-05	I sattmaala sinum hava Sameindu Tjothirnar av nyggjum vattath trugv sina a undirstoethulig mannaraettindi, a soma menniskjans og virthi, og a javnraettindi fyri kvinnur og menn, og taer hava ratt av at fremja framburth i almannamalum og boeta um livskor manna i alt meiri fraelsi.
00-06	Limarikini hava skyldubundith seg til, i samvinnu vith Sameindu Tjothirnar, at virka fyri at faa framt, at mannaraettindini og undirstoethilig fraelsisraettindi vertha alment vird og hildin.
00-07	Tath at allir partar skilja hesi raettindi og fraelsi er fremsta treytin fyri, at henda skylda verthur framd ut i aesur.
00-08	Tess vegna bjothar
00-09	ATHALFUNDURIN
00-10	Hesa heimsyvirlysing um mannaraettindi sum felags mith fyri oell folk og allar tjothir vith ti endamali, at hvoer einstakur og hvoer samfelagsstovnur alsamt vith hesi yvirlysing i huga skal stremba fyri vith fralaeru og uppaling at fremja virthing fyri hesum raettindum og fraelsismalum og vith framsoeknum atgerthum innanlands og millumlanda at tryggja, at tey vertha vithurkend og hildin allastthni a munagothan hatt, baethi i folkinum i limarikjunum og i folkinum i teimum londum, sum eru innan loegdoemi teirra.
01-00	1. grein
01-01	oell menniskju eru foedd fraels og joevn til virthingar og mannaraettindi. Tey hava skil og samvitsku og eiga at fara hvoert um annath i brothuranda.
02-00	2. grein
02-01	oell hava krav um raettindi og fraelsi, sum eru nevdn i hesi yvirlysing, uttan mun til aettarslag (rasu), hutharlit, kyn, mal, atrunath, politiska ella athra sannfoering, tjothskaparligan ella samfelagsligan uppruna, ognarvithurskifti, foething ella athra stoethu.
02-02	Somuleithis skal eingin mismunur vera orsakath av politiskari, raettarligari ella millumtjotha stoethu hja ti landi, sum ein personur hoyrir til, sama um landith er sjalvstoethugt, undir tilsjonarvaldi, ella fullveldi tess a annan hatt er skert.
03-00	3. grein
03-01	Ein og hvoer hevur raett til liv, fraelsi og personliga trygd.
04-00	4. grein
04-01	Eingin skal liva i traeldomi ella traelkan; traeldomur og traelahandil av oellum slag skulu vertha bannath.
05-00	5. grein
05-01	Eingin skal vertha pindur ella harthliga, omenniskjaliga ella vanaeruliga vithfarin ella revsathur.
06-00	6. grein
06-01	oell hava raett til, hvar tey ery stoedd, at vertha vithurkend sum persaenar fyri laegini.
07-00	7. grein
07-01	oell eru joevn fyri laegini hava raett til somu raettarvernd uttan mismun. oell hava sama raett at vertha vard fyri mismuni, sum er brot maeti hesi samtykt, og at vertha vard fyri allari aeggjan til at skapa tilikan mismun.
08-00	8. grein
08-01	Um onkur faer vithferth, sum er tvoertur 'maeti teimum grundraettindum, sum honum eru tryggjath sambaert grundlaeg og oethrum landslaegum, skal hann hava raett til at faa fullar soemdir afturfyri vith daemstaelar landsins.
09-00	9. grein
09-01	Eingin skal vertha tilvildarliga handtikin, settur i varthhald ella gjoerdur utlagin.
10-00	10. grein
10-01	oell hava sannan javnraett till raettvisa og almenna raettarvithgerth fyri aeheftum og aevildigum daemstaeli, sum skal tka avgerth um raettindi teirra og skyldur, og um oell revsimal, ith vertha reist.
11-00	11. grein
11-01	Hvoer, sum verthur akaerdur fyri revsiverda ferth, eigur raett til al vertha mettur aesekur, inntil hann er doemdur sekur vith almenna raettargongd, har sum hann hevur fingith fulla trygd fyri verju.
11-02	Eingin skal vertha funnin sekur i revsimali av noekrum slag, uttan so at gerth ella abyrgdarloysi, sum hann var akaerdur fyri, et at rokna sum brotsgerth sambaert landslaegum ella laegum, ta ith gerthin varth framd. Ei heldur skal strangari revsing vertha asett enn hon, ith var galdandi, ta ith tann revsiverda gerthin varth framd.
12-00	12. grein
12-01	Eingin eigur at vera fyri tilvildarligari uppilegging i persaenlig vithurskifti, heimaliv ella braevaskifti, ei heldur fyri aeruskemd ella utspilling. oell eiga raett til laegarvernd fyri slikari uppilegging ella agangi.
13-00	13. grein
13-01	oell hava raett til fritt at fara og busetast innan fyri landamark i hvoerjum riki saer.
13-02	oell hava raett til at fara av landinum, hvoerjum sum er, eisini sinum egna og at fara heim aftur til sitt land.
14-00	14. grein
14-01	oell hava raett at soekja um og faa frithskjael i oethrum londum fyri meinsaeknum.
14-02	Slikan raett ber ikki til at skjaeta seg undir, ta ith akaeran av roettum er fyri aepolitiskar brotsgerthir ella gerthir, sum eru imaeti endamalum og grundreglum Sameindu Tjaethanna.
15-00	15. grein
15-01	oell hava tjaethskaparraett.
15-02	Eingin skal tilvildarliga missa sin tjaethskap, og ongum skal vertha sytt fyri at skifta tjaethskap.
16-00	16. grein
16-01	Menn og kvinnur, sum eru komin til laegaldur, skulu uttan mun til aettarslag (rasu), tjaethskap ella atrunath hava raett at giftast og setast i bugv. Tey hava krav um javnraettindi at giftast, i hjunalagnum og til hjunaskilnath.
16-02	Hjunaband kann ikki vertha bundith, uttan bathir partar samtykkja i ti av frium vilja.
16-03	Huskith er tann naturliga frumeindin i samfelagnum og hevur raett til vernd av samfelag og landi.
17-00	17. grein
17-01	oell hava raett til at eiga ogn, annathhvoert einsamoell ella ' felag vith onnur.
17-02	Eingin skal hissini vera fyri ongartoeku.
18-00	18. grein
18-01	oell hava raett til hugsanar-, samvitsku- og truarfraelsi. Hesi raettur fatar eisini um fraelsi at skifta atrunath ella trugv, og fraelsi til annathhvoert einsamallur ella i felag vith onnur og alment ella einskilt at inna trugv sina i fralaeru, tilbithing, gudstaenastu og halgihaldi.
19-00	19. grein
19-01	oell skulu vera fraels at hava sinar askothanir og bera taer fram uttan forthan, og at soekja saer og breitha ut vitan og hugsanir igjoegnum hvoenn bothmithil, sum vera skal, og aeheft av landamarki.
20-00	20. grein
20-01	oell hava raett til fritt og a fritharligan hatt at koma saman og taka seg saman i felagsskapir.
20-02	Eingin kann vertha noyddur at vera limur i felag.
21-00	21. grein
21-01	oell hava raett til at taka lut i stjaern lands sins, annathhvoert beinleithis ella gjoegnum fritt vald umboth.
21-02	oell hava raett til somu atgongd at embaetum og almennum stoervum i landi sinum.
21-03	Faelksins vilji skal vera stoethi undir stjaernarinnar valdi; hesin vilji skal vertha borin fram vith avisum millumbilum og raettiligum valum vith almennum og joevnum valraetti, og skulu vertha framd vith loyniligari atkvoething ella samsvarandi fraelsum valhattum.
22-00	22. grein
22-01	oell hava sum samfelagsborgarar raett til felagsliga trygd og kunnu krevja, at tey buskaparligu, felagsligu og mentanarligu raettindi, sum eru neythug fyri teirra virthing og fria menning av persaenleikanum, vertha framd vith tiltoekum innanlands og i altjaetha samstarvi og i samsvari vith skipan og tilfeingi i hvoerjum landi.
23-00	23. grein
23-01	oell eiga raett til arbeithi, til fritt at velja starv, til raettvis og haeskandi arbeithslikindi og til vernd fyri arbeithsloysi.
23-02	oell hava uttan mismun raett til somu loen fyri sama arebeithi.
23-03	Ein og hvoer, sum arebeithir, hevur raett til raettvisa og haeskandi samsyning, ith tryggjar honum og hansara eina mannsoemiliga tilveru, og harumframt um neythugt athra almenna vernd.
23-04	Ein og hvoer hevur raett til at stovna og gerast limur i yrkisfelag til at verja sini ahugamal.
24-00	24. grein
24-01	oell hava raett til hvild og fritith, har uppi i rimiliga avmarking av arbeithstithini og fritith vith loen avisum millumbilum.
25-00	25. grein
25-01	Ein og hvoer hevur raett til livsumsoethur, ith tryggja honum og hansara heilsu og vaelveru, har uppi i mat, klaethi, bustath og heilsuroekt og almennar taenastur og raett til trygd vith moeguligum arbeithsloysi, sjuku, aearbeithsfoeri, missi av maka, aldri ella athrari skerjing av vinnumoeguleikum orsakath av um stoethum, sum hann ikki hevur raethi a.
25-02	Moethur og boern hava krav um serliga umsorgan og hjalp. oell boern, annathhvoert tey eru foedd i hjunalagi ella uttan, njaeta somu almannavernd.
26-00	26. grein
26-01	oell hava raett til utbugving. Utbugving skal vera aekeypis, ihvussu er a byrjanarstigi skal vera skyldubundin. Toeknilig og yrkislig utbugving skal standa oellum i bothi, og oell skulu eftir foerimuni hava somu atgongd a haegri undirvising.
