00-00	Declaration universelle des droits de l’homme
00-01	Considerant que la reconnaissance de la dignite inherente a tous les membres de la famille humaine et de leurs droits egaux et inalienables constitue le fondement de la liberte, de la justice et de la paix dans le monde,
00-02	Considerant que la meconnaissance et le mepris des droits de l’homme ont conduit a des actes de barbarie qui revoltent la conscience de l’humanite et que l’avenement d’un monde ou les etres humains seront libres de parler et de croire, liberes de la terreur et de la misere, a ete proclame comme la plus haute aspiration de l’homme,
00-03	Considerant qu’il est essentiel que les droits de l’homme soient proteges par un regime de droit pour que l’homme ne soit pas contraint, en supreme recours, a la revolte contre la tyrannie et l’oppression,
00-04	Considerant qu’il est essentiel d’encourager le developpement de relations amicales entre nations,
00-05	Considerant que dans la Charte les peuples des Nations Unies ont proclame a nouveau leur foi dans les droits fondamentaux de l’homme, dans la dignite et la valeur de la personne humaine, dans l’egalite des droits des hommes et des femmes, et qu’ils se sont declares resolus a favoriser le progres social et a instaurer de meilleures conditions de vie dans une liberte plus grande,
00-06	Considerant que les Etats Membres se sont engages a assurer, en cooperation avec l’Organisation des Nations Unies, le respect universel et effectif des droits de l’homme et des libertes fondamentales,
00-07	Considerant qu’une conception commune de ces droits et libertes est de la plus haute importance pour remplir pleinement cet engagement,
00-08	L’Assemblee generale
00-09	Proclame la presente Declaration universelle des droits de l’homme comme l’ideal commun a atteindre par tous les peuples et toutes les nations afin que tous les individus et tous les organes de la societe, ayant cette Declaration constamment a l’esprit, s’efforcent, par l’enseignement et l’education, de developper le respect de ces droits et libertes et d’en assurer, par des mesures progressives d’ordre national et international, la reconnaissance et l’application universelles et effectives, tant parmi les populations des Etats Membres eux-memes que parmi celles des territoires places sous leur juridiction.
01-00	Article premier
01-01	Tous les etres humains naissent libres et egaux en dignite et en droits. Ils sont doues de raison et de conscience et doivent agir les uns envers les autres dans un esprit de fraternite.
02-00	Article 2
02-01	Chacun peut se prevaloir de tous les droits et de toutes les libertes proclames dans la presente Declaration, sans distinction aucune, notamment de race, de couleur, de sexe, de langue, de religion, d’opinion politique ou de toute autre opinion, d’origine nationale ou sociale, de fortune, de naissance ou de toute autre situation.
02-02	De plus, il ne sera fait aucune distinction fondee sur le statut politique, juridique ou international du pays ou du territoire dont une personne est ressortissante, que ce pays ou territoire soit independant, sous tutelle, non autonome ou soumis a une limitation quelconque de souverainete.
03-00	Article 3
03-01	Tout individu a droit a la vie, a la liberte et a la surete de sa personne.
04-00	Article 4
04-01	Nul ne sera tenu en esclavage ni en servitude ; l’esclavage et la traite des esclaves sont interdits sous toutes leurs formes.
05-00	Article 5
05-01	Nul ne sera soumis a la torture, ni a des peines ou traitements cruels, inhumains ou degradants.
06-00	Article 6
06-01	Chacun a le droit a la reconnaissance en tous lieux de sa personnalite juridique.
07-00	Article 7
07-01	Tous sont egaux devant la loi et ont droit sans distinction a une egale protection de la loi. Tous ont droit a une protection egale contre toute discrimination qui violerait la presente Declaration et contre toute provocation a une telle discrimination.
08-00	Article 8
08-01	Toute personne a droit a un recours effectif devant les juridictions nationales competentes contre les actes violant les droits fondamentaux qui lui sont reconnus par la constitution ou par la loi.
09-00	Article 9
09-01	Nul ne peut etre arbitrairement arrete, detenu ni exile.
10-00	Article 10
10-01	Toute personne a droit, en pleine egalite, a ce que sa cause soit entendue equitablement et publiquement par un tribunal independant et impartial, qui decidera, soit de ses droits et obligations, soit du bien fonde de toute accusation en matiere penale dirigee contre elle.
11-00	Article 11
11-01	Toute personne accusee d’un acte delictueux est presumee innocente jusqu’a ce que sa culpabilite ait ete legalement etablie au cours d’un proces public ou toutes les garanties necessaires a sa defense lui auront ete assurees.
11-02	Nul ne sera condamne pour des actions ou omissions qui, au moment ou elles ont ete commises, ne constituaient pas un acte delictueux d’apres le droit national ou international. De meme, il ne sera inflige aucune peine plus forte que celle qui etait applicable au moment ou l’acte delictueux a ete commis.
12-00	Article 12
12-01	Nul ne sera l’objet d’immixtions arbitraires dans sa vie privee, sa famille, son domicile ou sa correspondance, ni d’atteintes a son honneur et a sa reputation. Toute personne a droit a la protection de la loi contre de telles immixtions ou de telles atteintes.
13-00	Article 13
13-01	Toute personne a le droit de circuler librement et de choisir sa residence a l’interieur d’un Etat.
13-02	Toute personne a le droit de quitter tout pays, y compris le sien, et de revenir dans son pays.
14-00	Article 14
14-01	Devant la persecution, toute personne a le droit de chercher asile et de beneficier de l’asile en d’autres pays.
14-02	Ce droit ne peut etre invoque dans le cas de poursuites reellement fondees sur un crime de droit commun ou sur des agissements contraires aux buts et aux principes des Nations Unies.
15-00	Article 15
15-01	Tout individu a droit a une nationalite.
15-02	Nul ne peut etre arbitrairement prive de sa nationalite, ni du droit de changer de nationalite.
16-00	Article 16
16-01	A partir de l’age nubile, l’homme et la femme, sans aucune restriction quant a la race, la nationalite ou la religion, ont le droit de se marier et de fonder une famille. Ils ont des droits egaux au regard du mariage, durant le mariage et lors de sa dissolution.
16-02	Le mariage ne peut etre conclu qu’avec le libre et plein consentement des futurs epoux.
16-03	La famille est l’element naturel et fondamental de la societe et a droit a la protection de la societe et de l’Etat.
17-00	Article 17
17-01	Toute personne, aussi bien seule qu’en collectivite, a droit a la propriete.
17-02	Nul ne peut etre arbitrairement prive de sa propriete.
18-00	Article 18
18-01	Toute personne a droit a la liberte de pensee, de conscience et de religion ; ce droit implique la liberte de changer de religion ou de conviction ainsi que la liberte de manifester sa religion ou sa conviction, seule ou en commun, tant en public qu’en prive, par l’enseignement, les pratiques, le culte et l’accomplissement des rites.
19-00	Article 19
19-01	Tout individu a droit a la liberte d’opinion et d’expression, ce qui implique le droit de ne pas etre inquiete pour ses opinions et celui de chercher, de recevoir et de repandre, sans considerations de frontieres, les informations et les idees par quelque moyen d’expression que ce soit.
20-00	Article 20
20-01	Toute personne a droit a la liberte de reunion et d’association pacifiques.
20-02	Nul ne peut etre oblige de faire partie d’une association.
21-00	Article 21
21-01	Toute personne a le droit de prendre part a la direction des affaires publiques de son pays, soit directement, soit par l’intermediaire de representants librement choisis.
21-02	Toute personne a droit a acceder, dans des conditions d’egalite, aux fonctions publiques de son pays.
21-03	La volonte du peuple est le fondement de l’autorite des pouvoirs publics ; cette volonte doit s’exprimer par des elections honnetes qui doivent avoir lieu periodiquement, au suffrage universel egal et au vote secret ou suivant une procedure equivalente assurant la liberte du vote.
22-00	Article 22
22-01	Toute personne, en tant que membre de la societe, a droit a la securite sociale ; elle est fondee a obtenir la satisfaction des droits economiques, sociaux et culturels indispensables a sa dignite et au libre developpement de sa personnalite, grace a l’effort national et a la cooperation internationale, compte tenu de l’organisation et des ressources de chaque pays.
23-00	Article 23
23-01	Toute personne a droit au travail, au libre choix de son travail, a des conditions equitables et satisfaisantes de travail et a la protection contre le chomage.
23-02	Tous ont droit, sans aucune discrimination, a un salaire egal pour un travail egal.
23-03	Quiconque travaille a droit a une remuneration equitable et satisfaisante lui assurant ainsi qu’a sa famille une existence conforme a la dignite humaine et completee, s’il y a lieu, par tous autres moyens de protection sociale.
23-04	Toute personne a le droit de fonder avec d’autres des syndicats et de s’affilier a des syndicats pour la defense de ses interets.
24-00	Article 24
24-01	Toute personne a droit au repos et aux loisirs et notamment a une limitation raisonnable de la duree du travail et a des conges payes periodiques.
25-00	Article 25
25-01	Toute personne a droit a un niveau de vie suffisant pour assurer sa sante, son bien-etre et ceux de sa famille, notamment pour l’alimentation, l’habillement, le logement, les soins medicaux ainsi que pour les services sociaux necessaires ; elle a droit a la securite en cas de chomage, de maladie, d’invalidite, de veuvage, de vieillesse ou dans les autres cas de perte de ses moyens de subsistance par suite de circonstances independantes de sa volonte.
25-02	La maternite et l’enfance ont droit a une aide et a une assistance speciales. Tous les enfants, qu’ils soient nes dans le mariage ou hors mariage, jouissent de la meme protection sociale.
26-00	Article 26
26-01	Toute personne a droit a l’education. L’education doit etre gratuite, au moins en ce qui concerne l’enseignement elementaire et fondamental. L’enseignement elementaire est obligatoire. L’enseignement technique et professionnel doit etre generalise ; l’acces aux etudes superieures doit etre ouvert en pleine egalite a tous en fonction de leur merite.
26-02	L’education doit viser au plein epanouissement de la personnalite humaine et au renforcement du respect des droits de l’homme et des libertes fondamentales. Elle doit favoriser la comprehension, la tolerance et l’amitie entre toutes les nations et tous les groupes raciaux ou religieux, ainsi que le developpement des activites des Nations Unies pour le maintien de la paix.
26-03	Les parents ont, par priorite, le droit de choisir le genre d’education a donner a leurs enfants.
27-00	Article 27
27-01	Toute personne a le droit de prendre part librement a la vie culturelle de la communaute, de jouir des arts et de participer au progres scientifique et aux bienfaits qui en resultent.
27-02	Chacun a droit a la protection des interets moraux et materiels decoulant de toute production scientifique, litteraire ou artistique dont il est l’auteur.
28-00	Article 28
28-01	Toute personne a droit a ce que regne, sur le plan social et sur le plan international, un ordre tel que les droits et libertes enonces dans la presente Declaration puissent y trouver plein effet.
29-00	Article 29
29-01	L’individu a des devoirs envers la communaute dans laquelle seul le libre et plein developpement de sa personnalite est possible.
29-02	Dans l’exercice de ses droits et dans la jouissance de ses libertes, chacun n’est soumis qu’aux limitations etablies par la loi exclusivement en vue d’assurer la reconnaissance et le respect des droits et libertes d’autrui et afin de satisfaire aux justes exigences de la morale, de l’ordre public et du bien-etre general dans une societe democratique.
29-03	Ces droits et libertes ne pourront, en aucun cas, s’exercer contrairement aux buts et aux principes des Nations Unies.
30-00	Article 30
30-01	Aucune disposition de la presente Declaration ne peut etre interpretee comme impliquant pour un Etat, un groupement ou un individu un droit quelconque de se livrer a une activite ou d’accomplir un acte visant a la destruction des droits et libertes qui y sont enonces.
