00-00	Universele ferklearring fan de rjochten fan de minske
00-01	Yn betinken nommen dat it erkennen fan de ynherinte weardichheid en fan de gelikense en unferfrjemdbere rjochten fan alle leden fan de minskemienskip grunslach is foar de frijheid, rjochtfeardigens en frede yn 'e wrald;
00-02	Yn betinken nommen dat it oan 'e kant skowen en lytsachtsjen fan 'e rjochten fan 'e minske laat hawwe ta barbaarske dieden, dy't it gewisse fan it minskdorn faksearre hawwe en dat de komst fan in wrald der't minsken frijheid fan mieningsutering en leauwe barre mei, en hja frij weze sille fan eangst en ferlet, ferkundige is as it heechste ideaal fan elk minske;
00-03	Yn betinken nommen dat it fan it grutste belang is dat de rjochten fan de minske beskerme wurde, troch de suppremaasje fan it rjocht, dat de minske net twongen wurde mei om yn leste ynstansje syn taflecht te nimmen ta opstan tsjin tyranny en underdrukking;
00-04	Yn betinken nommen dat it fan it grutste belang is de untjouwing fan freonskiplike betrekkings tusken de naasjes fuort te sterkjen;
00-05	Yn betinken nommen dat de folken fan 'e Feriene Naasjes yn it Hanfest har betrouwen yn 'e funemintele rjochten fan 'e minske, yn de weardichheid en de wearde fan 'e minske en yn de gelikense rjochten fan manlju en froulju op 'e nij befestige hawwe, en besletten hawwe sosjale foarutgong en in hegere libbensstandert yn grutter frijheid te befoarderjen;
00-06	Yn betinken nommen dat de steaten, dy't lid binne fan 'e Feriene Naasjes plechtich tasein hawwe om yn gearwurking mei de organisaasjes fan 'e Feriene Naasjes, runom de earbied foar en it ynachtnimmen fan 'e rjochten fan 'e minske en de funemintele frijheid te befoarderjen;
00-07	Yn betinken nommen dat it fan it grutste belang is foar it folslein utfieren fan dy oerienkomst dat elkenien in goed begryp hat fan dy rjochten en frijheden;
00-08	Derom proklamearret de Algemiene Gearkomste dizze Universele Ferklearring fan de Rjochten fan de Minske as it mienskiplik troch alle folken en naasjes te berikken ideaal, mei it doel dat elk yndividu en elk orgaan fan 'e mienskip mei dizze Ferklearring hieltyd foar eagen, der nei stribje sil om troch underwiis en opfieding de earbied foar dy rjochten en frijheden te befoarderjen en troch foarutstribjende maatregels, nasjonaal en ynternasjonaal, dy rjochten algemien en echt erkenne en tapasse te litten, likegoed under de folken fan steaten dy't lid fan 'e Feriene Naasjes binne, as under de folken fan gebieten under har jurisdiksje:
01-00	Kest 1
01-01	Alle minsken wurde frij en gelyk yn weardigens en rjochten berne. Hja hawwe ferstan en gewisse meikrigen en hearre har foar inoar oer yn in geast fan bruorskip te halden en te dragen.
02-00	Kest 2
02-01	Elk hat oanspraak op alle rjochten en frijheden yn dizze Ferklearring opneamd, sunder hokker underskie ek mar lykas ras, kleur, slachte, taal, godstsjinst, politike of oare oertsjuging, nasjonaal of maatskiplik komof, eigendom, berte of oare status.
02-02	Fierder sil gjin underskie makke wurde nei politike, juridyske of ynternasjonale status fan it lan of gebiet, der't immen ta heart, likefolle as it om in unofhinklik, trust- of net selsbestjoerend gebiet giet of as der in oare beheining fan 'e suvereiniteit bestiet.
03-00	Kest 3
03-01	Elk hat rjocht op libben, frijheid en unskeinberens fan syn persoan.
04-00	Kest 4
04-01	Nimmen sil yn slavemij of hearrigens halden wurde. Slavernij en slavehannel yn elke foarm binne ferbean.
05-00	Kest 5
05-01	Nimmen sil underwurpen wurde oan folteringen, noch oan in wrede, unminslike of untearjende behanneling of bestraffing.
06-00	Kest 6
06-01	Elk hat, wer't er ek is, it rjocht om as persoan erkend te wurden foar de wet.
07-00	Kest 7
07-01	Elkenien is gelyk foar de wet en hat sunder underskied oanspraak op gelikense beskerming troch de wet. Elk hat rjocht op gelikense beskerming tsjin elke efterstelling yn striid mei dizze Ferklearring en tsjin elke oantrun ta sa'n efterstelling.
08-00	Kest 8
08-01	Elk hat rjocht op doeltreffende rjochtshelp fan foechhawwende nasjonale rjochtlike ynstansjes tsjin hanlingen dy't yn striid binne mei de grunrjochten him takend by grunwet of wet.
09-00	Kest 9
09-01	Nimmen sil underwurpen wurde oan eigenwillige arrestaasje, detinsje of ferbanning.
10-00	Kest 10
10-01	Elk foar oar hat rjocht op in earlike en iepenbiere behanling fan syn saak troch in unofhinklike en unpartidige rjochtlike ynstansje by it feststellen fan syn rjochten en ferplichtings en by it bepalen fan it grundearre wezen fan in tsjin him ynstelde strafferfolging.
11-00	Kest 11
11-00	Elk dy't foar in strafber feit ferfolge wurdt, hat der rjocht op om foar unskuldich halden te wurden oant syn skuld ut kreft fan 'e wet bewiisd wurdt yn in iepenbiere terjochtsitting der't him alle waarboargen, nedich foar syn ferdigening, by takend binne.
11-01	Nimmen sil foar skuldich halden wurde oan hokfoar strafrjochtlik fergryp ek op grun fan hokker hanling of fersom ek dat neffens nasjonaal of ynternasjonaal rjocht gjin strafrjochtlik fergryp betsjutte op it stuit dat dy hanling of dat fersom begien waard. Likemin sil in swierdere straf oplein wurde as de straf dy't fan tapassing wie op it stuit dat it strafbere feit begien waard.
12-00	Kest 12
12-01	Nimmen sil underwurpen wurde oan oarmans eigenwillich ynmingen yn syn persoanlike oangelegenheden, yn syn hushalding, syn thus of syn briefwiksel, noch ien of oare oantaasting fan syn eare of goede namme. Elk hat rjocht op beskerming troch de wet tsjin sok ymningen of oantaasten.
13-00	Kest 13
13-00	Elk hat it rjocht om him frij te ferpleatsen en te ferbliuwen binnen de grinzen fan elke steat.
13-01	Elk hat it rjocht om elk lan, syn eigen ynbegrepen, te ferlitten en yn syn lan werom te kommen.
14-00	Kest 14
14-00	Elk hat it rjocht om yn oare lannen asyl te freegjen en te hawwen tsjin ferfolging.
14-01	Op dat rjocht kin gjin berop dien wurde yn gefal fan strafferfolgings fanwegen misdriuwen fan net-politike aard of hanlings yn striid mei de doelen en begjinsels fan 'e Feriene Naasjes.
15-00	Kest 15
15-00	Elk hat rjocht op in nasjonaliteit.
15-01	Nimmen mei eigenwillich syn nasjonaliteit untnommen wurde, noch it rjocht untsein wurde fan nasjonaliteit te feroarjen.
16-00	Kest 16
16-00	Sunder ien of oare beheining op grun fan ras, nasjonaliteit of godstsjinst hawwe manlju en froulju as se de jierren derta hawwe it rjocht om te trouwen en in gesin te stichtsjen. Hja hawwe gelikense rjochten wat trouwen oanbelanget, yn har trouwen en by de untbining derfan.
16-01	In houlik kin allinne sletten wurde mei de frije en folsleine tastimming fan elk syn oare helte.
16-02	lt gesin is de natuerlike en funemintele groepsienheid fan 'e maatskippij en hat rjocht op beskerming troch de maatskippij en de steat.
17-00	Kest 17
17-00	Elk hat rjocht op eigendom, itsij allinne, itsij yn 'e mande mei oaren.
17-01	Nimmen mei samar fan syn eigendom berove wurde.
18-00	Kest 18
18-01	Elk hat rjocht op frijheid fan tinken, gewisse en godstsjinst; dat rjocht haldt teffens de frijheid yn om fan godstsjinst of oertsjuging te feroarjen, en de frijheid om of allinne of yn 'e mande mei oaren sawol yn it iepenbier as yn it partikuliere libben, foar syn godstsjinst of oertsjuging ut te kommen troch dy te underwizen, troch it praktysk tapassen, troch earetsjinst en it underhalden fan geboaden en foarskriften.
19-00	Kest 19
