00-00	DYANTOORE FOTTANAANDE ADUNA FII HANDANDHI NEDDHO
00-01	TAWEEDE NDELO HETTAARE, NUNDHAL E BHUTTU ADUNAAN KO ANNDUDE WONDE NDIMU HERTINAAGU NEDDHANKE EN FOW E HANDANDHI BHE DHIN, KO PLIDYI Dhi BONTATAA, DHI BHE FOTATA E MUN;
00-02	TAWEEDE, MADDYEEDE E BIKKHTAARE HANDANDHI NEDDHO WONUNO SABU AAWASEEDYI TIKKINAY DHI KALA DYON MIIDYO MOYYHO, E TAWDE FOTTONAAMA WONDE KALA NEDDHO KO FAADANII KO ADUNA MO YIMBHE BHEN FOW TAWATA NO HEITII E MUN, NO WAAWI DYANTAADE MAA MIIDYOO KO BHE FAALAA, HARA BHE FAALAA, HAHA BHE DHENYHITAAKI TILFERE MA TAMPERE;
00-03	TAWEEDE, SINAA E LEYDI TEDDIN NDI HANDANDHI NEDDHO, AADEN TAWAY, SI O HEBHAY FAABO, BEE SI O MURTAN NDYAGGU E BHITTAARE;
00-04	TAWEEDE, TAMBITAGOL SEMBINA WELDIGALE HUUWONDIRAL E HAKKUNDE LEYDHE KO HAGHIIGHA;
00-05	TAWEEDE KO WONI KA NDER POTTAL, DYAMAADYI POTTAL LEYDHE ADUNA DHEN FENNYINNO FAHIN HOOLAARE HANDIIDYI KELENHI NEDDHANKE DHIN, E NDER NDIMU E BHANTAL NEDDHANKE, E NDER FOTONDIRAL HANDIIDYI WORBHE E REWBHE, TAWI BHE FENNYINII WAKKILAARE FII BHANTAL NEDDHANKEWAL, E NYNNUGOL PEHE KELENHE, FII NGURDAN E NDER HETTAARE BHURNDE MAWNUDE;
00-06	TAWEEDE LAAMATEERIIDYI WONDHI E ADUNA ON, TAWAADHI KA SUUSEETI ADUNAYANKEEDYO DYAMMAADHO "ONI" YHETTIL AHADI WONDEMA E NDER HUUWONDIRAL MADDYI E NGA AL DENTAL LEYDHE DHI HUUTORAY PEHE DHEN FOW FII NO ANDIREE, DHOFTEE HANDANDHI NEDDHANKE E HETTAARE TAATAGIIRE MAKKO;
00-07	TAWEEDE KO HEBHBHITANNDE FOTTANAANDE E DHII HANDIIDYI E NDEE HETTAARE BHURI KELDHUDE E FII HUNNUGOL NDII AHADI;
00-08	DENTAL NGAL FENNYINI:
00-09	NDEE DYANTOORE ADUNA FII E DHI NEDDHANKE HANDI, KO NDEE FAANDAARE T IMMUNDE, NDE DYAMAADYI E LEYDHE KALA TUNGANII FII YO YIMBHE BHEN E, HUUWONDIRE MABBHE DHEN, ANNDUDHE, ANNDITI E NEEDI FII TABINTINTGOL HAA HUUBHITA, DHOFTAARE DHIN HANDANDHI NEDDHO E HETTAARE MAXO. BHE WAAWA SIIWUDE E DHUN, PEHE MOYYHE, EBBHITIRA DHE NO HAANIRI E LEYDI BEE, HAA HUUBHITA ADUNA ON, FII NO ANNDITIREE, FALTANEE HAA HUUTOREE NO HAANIRI, NOKKU WOONOKKU, DHIN SARIYAADYI DHOO, WONI KA DYAMAADYI FEYDHE TAWAADEE KA SUUSEETI ADUNAI MAA KA DYAMAADYI LEYDHE, DHE DHEN LEYDHE LAAMII.
01-00	SARTI ARANO (1)
01-01	NEDDHANKE EN FOW DYIBINTE NO HETTII NO FOTA E DHI FOW, E NDIMU E HANDANDHI. BHE DYIBINDINTE E HAGGHIL E FAAMU ; HIBHE HAANI DYOGONDIRDE E NDER HAGGHIL NEENEGOOTAANKAAKU.
02-00	SARTI DHIDHABHO (2)
02-01	MO KALA NO WAAWI TIPPUDE E DHII SARTIIDYI NDII AHADI, DHUN NON REWAA LENYOL, MBAADI BHANNDU, NOONE AWRA, NOONE DHENGAL, DIINA MAA DAWLA WOO; DHUN REWA NGALU, DYIBBIANDE MAA KALA KO NANDI E DHUN.
02-02	GOOTO NYAAWITIRTAAKE DAWLA MAA SARIYA LEYDI MUUN, WONI HETTIINDI MAA LAAMAANDI.
03-00	SARTI TATABHO (3)
03-01	KALA NEDDHO NO HANNDI E GURDAN, HETTAARE E HOOLORDE DADHUGOL.
04-00	SARTI NAYABHO (4)
04-01	GOOTO DYOGORTAAKE MATTYANGAAKU, KURKAADUYAAGAL E NGEYNGU YIMBHE.
05-00	SARTI DYOWABHO (5)
05-01	GOOTO TUDHETAAKE E LETTE, TAMPERE, YANNGI MAA E KUUDHE WIRTAYDHE.
06-00	SARTI DYEEGABHO (6)
06-01	KALA NO HANNDI ANDITANEEDE NOKKU FOW NDIMANKAAKU MUN.
07-00	SARTI 7
07-01	SARIYA ON NO POTA E FOW. KALA NO HANNDI E DANDIREEDE ON SARIYA, KO REWA BHURNONDIRAL. FOW NO HANNDI E DANDEEDE TELEMMA HAASINGAAKU BONNITATAYNGU OO SARIYA.
08-00	SARTI 8
08-01	KALA TOONYAADHO NO HANNDI E WULLITAGOL KA TYUUDHI SARIYA LEYDI MUN.
09-00	SARTI 9
09-01	GOOTO GASIRTAAKE NANGIREEDE NII TUN, DYOGEE, RADHEE KA LEYDI MUN.
10-00	SARTI 10
10-01	KALA NO HAANAA NDYENTEADE, SIFOO KA MBATU, YEESO NYAAWOOBHE NUNDHUBHE, ADO O WADHEEDE SARIYA, WONI KO O TOONYUDHO MAA KO O TOONYAADHO.
11-00	SARTI 11
11-01	KALA NEDDHO FAWAADHO KUUGAL BONNGAL, DYOGITORTAAKE HAA TABITA E HAGHIIGHA E DOW NYAAWANNDE BATTE BONNERE MAKKO E DOW SEEDEEDYI MAKKO FOW.
11-02	GOOTO KARHETAAKE FII KUUDHE MAA YEDDYITANDHE, SI TAWI SARIYA LEYDI NDIN MA SARIYA ADUNA ON SELLINII WONDE DHE BONAANO FEWNDO KO DHE WADHATA. E HOORE DHUN, GOOTO FAWETAAKE SARIYA BHURTUDHO OO WONANOODHO HUUTOREEDE ADO NDEN BONNERE WADHUDE.
12-00	SARTI 12
12-01	GOOTO FAWNYETAATE E GUNNDO NGURNDAN MUN, KA BHEYNGUURE MUN, KA GOLLE MUN, MAA KA HUUWONDIRE MUN, NAA FERE O HOYNEE MAA O DYINSE DYAAHU. SARIYA NO HAANI NDANNDUDE NEDDHO KALA DHII FAWNYEREEDYI.
13-00	SARTI 13
13-01	SARIYA NO YAANANI NEDDHO KALA YIILAGOL, SUBHOO NO FAALIRAA KA HODHA E LEYDI WO.
13-02	SARIYA NO YAANANI NEDDHO KALA IWUGOLE LEYDI, HAY SI KO LEYDI MAKKO, MAA ARTUGOL KA MUN.
14-00	SARTI 14
14-01	E BATTE SONDYAA, NEDDHO KALA NO HAANI DHABEHUDE KA FATTO. SARIYA NO YAANANI MO HEBHUGOL FATTANNDE E LEYDHE GOO.
14-02	NDEN FATTANNDE TAWAAKA TELEN DOGUDHO BONNERE MUN SELLUNDE E HOORE DYAMAA ON, MAA KUUDHE BONDHE, DHE HUMONDIRAL LEYDHE ADUNA FOTTANI, TONHI.
15-00	SARTI 15
15-01	KALA NEDDHO NO HANNDI E INNORDE LEYDI.
15-02	GOOTO HANDAA E DOOLEEDE INNORDE LEYDI MUN, MAA ITTITSE INNORDE LEYDI.
16-00	SARTI 16
16-01	YETTUDE KA HELLIFAL, DEBBO E GORKO NO HANDI E DEWGAL, KEBHAL BHEYNGUURE DHUN REWAA LENYOL, IWDI MAA DIINA. IBHE DYOGII HANNDIIDYI FOTAYBHI HELLA KA DESAL, WONI KA WONNDIIGAL, MAA SEEBIGAL.
16-02	DESAL FOTTANAAMA WOO E HOORE FAALE E AYYINANNDE YHETTINDIRAYBHE BHEN.
16-03	KO BHEYNGUTJBE WONI MANNGAL DYAMAA ON; NO HAANI KA ON DYAMAA E LAAMU NGUN, DANNDA BHEYNGUURE KALA.
17-00	SARTI 17
17-01	NEDDHO KALA NO HANDI E HALAL, WONI KANKO TUN, MAA E NDER KAWTITAL.
17-02	GOOTO HAANA DYATTEEDE HALAL MUN E HOORE DOOLE.
18-00	SArTI 18
18-01	NEDDHO KALA NO HANDI E ANNUYEE MIIDYO MUN, FAAMU E DIINA. NDIN HANDI WONI SABU RUTTANDE, SILMOL, BHANGINGOL DIINA MA FELLITAL MUN, WONI E KENE MAA GUNDOO, E DOW BALLAL DYANDE, KUUDHE, DEWAL, MAA DYOKKUDS NAAMUUDYI.
19-00	SARTI 19
19-01	NEDDHO KALA NO HANDI E ANNUYEE MIIDYO E KONGOL. NDIN HANDI WONI SABU ANNGAL SONDYEEDE FII MIIDYOODYI MUN, WONNDUDE E DHABBHUTUGOL, HENDAGOL, LAYYINA NOKKU FOW KUMPITIRDHI.
20-00	SARTI 20
