00-00	BHANGINANDE HIL𞥆AYAANKO𞥅RE JOJ𞥆ANDHE NEDH𞥆ANKE DHEN
00-01	Tu𞥅ga𞥄de wonde heftingol horma kala nedh𞥆o e n'der bhesngo nedh𞥆anke e joj𞥆andhe fotudhe woni n’dadh𞥆udi n'dima𞥄gu e potal e jamu e n’der aduna𞥄ru n’dun⹁
00-02	Tu𞥅ga𞥄de wonde wa𞥄sugol heftinde kanyaun e salagol tot𞥆ude dhen joj𞥆andhe nedh𞥆o no ad𞥆i masi𞥅bo𞥅ji e sala𞥄re sandolinde e n’der aduna kanyaun e huch𞥆ande aduna𞥄ru n’du nedh𞥆o kala kebhi yaamiro𞥅re ha𞥄lude e mi𞥅ja𞥄deno henanori𞥅 dhum yaonti𞥅 ete kadi yaimbhe poti⹁ jeyade koyae mumen che𞥅rta e kulol e ba𞥄sal sabu a𞥄de𞥅 yaidhde dhun
00-03	E tu𞥅ga𞥄de wonde ina tenti yao hak𞥆e𞥅ji a𞥄de𞥅 n'de𞥅nire yaamiro𞥅re la𞥄wdhina𞥄nde n'bele a𞥄de𞥅 wa𞥄sa𞥄 ton𞥆ge𞥅de e gul𞥆ita𞥄gol dowrowol so tawi𞥅 fawa𞥄ma kalfa𞥄ndi ki𞥅sndi wal𞥆a wa𞥄wnere bh urtunde,
00-04	E tu𞥅ga𞥄de ina tenti n'de bhamtato𞥅 bhiyangu yaum𞥆a𞥄gu hak𞥆unde leyadhe𞥅le dimdh udhe,
00-05	E tu𞥅ga𞥄de e nanondiral leyadhe𞥅le cha𞥄ktangal wo𞥅ndo𞥅re leyadhe𞥅le jowiti𞥅dhe e hak𞥆e𞥅ji gadani a𞥄de𞥅 bayadhi no n'dima𞥄gu, ted𞥆ungal e n'der potal rewbhe e worbhe. Leyadhe𞥅le dhe𞥅 kod𞥆iri𞥅 e darana𞥄de bhamta𞥄re ren𞥆do e nyaibhgol fan𞥆uji n'gu𞥅rndam moyhe𞥆am,
00-06	E tu𞥅ga𞥄de e wonde leyadhe𞥅le dentudhe jeyati𞥅dhe dhe𞥅, e bal𞥆ondiral e fed𞥆e leyadhe𞥅le dentudhe jeyadhe koyae mumen pel𞥆iti𞥅 nyai𞥅bhnude horma hak𞥆e𞥅ji a𞥄de kam e n'dima𞥄gu,
00-07	E tu𞥅ga𞥄de e bhulngo ren𞥆da𞥄nde n'gam tafde hak𞥆e𞥅ji a𞥄de𞥅 kam e n'dima𞥄gu, leyadhe𞥅le dhe𞥅 tentini𞥅 nafo𞥅re bhurtunde wonde e pel𞥆itgol, ko n'de𞥅n batu n'gu𞥅 nanondiri, hol𞥆iti:
00-08	N'gal-dho𞥅 nanondiral win𞥆dere yaan ke𞥅wal jowiti𞥅ngal e hak𞥆e𞥅ji a𞥄de𞥅 wayai ko no la𞥄wol go𞥅tol nyai𞥅 n'gam yaet𞥆a𞥄de leyadhe𞥅teN'bele yaimbhe bhe𞥅 e ren𞥆do𞥅ji dhi𞥅N'badha dhum e hak𞥆il𞥆a𞥄ji mum e kala saha𞥄 kadi et e jan𞥆ginde e nehdeN'bele bhamto𞥅 horma hak𞥆e𞥅l𞥆eji a𞥄de𞥅 e n'dima𞥄guku𞥅le yheet𞥆a𞥄maN'bele sare𞥅 e n'der leyadhe𞥅le, chiyanugol n'gol ina foti fe𞥅nyade, teske𞥅 e yaimbh e fof.
01-00	Ku𞥅lal gadanal
01-01	In𞥆ama a𞥄de𞥅ji fof poti, n'dimdhidi e jibinan𞥆de to ban𞥆ge hak𞥆e𞥅ji. Ebhe n'go𞥅di mi𞥅jo e hak𞥆ilanta𞥄gal ete ebhe poti hu𞥅fo n'dirde e n'der bh iyanguyaum𞥆a𞥄gu.
02-00	Ku𞥅lal 2
02-01	Go𞥅to kala ina wa𞥄wi hok𞥆unde ho𞥅re mum hak𞥆e𞥅ji e n'dima gu𞥅ji ka𞥄la𞥄dhi e nanondiralngal tawa ala𞥄 paltagol n'guru,N'bayadi, lenyaol, dhemngal, di𞥅ne, iwdi leyadi wal𞥆a ren𞥆do, danyaal, jibinande wal𞥆a kala n'gonka.
