00-00	NANONDIRAL WINNDEREYANKEEWAL HAKKEEJE AADE
00-01	E tuugnaadeko wonde keftingal horma kala neddo e nder besngu aadee e hakkeeji potdi woni dnadduudi ndimaague potal e jam e nder aduna,
00-02	E tuugnaade wonde ko baasgol heftinde kam e calogol tottude hakkeeji aade ngaddi barondiral e salaare sanndolin nde e nder aduna e kadihuccande adunam mo aade hebi yamiroore haalde e miijiaa de no henanorii dum yontii ete kadi yimbe poti jeyde koye mumen ceerta e kulol e baasal sabu aadee yidde d um,
00-03	E tuugnaade wonde ina teengti yo hakkeeji aadee ndeenire yamiroore laawdinaande mbele aadee waasaa tonngeede e gullitaagol dowrowol so tawii fawaama kalfaandi kiisndi walla waawnere b urtunde,
00-04	E tuugnaade ina teengti nde bamtatoo biyngu yummaagu hakkunde leydeele dimd ude,
00-05	E tuugnaade e nanondiral leydeele caaktangal woondoore leydeele jowitiide e hakkeeji gadani aadee baydi no ndimaagu, teddungal e nder potal rewbe e worbe. Leydeele dee koddirii e daranaade bamtaare renndo e nibgol fannuji nguurndam moyyam,
00-06	E tuugnaade e wonde leydeele dentude jeytiide dee, e ballondiral e fedde leydeele dentude jeyde koye mumen pellitii niibnude horma hakkeeji aade kam e ndimaagu,
00-07	E tuugnaade e bulngo renndaande ngam tafde hakkeeji aadee kam e ndimaagu, leydeele dee teengtinii nafoore burtunde wonde e pellitgol, ko ndeen batu nguu nanondiri, holliti:
00-08	Ngal-doo nanondiral winndere yan keewal jowitiingal e hakkeeji aadee wayi ko no laawol gootol nii ngam yettaade leydeete mbele yimbe bee e renndooji dii mbada dum e hakkillaaji mum e kala sahaa kadi et e jannginde e nehde mbele bamtoo horma hakkeelleji aadee e ndimaagukuule yettaama mbele saree e nder leydeele, ciynugol ngol ina foti feende, teskee e yimb e fof.
01-00	Kuulal gadanal
01-01	Innama aadeeji fof poti, ndimdidi e jibinannde to bannge hakkeeji. Ebe ngoodi miijo e hakkilantaagal ete ebe poti huufo ndirde e nder b iynguyummaagu.
02-00	Kuulal 2
02-01	Gooto kala ina waawi hokkunde hoore mum hakkeeji e ndima guuji kaalaadi e nanondiralngal tawa alaa paltagol nguru, mbaydi, lenol, demngal, diine, iwdi leydi walla renndo, danal, jibinande walla kala ngonka.
02-02	E ko fawtii heen hay paltoor gooto woodataa e dow yowitaade e dawrugol, naawoore hakkunde leydeele fawaade e neddo ummiido leydi walla neddo mo yowitaaki maa woni pawido yamiroore laawdinaande waawnde wonde fof.
03-00	Kuulal 3
03-01	Innama aadee kala ina jogii hakke wuurde, e hakke ndimmagu kam e hakke ndeenka e kisal hoore mum.
04-00	Kuulal 4
04-01	Hay neddo gooto fotaani tonngaade e maccungaa gu maccungaagu e njeeygu aadee ko ko harminaa e no waawi si foraade fof.
05-00	Kuulal 5
05-01	Hay neddo gooto fotaani leepteede walla fiyeede piyle jaltude neddaagu walla koynooje.
06-00	Kuulal 6
06-01	Neddo kala ina jogii hakke annditireede neddaagu mum e kaayitaaji naawaadi.
07-00	Kuulal 7
07-01	Yimbe fof poti e laamu ete poti fotde ndeendka e yeeso laamu. Yimbe fof ina poti fotndeende e reeneede e heedi heedi baawdo yabbude kule ngal nanondiral yimbe fofina poti reeneede e toonannge tawa alaa paltoor.
08-00	Kuulal 8
08-01	Neddo kala ina jogii hakke wullitaade naawoore e leydi mum so tawii o ganaama, o toonaama walla so hakkeeji makko njoolaama. diin hakkeeji ina ngannde e laamu e naawooje.
09-00	Kuulal 9
09-01	Hay gooto fotaani nanngeede sokee walla yaltinee leydi tawa ko e dow mbaawka e belaade.
10-00	Kuulal 10
10-01	Neddo ina jogii hakke e hedeede e nder potal e sahaa naawoore nde yowitaaki, nde wadataa heedi-heeda (jinngataa). naawoobe benguurotaako poti naawde hakkeji fotdeeji neddo fof ko takkaa haa heb ni dum naawore.
11-00	Kuulal 11
11-01	Kala neddo tuumaado bonannde ina foti reweede haa ko fawaa e mum ko annde ina woodi walla alaa tawa ko naawoore laadinnaande nde suudaaka naawi e tawtingol naawobe luundiibe heedbe bannge naaweteedo oo.
11-02	Hay gooto fawetaake bonnannde walla war ngo tawa nde wadatee ndee waawa wonde ko teengti e mum e yowitaade e laawol leydi walla laawol hakkunde leydeele. Ko noon ne hay gooto fawetaake sariya baddo huunde tawa nde wadetee ndee o jotondiraani heen.
12-00	Kuulal 12
12-01	Hay gooto yabbetaake, toonee e nder nguurndam mum, e nder besngu mum e nder jotondiral mum walla neddaagu mum lesdinee, naange hay gooto e dowlugol mum potaani nifeede. Neddo kala ina jogii hakke reenaneede dee gede teengtinooji ndimaagumum.
13-00	Kuulal 13
13-01	Neddo ina jogii hakke yahde do welaa fof e no weliraa fof kam subaade hodannde mum e nder leydi.
13-02	Neddo ina jogii hakke yaltude leydi kala hay so tawii ko ndi makko kam e artude e leydi mum.
14-00	Kuulal 14
14-01	E sahaa kulol, neddo kala ina jogii hakke yeewde moolaare e dande leydi moolndi dum e godde dee.
14-02	Oo hakke noon waawaa fawaade e warde hoore doga yeewa mooldo dum, o waawi fawaade tan ko e jamirooje fedde leydeele dentude.
15-00	Kuulal 15
15-01	Neddo kala ina jogii hakke jeyeede e leydi, woni jogaade ngenndi.
15-02	Hay gooto waawaa e dow belaade hadeede jogaade ngenndi walla waylude ngenn di.
16-00	Kuulal 16
16-01	Caggal nde neddo danii duubi kellituya so ko o debbo, so ko o gorko faltaa ki lenol, nguru, leydi ono jogi hakke resde maa reseede, o darna fooyre. Ko kambe poti heen hakkeeji jowitiidi e dewgal so ina humee walla so ina ittee (goorko e dewbo).
16-02	Dewgal fawii ko e yidde resondireebo dido bee wonaa ina fawee e waawnere.
16-03	besngo ko kam woni tergal gadanal e nder rendo besngu inajogii hakke ndeenka immoraade e renndo kam e laamu leydi ndii.
17-00	Kuulal 17
17-01	Kala neddo walla dental yimb e ina jogii hakke e jeyal leydi.
17-02	Hay gooto fotaani e amdu e waawde hadeede jeyi mum.
18-00	Kuulal 18
18-01	Kala neddo ina jogii hakke ndimaagu miijo, hakkilantaagal kam e diine. Oon hakke ina roondii ndimaagu waylude diine kam e ndimaagu tabitinde diine mum walla yi yannde mum kanum gooto walla e wondude e wodbe. Ngaal tabitinal diine noon ina nona ko duudii e ko feeni fof tawa ko rewneede e dow jangde, walla dewal walla jamirooje diina oo.
19-00	Kuulal 19
19-01	Neddo ina jogii hakke e ndimaagu jogaade miijo e saaktude miijo mum dum firti ko joom mum fotaami hulde feenninde miijo mum walla widtude, hebde kam e sarde miijooji e kabavuuji tawa woyaaki keeri hakkunde leydeele e no sardaa fof.
20-00	Kuulal 20
20-01	Neddo kala ina jogii hakke e ndimaagu wadde batu walla fedde nde wonaa fitina.
20-02	Hay gooto fotaani waawneede jeyeede e fedde alay sago.
21-00	Kuulal 21
21-01	Neddo kala ina jogii hakke e jeyeede e terde gardiide leydi mum. Tawa ko kanum e hoore mum walla tawa ko waabaade e be yimbe e cubii ina njood anii leydi sabu joneede gede mum.
21-02	Neddo kala ina jogii hakke ardineede walla joneede gede/golle leydi e dow potal.
21-03	Muuyaande leydi ndii ko nibgol kalfaandi laamuuji dii. Ndiin kalfaandi nibortoo tan sosde wooteeji cuboo subngo laabngo e leydi kala, tawa cubotoo do kala ina tottee ndimaagu mum timmungu.
22-00	Kuulal 22
22-01	Neddo kala e nder renndo ina jogii hakke e ndeen ka renndoyankeewo. dumko weltaare hakkeeji fagguduyankoj e renndoyan heeji e pina yankooji katojinaa di e ndimaagu e bamtaare aade e dow tuugnaade e ngonka leydi fof.
23-00	Kuulal 23
23-01	Neddo kala ina jogii hakke liggaade e dow potal hujjiaaji liggeey e ndeenka baasgol gollaade.
23-02	Yimbe fof poti fotde njobdi so tawii be potii liggeey.
23-03	Kala liggido ina jogii hakke njob di fotndi heen, njondi mbaawndi jogaade mo kangko e besngu makko mbele njogoo ngonka moyya tedduka. Njobdi ina haani timminireede catiide renndoyankooje.
23-04	Neddo kala liggotoodo ina jogii laawol tafde fedde wullitaare hakkeji liggeey walla yantondirde fedde liggotoobe mum e pedle godde liggotoobe so tawi ede ndenndi ngoy aaji e anniya.
24-00	Kuulal 24
24-01	Neddo kala ina jogi hakke e fooftere walla weltinde bernde num walla wooda do haa’dni liggeey mum ete kala liggotoodo ina jogii hakke e fooftere yob eteende.
25-00	Kuulal 25
25-01	Nedd kala ino foti jogaade hakke nguurndam cemordam haa waawaa toppitaade cellal mum, ngonka mum eka besngu mum haa teengti e nguura, kodlci, safaara e gede renndo; omo jogii hakke e ndeenka so tawii o liggaaki, walla o sellaani ma walla o jodtaa de e doole mum, walla kes joodiido, naywudo walla kala gede baasooje wallitde nguura de pawaaki e bellanteeje.
25-02	Jibinaado debbo e sukaaku ina njogii hakke ballal e toppitaagol keeriidi. Sukaabe fof, woni a jibinaabe e nder dewgal walla caggal dewgal poti fotde to bannge ndeenka renndoyankeewo.
26-00	Kuulal 26
26-01	Neddo kala ina jogii hakke jangde jangde foti wonde ko nde alaa njobdi hay sinna ko to arwaniire e gadanal. Jangde sukaabe ina foti wonde alay sago. Jangde karallaagal ina foti hubtidin’de: jangde toownde ina foti udditanaade moni kala taw alaa heedi-heeda, tawa ko e baawal mum.
26-02	Jangde foti ko feertinde neddankaagal, beyda teddin’de hakkeeji innama Aadee, hebde hoore mum. Ina foti waalitde paamondiral, munundiral, cehilaagalhakkunde leydeele e kala senngooji leyyi walla diineeji, fawitii heen bamtaare golle dowlaaji dentudi ngam moyyere ina duumoo.
26-03	Jibinaabe ina poti subaade hol fannu jangde ndokkata sukkaabe mumen.
27-00	Kuulal 27
27-01	Neddo kala ina waawi e sago mum jeyeede e bamtugol pinal rennde mum, huutoroo neene e wallitde bamtaare ganndaliyankeewal e kala bure jaltooje heen.
27-02	Neddo kala ina jogii hakke ndeenka muuyaade mum to bannge neddankaagal e jawdi tuugniide e bulgno ganndal, conce, neenal de o tafi.
28-00	Kuulal 28
28-01	Neddo kala ene foti daranaade nibagol hakkeeji innama aadee kam e ndi maagu mum to bannge renndo e nder winndere mbele kuule kaalaade ender ngaldo nanondiral njetto faandaare toddaande nde.
29-00	Kuulal 29
29-01	Innama aadee ina jogii hujjaaji fayde e renndo ngo nganndudaako bamtaare huubtidinde neddankaagal makko tan waawi wootde.
29-02	E nder kuutorogol hakkeeji makko kam e naftorogol ndimaagu makko, moni kala fawaa e mum tan ko dooftogol sardiyeeji ngam teengtin’de keftingol e nehtanagol hakkeejie wodbe ngam timminde neddang kaagalngam gede denndaande kam e ngonka moyya kuubtidindo ngam danje renndo potal.
29-03	Dii hakkeeji e nguu ndimaagu mbaawa daneede e dow luundaare paandaalee muuyaabe dowlaaji dentudi.
30-00	Kuulal 30
30-01	Hay kuulal gootal gummingal e ngal do nanondiralfotaani jaggireede ummii ko e leydi, walla dental keeringal, walla neddo keeriido. Hay neddo gooto, walla dental walla leydi potaani jogaade golle tawa faandaare mumen ko firtude hakkeejie e ndimaagu kalaadi e nder nanondiral ngal.
