00-00	JENGJENG KPANGMO NI KOO GBOMO ADESA HEGBEI AHE
00-01	Akeni angoo no ake afo gbomei adesai fee ake mei ni yeo egbo ke heyeli ko ni anyeng asho ye amedeng, ni nomei ji heyeli, jalesane ke toingjole shishifai ye je le mli hewo le,
00-02	Akeni bu ni abuuu, ke asang gbomo adesa hegbei ano ni anaanaa ye shikpong le etso gbomo yitsong ni eha efeo yiwale nii, ke amro nee gbegbelemo ake mei foji anine ashe ameshweenii ano bo ni ameaanye amewie no ni amesusuo ye no ko he, amehe no ni amesusuo ake eja gbe pe ameye, akanye awo amehe gbeyei dongng, ni asang akakama ame no ko no ko hewo le,
00-03	Akeni suomo ni asumooo ake atsoo gbe kroko no ajieo yiwale noyeli ko hewo ni ehiaa ake awo mla ni baafa gbomo adesa hegbei ahe hewo le,
00-04	Akeni ehe hiaa ake aka he aha naanyoboo ahi maji ateng hewo le,
00-05	Akeni mei ni yoo Jengmaji Ekomefeemo Ku le mli le ema amehemokeyeli ni ameyoo ye gbomo adesa mli, ke agbojee ke egboyeli ni ka hii ke yei ateng no aduatso, ni ametswa amefai shi hu ake amebaabo modeng koni shihile mli angoo fe tsuutsu, ni heyeli ahe shi jogbangng taake ato he gbejiano ye Jengmaji Ekomefeemo Ku le kpangmo le mli hewo le,
00-06	Akeni maji ni yoo Jengmaji Ekomefeemo Ku le mli le ewo shi ake ameke ku le baafee ekome bo ni afee ni hie aso, ni asang gbomo adesa hegbei ke heyeli ahe shi hewo le,
00-07	Akeni shishinumo ni aaana ye hegbei ke heyeli nee ahe baafee no oti ni abaadamo no koni shiwoo nee aye omanye hewo le,
00-08	Bele, Agbene
00-09	Kpee Wulu le miiha ale
00-10	Jengjeng Kpangmo ni koo Gbomo Adesa Hegbei Ahe nee
00-11	Ake mei fee ke jengmaji fee asusumo kpaa, koni mei angkroangkroi ke kui fee adamo kpangmo nee no amebo modeng ametso nitsoomo ke tsosemo no ye majiang ke maji ateng nifeemoi ano ameha emli hegbei ke heyeli le ahe shi ye je le mli fee ye maji ni yoo Jengmaji Ekomefeemo Ku le mli diengtse, asang ke shikpoji ni yoo ameshishi ano bii hu anifeemo mli.
01-00	Gbejianotoo 1
01-01	Afo gbomo fee gbomo ye agbojee mli, ke hegbe ko ni damo ngele koome no. Gbomei fee ye jwengmo ke henilee, ni no hewo le esa ake amehe ahi shi ye nyemi suomo mli.
02-00	Gbejianotoo 2
02-01	Mo fee mo ye hegbe ake eyeo hegbei ni yoo kpangmo nee mli le amli ngoomo le eko, bo ni naatsii ko kwraa be ye jaku mli ni aje, hewolo su ni ahie, nuu loo yoo ni aji, wiemo ni awieo, jamo mli ni ayoo, mangsaneyeli shidaamo mli aloo susumo ni ayoo ye no ko he, mang no ni aje, nii ni ayoo, weku mli ni aje aloo gbenaa ko ni ahie hewo.
02-02	Asang akwe koni akajie niiang bo ni ake mo ko mang ni eje le agbojee miitsu nii ye hegbei nee agbefang, keji mang le ena heyeli jio, aaje mang kroko no aakwe esaji ano jio, enako heyeli jio, aloo eho noyeli ko shishi fa ke fa.
03-00	Gbejianotoo 3
03-01	Mo fee mo ye hegbe ake ehio wala nee mli, ake ena heyeli, koni akwe ni efee shweshweeshwe hu.
04-00	Gbejianotoo 4
04-01	Esaaa ake ayeo mo ko nyong, aloo ahaa esomoo mo ko bo ni ejaaa gbe; aahi nyongyeli ke gbomohoomo gbejianotoi srotoi fee.
05-00	Gbejianotoo 5
05-01	Esaaa ake ake yiwale nyotoo mo ko, aloo ake ehie tsumoo shikpong, aloo afeo le anisenii kegbalaa etoi.
06-00	Gbejianotoo 6
06-01	Mlanaa le mo fee mo ye hegbe ake ake woo haa le ake gbomo adesa.
07-00	Gbejianotoo 7
07-01	Mlanaa le mei fee yeo egbo, ni esa ake akwe koni mo fee mo afee shweshweeshwe bo ni hieiangkwemo ko kwraa be mli. Esaaa ake akweo hieiang ye mo ko mo ko gbefang keji aye le sane ko ni ke kpangmo nee kpaaa, aloo awo ying koni afee no ko ni kpangmo nee engmeee he gne.
08-00	Gbejianotoo 8
08-01	Mo fee mo ye hegbe ake ebio koni kojomohe ko aye esane eha le bo ni hieiangkwemo be mli, keji aye le toikodomo sane ni teo shi eshio kpangmo nee, aloo Mang Mlatso le, aloo hegbe ni eyoo ye mlanaa le.
09-00	Gbejianotoo 9
09-01	Esaaa ake amoo mo ko, aloo atsio enaa, aloo atswaa enaneshi tu keji aboteko sane ko ni akeshi le mli jogbangng.
10-00	Gbejianotoo 10
10-01	Mo fee mo ye hegbe ake keji ena sane ko le, ajinafoi ni ahe be sane le mli akojo le bo ni hieiangkwemo be mli, ni asang amebo egbee toi kemo shi.
11-00	Gbejianotoo 11
11-01	Keji mo ko na sane ni sa toigbalamo le esaaa ake abuo le fo ye najiang, beja akojo le ye mang hie, beiang ni aha le hegbe fee ni sa ake ena kefa ehe jogbangng hu.
11-02	Esaaa ake abuo mo ko fo ni sa toigbalamo keji efeee aloo efee no ko ye mang mlanaa aloo jengmaji ateng mlanaa, keji beiang ni afo sane le afo eno le awoko nakai mla le. Ni esaaa hu ake toigbalamo le naa waa fe bo ni mla letsoo nakai beiang le.
12-00	Gbejianotoo 12
12-01	Esaaa ake ake he woo mo ko teemong sane, eweku, eshia, aloo eke mei ateng sharamo saji amli, ni esaaa ake agbeo mo ko he guo hu. Mo fee mo ye hegbe ake mla faa ehe ye enemei agbefang.
13-00	Gbejianotoo 13
13-01	Mo fee mo ye hegbe ake eyaa he fee he ni esumoo, asang ni ehio mang fee mang ni esumoo mli hu.
13-02	Mo fee mo ye hegbe ake eshio mang ko no, ke le diengtse emang tete, ni eye hegbe hu ake ekuo esee keyaa emang ekongng.
14-00	Gbejianotoo 14
14-01	Mo fee mo ye hegbe ake eyabaa abo ye mang kroko no kejo yiwale naa foi.
14-02	Ake hegbe nee tsuuu nii keji yiwale nee ejeee efongfeemo ni koo mangsaneyeli he, aloo eje nifeemo ko ni ke Jengmaji Ekomefeemo Ku le yingtoi ke gbejianotoi le kpaaa.
15-00	Gbejianotoo 15
15-01	Mo fee mo ye hegbe ake ana le ake mang ko no nyo.
15-02	Esaaa ake ahaa mo ko ngmeo mangnyo hegbe ni eyoo bo ni mla engmeee gbe, aloo aaatsi enaa koni ekanye etsake ejiakumang.
16-00	Gbejianotoo 16
16-01	Esaaa ake hewolo su, loo mang no ni aje, loo jamo mli ni ayoo tsio hii ke yei ni eshe gbala gbe ake amekabote gbalashihile mli kewo shwiei. Ameboteko gbalashihile mli jio, amebote gbalashihile mli jio, amefo gbalashihile mli jio, esa ake ana ame ake ameyeo egbo.
16-02	Ja mei enyo nee ekpele no dani amebaanye amebote gbalashihile mli.
16-03	Weku ji mang shikwee, ni ehiaa ake abaa yi.
17-00	Gbejianotoo 17
17-01	Mo fee mo ye hegbe ake enaa le diengtse enii, aloo eke mo kroko feo ekome kenaa nii.
17-02	Esaaa ake ashoo mo diengtse nii ni eyoo ye edeng bo ni mla engmeee gbe.
18-00	Gbejianotoo 18
18-01	Mo fee mo ye hegbe ake ekoo le diengtse eying ye susumo ko he, ni eke ehe woo jamo fee jamo ni esumoo mli. Hegbe nee ngmeo le gbe hu koni etsake ejamo loo ehemokeyeli, ke hegbe ake le ekome too, aloo eke mei krokomei afee ekome keha mei anu ejamo le he ye nitsumo, nifeemo ke kusumfeemo mli ye mangjaano loo teemong.
19-00	Gbejianotoo 19
19-01	Mo fee mo ye hegbe ake esusuo no ko he bo ni esumoo, ni ehaa aleo hu. Hegbe nee ngmeo le gbe hu koni ekangme mo kroko gbe ni eetsake ejwengmo; ni ebaanye etso gbe fee gbe no etao, aloo enine ashe, aloo eha ale sane ko loo susumo ko keje mang fee mang no, bo ni ake husu tsuuu nii.
20-00	Gbejianotoo 20
20-01	Mo fee mo ye hegbe ake eke ehe boo ku aloo henaabuamo ko ni atse koni afee no ko ye toingjole mli.
20-02	Esaaa ake anyeo mo ko no koni eke ehe abo ku ko.
21-00	Gbejianotoo 21
21-01	Mo fee mo ye hegbe ake le diengtse efataa mei krokomei ahe kekuraa emang, aloo etsoo oshikifoo no ekoo mo kroko koni edamo enaa.
21-02	Mo fee mo ye hegbe ake eyeo nibii ni mang keyeo ebuaa mangbii le mli ngoomo le eko.
21-03	Mangbii asuomonaa nii no abaadamo akura mang le, ni abaatso oshiki krongng ni ato be ni akefoo, ni asang mei fee foo ye teemong, aloo gbe kroko ni shishiumo be mli no ale amesuomonaa nii nee.
22-00	Gbejianotoo 22
22-01	Mangnyo fee mangnyo ye hegbe ake mang akwe koni efee shweshweeshwe, ni esa ake ena hegbe koni ana le hu egbojee kewula shi. Ene feemo bbaje mang le modengboo ke maji ateng ekomefeemo mli, ke bo ni mang fee mang gbejianotoo ke ejwetri shidaamo yoo ha; ni nakai nongng hu shika hengaatsoo, sharamo ke kusum hegbei ni mangnyo aaama le baaye ebua koni ake woo aha mo fee mo.
23-00	Gbejianotoo 23
23-01	Mo fee mo ye hegbe ake etsuo nii, ake etsuo no ni le diengtse esumoo, ni ake le aye jalegbe ye nitsumo le mli, ni akwe koni enitsumo akaje edeng hu.
23-02	Esa ake mei ni tsuo nitsumo kome ana nyomowoo kome bo ni hieiangkwemo be mli.
23-03	Esa ake awoo nitsulo fee nitsulo nyomo ni sa enitsumo le, koni eke enga ke ebii aye nii bo ni baashe amenaa; ni keji eeehia le, atso yelikebuamo gbe ko no afee he eko aha ame.
23-04	Mo fee mo ye hegbe ake etseo, aloo eke ehe domoo nitsuloi aku ko koni eketao esaji anaa.
24-00	Gbejianotoo 24
24-01	Mo fee mo ye hegbe ake ejoo ehe, ni ejieo ehietsere hu; ni nakai nongng hu esa ake atoo ngmeletswai abo ni esa ake aketsu nii, koni awo le nyomo hu beiang ni eejoo ehe.
25-00	Gbejianotoo 25
25-01	Mo fee mo ye hegbe ake ehio shi jogbangng bo ni eeena niyenii, hehaano, woohe, tsamo, ke shihileng nibii ni ahe hiaa, koni le ke ebii fee ana gbomotsong hewale, ni agbene hu aye abua le keji enitsumo ngmee le, aloo enaaa hetsele, aloo eje kpa, aloo etso okulafo, aloo egbo, aloo gbe ko no le eleee bo ni eeefee ena edaang ngmaa.
25-02	Awomei ke gbekebii ehia kwemo ke yelikebuamo kredee ko. Esa ake ana bi fee bi ye ngele kome no, bo ni akweee keji kpeemo yoo bi loo hemo bi ni.
26-00	Gbejianotoo 26
26-01	Mo fee mo ye hegbe ake ena skul tsosemo. Esaaa ake awoo nyomo ko ye tsosemo nee he, titri le shishijee no le. Esa ake anye mo fee mo no, ni ke hooo kwraa le egbe shishijee skul naa. Agbele ngaa ke ninenaa nikasemohei bo ni mo fee mo baana mli gbe, ni nakai nongng hu mei fee baana nikasemohe wulu mli gbe, shi ene baadamo modengboo no.
26-02	Tsosemo mli le esa ake akwe koni ayose nilee ni yoo gbomo adesa mli kewula shi kejie agbojee ni yoo emli le kpo, bo ni baaha hie aso gbomo ke eheyeli. Ene baaha niiashishinumo ke tsuishitoo ke naanyoboo ahi maji ateng, nakai nongng hu ji hewolo su ke jamo; ni ebaaye ebua Jengmaji Ekomefeemo Ku le ye toingjole gbefang hu.
26-03	Foloi ye gbenaa kredee ko ake ame diengtse amebaatsoo tsosemo ni esa ake amebii ana ye skul.
27-00	Gbejianotoo 27
27-01	Mo fee mo ye hegbe ake eke ehe woo he ni eyoo le kusumfeemoi ke ngaa nifeemoi amli, ni eye gbefang ye seenamo ni yoo jengshikpamo nifeemoi amli hu.
27-02	Mo fee mo ye hegbe ake ekwe koni mo ko akaju shi eye niiashikpamo, ningmaa, lalasoo ke nitengmo ko ni le diengtse efee le mli nii.
28-00	Gbejianotoo 28
28-01	Mo fee mo ye hegbe ake ehio sharamo ke maji ateng gbejianotoo ko mli: he ni ake hegbei ni yoo kpangmo nee mli le tsuo nii kewulaa shi ye.
29-00	Gbejianotoo 29
29-01	Mo fee mo ye gbenaa nitsumo ko ha akutso mli ni eyoo le: he pe ni eeeye ehe, koni ena tsosemo ni yeo emuu kewulaa shi ye.
29-02	Mo fee mo hegbe ke eheyeli aseetiumo mli le no pe ni tsio pe ni tsio le gbe ji mlai ni awo bo ni afee ni ake bule ni sa aha mo kroko hegbei ke eheyeli, koni ahi shi ye hiesole ke toingjole mli.
29-03	Gbe ko be ake hegbe ke heyeli nee aseetiumo mli le ate shi ashi yingtoi ke otii ni jwere Jengmaji Ekomefeemo Ku le hie le.
30-00	Gbejianotoo 30
30-01	Esaaa ake atsoo kpangmo nee shishi ye gbe ko no ake mang ko, loo ku ko, loo mo ko ye hegbe ko ake efeo no ko ni baanye efite hewale ni yoo hegbei nee asee.
