00-00	shijierenquanbugao
00-01	jianyuduirenleijiatingsuoyouchengyuangeguyouzhixiangjiqipingdenggegenbuyigequanligechengren, naishishijietoushangziyou, zhengyigenhepinggejichu, 
00-02	jianyuduirenquangewushigenchixiaoyifazhanweiyemanbaoxing, jiangyanggebaoxingdianwulerenleigeliangxin, er1gerenrenxiangyouyanlungenxinyangziyoubingmaoyoukongjugenkuifageshijiegelailin, yibeixuanbuweiputongrenmingezuigaoyuanwang, 
00-03	jianyuweishirenleibuzhipobudeyidingerzouxianduibaozhenggenyapojinxingfanpan, youbiyaoshirenquanshoufazhigebaohu, 
00-04	jianyuyoubiyaocujingeguojianzhijiguanxigefazhan, 
00-05	jianyugelianheguoguojiagerenminyizailianheguoxianzhanglitouzhongshenqumenduijibenrenquan, rengezhixianggenjiazhiyijinannupingdengquanligexinnian, bingjuexincuchengjiaodaziyouzhonggeshehuijinbugenshenghuoshuipinggegaishan, 
00-06	jianyugehuiyuanguoyeyishiyuantonglianheguohezuoyicujinduirenquangenjibenziyougepubianzunzhonggenzunxing, 
00-07	jianyuduijiangyanggequanligenziyougepubianzhigenzhididuiyugeshiyuangechongfenwuzhengjuyoumandagezhongyaoxing, 
00-08	yincigeshijian, 
00-09	dahui, 
00-10	fabugeshijierenquanbugao, zuoweisuoyourenmingensuoyouguojianuliwuzhenggegongtongbiaozhun, zhiwangmei1gerengenshehuijigoujingchangjidaobenbugao, nulitongguojiaohuigenjiaoyucujinduiquanligenziyougezunzhong, bingtongguoguojiagegenguojigejianjincuoshi, shijiangyanggequanligenziyouzaigehuiyuanguobenshenrenminjizaiqiguanxiaxialingtugerenminzhongdedaopubiangenyouxiaogechengrengenzunxing;
01-00	di1tiao
01-01	renrenshengerziyou, zaizhixianggenquanlishang1lupingdeng. qumenfuyoulixinggenliangxin, binglidangyidixiongyiqixiangduidai. 
02-00	di2tiao
02-01	renrenyouzigexiangyoubenbugaosuozaige1qiequanligenziyou, bufenzhongzu, fuse, xingbie, yuyan, zongjiao, zhengzhihuoqitajianjie, guojihuoshehuichushen, caichan, chushenghuoqitashenfendengrenhequbie. 
02-02	bingqiebuxuyin1rensuoshugeguojiahuolingtugezhengzhige, xingzhenggehuozheguojigedeweigebutongeryousuoqubie, wulungailingtushidulilingtu, tuoguanlingtu, feizizhilingtuhuozheluodaoqitarenhezhuquanshouxianzhigedebu. 
03-00	di3tiao
03-01	renrenyouquanxiangyoushengming, ziyougenrenshenanquan. 
04-00	di4tiao
04-01	renherendoubuxushiweinulihuonuyi;1qiexingshigenulizhidugennulimaimai, junlidangyuyijinzhi. 
05-00	di5tiao
05-01	renherendoubuxujiayikuxing, huoshiyicanrenge, burendaogehuowuruxinggedaiyuhuoxingfa. 
06-00	di6tiao
06-01	renrenzairenhedefangyouquanbeichengrenzaifaluqiangerenge. 
07-00	di7tiao
07-01	faluzhiqianrenrenpingdeng, bingyouquanxiangshoufalugepingdengbaohu, bushourenheqishi. renrenyouquanxiangshoupingdengbaohu, yibikaimeidaobenbugaogerenheqishixingweiyijishandongjiangyanggeqishigerenhexingweizhihai. 
08-00	di8tiao
08-01	renherendangxianfahuofalusuobadaoqugejibenquanlizaoshouqinhaishi, youquanyouhegegeguojiafatingduijiangyanggeqinhaixingweizuoyouxiaogebujiu. 
09-00	di9tiao
09-01	renherenrenyidaibu, jujinhuofangzhubude. 
10-00	di10tiao
10-01	renrengenbenpingdengdeyouquanyou1gedulierwupianyigefatingjinxinggongzhenggegengongkaigechawen, yiquedingqugequanligenyiwubingpandingduiqutichugerenhexingshizhikong. 
11-00	di11tiao
11-01	fanshouxingshikonggaozhe, zaimaohuodebianhushangsuoxuge1qiebaozhenggegongkaishenpaneryifazhengshiyouzuiyiqian, youquanbeishiweiwuzui. 
11-02	renherengerenhexingweihuobuxingwei, zaiqufashengshiyiguojiafahuoguojifajunmaogouchengxingshizuizhe, buxubeipanweifanyouxingshizui. xingfabuxuzhongshifanzuishishiyonggefaluguiding. 
12-00	di12tiao
12-01	renherengesishenghuo, jiating, zhuzhaigentongxinrenyiganshebude, qugerongyugenmingyugongjibude. renrenyouquanxiangshoufalubaohu, yibikaijiangyanggeganshehuogongji. 
13-00	di13tiao
13-01	renrenzaigeguojingneiyouquanziyouqianxigenjuzhu. 
13-02	renrenyouquanlirenheguojia, baokuoqibenguozainei, bingyouquanfanhuiqugeguojia. 
14-00	di14tiao
14-01	renrenyouquanzaiqitaguojiaxunqiugenxiangshoubihuyibikaipohai. 
14-02	zaizhenzhengyouyufeizhengzhixinggezuixinghuomeidaolianheguogezongzhigenyuanzegexingweierbeiqisugedebu, gequanliyuanyongbude. 
15-00	di15tiao
15-01	renrenyouquanxiangyouguoji. 
15-02	renherengeguojirenyiboduobude, qugaibianguojigequanliyefourenbude. 
16-00	di16tiao
16-01	chengniannannu, bushouzhongzu, guojihuozongjiaogerenhexianzhiyouquanhunjiagenchenglijiating. qumenzaihunyinfangmian, zaijiehunqijiangenzailishi, lidangyoupingdenggequanli. 
16-02	zhiyoujingnannubicigeziyougegengenbengeyidao, cainengdihun. .
16-03	jiatingshitianrangegenjibengeshehuidanyuan, binglidangshoushehuigenguojiagebaohu. 
17-00	di17tiao
17-01	renrendeyoudandugecaichansuoyouquanyijitongtarenheyougesuoyouquan. 
17-02	renherengecaichanrenyiboduobude. 
18-00	di18tiao
18-01	renrenyousixiang, liangxingenzongjiaoziyougequanli;gequanlibaokuogaibianqugezongjiaohuoxinyanggeziyou, yijidanduhuojiti, gongkaihuosixiayijiaoyi, shijian, libaigenjielubiaoshiqugezongjiaohuoxinyanggeziyou. 
19-00	di19tiao
19-01	renrenyouquanxiangyouzhuzhanggenfabiaoyijiangeziyou;gequanlibaokuochiyouzhuzhangerbushouganshegeziyou, gentongguorenhemeijiegenbulunguojiexunqiu, jieshougengaosongxiaoxigensixianggeziyou. 
20-00	di20tiao
20-01	renrenyouquanxiangyouhepingjihuigenjieshegeziyou. 
20-02	renherenbuxuposhilishuyumou1tuanti. 
21-00	di21tiao
21-01	renrenyouzhijiehuotongguoziyouxuanzegedaibiaocanyuzhilibenguogequanli. 
21-02	renrenyoupingdengjihuicanjiazijiangeguojiagegongwugequanli. 
21-03	renmingeyizhishizhengfuquanligejichu;geyizhilidangyidingqigegenzhenzhenggexuanjuyuyibiaoxian, erxuanjulidangyijupubiangenpingdenggetoupiaoquan, bingyibujimingtoupiaohuoxiangdanggeziyoutoupiaochengxujinxing. 
22-00	di22tiao
22-01	meigeren, zuoweishehuige1yuan, youquanxiangshoushehuibaozhang, bingyouquanxiangshouqugegerenzhixianggenrengegeziyoufazhansuobixugejingji, shehuigenwenhuafangmiangezhongquanligewuzheng, jiangyanggewuzhengshitongguoguojianuligenguojihezuobingyigeguogezuzhigenziyuanqingkuang. 
23-00	di23tiao
23-01	renrenyouquanzuoshi, ziyouxuanzeshi, xiangshougongzhenggenheshigezuoshitiaojianbingxiangshoumianyushiyegebaozhang. 
23-02	renrenyoutonggongtongchougequanli, bushourenheqishi. 
23-03	mei1gezuoshigeren, youquanxiangshougongzhenggenheshigebaochou, baozhengshitazijiangenqirlaoxiaoyou1gefuherengezhixianggeshenghuotiaojian, biyaoshibingfuyiqitafangshigeshehuibaozhang. 
23-04	renrenyouweiweihuqugeliyierzuzhigencanjiagonghuigequanli. 
24-00	di24tiao
24-01	renrenyouxiangyouxiuxigenzizaigequanli, baokuogongzuoshijianyouhelixianzhigendingqigeixinxiujiagequanli. 
25-00	di25tiao
25-01	renrenyouquanxiangshouweiweichiquzijiangenqirlaoxiaogejiankanggenfulisuoxugeshenghuoshuizhun, baokuoshiwu, yishang, zhufang, yiliaogenbiyaogeshehuifuwu;zaizaodaoshiye, jibing, canfei, shougua, shuailaohuozaiqitabunengkongzhigedebusangshimoushengnenglishi, youquanxiangshoubaozhang. 
25-02	muqingenxirenziyouquanxiangshoutebietitiegenzizhu. 1qiexirenzi, wulunhunshenghuosiyazi, doulidangxiangshoutongyanggeshehuibaohu. 
26-00	di26tiao
26-01	renrendouyoushoujiaoyugequanli, jiaoyulidangmianfei, zhishaozaichujigenjibenjieduanlidangjiangyang. chujijiaoyulidangshuyiwuxingzhi. jishugenzhiyejiaoyulidangpubiansheli. gaodengjiaoyulidanggenjuchengjierdui1qierenpingdengkaifang. 
26-02	jiaoyugemudezaiyuchongfenfazhanrengegexingbingjiaqiangduirenquangenjibenziyougezunzhong. jiaoyulidangcujingeguo, gezhongzuhuogezongjiaojituanjiangezhigenzhidi, rongrengenyouyi, binglidangcujinlianheguoweihuhepinggegexianghuodong. 
26-03	fumuduiqizinusuolidangshougejiaoyugezhonglei, youyouxianxuanzegequanli. 
27-00	di27tiao
27-01	renrenyouquanziyoucanjiashehuigewenhuashenghuo, xiangshouyishu, bingfenxiangkexuejinbujiqichanshenggefuli. 
27-02	renrenduiyouyuqusuochuangzuogerenhekexue, wenxuehuomeishuzuopinerchanshenggejingshengegenwuzhigeliyi, youxiangshoubaohugequanli. 
28-00	di28tiao
28-01	renrenyouquanyaoqiu1zhongshehuigegenguojigezhian, zaijiangyanggezhianzhong, gebugaosuozaigequanligenziyounenghuodechongfenwuzheng. 
29-00	di29tiao
29-01	renrenduishehuifuyouyiwu, yinweizhiyouzaishehuizhongqugegexingcaikenengdedaoziyougenchongfengefazhan. 
29-02	renrenzaixingshiqugequanligenziyoushi, zhishoufalusuoquedinggexianzhi, quedingjiangyanggexianzhigewei1mudezaiyubaozhengduipangrengequanligenziyougeiyulidangyougechengrengenzunzhong, bingzai1geminzhugeshehuizhongshiyingdaode, gonggongzhixugenpubianfuligezhengdangxuyao. 
29-03	jiangyanggequanligenziyougexingshi, wulunzairenheqingxingxiadoubuxumeidaolianheguogezongzhigenyuanze. 
30-00	di30tiao
30-01	gebugaogerenhetiaowen, buxujieshiweimoxurenheguojia, jituanhuogerenyouquanjinxingrenhezhizaipohuaigebugaosuozaigerenhequanligenziyougehuodonghuoxingwei. 
