00-00	Declaracion Universal dos Dereitos das Persoas
00-01	A liberdade, a xustiza e a paz no mundo tenen por base o reconecemento da dignidade intrinseca e dos dereitos iguais e inalienables de todolos membros da familia humana;
00-02	O desconecemento e o menosprezo dos dereitos da persoa orixinaron actos de barbarie aldraxantes para a conciencia da humanidade; proclamouse, como a aspiracion mais elevada da persoa, o advento dun mundo no que os seres humanos, liberados do temor e da miseria, disfruten da liberdade de palabra e da liberdade de crenzas;
00-03	Esencial que os dereitos da persoa sexan protexidos por un rixime de dereito, co fin de que a persoa non se vexa compelida o supremo recurso da rebelion contra a tirania e a opresion;
00-04	Tamen esencial promover o desenvolvemento de relacions amigables entre as nacions;
00-05	Os pobos das Nacions Unidas reafirmaron na Carta a sua fe nos dereitos fundamentais da persoa, na dignidade e o valor do ser humano e na igualdade de dereitos de homes e mulleres; declararonse resoltos a promover o progreso social e a elevar o nivel de vida dentro dun concepto mais amplo de liberdade;
00-06	Os estados membros comprometironse a asegurar, en cooperacion coa Organizacion das Nacions Unidas, o respecto universal e efectivo os dereitos e liberdades fundamentais da persoa; e
00-07	Unha concepcion comun destes dereitos e liberdades o da maior importancia para o pleno cumprimento de dito compromiso;
00-08	A Asemblea Xeral proclama a presente Declaracion Universal dos Dereitos da Persoa como ideal comun polo que todolos pobos e nacions se deben esforzar, para que tanto os individuos coma as institucions, inspirandose constantemente nela, promovan, mediante o ensino e a educacion, o respecto a estes dereitos e liberdades, e aseguren, por medidas progresivas de caracter nacional e internacional, o seu reconecemento e aplicacion universais e efectivos, tanto entre os pobos dos estados membros coma entre os dos territorios colocados baixo a sua xurisdiccion.
01-00	Artigo 1ª.
01-01	Todolos seres humanos nacen libres e iguais en dignidade e dereitos e, dotados como estan de razon e conciencia, dibense comportar fraternalmente uns cos outros.
02-00	Artigo 2ª.
02-01	Toda persoa ten os dereitos e liberdades proclamados nesta Declaracion, sen distincion ningunha de raza, cor, sexo, idioma, relixion, opinion politica ou de calquera outra indole, orixe nacional ou social, posicion economica, nacemento ou calquera outra condicion.
02-02	Ademais, non se fara ningunha distincion baseado na condicion politica, xuridica ou internacional do pais ou territoiro da xurisdiccion do cal dependa unha persoa, tanto se se trata dun pais independente coma dun territorio baixo administracion fiduciaria, non autonomo ou sometido a calquera outra limitacion de soberania.
03-00	Artigo 3ª.
03-01	Todo individuo ten dereito a vida, a liberdade e a seguridade da sua persoa.
04-00	Artigo 4ª.
04-01	Ninguin estara sometido a escravitude nin a servidume; a escravitude e a trata de escravos esta prohibida en todalas suas maneiras.
05-00	Artigo 5ª.
05-01	Ninguin sera sometido a torturas nin a penas ou tratos crueis, inhumanos e aldraxantes.
06-00	Artigo 6ª.
06-01	Todo ser humano ten dereito, en todalas partes, o reconecemento da sua persoalidade.
07-00	Artigo 7ª.
07-01	Todos son iguais perante a lei e tenen, sen distincin, dereito a igual proteccion da lei. Todos tenen dereito a igual proteccion contra todo acto discriminatorio que infrinxa esta Declaracion e contra toda provocacion a tal acto.
08-00	Artigo 8ª.
08-01	Toda persoa ten dereito a un recurso efectivo, perante os tribunais nacionais competentes, que a ampare contra os actos que violen os seus dereitos fundamentais reconecidos pola constitucion ou pola lei.
09-00	Artigo 9ª.
09-01	Ninguin podera ser arbitrariamente detido, preso nin desterrado.
10-00	Artigo 10ª.
10-01	Toda persoa ten dereito, en condicions de plena igualdade, a ser oida publicamente e con xustiza por un tribunal independente e imparcial, para determinar os seus dereitos e obrigas ou para o exame de calquera acusacion contra ela en materia penal.
11-00	Artigo 11ª.
11-01	Toda persoa acusada de delicto ten o dereito a que se presuma a sua inocencia mentres non se probe a sua culpabilidade, conforme a lei e en xuizo publico no que se lle asegurasen todalas garantias precisas para a sua defensa.
11-02	Ninguin sera condenado por actos ou omisions que no momento de se cometer non fosen delictivos segundo o dereito nacional ou internacional. Tampouco se impora pena mais grave que a aplicable no momento de cometer o delicto.
12-00	Artigo 12ª.
12-01	Ninguin sera obxecto de inxerencias arbitrarias na sua vida privada, a sua familia, o seu domicilio ou a sua correspondencia, nin de ataques a sua honra ou a sua reputacion. Toda persoa ten dereito a proteccion da lei contra estas inxerencias ou ataques.
13-00	Artigo 13ª.
13-01	Toda persoa ten dereito a circular libremente e a elixir a sua residencia no territorio dun estado.
13-02	Toda persoa ten dereito a sair de calquera pais, incluso do propio, e a voltar o seu pais.
14-00	Artigo 14ª.
14-01	En caso de persecucion, toda persoa ten dereito a buscar asilo, e a disfrutar del, en calquera pais.
14-02	Este dereito non podera ser invocado contra unha accion xudicial realmente orixinada por delictos comuns ou por actos opostos os propositos e principios das Nacions Unidas.
15-00	Artigo 15ª.
15-01	Toda persoa ten dereito a unha nacionalidade.
15-02	Ninguin sera privado arbitrariamente da sua nacionalidade nin do dereito a cambiar de nacionalidade.
16-00	Artigo 16ª.
16-01	Os homes e as mulleres, a partir da idade nubil, tenen dereito, sen ningunha restriccion por motivos de raza, nacionalidade ou relixion, a casar e fundar unha familia; disfrutaran de iguais dereitos en canto o matrimonio, durante o matrimonio e no caso de disolucion do matrimonio.
16-02	So mediante libre e pleno consentimento dos futuros conxuxes se podera contraer o matrimonio.
16-03	A familia e o elemento natural e fundamental da sociedade e ten dereito a proteccion da sociedade e do estado.
17-00	Artigo 17ª.
17-01	Toda persoa ten dereito a propiedade, individual e colectivamente.
17-02	Ninguin sera privado arbitrariamente da sua propiedade.
18-00	Artigo 18ª.
18-01	Toda persoa ten dereito a liberdade de pensamento, de conciencia e de relixion; este dereito inclue a liberdade de cambiar de relixion ou de crenza, asi como a liberdade de manifestar a sua relixion ou a sua crenza, individual e colectivamente, tanto en publico coma en privado, polo ensino, a practica, o culto e a observancia.
19-00	Artigo 19ª.
19-01	Todo individuo ten dereito a liberdade de opinion e de expresion; este dereito inclue o de non ser molestado por mor das suas opinions, o de investigar e recibir informacions e opinions e o de difundilas, sen limitacion de fronteiras, por calquera medio de expresion.
20-00	Artigo 20ª.
20-01	Toda persoa ten dereito a liberdade de reunion e de asociacion pacificas.
20-02	Ninguin podera ser obrigado a pertencer a unha asociacion.
21-00	Artigo 21ª.
21-01	Toda persoa ten dereito a participar no goberno do seu pais, directamente ou por medio de representantes libremente escollidos.
21-02	Toda persoa ten dereito de acceso, en condicions de igualdade, as funcions publicas do seu pais.
21-03	A vontade do pobo o a base da autoridade do poder publico; esta vontade expresarase mediante eleccions autenticas que se haberan de celebrar periodicamente, por sufraxio universal e igual e por voto secreto ou outro procedemento equivalente que garanta a liberdade de voto.
22-00	Artigo 22ª.
22-01	Toda persoa, como membro da sociedade, ten dereito a seguridade social e a obter, mediante o esforzo nacional e a cooperacion internacional, habida conta da organizacion e os recursos de cada estado, a satisfaccion dos dereitos economicos, sociais e culturais indispensables a sua dignidade e o libre desenvolvemento da sua personalidade.
23-00	Artigo 23.
23-01	Toda persoa ten dereito o traballo, a libre eleccion do seu traballo, a condicions equitativas e satisfactorias de traballo e a proteccion contra o desemprego.
23-02	Toda persoa ten dereito, sen ningunha discrminacion, a igual salario por igual traballo.
23-03	Toda persoa que traballa ten dereito a unha remuneracion equitativa e satisfactoria, que lle asegure, asi como a sua familia, unha existencia conforme a dignidade humana e que sera completada, en caso necesario, por calquera outro medio de proteccion social.
23-04	Toda persoa ten dereito a fundar sindicatos e a sindicarse para a defensa dos seus intereses.
24-00	Artigo 24ª.
24-01	Toda persoa ten dereito o descanso, o gozo do tempo libre, a unha limitacion razoable da duracion do traballo e a vacacions periodicas pagadas.
25-00	Artigo 25ª.
25-01	Toda persoa ten dereito a un nivel de vida axeitado que lle asegure, asi como a sua familia, a saude e o benestar, e en especial a alimentacion, o vestido, a vivenda, a asistencia medica e os servicios sociais precisos; ten tamen dereito os seguros en caso de desemprego, enfermidade, invalidez, viuvez e vellez ou outros casos de perda dos seus medios de subsistencia por circunstancias independentes da sua vontade.
25-02	A maternidade e a infancia tenen dereito a coidados e asistencia especiais. Todolos nenos e nenas, nacidos de matrimonio ou fora do matrimonio, tenen dereito a mesma proteccion social.
26-00	Artigo 26ª.
26-01	Toda persoa ten dereito a educacion. A educacion debe ser de balde, polo menos no que atinxe a instruccion elemental e fundamental. A instruccion elemental sera obrigatoria. A instruccion tecnica e profesional habera de ser xeneralizada; o acceso os estudios superiores sera igual para todos, en funcion dos meritos respectivos.
26-02	A educacion tera como obxectivo o pleno desenvolvemento da personalidade humana e o fortalecemento do respecto os dereitos da persoa e as liberdades fundamentais; favorecera a comprension, a tolerancia e a amizade entre as nacions e todolos grupos etnicos ou relixiosos; promovera o desenvolvemento das actividades das Nacions Unidas para o mantemento da paz.
26-03	Os pais tenen dereito preferente a escoller o tipo de educacion que se habera de dar os seus fillos.
27-00	Artigo 27ª.
