00-00	AKUeJIA SUeKUA'IPA SUeCHIKI SUeJUTU WAYUU SA'U MMAKAT
00-01	JUeLUeJUeINJATUe A'IN taashi, kasalajana, kamaneejirawaa, sa'u tueue mmakat kayuupalasue suenainje kajuetuein atuma tueue akua'ipa wanawakat napuela napueshua naa wayuukanairua.
00-02	JUeLUeJUeINJATUe A'IN aka meraajuein suema mojutuein atuma tueue puetchi aapueshika suepuela suejutu wayuu, watta saali tueue kasa mojuesue a'innaka sa'upuena na'in wayuu; aka shia'in e'itaanuein ma'aka tueue kasa mueliakana ma'i e'iree naa wayuukana, suepuela nasawatuein wanee mma eere akatatnuein no'ulia tueue momoluu jeema muelia, eere taashi nakua'ipa suepuela yootoo jee muesueya suepuela anouja suenain kasa nano'ujekat anain;
00-03	JUeLUeJUeINJATUe A'IN a'inmajuenueinjatue ma'i palaajana suechikua sujutu wayuu, suelu'u wane suekua'ipa eere neimalueinjatuein na'in suelia ashuekuejawaa suenain pasalawaa sa'u nakua'ipa;
00-04	JUeLUeJUeINJATUe A'IN pa'inwaajiraa'injanain suechiirua aleewaa napueshuea naa suelauelayuukana alu'uwatawa sa'u tueue mmakat;
00-05	JUeLUeJUeINJATUe A'IN naa kottiraakana suenain tueue Nasiones Uniiras muenaka no'uniruein na'in suechirua tueue achiki suepuelajatka sujutu wayuu suelu'u wanawain nakua'ipa jieyuu nama tooloyuu; suma nayataajirain shiire anaata suemueliala wayuu suelu'u tueue anakat akua'ipa suenain taashi;
00-06	JUeLUeJUeINJATUe A'IN naa suelaulayuukana mma sunainkana tueueaapueshi nanueiki suepuela ayaataajirawa nama naa suelu'ukana tueue Orkaniisasion te las Nasiones Uniiras muenaka, suepuela kajuetueinjatuein atuema, tueue akua'ipa acheejanaka napuleerua naa wayuukanairua;
00-07	JUeLUeJUeINJATUe A'IN aapanueinjatue akua'ipa wanawa nekiiru'umuein napueshua puetchika tueue suepuela anainjatuein saanajia napuela wayuu, suepueshua tueue puetchi alu'uwataanaka anain;
00-08	KOTTIRAWAA MUeLO'USUeKA
00-09	SUeKUeJA'IN
00-10	TUeUeWAALAI SUeCHIKIMAAJATUeKA SUeJUTU WAYUU SA'U TUeUe MMAKAT, isakat anain wa'in achekuesue kapuela'in na'in naa sulaulayuuka mma otta muesueya natuma naa wayuukana jee tueue laulapiakat suepuela na'inruein waneepia shia suema nashatueinjatuein sukua'ipa suenain e'ikaa suechirua kajutueinjatuein atuma suepueshua suelu'uwataka achiirua puetchikat tueue.
01-00	SHI'IPAJANA WANE (1)
01-01	Naa wayuukana jemeishi suepuela taashi suema wanawa suelu'u nakua'ipa, aka muein yaa epijainjana suenain anajiranawaa a'in nama napueshi.
02-00	SHI'PAJANA PIAMA (2)
02-01	Tueue alu'uwatanaka suelu'u puetchikat tueue napuelajatue naa wayuukana napueshua nnojotuesue suepuela ko'utkueinjanain sa'uje natapa'a, nanuiki nanoujain no'ummain jee muesueya sa'uje kasa ekat e'in wanawa'injatue napuela wanepia.
02-02	Otta muesueya naa wayuukanairua nojolinjana join apuelaa sa'uje suekua'ipa no'ummain.
03-00	SHI'IPAJANA APUeNUeIN (3)
03-01	Naa wayuukana eeshi suepuela kajutueinjatuein atuma napuelerua tueue kataakat o'u, tueue taashi jee muesueya a'inmajuna akua'ipa sueulia kasachiki.
04-00	SHI'IPAJANA PIENCHI (4)
04-01	Nojolueinjachi aapuenuein wane wayuu suepuela achepchia,apuelajuenueitpa kasa muesueaka tueya suelu'u suekua'ipa suepueshuaya.
05-00	SHI'IPAJANA JA'RAI (5)
05-01	Nnojotuesue suepuela mulia'in a'in naa wayuukana atuma, nnojotuesue suepuela amojojunuein nakua'ipa.
06-00	SHI'IPAJANA A'IPIRUA (6)
06-01	Kajutueinjatue nakua'ipa naa wayuukana eepunaale naya.
07-00	SHI'IPAJANA AKARATCHI (7)
07-01	Wanawashi napueshua naa wayuukana so'upala tueue suelaulaka a'inmajia, anaaka naya joolu'u a'inmajuenuein wanawa. Nojolueinjana letuein sueulia tueue akua'ipa suelu'uwataka tueue puetchi karalo'utalueka.
08-00	SHI'PAJANA MEKIISAT (8)
08-01	Naa wayuukana eeshi suepuela asakajaa suechirua nakua'ipa laulapialu'upuena maaka shiinnule amuein tueue akua'ipa aapueshika namuein suelu'u tueue Konstitusionka.
09-00	SHI'IPAJANA MEKIETSAT (9)
09-01	Noojolueinjachi ata'unuein wane wayuu masalajanoule.
10-00	SHI'IPAJANA PO'LOO (10)
10-01	Naa wayuukana eeshisuepuela wanawain nakua'ipa suenain aapajuna anuiki, o'upala suetuma tueue e'itatka suesalajana kasa suepuela shiitaanueinjatuein suesalajana nanajala suelu'u anakat akua'ipa.
11-00	SHI'IPAJANA PO'LOO WANEMUeIN (11)
11-00	Wayuu ekai akuejuenuein achiki suenain kaanajala nnojolueinjachi suesalajanain ma'aka matujajule a'u; wane'ereja shiraajuenapa suekua'ipa, shiitanetka suesalajana ma'aka suelu'uwatain laulayuu suepu'uya tueue.
11-01	Nnojolueinjana suesalajana'in wane kasa ekai masalajana'in wane suma saanajunuein aka suelu'uwatain suekua'ipa laulapia nnojolueinjatue joolu'u muelo'ulein suesalajana atuma ayatueinjatue saalii ma'aka so'ukai sanajuenaka a'u.
12-00	SHI'IPAJANA PO'LOO PIAMAMUeIN (12)
12-01	Nnojolueinjana eke'ejuenuein a'in naa wayuukana sa'uje nakua'ipa nepialu'u, suema napueshi jee muesueya sa'uje tueue karalo'uta antakaa namuein a'inmajuenueinjatue tueue nakua'ipa sueulia jamajuein naya atuma.
13-00	SHI'IPAJANA PO'LOO APUeNUeINMUeIN (13)
13-00	Naa wayuukana eeshi suepuela waraituein eepuenaweele, eeshi suepuela kapueyain suelu'u tueue mma nachekakalue na'in.
13-01	Jee muesueya naa wayuukana eeshi suepuela antaa suema o'una suelu'uje no'ummain otta muesueya suelu'uje wane mma naatajatue.
14-00	SHI'IPAJANA PO'LOO PIENCHIMUeIN (14)
14-00	Ma'aka nuechejanuele achiki wane wayuu suelu'u no'ummain, eeshi suepuela nuechuentuein akaliijuna suelu'u wane mma eere anain nuemuein.
14-01	Akua'ipakat tueue kajutueinjatue atuma sueuleerua wane anajala ekai naatuein sueulia suekua'ipa tueue Nasiones Uniiras muenaka.
15-00	SHI'IPAJANA PO'LOO JA'RAIMUeIN (15)
15-00	Naa wayuukana eeshi suepuela suenueliamuein naya wane mma.
15-01	Nnojotuesue suepuela saakatnuein no'ulia suenuelia no'ummainnnojotuesue achechetnueinjatuein shia nanain ma'aka nawanajaweere sueulia.
16-00	SHI'IPAJANA PO'LOO A'IPIRUAMUeIN (16)
16-00	Nnojotsue puelajuenueinjatuein namuein naa wayuukana kawayuuse, jieyuu nama tooloyuunnojotsue erajanueinjatuein palajaana jalejeewolin, kasain nano'ujain anain kasataluein nata, suepuela kapueshinjanain wanawainjana suelu'u anakat akua'ipa.
16-01	Akasalajuenueshi naa wayuukana ma'aka nacheckule na'in.
16-02	Tueue wapueshika shia akuemajaka wapueleerua tueue akua'ipakat, aka muein yaa wa'inmajueinjatue jee muesueya a'inmajuenueinjatue natuma naa suelaulayuukana mma.
17-00	SHI'IPAJANA PO'LOO AKARATCHIMUeIN (17)
