00-00	TEKOVE YVYPORA KUERA MAYMAYVA DERECHO KUAAUKAHA
00-01	(preamble missing)
01-00	Art. 1
01-01	Mayma yvypora ou ko yvy ari inapytl'yre ha eteicha dignidad ha derecho jeguerekope; ha ikatu rupi oikuaa aneteva ha anete'yva, iporava ha ivaiva, tekoteve pehengueicha oiko onondivekuera.
02-00	Art. 2
02-01	Mayma yuypora oguereko derecho ha libertad kuera ko Declaracionpe oiva, onemana'yre mba'eichaguapa i-raza, ipire color; kinapa terapa kuimba'e, ine'e, i-religion, inopinion politica, heta, ha'epa mba' rerekoha, oipa yvate terapa nahaniri sociedad ryepype, hamba'e.
02-02	Mba'eveichagua jeporavo avei ndoiok va'era onemananguevo heta situacion rehe, legalmentepa mba'eicha oi, ha'epa isasopyre, oguatava ojeheguiete, terapa oi ambue teta ndiv tera ipoguype.
03-00	Art. 3
03-01	Mayma tapicha oguereko derecho oikovevo, piporuvo ilibertad ha ojerrespetavo ipersona.
04-00	Art. 4
04-01	Avavepe ndojeguerekoi va'era esclavo tera tembiguai ramo; mba'eveichagua esclavitud tera tapicha jejogua ha nevende ndaikatul oiko.
05-00	Art. 5
05-01	Avavere ndoikova'erai nembosarai vai tera nambohasa asy, humano rekore ndojojaiva.
06-00	Art. 6
06-01	Mayma yvypora oguereko derecho ojehechakuaavo ichupe opaite handarupi ha'eha petei mava leiduera renondepe.
07-00	Art. 7
07-01	Maymavaite: peteichante lei renondepe ha oguereko, mba'eveichagua jeporavo'yre, derecho peteicha lei onangarekovo hese. Maymava oguereko derecho peteicha onenangarekovo hese. Maymava oguereko derecho peteicha onenangarekovo hese opaichagua jeporavo ohovagui ko Declaracion contrape, ha opa neha'a oikovagui jeporavora.
08-00	Art. 8
08-01	Mayma yvypora oguereko derecho onangarekovo hese hekoitepe tribunal kuera oiva hetame, omo'a haguaicha ichupe umi opyrusevagui iderecho kuera rehe oIva constitucion a leipe.
09-00	Art. 9
09-01	Avavepe ndaikatui mbaretepe reinte onedetene, ojegueraha preso tera onemose hetagui.
10-00	Art. 10
10-01	Mayma yvypora oguereko derecho, peteichapante, ohenduvo ichupe idespachope ha justicia ojerure haichaite, petei tribunal oguatava ojeheguiete ha oporolado apo'yva, onemyesakata java iderecho ha obligacion huera, ha avei ojehesa'yjorato onembojava hese tembiapo vai'ei contrape ohova.
11-00	Art. 11
