00-00	TOTIHITAWE THAMOTIMA THE A
00-01	Enaha the puhi taeo kuaai, wa reamai the, peheti he usukuwe the, wa toprao the kai, hei the pe nohi taemopou piyekou, ihi the pe nohi ihipimopouha totihitawe thamotima the hami he usukuwe the pe nohi taeayou totihitaope,
00-02	Enaha the puhi taeo kuaai, totihitawe thamotima theni the taimi ha, the pe kai shomiaprai ha, hei waritiwe thamotima the kipi thaprarema. Komi pemaki re kui pemaki kiriihou mai, pemaki kai no preaai mai pemaki perihou piyekope, pemaki a topraope, pehetiapramotima the pe hami.
00-03	Enaha the puhi taeo kuaai, totihitawe thamotima the re wa nosie huamotima theni the nohi thapope, komi urihitheri the pe no yuayou maope,
00-04	Enaha the puhi taeo kuaai, the pe perihiwe re piyekei the pe puhi taamayope the pe rimimayope,
00-05	Enaha the puhi taeo kuaai, komi urihitheri ONU the ha the pehetiapraihe, totihithawe thamotima the hami, suwe waro pei pemaki no re kui the pe no a he usukuwe, kama peni the a wawemaremahe the pe puhi re taamaiwei,
00-06	Enaha the puhi taeo kuaai, komi urihitheri pe re kui ONU the iha the pe a wawetokema totihitawe the a nosi ria ha poheni,
00-07	Enaha the puhi taeo kuaai, the pe a re wawetokenowei the peni the a hiriapehe the a nosi kai popehe
00-08	Ihi the no a ha TOTIHITAWE THAMOTIMA THE A weyei piyekouhe.
01-00	Hetipetewe 1
01-01	Komi the pe re periprawe re piyekei, he usukuwe the pe keprou ai the a reamaiha no a heparohowe, totihitawe the pe ria re thaiwehei hami, the pe puhi tao kai perihiweha, the pe puhi kai kateheweha hawe kama the pe mashi shiro perihimope.
02-00	Hetipetewe 2
02-01	Komi the pe ihami totihitawe thamotima the kuprawe , the a re maiha the pe periprawe, wa katehano theni the waha no wayoano, suwe, waro, pei kahi, the pe re reahumouwei, nape the a, no matohipi, no preaarewe, the pe re kepronowei hami, ai the pe sho, shomi urihitheri himayoumahei.
02-02	Komi the pe ihami totihitawe thamotima the kuprawe , the a re maiha the pe periprawe, ma kui ai the peni the pe urihipi repoumakuhei the pe ria perio toprao he yatio.
03-00	Hetipetewe 3
03-01	Yami komi the pe ihami totihitawe thamotima the kuprawe the pe re periaiwei the pe kuprawe, ai the a reamai, peheti the pe re periaiwei.
04-00	Hetipetewe 4
04-01	Ai the pe iha horemou wamaki no ohotamopi mai, horemou ohotamomamotima the thamai puhiomi he parohowe.
05-00	Hetipetewe 5
05-01	The pe shemou taomi, the pe waha kai warihithomamou taomi, the pe shemou waritiai taomi.
06-00	Hetipetewe 6
06-01	The pe periprawe re piyekei the pe ihami totihitawe thamotima the kuprawe, the pe nohi ria hatukemopou piyekou.
07-00	Hetipetewe 7
07-01	Wa nosie huamotima a hami, komi hititiwe the pe he usukuwe, the pe nohi kai thapou piyekou. Hei wa katehano the re kui theni, hititiwe wa nosie huamatima ani warihitho thamotima the hami, the pe he komi rupou piyekou; warihito thamotima the hami the pe no yuo maope.
08-00	Hetipetewe 8
08-01	Komi hititiwe the pe re kui, the pe payeriope nohi thaporewe pata peni, pe nohi re hatukeawei kama urihitheri the peni , totihitawe thamotima the warihitho thai maopehe.
09-00	Hetipetewe 9
09-01	Enaha petawe the pe hueamou taomi, the pe kai okamopou taomi ai the urihi hami the pe shimamou ayao taomi.
10-00	Hetipetewe 10
10-01	Komi hititiwe the pe ihami, totihitawe thamotima the kuprawe, the pe he pruka usukuwe, nohi thaporewe pata pe mithari hami, the a ria hai the a ria ha hiriamoni the re thanowei the hami the waha no weyeihe tehe, the no a he ria ha ruoni.
11-00	Hetipetewe 11
11-01	Hititiwe the pe re kui the peni ai the ma thamonomai the pe wahano weyeihe tehe the pehetiaprai haia maheiha the shurukuamou haio taomi. Nohi thaporewe pata peni the pehetiaprai haia maheiha pe noa napemou taomi.
11-02	The pe wahano weyeyono ma mai, the pe wahano weyeyou, enaha the thamou taomi. Hapa hote waritiwe the ani hei tehe the waritiwe he parohowe the thamou taomi.
12-00	Hetipetewe 12
12-01	Ai the puhi petouha ayaroni , the pe yahipi hami, the he haprou ayou taomi, therihe pe ihami kai, onioni a shimaihe tehe the kai mii pario ayao taomihe, komi the pe mithari ha wa the wahano weyei ayao taomi. Ihi the pe hami totihitawe thamotima the re kui wa nosie huamotima theni the pe nohi thapou piyekou.
13-00	Hetipetewe 13
13-01	Hititiwe the pe ihami totihitawe thamotima the kuprawe, ai the a reamaiha the pe ria huu piyekou, wa the nohi re peripouwei the urihi ha the pe kai ria shaponomou.
13-02	Hititiwe the pe ihami totitihitawe thamotima the kuprawe ihi the no aha the pe re perihiwe re piyekei the pe urihipi hami, the pe kai ria huu, the pe urihipi nohi kai re periprai, the pe urihipi nohi kai ria koo mi yapao.
14-00	Hetipetewe 14
14-01	Ai the yapekamahe tehe, komi hititiwe the pe ihami totihitawe thamotima the kuprawe the pe re hithepraamaiwei a urihi ha, ihi a ha the pe a ria toprao, shomi the pe urihipi hami kai.
14-02	Hei a hami totihitawe thamotima the re kui the waha pomou taomi the kai puhipramou taomi, wa nosie huamotima nohi thaporewe peni the pe huemamaihe tehe peheti komi yapekamotima the pe hami pei the hapa re hupetarenowehei the peni kai.
15-00	Hetipetewe 15
15-01	Hititiwe the pe ihami totitihitawe thamotima the kuprawe, kama urihi theri the pe waha hirou katitou.
15-02	The puhi petouha ayaroni kama urihitheri the re kui the mapramai ayao taomi, totihitawe thamotima theni hawe kama e the waha ria hiroprou kuo.
16-00	Hetipetewe 16
16-01	Waro, suwe pe sho, kama huya the pe ria re toayouwei hami totihitawe thamotima the kuprawe ai the a reo taomi. Ai the a reamaiha suwe , waro pe sho the pe ria toayou, kama theri the pe waha hirou, reahumotima kama urihitheri, ihi the peni totihitawe thamotima the hami the pe a reo taomi, kama the pe mashi ria kuprou. Shoati totihitawe thamotima the ha the pe a ria toprao, the pe toayou pario tehe, the pe a toprao re kuonowei naha, the a ria toprao kuo shoao.
16-02	Kama kekipi re puhiyouwei, peheti kekipi ria toayou.
16-03	Kama the pe mashi shironi pe shapono praukamaihe ihi the no aha totihitawe thamotima the re kui, kama urihitheri theni the nohi thapouhe, kama the pe shaponopi kaini.
17-00	Hetipetewe 17
