00-00	[missing]
00-01	[missing]
01-00	1.
01-01	Opakatu ava yoro’a nda’ei tembigwaigwa oyoyatupri, sekotupri, vaera, imboeteisara, oikatu ipi’a yemoneta, imbaekua, ndiyai yurekorairai nepei pei ambua rese.
02-00	2.
02-01	Opakatu ava vireko yemboeteisa, iyavei ndaei ambua ava povri ve narae sekoira aipoei ko ikwachia pri imombeu, ndayayeavi avei ambua ava rese, yepe virekora, onee, gwekosa viroya ambua tuepa, ipirer moroechi, sue, kuna, kuimbae ipia yemoneta ambua ke ambua mbae rese, sekoise rumo nepei tekwave, yepe vireko atira gwarepochi o ambua mbae.
02-02	Iyavei ndayamboyea viichira opakatu pia nemoneta sa inungar ambua tekwa gwasuve osose mborokwaita, inungar tupriavei imboetei-sara, ndaeichira sokendapri nungar yaikora.
03-00	3.
03-01	Opakatu ava vireko yemboeteisa gvvekove agwa ndaei vaera tembigwaigwa sekoi iyavei virekora pisikora mbae, mbae tei sui.
04-00	4.
04-01	Ndiyai ete avapovrire yaiko tembigwaigwa tei iyavei ndiyai ete yande reko rai, raira ambua ava rese.
05-00	5.
05-01	Nidayai ete vireko rai, raira inungar okwara sese, oinupara, ae ndipotasairi.
06-00	6.
06-01	Opakatu ava vireko yemboeteisa opakatu rupi, iyavei vireko vaera kuachiar gwerer pipe.
07-00	7.
07-01	Opakatu oyoyatupri yaiko, iyavei ndaya yeavii mborokwaita gwasu pipe inungar avei ko mborokwaita yande pisirora yande repira tekoai-sui ndiyai avei ndaseroyasai ko imombeupri akoi oimera, nepei ava ndayande mboetei chira ko mborokwaita gwasu omboyapisakara.
08-00	8.
08-01	Opakatu ava oikatuite opakatu mbae virekoaegwa mborerekwar rembiepiave viroya vaera oimese mbaembae tei o virokwapota mose ke imbae yureko ichui oikuase rumo mborerekuar osepira ko oime vae mborokwaita gwasu pipe.
09-00	9.
09-01	Ndiyai ete nepei ava sokendasanotei o omondora ambua tekwave yureko.
10-00	10.
10-01	Opakatu ava oyoyatupri vireko oneeagwa, sendusara iyavei mborerekuar ndaeichira neoeino oipitiviira mbae omoingatu vaera oyavise mbae sembiapo yureko.
11-00	11.
11-00	Opakatu ava maechiroi pipe suitei osokenda pota vae yureko, oikatu noite oese evokoi nungar sui ndipoise sepiasar, imnbeusar, ndoikuaukaise mbae sembiapo yureko.
11-01	Nepei ava ndiyaiete ke mbae rai oyapo vae ipare koiye tei imaenduara sese yureko ko ite iviei kwese suive oiko eira, ipare sererpipe mbae oime remo vae onoma gwasura yamondo noite mborerekuar po ve oyasa ve tei. Mbae oyapo vae yipive ndayaikatuiri yambyoa ipare tei, ndiyaiavei mbae mi sui sokendasara.
12-00	12.
12-01	Nepei ava ndiyai one’e yande reer pipe, ndiyai avei one’e yandereko rese, yande reta rese o kuachiar ou vae yande rerpiipe ndiyai avei aerane notei aipo ei ko ipia nemoneta eira. Opakatu ava imboeteisara iyavei oipisirora ko mborokwaita aipo nungar sui.
13-00	13.
13-00	Opakatu ava oikatu ogwata gwembimbotar rupi iyavei osekara gwekosagwae. Ko yande ivi gwasu pipe.
13-01	Opakatu ava oikatu avei oese gwekwa sui ambua ava rekua ve ipare ikerise oyeviri gwekwa ve avei.
14-00	14.
14-00	Akoi pitase sasavi oikatu oseka oi aeve ava otiaero vaerese ianeko yureko ke ambua tekura rupi.
14-01	Ko ikwachiapri yanderepi vaera ndoikatuichira yanderepi yayapose mbae, mbae tei opakatu rembiepiave.
15-00	15.
15-00	Opakatu ava vireko poromboeteisa ikwachiapri vaera nepei tekwa gwasuve.
15-01	Nepei ava upe ndiyaete ani yaera oyekwachia potase ambua tekwa gwasuve osekunaroe potase gwekwa.
16-00	16.
16-00	Kuna, kuimbae akoi oyepotase iaraviter omendagwae nomaeichira sepiaka rese, ipirer rese, tuepa viroya vaerese o ambua tekwa pendarse inungar noite oikatu omenda, iyavei ndaechiria ichi o tu tei ko aipota nemer gwae o nde rembireko gwae eira chupe yureko.
16-01	Akoi omenda potavae oyemoneta itera yureko aeite oye mongereira yureko aeseramo iyesupa oipitivira. Yorekoi tupri vaera koyekatu ambua ava paeu ve, iyavei imboetepri yurekoira inangar ambua ava tekwa ve ikwai vae vireko aveira propisirosa. Mborokwaita spipe.
17-00	17.
17-00	Opakatu ava oikatu virekora. Mbae gwerer pipe o onomara opakatu rer pipe aveino.
17-01	Nepei ava ndoikatuichira ani ei vaera chupe.
18-00	18.
18-01	Opakatu ava virekose opianemo~etaza oyapopota vae gwembimbotar rupi, osopotase ambua tueparo rupi, ova potase ambua tueparove, oikatuile a’ea oyapo o setase inungar avei oikatu okar rupi o gweta pipevemi, yemboesave, opakaturupi inungar noite oikatura, yapo.
19-00	19.
19-01	Opakatu ava oikatu pia nemoneta osenduka. Ndiyai inee suitei imonapri sekoira oikatu avei mbae taikwa oya oporandura oipisira ambua pianemonetasa oikatu avei senduka, ndipoichitiera aiponderei tene ei vaeera chupe omondora opakatu neerendukasarupi. O ikuachiapri pipe.
20-00	20.
20-01	Opakatu ava oikatu oyemboati yureko gwenbimbotar rupi. Ndipoichira ava omoanei-aneira vae che piri tasekoi oyapavetei. Chupe.
21-00	21.
21-00	Opakatu ava oikatunoite oike mborerekwargwae gwewa gwasu pipe osenoise yureko.
21-01	Opakatu ava oikatu yuraso oyoyatupri ambua avarese. Mborerekwar taiko tekwa pipe eise.
21-02	Tekwa oipotase gwembimbotar omondo mborerekwar gwekwa pipe narae yureko ko mboerekwar gwae ndoikatuichietera gwambimbotar no tei oike.
22-00	22.
22-01	Opakatu ava, Tekwa pipendat virekora poropisiroesa ava paeuve, oikatuaveira mbae vireko mborerekwar vaera semimongana ari yakatu nara opakatu sembimboyesu pe aveino.
23-00	23.
23-00	Opakatu ava oikatu vyireko vaera opaeavikisa, gwembimbotar rupi oiporavora mboraviki oyoyatuprira aviye vae, iyavei oimera pisiroesa mboraviki oimeyono vaera. Chupe
23-01	Opakatu ava ndiyaeiete yakapri tei sekoira, imboravikirepri inungar amibua.
23-02	Opakatu ava oparaviki vae ndiyaiete ndasepii pii chupe iyavei osupitira opakatu mbae repirae sembimboyesu upe inungar ambua ikwai, iyavei oimese ambua poropitiviisa oikatuite mbae mondo chupe akoi ipanese mbae chupe.
23-03	Opakatu ava oikatu omoime yemboatisa oike vaera ipauve oyepiaegwa o oporandu vaera mbae oipotavae, yureko.
24-00	24.
24-01	Ndoviroepituichira, ambuano virekoaveira, pitu’usa mboraviki pauve inungar aveirumo sepira chupe.
25-00	25.
25-00	Opakatu ava viorekora oikotupri vaera, iyavei seta pendar no, mberasi sui, virekora karuasa aviye vae, nipenei chira turukwar chupe, seta gwano, ke oporoposano vae tekwa pipe, ipanese inungar ko ndoparavikiise vireko no aveira ava oikwavee vaer chupe inungar ko, imbaeasise, ndogwatairise oime yandeu yepi.
25-01	Yande si inungar avei chivae virekoaveira ianeko vaera sese yureko. Opakatu chivae yoroa vae mendosa pipe o ani vae inungar avei virekora propisirosa tekwa pipe.
26-00	26.
26-00	Opakatu ava iya oyemboe yureko, yemboesa mdiyai sepi, esa ae ndiyaiete ipane supiramoite yaikatu mbae rerogwatatupri, ko yemboesa, ndiyaiete ava ipone sese yande kwaitatie. Akoi oyemboe pota vite vae ivate katu aeno katu yemboe rekokwer rupi revo sepimira ndo yande rumo yaikatuavei yaike yaikatuse ndipoichietera ava ani ndereikeitene ei vaera yandeu.
26-01	Yemboesa virekora pia yemoneta yaiko tupri vaera oime vaera poromboeteisa ava paeuve ambua no oikwaiaka veira yandeu ndaei vaera tembigwaigwa yaiko.
26-02	Yayendukwa vaera, yayeparaisu reko vaera, oimo vaera poropitiviisa ambua tekwa gwasurese opakatu ambua tekwatekwa mi rese iyavei ambua ava rese yepe ke ndaerchira yande ke ambua vae itupa inungar no aveino.
26-03	Yande si, yande ru oikatu oseka vaera mbae rese o mbae nungar yemboesa oipota ae yureko yandeu narae.
27-00	27.
27-00	Opakatu ava oikatu ikerise sekoi inungar ambua ava reko yureko sembiapo, sekokwer, nepei tekwa ve oikatu avei vireko vaera mbae aviyese sekokwer tekwa rembiepiave.
27-01	Opakatu ava mbae oyapo vae vireko avei poropisirosa inungar ke ambua ava teiko che ayapo eise, che aikwachia eise, evokoi nungar sui, ndiyai yayembombae notei ava renbiapo rese.
28-00	28.
28-01	Opakatu ava oikatu onee ko ikwachia pri rese. Taseroyasite katu eira yavei toimeite ke ambua tekwave. Opakatu viroya vaera yureko.
29-00	29.
