00-00	Deklarasyon linivesel Dwa Moun
00-01	Le nou sonje ke desizyon rekonet vale chak moun genyen nan li menm-menm kom moun, desizyon rekonet tout moun gen menm dwa egalego, dwa pesonn pa ka wete nan men yo, desizyon sa a se veritab baz libete, veritab baz lajistis ak lape sou te a.
00-02	Le nou sonje ke inyorans ak mepri dwa moun, konn lakoz dives move zak sovaj, zak ki revolte konsyans mezi moun sou te a, san nou pa bliye ke, pi gwo espwa nou kom moun, seke yon jou va rive le chak kretyen-vivan va gen libete lapawol, libete pou li gen konviksyon pesonel li, yon jou le tout moun va santi yo debarase ak laperez ak lamize sou te a.
00-03	Le nou sonje nesesite pou gen yon seri regleman ki pou pwoteje dwa moun sou te a, dekwa pou lezom pa toujou santi yo oblije pran lezam pou delivre tet yo anba chef k ap kraze brize ak moun k ap fe abi.
00-04	Le nou sonje nesesite pou nou ankouraje tout nasyon tabli relasyon bon zanmitay antre yo.
00-05	Le nou sonje ke nan batiste Nasyonzini an menm, pep peyi manm yo te retounen deklare anko, ke yo gen lafwa nan dwa fondalnatal chak moun, lafwa nan diyite ak vale chak kretyen-vivan, lafwa nan dwa egalego pou ni fanm, ni gason.
00-06	Le nou sonje ke tout peyi sa yo te pran pozisyon anfave pwogre sosyal sou te a, epi yo te pran desizyon pou fe tout moun sou te a jwenn plis libete ak pi bon kondisyon pou yo viv.
00-07	Le nou sonje ke peyi manm yo te pran angajman, pou yo kole tet ak Nasyonzini, pou fe respekte dwa moun ak libete ki endispansab yo, toutbon vre, toupatou sou te a.
00-08	Le nou sonje jan li enpotan pou tout moun soti dako sou sa dwa ak libete sa yo vle di, pou yo ka asepte angajman sa a nan tout sans li.
00-09	Asanble Jeneral la pwoklarme:
00-10	Deklarasyon Dwa Moun sa a fet pou sevi tankou pi gwo espwa pou tout moun, nan tout nasyon sou te a. Y ap eseye realize li, yon fason, dekwa pou tout kretyen-vivan, tout enstitisyon ki fe pati lasosyete, ka pran Deklarasyon sa a kom gid, nan efo y ap fe, pou yo sevi ak edikasyon kom mwayen pou fe respekte dwa ak libete ki nan Deklarasyon sa a; nan efo y ap fe pou yo tabli bon jan regleman, pou soutni Deklarasyon sa a, ni lakay yo ni lot kote. Regleman sa yo sipoze ranfose, fe rekonet epi fe aplike dwa ak libete ki nan Deklarasyon sa a, nan mitan popilasyon tout peyi manm Nasyonzini yo dabo epi nan mitan popilasyon tout teritwa ki sou komannman yo.
01-00	Atik 1
01-01	Tout moun sou te a fet tou lib. Tout gen menm vale (nan je lasosyete), tout moun gen menm dwa devan Lalwa. Tout moun fet ak yon bonsans, tout fet ak yon konsyans epi youn fet pou trete lot tankou fre ak se.
02-00	Atik 2
