00-00	hkrzh lkl vay 'vlm vdvr zkvyvt hadm
00-01	hvayl vhkrh vkvvd htv'y ashr lkl vny mshfht hadm vvzkvyvtyhm hshvvt vhvlty nfq'vt hva ysvd hchvfsh, htsdq vhshlvm v'vlm.
00-02	hvayl vhzlzvl vzkvyvt hadm vvyzvyn hvshylv m'shym frayym shfg'v qshh vmtsfvnh shl hanvshvt; vvnyn 'vlm, shvv yyhnv kl ytsvry anvsh mchyrvt hdyvvr vhamvnh vmn hchyrvt mfchd vmmchsvr, hvkrz krash shayfvtyv shl kl adm.
00-03	hvayl vhkrch chyvny hva shzkvyvt hadm thyynh mvgnvt vkvch shltvnv shl hchvq, shla yha hadm anvs, kmflt achrvn, lhshlyk at yhvv 'l mrydh v'rytsvt vvdykzy.
00-04	hvayl vhkrch chyvny hva lqdm at htftchvtm shl ychsy ydydvt vyn havmvt.
00-05	hvayl vh'mym hmavgdym vargvn havmvt hmavchdvt chzrv vayshrv vmgylh at amvntm vzkvyvt hysvd shl hadm, vkvvdh vv'rkh shl ayshyvtv vvzkvt shvvh lgvr vlashh; vmnvy vgmvr atm lsyy' lqdmh chvrtyt vlh'lat rmt hchyym vtvk ytr chyrvt.
00-06	hvayl vhmdynvt hchvrvt htchyyvv lf'vl, vshytvp 'm argvn havmvt hmavchdvt, ltyfvl ychs kvvd klly al zkvyvt hadm val chyrvyvt hysvd vhqfdh 'l qyvmn.
00-07	hvayl vhvnh mshvtft vmhvtn shl zkvyvt vchyrvyvt alh hva tnay chshvv lqyvmh hshlm shl htchyyvvt zv.
00-08	lfykk mkryzsh h'tsrt vazny kl vay h'vlm at hhkrzsh hzat vdvr zkvyvt hadm krmt hyshgym kllyt lkl h'mym vhavmvt, kdy shkl ychyd vkl gvp chvrty yshvvh tmyd lngd 'ynyv vyshap ltfch, drk lymvd vchynvk, ychs shl kvvd al hzkvyvt val hchyrvyvt hllv, vlhvtych vamts'ym hdrgtyym, lavmyym vvynlavmyym, shhhkrh v'qrvnvt alh vhhqfdh 'lyhm tha kllyt vy'ylh vqrv avklvsy hmdynvt hchvrvt vvqrv havklvsym shvartsvt shyfvtm.
01-00	s'yp a.
01-01	kl vny adm nvldv vny chvryn vshvvym v'rkm vvzkvyvtyhm. kvlm chvnnv vtvvnh vvmtsfvn, lfykk chvvh 'lyhm lnhvg aysh vr'hv vrvch shl achvh.
02-00	s'yp v.
02-01	kl adm zkay lzkvyvt vlchrvyvt shnqv'v vhkrzsh zv lla hflyh klshhya mt'my gz', tsv', myn, lshvn, dch, d'h fvlytyt av d'h vv'yvt achrvt, vgll mvtsa lavmy av chvrty, qnyn, lydh av m'md achr.
02-02	gdvlh mzv, la yvflh adm 'l fy m'mdh hmdyny, 'l fy smkvth av 'l fy m'mdh hvynlavmy shl hmdynh av harts shalyh hva shyyk, dyn shharts hya 'tsmayt, vvyn shhya ntvnh lnamnvt, vyn shhya ntvlt shltvn 'tsmy vvyn shryvvnvth mvgvlt kl hgvlh achrt.
03-00	s'yp g.
03-01	kl adm ysh lv hzkvt lchyym, lchrvt vlvtchvn ayshy.
04-00	s'yp d.
04-01	la yhyh adm 'vd av mshv'vd; 'vdvt vschr 'vdym yasrv lkl tsvrvtyhm.
