00-00	Aadmi ke hak ka Kahna, djaun sab manai djaun doeniya me rehe ke khatien hai.
00-01	Bichaar kar ke, ki, ego apan ke iddjat aur ekahie aur ego basis hak ba, sab sansaar ke basis, aadjadi, niaai aur shaant hai, djaun doeniya me hai.
00-02	Bichaar kar ke, ki djaun nietchai aur thokarae hoige hai aadmi ke hak ke, ohi bhi katthor-behwaar pais hai, djaun doeniya bhar ke insaan sab insaan ke mann (bhi) me otna ghoesa lail hai, aur ego doeniya aaige hai djaun me ek aaadmi ke bole ke aur soche ke aadjadi chaahin, aur derai aur djaran me koi ke na chaahin rehke, ohi rakam ke doeniya, sab aam manai ke khatien, sab se barka samaan hai.
00-03	Bichaar kar ke, ki kanoen ke maaren aur okar taakat se, insaan ke hak rattcha karwail hai, kaahe ke aadmi hatyachari aur nietchai ke andhiaai ke na uskai.
00-04	Bichaar kar ke, ki basis hai, des ke bietch me soemmat rehke chaahin aur sab des aapan-aapan sanghat se rehe aur karobaar ke mel-djol ke karen.
00-05	Bichaar kar ke, ki ‘Verenigde Naties’ ke djanne, okren Chitti me bole hai, ki oke biswaas hai, ohi hak me, djaun insaan ki djindagi ke khatien djaroerat maane hai, ek aadmi ke iddjat aur kimmat me aur mard aur meraroe ki barabar hak djaun hai, ohi (biswaas kar ke) bolies hai ki, samaadj ke barhawat, aur djindagi ki oepai aur barka aadjadi me, aage kari.
00-06	Bichaar kar ke, ki djaun des ‘Verenigde Naties’ ke djhoend hai, ohi djabaan dees hai, ki oe sab, ‘Verenigde Naties’ ke saathe, kausis kari, ohoe djaun doeniya me iddjat sab aadmi ke hak ke chaahin howe ke, aur aadjadi djaun djaroerat hai, barhawe ke.
00-07	Bichaar kar ke, ki ehi djabaan dewe ke aur sab kare ke khatien, soemmat se rehke chaahin, ke ehi hak aur aadjadi ka matlab kountji hai.
00-08	Ab, ie sait, ohi khatien...
00-09	Sab ke assemblee,
00-10	Bole hai ki, ehi Kahna djaun sab insaan ke hak ke khatien hai, (ohi) soemmat se (bole hai ki) ego djaroerat ba, djaun sab log aur sab des ke pahunche ke chaahin, kaahe ke sab aadmi aur sab toekarra ke samaadj, ehi Kahna, begar chore ke, okre man me rakhe, aur samadj-boedj ke sikhai aur siettcha leke ehi hak aur aadjadi, ke iddjat aage kari aur barhawai ke karen leike, aapan des me aur doesar des se, rattcha kari ekkre pahichaane aur samdjhawal djaun soemmat se howe hoi, ehi djoend ke djanne me bietch aur doesar djanne djaun rehe hai okren niyaai se:
01-00	Aadhiaai 1
01-01	Sab djanne aadjadi aur barabar paidaa bhailen, iddjat aur hak me. Ohi djanne ke lage sab ke samadj-boedj aur hierdaai hai aur doesare se sab soemmat se, djaane-maane ke chaahin.
02-00	Aadhiaai 2
02-01	Djaun hak aur aadjadi djaun ehi kahna me likhal hai, sab koi ke adhikaar ba, begar djaun rakam ke bhedbhaw, chaahe djaun djaat, rang, chaahe aadmi ki aurat, bhasa, dharm, chaahe politiek me djaun bichaar rakhe, djaun khan-dhaan, dhan, paidaai aur doesar bol-baal (ki aadar).
02-02	Auro, koi fark na banni, (sab koi ehi adhikaar ke hak hai), lanti ke karen se, niyaidhis ke karen se aur doesar desh ke bol-baal, djaun desh ki ilaaka se kouno ke aapan bole hai, chaahin ohi des aapan apne se raadj kare hai, ki doesar djanne ohi des chalaawe hai aur ajaadi kamti hai.
03-00	Aadhiaai 3
03-01	Sab koi, apan ke djindagi, adjaadi aur soeratchit rehe ke hak hai. Sab koi hak hai, apan ke djindagi ke moetaabik, apne mardji se, soch-samadj ke sadjaawe ke aur chalaawe ke.
04-00	Aadhiaai 4
04-01	Kauno kontraki ki goolami me na rakh kar sakal djaai. Kantraki aur goolami sab roep me, mienahi hai.
05-00	Aadhiaai 5
05-01	Koi na, kouno doesar ke karen se chhod paawe ke chaahin, na katthor aur jaanwar nier aur begar sahoer ke nier nietchai djai kar sake hai.
06-00	Aadhiaai 6
06-01	Sab koi, djaune ka ni kahaan rehe hai, kanoen ke aage, ke hak hai, ek insaan ke roop me pahichaan kar sakal djaai.
07-00	Aadhiaai 7
07-01	Sab manai, kanoen ke khatien barabar hai, aur begar bhedbhaw sab koi ke hak hai, kanoeni rattcha pawe ke. Sab koi ke barabar rattcha paawe ke aur bole ke hak hai, bhedbhaw aur soch-samadj ke piechahre, ki koi rakam ke rokaawat djaune ehi Kahna se na sehmat hai
08-00	Aadhiaai 8
08-01	Sab log ke hak hai, kanoen ke sahaare pe hak ba chaahin, Des ke sarkar-niyaaidhis ke sanstha se, ohi karen se djaun habra howe hai basis-hak ke, djaun kanoen dewe hai sab koi ke.
09-00	Aadhiaai 9
09-01	Koi ke na chaahin so-so se, pakar hoi, dabaaw me rehe, ki des-be-des kare ke.
10-00	Aadhiaai 10
10-01	Sab koi, ek dam saamiel me hak hai, ego satcha aur khoellam-khoella soenai paawe ke, ego djaadj ke aage se djaunne apan mann ke satchai se kaam kare hai. Ehi haal, (djaadj) boli aur dekhi ke kekar koun-koun hak hai (sab koi ke), kekar kountji kare ke chaahien aur oe koun bole-goeenahie karwaais hai.
11-00	Aadhiaai 11
11-00	Sab koi, djaune ego kharaabie ke khatien pakraan hai, ohi sab, kanoen ke aankhie me bekasoer hai, tab le okar kasurwaar kanoen se, aur niyaaidhis ke maaren, khoela me, saamiel waalan ke saathe, na bol bhail. Omma oke sab djimawari djaun okre satch bachaaw djaroerat hai, ohi pai oe.
11-01	Koi ke na paai kasoer ego goenaah ke, djaune oe karies hai ego tem pe, jab le des aur doeniya ke kanoen me oisan goenaah na bolal-likhal raha. Auro ego aur barka sadjaa na dei karsakal djaai, ohi sadjaa se djaun ohoe tem pe, djab goenah karies raha, kanoen me likhal raha.
12-00	Aadhiaai 12
12-01	Koi doesaren, na so-so bietch me, kouno ke aapan gharweh me, palwaar, ghar, likhaat aur iddjat aur naam ke, aai pai . Djab kouno ehi chiedjwan ke bietch me aai, tab sab koi ke hak hai, kanoen ke oke rattcha par, ohi ‘bietch me kudaai’ se.
13-00	Aadhiaai 13
13-00	Sab koi ke hak hai aapan man se djaahe, djaun djaga maange hai aur rehe hai sab des ke sima me.
13-01	Sab koi ke hak hai, sab des se aur aapan okar des se djaai-aai sake hai chore ke aur apan des se laut ke aawe ke.
14-00	Aadhiaai 14
14-00	Sab koi ke hak hai, kouno ke sataawe maaren, doesar des me ghar khodje ke aur sahaara paawe ke.
14-01	Djab koi kanoen dwaara se saatail hai, kouno goenaah ke djaun des ke maaren na raha, ki kouno karen ke djaune Verenigde Naties ki soch se na patte hai, tab ehi hak, djaune oepra likhal hai, ohi na milli.
15-00	Aadhiaai 15
15-00	Sab koi hak hai aapan des ke pahichaan par.
15-01	Koi na, so-so se, okar des ke pahichaan ke djabardasti chhien kar pawe hai. Koi ke na, okar des ke pahichaan badalwaawe ke hak chhien kar pai.
16-00	Aadhiaai 16
16-00	Aadmi aur aurat, djaun barka hai aur biyaa kare ke oemar mielge hai, oke begar kouno oke rokhe ke, okar djaat-paat, rang-roep, des ke pahichaan, ki dharm ke maaren, biyaa kare ke aur ghar-sansar basaawe ke hak hai. Oeh sab ke barabar hak hai, biyaa kare me, biyaah ke djindagi me aur batwaara me.
16-01	Kouno khali biyaah kar pai, djab doenoe parani, djaun biyaah kari, mel-djol ke biyaah maange kare hai.
16-02	Ghar-parani, sansaar, ego awas aur basis toekkara hai, aur oho, sansaar aur des se rattcha chaahe kare ke.
17-00	Aadhiaai 17
17-00	Sab koi, djaun okar apan djaidaad, rakhe ke hak hai; chaahe akele ki kouno ke saathe.
17-01	Djab djaidaad hai kouno ke, tab na ho sake hai ki kouno doesaren, bekaren se, okar djaaid chhien pai.
18-00	Aadhiaai 18
18-01	Sab koi ke hak hai, aapan soch ke, bichare ke apan hierdaai me, aur aapan dharm par. Ehi hak ke mautabik bhi hai ki doesar dharm lei kar sake hai, djable koi maange badalwaawe hai okar dharm aur soch-bichaar ke, tab oke ohi hak aur aadjadi hai, kare ke. Chaahe akele ki chaahe saamiel waalan ke saathe, chaahe ghare ki beyhre, okar dharam maane ke aur samdjhaawe ke; poedja, prathna aur riti-riwaas kare ke hak hai.
19-00	Aadhiaai 19
19-01	Sab koi hak hai, bichaar rakhe ke aur bole ke djaun bichaar apan mann me hai. Ehi hak ka matlab hai ki kouno ke aadjadi me rakhe, djaun bichaar apan mann me hai, begar kouno djabardasti kari doesar bichaar lewe ke. Auro begar sima djaun bichaar aur djauntji maange djaane hai, kouno khodj pai, milli aur dei pai media se.
20-00	Aadhiaai 20
20-00	Sab koi ke hak hai, aadjadi me, me saamiel hoi ke aur s(h)aant me saath aawe ke aur bhaithak kare ke.
20-01	Koi na djabardasti karwai kouno doesar ke, saathe kouno samaadj djaawe ke aur hiessa lewe ke.
21-00	Aadhiaai 21
21-00	Sab koi ke hak hai, aapan des chalaawe ke, chaahe sidhaa apne se, ki chaahe kouno insaan se, djaun choenaige hai.
21-01	Sab koi ke, aapan des me, barabar hak hai, sarkaar ke sewa paawe ke.
21-02	Djanta ke (h)iccha ke moetabiek, sarkar chale ke basis chaahe rehe ke, ie djanta ka iccha chaahe samay-samay pe sattche choenaaw me aawe ke, djaun me sab djanne hak hai kouno choen paawe ke, chaahe aapan ke choene se, djaunhai koi na dekh pai or djaun barabar rakam satchai choene lai ke hai.
22-00	Aadhiaai 22
22-01	Sab koi, samaadj ke ego sadars hai, aur ohi ke roep me, hak hai, samaadj ke rattcha aur sewa paawe ke aur sarkar ke doesar des ke saathe ke mehnat kari; ohi mehnat ek des ka samaan aur karen leike, sab djanne ke, paisedaar, samaadj ke aur sanskriti par hak dei, (ohi hak) djaun djaroerat hai, kouno ke iddjat ke khatien aur apne banaawe ke, djaise oe maange hai, ke khatien.
23-00	Aadhiaai 23
23-00	Sab koi ke hak hai, kaam kare ke khatien, ego kaam djaun maange kare, choene ke khatien aur accha haalat me kaam kare ke aur begar kaam rehe ke rattcha paawe ke.
23-01	Sab koi ke, beggar bhedbaw, hak hai barabar kaam khatien, barabar mandjuri pawe ke.
23-02	Sab manai, djaun kaam kare hai, hak hai accha aur bhalai ke madjuri par, djaun apan aur palwaar khatien ego iddjatdari djindagi dei pai, aur djab le djaroerat pare hai, hak hai, doesar rakam ke samaadj se rattcha par.
23-03	Sab koi ke hak hai, aapan mann aur karen ke rattcha khatien, ego union banaawe ke ki sadars banne ke.
24-00	Aadhiaai 24
24-01	Sab koi ke hak hai aaram kare ke aur aapan accha samay bitawe ke hai, ehi baat me har kaam soch-samadj ke, chaahe samay se kare ke, aur samay se choetti paawe ke, madjuri ke saath.
25-00	Aadhiaai 25
25-00	Sab koi ke hak hai, ego djindagi ki upai ke, djaun accha tandrusti ke khatien hai, aur aapan, aur apne ke palwaar ke khatien, bhalaai ke khatien, emman samadj-boedj ke rehe ke, ehi samaan: roti kapda, makaan, dawaai-itiyaadi aur djaroeratwala samaaj ke sanstha. Aur okren saat-saat sewa ke hak, djab le begar kaam-dhanda rahiye, bemaarie hoiye, langarai me, wiedhwaan me, boerhai me aur djauntji djindagi ke djaroerat kamti pare hai, karen-bas haalat soeroe bhail hai, ki djepar oke bhi kuch madjburi raha.
25-01	Mai aur larka dekh-baar aur maddad pe ke hak hai. Sab larka, chaahe paida bhailen ego biyaah me, ki beyhre, ek rakam ke rattcha pai samaadj ke.
26-00	Aadhiaai 26
26-00	Sab koi siettcha ke hak hai; Ohi siettcha begar paisa bhare ke, pai sake hai; parhe-likhe ke siettcha se, ‘chotta school’ se talak. Parhai-likhai ke, sab koi kare ke chaahin. Djaun hoenar-sikhe waale aur kaam sikhe waala school hai, sab koi ke khatien khoelal reh chaahe ke. Djaun kar paai, okren khatien barka siettcha khoelal chaahin rehe ke.
