00-00	OPCA DEKLARACIJA O PRAVIMA COVJEKA
00-01	Buduci da su priznavanje urodenog dostojanstva i jednakih i neotudivih prava svih clanova ljudske obitelji temelj slobode, pravde i mira u svijetu,
00-02	Buduci da su nepostovanje i preziranje prava covjeka imali za posljedicu akte, koji su grubo vrijedali savjest covjecanstva i buduci da je stvaranje svijeta u kojem ce ljudska bica uzivati slobodu govora i vjerovanja i slobodu od straha i nestasice bilo proglaseno kao najvisa teznja obicnih ljudi,
00-03	Buduci da je bitno da prava covjeka budu zasticena vladavinom prava, kako covjek ne bi bio primoran da kao za posljednjim sredstvom posegne za pobunom protiv tiranije i ugnjetavanja,
00-04	Buduci da je bitno da se unapreduje razvoj prijateljskih odnosa izmedu naroda;
00-05	Buduci da su narodi Ujedinjenih naroda ponovno potvrdili u Povelji svoju vjeru u osnovna prava covjeka, u dostojanstvo i vrijednost covjekove osobe i ravnopravnost muskaraca i zena i buduci da su odlucili unapredivati drustveni napredak i bolji zivotni standard u siroj slobodi,
00-06	Buduci da su se drzave clanice obvezale da u suradnji s Ujedinjenim narodima postignu unapredenje opceg postovanja covjekovih prava i osnovnih sloboda i njihovo odrzavanje,
00-07	Buduci da je zajednicko razumijevanje tih prava i sloboda od najvece vaznosti za puno ostvarenje te obveze,
00-08	OPCA SKUPSTINA
00-09	proglasava
00-10	OVU OPCU DEKLARACIJU O PRAVIMA COVJEKA kao zajednicko mjerilo postignuca za sve narode i sve drzave radi toga da bi svaki pojedinac i svaki organ drustva, imajuci Deklaraciju stalno na umu, tezili da ucenjem i odgojem pridonesu postovanju tih prava i sloboda i da bi naprednim nacionalnim i medunarodnim mjerama osigurali njihovo opce i djelotvorno priznanje i odrzavanje, kako medu narodima samih drzava clanica, tako i medu narodima onih podrucja koja su pod njihovom sudbenoscu.
01-00	CLANAK 1.
01-01	Sva ljudska bica radaju se slobodna i jednaka u dostojanstvu i pravima. Ona su obdarena razumom i svijescu i treba da jedno prema drugome postupaju u duhu bratstva.
02-00	CLANAK 2.
02-01	Svakome su dostupna sva prava i slobode navedene u ovoj Deklaraciji bez razlike bilo koje vrste, kao sto su rasa, boja, spol, jezik, vjera, politicko ili drugo misljenje, nacionalno ili drustveno porijeklo, imovina, rodenje ili drugi pravni polozaj.
02-02	Nadalje, ne smije se ciniti bilo kakva razlika na osnovi politickog, pravnog ili medunarodnog polozaja zemlje ili podrucja kojima neka osoba pripada, bilo da je to podrucje neovisno, pod starateljstvom, nesamoupravno, ili da se nalazi ma pod kojima drugim ogranicenjima suverenosti.
03-00	CLANAK 3.
03-01	Svatko ima pravo na zivot, slobodu i osobnu sigurnost.
04-00	CLANAK 4.
04-01	Nitko ne smije biti drzan u ropstvu ili ropskom odnosu; ropstvo i trgovina robljem zabranjuju se u svim svojim oblicima.
05-00	CLANAK 5.
