00-00	DHEY TSALAP ABAL PATAL AN INIK ANI AN UXUM AXI K'WAJIL TI AL AN TSABAL
00-01	Kom i exial abal in tujtal an walkadhtalab, an chubaxtalab ani an koyatalab ti al an tsabal k'wajat ti al an exlomtalab k'al patal wawa' tu k'wajii, in tomnal ki bats'uw jununul an alwa'talab.
00-02	Kom i exlal abal tam jun yab in exlal jawa' xi pel in uchbil ani an k'e'atnaxtalab in t'ajamal ka wa'tsin yani kidhab t'anel ani yan jita' axi odhnamej, ani kom uluwamej abal i ayal juni it tsalap junti ka wa'tsin juni k'ay'lal juntij an k'wajilchik yabats ka xe'tsin k'al i jik'ib mani ka k'wajiy al an ts'ejwantaltaiab ani ka k'wajiy walkadh abal kin uluw ani kin bela'jawa'its jun kin le'na'.
00-03	Kom i exlal abal an eyalchik in tomnal kin beletna' ani kin k'aniy an chubaxtaiab abal an inikchik yab kin yejenchij kin dhay'k'a'an k'ak'adh pextalab abal ka ats'anchat in kawintal.
00-04	Kom i exlal abal in tomnal ki beldha' juni tekedh tsalap abal ka k'anidhaxinchik an kwenchal.
00-05	Kom i exlal abal an bichowlom ti al an "Naciones Unidas" in wichk'omalchik kin uluw abal in kwa'al in alwa' ichich abal kin k'ak'nanchij in ey ani in jalbil tin putat an inik ani an uxum, ani in ulumalchik abal ne'etschik kin t'aja' an tsaplab abal ka nixk'in an ts'ejwantalab ti al juni walkadhtala axi lej pulik tin tomnal ki ejtiy.
00-06	Kom i exlal abal an kwenchalab axi k'wajat junkudh in binamal in kawintal abal neets kin tolmiy an ONU abal kin k'ak'nanchij jawa' in kwa'al tin uchbil kin bats'uwchik patal an k'wajil teje' al an tsabal, ani
00-07	kom i exlal abal axe'chik xi uchbidhtalab in kwa'al lej yan in jalbil bala ka putuwat jawa' xi teje' k'wajat uludh:
00-08	AN PULIK TAMKUNTALAB IN ULAL:
00-09	Axe' xi tsalap tin k'anel an inikchik tin putat an tsabal, in le' abal an kwenchal ani an bichowchik kin t'aja' an tsaplab abal ti al an exobintalab ka k'ak'naj ani ka putuwat tin puwel an bichow axi k'wajat junkudh ti al an "Naciones Unidas", patal jawa' teje' jilk'onal uludh.
01-00	K’a'al tsalap (art. 1).
01-01	Patal an inik ani an uxum u wa'tsinal walkadh abal jununul kin bats'uw an alwa'talab ani ka pidhan in ey jant'ini' in tomnal; in kwa'al in tsalpadh ani in k'aya' abal kin k'anidha' in juntal.
02-00	Tsabchil tsalap (art. 2).
02-01	Patal an k'wajil in tomnal kin bats'uw an uchbilab jawa' teje' bijidh, yab in t'ajal max pilchik in kawintal, pilchik in wa'tsintal, pilchik in ey ani in belkaxtal, pilchik in tsalap, max ts'alat ani max pilchik in wal in ot'ol.
02-02	Jayetsej yab in tomnal ka k'e'atnaj max pilchik tsalap ani in ey; max k'wajil al juni kwenchal axi k'wajat abatnadh k'al pil i kwenchal.
03-00	Oxchil tsalap (art. 3).
03-01	Patal an k'wajil in tomnal ka k'ak'nanchat in ejatal, in iniktal, in ey ani an jolatalab abal kin ejtow ka xe'tsin alwa'.
04-00	Tse'chil tsalap (art. 4).
04-01	Mani jita' yab pidhach i k'ij abal kin t'ojondha'jun jita' ani yab kin jalbiy, mani in tomnal ka xe'tsindhaj ti nujnel jant'ini' t'ajchinalchik an ko'nel.
05-00	Bo'chil tsalap (art. 5).
05-01	Yab walkadh abal jita' ka tsa'uwat, ka ts'ojbedhaj mani ka t'ajchin in tidhej al juni ts'ejeltaiab.
06-00	Akakchil tsalap (art. 6).
06-01	Patal an k'wajil in uchbil tin kwa'al abal ka pidhan juni exlomtalab k'al an eyal ti al an kwenchal juntij k'wjil.
07-00	Bukchil tsalap (art. 7).
07-01	Jununul i jaibil i kwa'al ti al an abatnaxtalab, jaxtamits in tomnal junat ku k'aniyat ma ju'tamakits ku k'wajiy; ani in tomnal ku jek'ondhaj tam jita' kin le'na' tu ku takchikiy, tu ku k'e'atna' ani jayej max jita' kin le'na' tu odhna' k'al i kaw.
08-00	Waxikchil tsalap (art. 8).
08-01	Tam ku jolbiyat k'al juni kaw, in tomnal abal jilchin i jolat abal ki k'aniy ti ba'.
09-00	Beiewchil tsalap (art. 9).
09-01	Mani jita' yab in tomnal ka alk'idh'wik'an mani ka kedhmayat tin kwenchal.
10-00	Lajuchil tsalap (art. 10).
10-01	Patal in tomnal ka ats'an k'al an eyal abal ka exobnanchat in tsalap ani ka exiaj max chubax jolbidh ani max ibaj. An eyal yab in tomnal kin baliy in kawintal abal kin ok'xidh walbiy juni jolbinel.
11-00	Lajujunchil tsalap (art. 11).
11-01	Patal jita' ka ne'dhaj al juni eyaltalab yab in tomnal dhubatits ka ko'oyat ti pojkax, max yabayej elchinenek in jolbil; ani jayej abal in tomnal ka pidhan i jolat kin k'aniy tin ba'.
11-02	Yab jita' ka jolbiyat k'al juni t'ajnel axi tamti wat'ey, yabayejak exladh max pel i jolbintalab tin altalil mani ti eieb an kwenchal juntij k'wajil. Jayetsek'ij yab in tomnal ka punchin juni jolbintalab axi yab ja' in bajuwal an t'ajnel.
12-00	Lajutsabchil tsalap (art. 12).
12-01	Yab jita' in tomnal ka takchikat tin iniktal, tin k'alabil, tin k'ima', tin uwil, tin xe'ets mani ka xe'tsindhaj k'al i alk'idh kaw mani ka t'ajchin in tidhej. Patal in tomnal ka k'aniyat tam ka le'naj ka t'ajabchin k'al jitakits.
13-00	Laju oxchil tsalap (art. 13).
13-01	Jitakitsk'ij ne'ets kin epow ka xe'tsin tin kwenchal ani kin punuw in k'ima' ju'tamakitsk'ij kin le'na'.
13-02	Jitakitsk'ij in ejtowal ka kalej ani ka wichiy tin kwenchal ani jayej aba' ani' pil i kwenchal ti k'wajil.
14-00	Lajutse'chil tsalap (art. 14).
14-01	Tam jun xe'ets ti aliyab abal ka odhnaj, ma jawakits tam bichow in tomnal ka pidhan i k'ij abal ka tsink'on.
14-02	Axe' xi tsalap yab ne'ets ka eyan tam chubax wa'ats juni pulik jolbintalab ani wa'ats juni k'idhab t'ajnel axi an "Naciones Unidas" in le' abal ka taley.
15-00	Lajubo'chil tsalap (art. 15).
