00-00	AENTSU NINIURIN CHICHAME MASHINIU AMIKTIN
00-01	Aents yajauch chichaman waintsuk ankan penker pujustin ainiawai. Yaja nunkanam . aentsu chichame etserkamu mashi paarlt ajastin ainiawai. Shuar chikich aentsjaish nuamtak metekkrak iisma atin ainiawai.
00-02	Aentsu chichame penker etserkachma, nekachma asamtai, shuar wishikkramu, asutiamu, emeskamu, awattramu, yajauch amakma ainiawai. Tuma asamtai yamaikia ukunma ai aents nuamtak nunkanam penker asutiachma, waittcha pujusat tamaiti.
00-03	Aents yajauch netse ainis enentaimin, aentsu chichame mashiniu amiktin, kakaram papinium aarma arantukma tama awai.
00-04	Yaja nunka tepakmanumash ii shuarijiaish penker nekaniar, arantunaikiar pujustin tamaiti.
00-05	Naciones Unidas-num aents anaikiamu ainia au iruntrar, aents metekrak armi tusar papinium aarar utsukaruiti. Aentsan aishman, nuajaish metek emkiar, takakmakiar, weenak, ankan penker pujusarat pujusarti tiaruiti.
00-06	Yaja nunkania ainiana au, Naciones Unidas-num irunar chichaman juki wenana au, yaintai tiaru ainiawai. Shuara chichame mashi nekawar amikiarat tiaruiti.
00-07	Aentsu chichame mashiniu amiktin, papinium paant kakaram aarma asamtai, mash nekawar amikiartitiaruiti.
00-08	MASH AENTS TUAKAR AUJMATISAMU
00-09	Juna etsereawai
00-10	Aentsu Niniurin Chichame Mashiniu Amiktin
00-11	Aentsu chichame mashiniu amiktin etserkamu asamtai, Naciones Unidas-num aents irutkamunmania, matsatkamunmania tuakar, ju chicham penker amikiarat tusaraujmatsar etserkaru ainiawai. Ashi aents takakmainiana ausha ju chicnaman nekawar unuiniaki, etserkiar weenawai. Kakaram chicham aarman, ju nunkanam tura yaja nunkanmash arantukar amikiarat timiaiti.
01-00	TAMA CHIKICHIK
01-01	Aents yaja nunkanam akinia asamtaish, metekrak ainiaji. Tumasha ni chichamenka tuke amiktin ainiawai. Ni iniakmamuri, ni chichamejaituke aniakmamsar chichakartin ainiawai. Tuma asamtai aents mash nekawar, penker metekrak, nuamtak wara warat shiir pujusarmi tusar aarma awai.
02-00	TAMA JIMIAR
