00-00	shijierenquanxuanyan
00-01	renleishehuinoquanbunogouchengyuannoguyounozunyantopingdengderangrenaiquanlitoochengrensurukotoha, shijieniokeruziyou, zhengyitopinghenojichudakara, 
00-02	renquannowushitozhiwuga, renleinoliangxinotaminijittayemanxingweiomotarashi, yanluntoxinyangnoziyougashoukerare, kongbutoqianfanonaishijienodaolaiga, 1bannoren²nozuigaonoyuanwangtoshitexuanyansaretakara, 
00-03	renjiangazhuanzhitoyapotoniduisuruzuihounoshouduantoshitefanninisuerukotoganaiyounisurutameniha, fanozhipeiniyotterenquanobaohusurukotogaganyaodakara, 
00-04	zhuguojiannoyouhaoguanxinofazhanocujinsurukotogaganyaodakara, 
00-05	guojilianhenozhuguominha, guolianxianzhangnioite, jibenderenquan, renjiannozunyantosizhibingbininannunotongquannitsuitenoxinnianozaiquerenshi, katsu, 1cengdakinaziyounouchideshehuidejinbutoshenghuoshuizhunnoxiangshangtoocujinsurukotoojueyishitakara, 
00-06	jiamengguoha, guojilianhetoxielishite, renquantojibendeziyounopubiandenazunzhongtozunshounocujinodachengsurukotooshiyueshitakara, 
00-07	koreranoquanlitoziyouniduisurugongtongnolijieha, konoshiyueowanquannisurutamenimottomozhongyaodakara, 
00-08	yotte, kokoni, guolianzonghuiha, 
00-09	shehuinogegerentogejiguanga, konoshijierenquanxuanyanochangniniantounizhikinagara, jiamengguozishennorenminnojiannimo, mata, jiamengguonoguanxiaxianiarudeyunorenminnojiannimo, koreranoquanlitoziyoutonozunzhongozhidaotojiaoyuniyottecujinsurukotobingbinisoreranopubiandecuozhiniyottequebaosurukotoninulisuruyouni, quanbunorenmintoquanbunoguotogadachengsubekigongtongnojizhuntoshite, konorenquanxuanyanogongbusuru. 
01-00	di1tiao
01-01	quanbunorenjianha, shengmarenagaranishiteziyoudeari, katsu, zunyantoquanlito nitsuitepingdengdearu. renjianha, lixingtoliangxintooshoukerareteori, huinitong baonojingshenomottexingdongshinakerebanaranai. 
02-00	di2tiao
02-01	quanbunorenha, renzhong, pifunose, xing, yanyu, zongjiao, zhengzhishangsonotanoyijian, guomindemoshikuhashehuidechushen, caichan, mendesonotanodeweiyouhakorenileisuruikanaruziyouniyoruchabieomoshoukerukotonaku, konoxuanyannijiegerusubetenoquanlitoziyoutooxiangyousurukotogadekiru. 
02-02	sarani, gerennoshusuruguoyouhadeyugaduliguodearuto, xintuotongzhideyudearuto, feizizhideyudearuto, youhatanonanrakanozhuquanzhixiannoxianiarutoowenwazu, sonoguoyouhadeyunozhengzhishang, guanxiashangyouhaguojishangnodeweinijizukuikanaruchabiemoshitehanaranai. 
03-00	di3tiao
03-01	quanbunorenha, shengming, ziyoutoshentinoanquanniduisuruquanligaaru. 
04-00	di4tiao
04-01	herenmo, nulinisare, youhakuyinifusurukotohanai. nulizhidutonulimaimaiha, ikanaruxingnioitemojinzhisuru. 
05-00	di5tiao
05-01	herenmo, kaowenyouhacannuena, feirendaodenamoshikuhaqurudenaquximoshikuhaxingfaoshoukerukotohanai. 
06-00	di6tiao
06-01	quanbunorenha, ikanaruchangsuonioitemo, fanoxianioite, rentoshiterenmerareruquanligaaru. 
07-00	di7tiao
07-01	quanbunorenha, fanoxianioitepingdengdeari, mata, ikanaruchabiemonashinifanopingdengnabaohuoshoukeruquanligaaru. quanbunorenha, konoxuanyanniweifansuruikanaruchabieniduishitemo, mata, sonoyounachabieososonokasuikanaruxingweiniduishitemo, pingdengnabaohuoshoukeruquanligaaru. 
08-00	di8tiao
08-01	quanbunorenha, xianfayouhafaluniyotteyueraretajibendequanlioqinhaisuruxingweiniduishi, quanxiangaaruguoneicaipansuoniyoruxiaoguodenajiujioshoukeruquanlioyousuru. 
09-00	di9tiao
09-01	herenmo, hoshiimamanidaibu, jujin, youhazhuifangsarerukotohanai. 
10-00	di10 tiao
10-01	quanbunorenha, zijinoquanlitoyiwubingbinizijiniduisuruxingshizerengajuedingsarerunidangtatte, dulinogongpingnacaipansuoniyorugongpingnagongkainoshenlioshoukerukotonitsuitewanquannipingdengnoquanligaaru. 
11-00	di11 tiao
11-01	fanzuinosuzhuioshouketazheha, subete, zijinobianhunibiyaonasubetenobaozhangoyueraretagongkainocaipannioitefalunicongtteyouzuinolizhenggaarumadeha, wuzuitotuidingsareruquanligaaru. 
11-02	herenmo, shixingnoshiniguoneifayouhaguojifaniyorifanzuiogouchengshinakattazuoweiyouhabuzuoweinotameniyouzuitosarerukotohanai. mata, fanzuigaxingwaretashinishiyongsareruxingfayorizhongixingfahakeserarenai. 
12-00	di12 tiao
12-01	herenmo, zijinosishi, jiazu, jiatingmoshikuhatongxinniduishite, hoshiimamaniganshesare, youhamingyutoxinyongniduishitegongjioshoukerukotohanai. renhasubete, konoyounagansheyouhagongjiniduishitefanobaohuoshoukeruquanligaaru. 
13-00	di13 tiao
13-01	quanbunorenha, geguonojingjieneinioiteziyouniyizhuantojuzhusuruquanlioyousuru. 
13-02	quanbunorenha, ziguosonotaizurenoguoomolichiquri, toziguoniguiruquanligaaru. 
14-00	di14 tiao
14-01	quanbunorenha, pohaikaranobinanotaguoniqiume, katsu, koreotaguodexiangyousuruquanligaaru. 
14-02	konoquanliha, feizhengzhifanzuiyouhaguojilianhenomudetoyuanzenifansuruxingweiomopparayuanyintosurusuzhuinochangheniha, caiyongsurukotohadekinai. 
15-00	di15 tiao
15-01	quanbunorenha, guojiomotsuquanligaaru. 
15-02	herenmo, hoshiimamanisonoguojioduoware, youhasonoguojiobiangengsuruquanliofourensarerukotohanai. 
16-00	di16 tiao
16-01	chengniannonannuha, renzhong, guojiyouhazongjiaoniyoruikanaruzhixianomoshoukerukotonaku, hunyinshi, katsujiatingotsukuruquanligaaru. chengniannonannuha, hunyinzhongtosonojiexiaonijishi, hunyinniguanshipingdengnoquanligaaru. 
16-02	hunyinha, hunyinnoyisigaaruliangdangshizhenoziyoukatsuwanquannaheyiniyottenomichenglisuru. 
16-03	jiatingha, shehuinozirankatsujichudenajituandanweideatte, shehuitoguonobaohuoshoukeruquanligaaru. 
17-00	di17 tiao
17-01	quanbunorenha, dandudeyouhatanozhetogongtongshitecaichanosuoyousuruquanlioyousuru. 
17-02	herenmo, hoshiimamanizijinocaichanoduowarerukotohanai. 
18-00	di18 tiao
18-01	quanbunorenha, sixiang, liangxintozongjiaonoziyouoxiangyousuruquanligaaru. konoquanliha, zongjiaoyouhaxinnianobiangengsuruziyoubingbinidandudeyouhatanozhetogongtongshite, gongdeniyouhasideni, bujiao, xingshi, libaitoyishiniyottezongjiaoyouhaxinnianobiaomingsuruziyouohanmu. 
19-00	di19 tiao
19-01	quanbunorenha, yijiantobiaoxiannoziyouoxiangyousuruquanligaaru. konoquanliha, gansheoshoukerukotonakuzijinoyijianomotsuziyoubingbiniarayurushouduanniyori, mata, guojingoyueerutofoutonikakawarinaku, qingbaotosixiangoqiume, shouke, tochuaneruziyouohanmu. 
20-00	di20 tiao
20-01	quanbunorenha, pinghedenajihuitojieshenoziyouoxiangyousuruquanligaaru. 
20-02	herenmo, jieshenishusurukotooqiangzhisarenai. 
21-00	di21 tiao
21-01	quanbunorenha, zhijieniyouhaziyounixuanchusaretadaibiaozheotongjite, ziguonozhengzhinicanyusuruquanligaaru. 
21-02	quanbunorenhaziguonioitehitoshikugongwunitsukuquanligaaru. 
21-03	renminnoyisiha, tongzhinoquanlinojichutonaranakerebanaranai. konoyisiha, dingqinokatsuzhenzhengnaxuanjuniyottebiaomingsarenakerebanaranai. konoxuanjuha, pingdengnoputongxuanjuniyorumonodenakerebanarazu, mata, mimitoupiaoyouhakoretotongdengnoziyougabaozhangsarerutoupiaoshouxuniyottexingwarenakerebanaranai. 
22-00	di22 tiao
22-01	quanbunorenha, shehuino1yuantoshite, shehuibaozhangoshoukeruquanlioyoushi, katsu, guojiadenulitoguojidexieliniyori, mata, geguonozuzhitoziyuanniyingjite, zijinozunyantozijinorengenoziyounafazhantoniqiankukotonodekinaijingjide, shehuidetowenhuadequanlinoshixianniduisuruquanligaaru. 
23-00	di23 tiao
23-01	quanbunorenha, laodongshi, zhiyeoziyounixuanzeshi, gongpingkatsuyoulinalaodongtiaojianoquebaoshi, toshiyeniduisurubaohuoshoukeruquanligaaru. 
23-02	quanbunorenha, ikanaruchabieomoshoukerukotonaku, tongdengnolaodongniduishi, tongdengnobaochouoshoukeruquanligaaru. 
23-03	laodongsuruzheha, subete, zijitojiazuniduishiterenjiannozunyannifusawashiishenghuoobaozhangsurugongpingkatsuyoulinabaochouoshouke, katsu, biyaonachangheniha, tanoshehuidebaohushouduanniyottebuchongoshoukequrareru. 
23-04	quanbunorenha, zijinoliyiobaohusurutamenilaodongzuheozuzhishi, tokorenijiarusuruquanligaaru. 
24-00	di24 tiao
24-01	quanbunorenha, laodongshijiannohelidenazhixiantodingqidenayougeixiuxiaohanmuxiuxitoyuxiaomotsuquanligaaru. 
25-00	di25 tiao
