00-00	INSAN HUKYKLARY DUNYa ZhUZLIK DEKLARATSIYaSY
00-01	Insaniyat shanaraghynyn hemme aghzalaryna ten kedir-kymbat hem olardyn ten, azhyralmas hukyklaryn ten alyu erkinlik, edalatlyk hem ulyuma tynyshlyk tiykary ekenligin itibargha alyp;
00-02	insan hukyklaryn mensinbeushilik hem ony ayak asty etiu insaniyat huzhdany kyinalatughyn zhauyzlyk isler isleniuine alyp kelgenligin, adamlar soz erkinligi hem isenim erkinligine iye bolatughyn hem de korkyu zhene mutezhlikten aulak sharayatta zhasaitughyn dunyany zharatyu insanlardyn zhaksylykka umtylyuy bolyp esaplanady, - dep zheriyalanghanlyghyn itibargha alyp;
00-03	insan akyrghy shara sypatynda zulymlyk hem kysymlargha karsy bas koteriuge mezhbur bolyuynyn aldyn alyu maksetinde insan hukyklary nyzam kushi menen korghalyuy zerur ekenligin itibargha alyp;
00-04	khalyklar ortasynda doslyk katnasyklardy rauazhlandyryugha komeklesiu zerurligin itibargha alyp;
00-05	Birlesken Milletler khalyklary insannyn tiykarghy hukyklaryna, shakhstyn kedir-kymbatyna, er hem hayaldyn ten hukyklylyghyna, oz isenimlerin Ustavta tastyiyklaghanlyghy hem ele de kenirek erkinlikte sotsiallyk rauazhlanyu zhene turmys sharayatlaryn zhaksylaugha komeklesiuge sheshim kabyl etkenlerin itibargha alyp;
00-06	aghza bolghan memleketler Birlesken Milletler Sholkemi menen birgelikte insan hukyklary hem tiykarghy erkinliklerin ulyuma hurmet etiu hem oghan emel kylyugha komeklesiu minnetin alghanlyghyn itibargha alyp;
00-07	bul hukyklar hem erkinliklerdin kharakterin ulyuma tusiniu, usy minnetlerdin tolyk orynlanyuy ushyn ulken ehmiyetke iye bolyuyn itibargha alyp;
00-08	Bas Assambleya
00-09	bul Insan hukyklary dunya zhuzlik deklaratsiyasy barlyk khalyklar hem barlyk memleketler orynlaugha umtylyuy tiyis bolghan uazyipa sypatynda zheriyalanar eken, her bir insan hem zhemiyettin her bir sholkemi berkulla usy Deklaratsiyany nezerde tutkan halda aghartyushylyk zhene bilimlendiriu zholy menen bul hukyk hem erkinliklerdin hurmet etiliuine komeklesiu, milly hem khalykaralyk rauazhlanyu ilezhlary arkaly da onyn orynlanyuyn temiyinleuge, Sholkemge aghza bolghan memleketler khalyklary ortasynda hem usy memleketlerdin yurisdiktsiyasyndaghy aimaklarda zhasap atyrghan khalyklar ortasynda ulyuma hem netiyzheli ten alynyuyna umtylyuy zerur.
01-00	1-statya
01-01	Hemme adamlar oz kedir-kymbaty zhene hukyklarynda erkin hem ten bolyp tuuylady. Olargha akyl hem huzhdan berilgen bolyp, bir-birine tuuyskanlyk ruukhyndaghy katnasta bolyuy tiyis.
02-00	2-statya
02-01	Her bir insan rasasy, denesinin reni, zhynysy, tili, dini, siyasy hem baska isenimlerinen, milly yaki sotsiallyk kelip shyghyuy, mal-mulki, katlamy yaki baska halatyna karamastan usy Deklaratsiyada zheriyalanghan barlyk hukyk hem erkinlikke iye bolyuy tiyis.
02-02	Bunnan tyskary, insan tiyisli bolghan memleket yamasa aimaktyn siyasy, hukykyi yaki khalykaralyk statusynan, usy aimak gherezsiz be, keuenderli me, ozinozi baskara ma yamasa baskasha terizde shekleniushilikke karamastan, kandai da bir aiyrmashylyk bolmauy kerek.
03-00	3-statya
03-01	Her bir insan zhasau, erkin bolyu hem zheke kol katylmaslyk hukyklaryna iye.
04-00	4-statya
04-01	Hesh kim kullykta yamasa erksiz halatta saklanyuy mumkin emes; kullyk hem kul saudasynyn barlyk turleri kadaghan etiledi.
05-00	5-statya
05-01	Hesh kim kyinaugha yamasa ayausyz, adamgershiliksiz zhene kedir-kymbatty ayakasty kylyushy katnasykka hem zhazagha duushar etilmeui kerek.
06-00	6-statya
06-01	Her bir insan kai zherde bolyuyna karamastan, ozinin hukykyi subekt sypatynda ten alynyu hukykyna iye.
07-00	7-statya
07-01	Barlyk adamlar nyzam aldynda ten hem hesh kandai aiyrmashylyksyz nyzam menen tendei korghanyu hukykyna iye. Barlyk adamlar usy Deklaratsiyagha kaishy bolghan her kandai kemsitiuden hem sondai kemsitiuge hereket etetughyn her kandai gizh-gizhleuden ten korghanyu hukykyna iye.
08-00	8-statya
08-01	Her bir insan oghan konstitutsiya yamasa nyzam arkaly berilgen tiykarghy hukyklary buzylghan hallarda uekillikli milly sudlar terepinen bul hukyklardyn netiyzheli tikleniu hukykyna iye.
09-00	9-statya
09-01	Hesh kim tiykarsyz kamakka alynyuy, uslanyuy yamasa kuughyn etiliui mumkin emes.
10-00	10-statya
10-01	Her bir insan ozinin hukyk hem minnetlerin belgileu hem oghan koiylghan zhynaiyi aiybynyn kanshelli derezhede tiykarly ekenligin anyklauy ushyn tolyk tenlik tiykarynda onyn isi eshkaralyk hem edalatlyk talaplaryna emel kylghan halda gherezsiz hem kalys sud terepinen korip shyghylyu hukykyna iye.
11-00	11-statya
11-01	Zhynayat islegeni ushyn aiyplanghan her bir insan korghanyu ushyn barlyk mumkinshilikler temiyinlengen halda, ashyk sud mezhilisi zholy menen aiyby nyzamly tertipte anyklanbaghansha aiypsyz dep esaplanyu hukykyna iye.
11-02	Hesh kim, islengen uakytta milly nyzamlar yaki khalykaralyk hukyklargha kore zhynayat dep tabylmaghan is-hereketi yamasa hereketsizligi ushyn zhazagha hukim etiliui mumkin emes. Sondai-ak zhynayat zhuz bergen uakytta kollanylyuy mumkin bolghan zhazadan auyryrak zhaza beriliui mumkin emes.
12-00	12-statya
12-01	Hesh kimnin zheke hem shanarak omirine ozbasymshalyk penen aralasyuyna, ui-zhaiyna kol katylmaslyghy, onyn khat-khabarlarynyn syrlaryna yamasa onyn arnamys hem abroiyna ozbasymshalyk penen huzhim kylynyuy mumkin emes. Her bir insan sondai aralasyu yamasa huzhim kylyulardan nyzam arkaly korghanyu hukykyna iye.
13-00	13-statya
13-01	Her bir insan her bir memleket ishinde erkin zhuriu hem zhasau ornyn tanlau hukykyna iye.
13-02	Her bir insan her kandai memleketten, sonyn ishinde, oz memleketinen shyghyp ketiu hem oz memleketine kaityp keliu hukykyna iye.
14-00	14-statya
14-01	Her bir insan kuudalanyp baska memleketlerden baspana izleu hem sol baspanadan paidalanyu hukykyna iye.
14-02	Bul hukyktan siyasy bolmaghan zhynayatty isleu ushyn yamasa Birlesken Milletler Sholkeminin makset hem printsiplerine karsy is-hereket sebepli kuudalanghan uakytta paidalanyu mumkin emes.
15-00	15-statya
15-01	Her bir insan pukara bolyu hukykyna iye.
15-02	Hesh kim ozbasymshalyk penen oz pukaralyghynan yamasa oz pukaralyghyn ozgertiu hukykynan aiyrylyuy mumkin emes.
16-00	16-statya
16-01	Erzhetken er hem hayallar rasasy, milleti yamasa dinge katnasy boiynsha hesh kandai shekleulersiz nekeden otiuge hem shanarak kuryu hukykyna iye. Olar nekeden otiude, nekede turghan uaktynda hem ony biykar etiu uaktynda da birdei hukyktan paidalanady.
16-02	Neke tek ghana nekeden otip atyrghan her eki tereptin erkin hem tolyk razylyghy tiykarynda duziliui mumkin.
16-03	Shanarak zhemiyettin tebiyy hem tiykarghy bolegi bolyp esaplanady sondai-ak, shanarak zhemiyet hem memleket terepinen korghalyu hukykyna iye.
17-00	17-statya
17-01	Her bir insan zheke halda, sondai-ak baskalar menen birgelikte mulkke iyelik etiu hukykyna iye.
17-02	Hesh kim zorlyk penen oz mulkinen aiyrylyp kalyuy mumkin emes.
18-00	18-statya
18-01	Her bir insan pikirleu, huzhdan hem din erkinligi hukykyna iye; bul hukyk oz dinin yamasa isenimin ozgertiu erkinligin zhene teliymatta, syiynyu hem diny urp-edet zhene de meresimlerdi ghalaba yamasa zheke tertipte orynlau, oz dini yaki isenimine zheke ozi, sondai-ak baskalar menen birge emel kylyu erkinligin oz ishine alady.
19-00	19-statya
19-01	Her bir insan isenim erkinligi hem ony erkin bayan etiu hukykyna iye; bul hukyk hesh bir tosyksyz oz isenimine emel kylyu erkinligin zhene khabar hem ideyalardy her kandai kural menen, memleket shegaralaryna karamastan, izleu, alyu hem tarkatyu erkinligin oz ishine alady.
20-00	20-statya
20-01	Her bir insan tynysh zhyiynlar otkeriu hem birlespeler duziu hukykyna iye.
20-02	Hesh kim kandai da bir birlespege kiriuge mezhbur etiliui mumkin emes.
21-00	21-statya
21-01	Her bir insan tikkelei yamasa erkin sailanghan uekilleri arkaly oz memleketin baskaryugha katnasyu hukykyna iye.
21-02	Her bir insan oz elinde memleketlik khyzmetke kiriude ten hukykka iye.
21-03	Khalyk erki hukimet hekimiyatynyn tiykary bolyuy tiyis; bul erk deuirlik yamasa kelpekilestirilmegen, ulyuma ten sailau hukykynan zhasyryn dauys beriu zholy menen yamasa dauys beriu erkinligin temiyinleitughyn baska ten bahaly formadaghy kurallarda otkeriletughyn sailaularda oz seuleleniuin tabyuy tiyis.
22-00	22-statya
22-01	Her bir insan zhemiyet aghzasy sypatynda, milly kush-hereketler hem khalykaralyk birge islesiu kurallary arkaly hem her bir memlekettin duzilisi, sondai-ak resurslaryna muuapyk, sotsiallyk temiyinleniuge hem ozinin kedir- kymbatyn saklau, shakhstyn erkin rauazhlanyuy ushyn zerur bolghan ekonomikalyk, sotsiallyk hem medeny taraudaghy hukyklaryn emelge asyryu hukykyna iye.
23-00	23-statya
23-01	Her bir insan miynet etiu, zhumysty erkin tanlau, edalatly hem kolaily zhumys sharayatyna iye bolyu hem zhumyssyzlyktan korghanyu hukykyna iye.
23-02	Her bir insan hesh kandai kemsitiusiz ten miynet ushyn ten haky alyu hukykyna iye.
23-03	Her bir isshi ozi hem shanaraghy ushyn insangha munesip zhasaudy temiyinleitughyn edalatly hem kanaatlandyrarly deramat alyugha, zerur bolghan sotsiallyk temiyinleudin baska zhollary menen toltyrylyushy deramat alyu hukykyna iye.
23-04	Her bir insan kesiplik aukamlar duziu hem oz meplerin korghau ushyn kesiplik aukamlargha kiriu hukykyna iye.
24-00	24-statya
24-01	Her bir insan dem alyu hem bos uakytka iye bolyu, sonyn menen birge zhumys kunin akylgha muuapyk shekleu hukyky hem haky tolenetughyn miynet dem alysyn alyu hukykyna iye.
25-00	25-statya
25-01	Her bir insan ozinin hem shanaraghynyn salamatlyghyn, abadanlyghyn temiyinleu ushyn zerur bolghan turmys derezhesine iye bolyu, sondai-ak kiyimkenshek, azyk-aukat, meditsinalyk khyzmet hem zerur sotsiallyk khyzmetke iye bolyugha hem zhumyssyzlyk, kesellik, maiyplyk, zhesirlik, gharrylyk yamasa oghan bailanysly bolmaghan zhaghdailarda tirishilik ushyn kerezhet bolmai kalghan baska hallarda temiyinleniu hukykyna iye.
25-02	Analyk hem balalyk airyksha ghamkhorlyk hem zherdem hukykyn beredi. Barlyk balalar nekeden yamasa nekesiz tuuylyuyna karamastan birdei sotsiallyk korghaudan paidalanyuy tiyis.
26-00	26-statya
26-01	Her bir insan bilim alyu hukykyna iye. Bilim alyuda hesh bolmaghanda baslauysh hem ulyuma bilim biypul bolyuy tiyis. Baslauysh telim mezhbury bolyuy tiyis. Tekhnikalyk hem kesiplik telim hemmenin kurby zhetetughyn derezhede bolyuy, zhokary bilim bolsa, her kimnin kebiletine tiykarlanyp hemme ushyn zheterli mumkinshilik shenberinde bolyuy tiyis.
26-02	Bilim insan shakhsyn tolyk zhetilistiriuge hem insan hukyklary zhene tiykarghy erkinlikleri hurmetin kusheittiriuge karatylghan bolyuy tiyis. Bilimlendiriu barlyk khalyklar, rasalyk hem diny toparlar ortasynda birbirin tusiniu, shydamlylyk hem doslykka khyzmet etiuine zhene Birlesken Milletler Sholkeminin tynyshlykty saklau boiynsha khyzmetine zherdem beriui kerek.
26-03	Kishi zhastaghy balalary ushyn ata-analar telim turin tanlauda airyksha hukykka iye.
27-00	27-statya
27-01	Her bir insan zhemiyettin medeny omirinde erkin katnasyugha, korkem onerden zauyk alyugha, ilimy rauazhlanyuda katnasyu khem onyn netiyzhelerinen paidalanyu hukyklaryna iye.
27-02	Her bir insan ozi avtorlyghyndaghy ilimy, edeby yamasa korkem miyneti netiyzhesinin ruukhyi hem materiallyk kyzyghyushylyghy korghalyuy hukykyna iye.
28-00	28-statya
28-01	Her bir insan usy Deklaratsiyada bayan etilgen hukyk hem erkinlikleri tolyk emelge asyrylyuy mumkin bolghan sotsiallyk hem khalykaralyk tertip bolyuy hukykyna iye.
29-00	29-statya
29-01	Her bir insan zhemiyet aldynda minnetli, tek ghana usy zhaghdaida ghana onyn shakhsy erkin hem tolyk rauazhlanyuy mumkin.
29-02	Her bir insan oz hukyky hem erkinliklerinen paidalanyuda ozgelerdin hukyk hem erkinliklerin demokratiyalyk zhemiyette zheterli derezhede bolyuyn hem hurmet etiliuin temiyinleu, edep-ikramlylyk, zhemiyet tertibi, ulyuma abadanshylyktyn edillik talaplaryn kanaatlandyryu maksetinde ghana nyzamda belgilengen shekleulerge emel etiui tiyis.
29-03	Usy hukyk hem erkinliklerdi emelge asyryu hesh kashan Birlesken Milletler Sholkeminin makset hem printsiplerine kaishy kelmeui tiyis.
30-00	30-statya
30-01	Hesh nerse kandai da bir memleketke, shakhslar topary yamasa airyksha shakhslargha usy Deklaratsiyada bayan etilgen hukyk hem erkinliklerdi zhok etiuge baghdarlanghan is-hereket penen shughyllanyu yamasa hereket etiu hukyky beriliui mumkin, - dep tusindirilmeui kerek.
