00-00	adamianta uphlebebis saqoveltao deklaratsia
00-01	vinaidan adamianta ojaxis qvela tsevrisatvis damaxasiatebeli ghirsebis da tanastsori da ganuqopheli uphlebebis aghiareba tsarmoadgens tavisuphlebis, samartlianobis da saqoveltao mshvidobis saphudzvels; da
00-02	vinaidan, adamianis uphlebata ugulebelqopham da abuchad agdebam gamoitsvia barbarosuli akhtebi, rats aghashphotebs katsobriobis sindiss, da rom iseti msophlios shekhmna, romelshits adamianebs ekhnebat sitqvisa da rtsmenis tavisuphleba, da romelshits isini itsxovreben shishisa da gachirvebis gareshe, gamotsxadebulia adamianta maghal mistsraphebad,
00-03	vinaidan, autsilebelia, rom adamianis uphlebebs itsavdes kanoni, imis uzrunvelsaqophad, rata adamiani idzulebuli ar gaxdes mimartos ajanqebas, rogorts tiraniisa da chagvris tsinaaghmdeg ukanasknel sashualebas,
00-04	vinaidan, autsilebelia xelis shetsqoba erta shoris megobrul urtiertobata ganvitarebisatvis,
00-05	vinaidan, gaertianebuli erebis xalxebma tsesdebashi daadastures tavianti rtsmena adamianis dziritadi uphlebebisadmi, adamianis pirovnebis ghirsebisa da ghirebulebis da katsebisa da khalebis tanastsoruphlebianobisadmi da gadatsqvites xeli sheutsqon sotsialur progressa da tsxovrebis uketes dones meti tavisuphlebis pirobebshi,
00-06	vinaidan, tsevrma khveqnebma ikisres valdebuleba gaertianebuli erebis organizatsiastan tanamshromlobit xeli sheutsqon adamianis uphlebata da dziritad tavisuphlebata saqoveltao pativistsemasa da datsvas,
00-07	vinaidan, am uphlebebisa da tavisuphlebebis saqoveltao gagebas udidesi mnishvneloba akhvs valdebulebebisas mtlianad shesrulebisatvis,
00-08	amitom,
00-09	generaluri asamblea
00-10	atsxadebs
00-11	am adamianis uphlebata saqoveltao deklaratsias iset amotsanad, romlis shesrulebas unda estsraphvodes qvela xalxi da qvela saxelmtsipho, rata qoveli adamiani da sazogadoebis qoveli natsili qoveltvis gaitvalistsinebs ra am deklaratsias, miistsraphvodes stsavla-ganatlebis meshveobit xeli sheutsqos am uphlebata da tavisuphlebata pativistsemas da mati saqoveltao da ephekhtiani aghiareba-ganxortsielebis uzrunvelqophas erovnuli tu saertashoriso progresuli ghonisdziebebit rogorts organizatsiis tsevr saxelmtsiphota, aseve am saxelmtsiphoebis iurisdikhtsias dakhvemdarebul teritoriata xalxebshi.
01-00	muxli 1.
01-01	qoveli adamiani ibadeba tavisuphali da tanastsori tavisi ghirsebita da uphlebebit. mat minichebuli akhvt goneba da sindisi da ertmanetis mimart unda ekhtseodnen dzmobis suliskvetebit.
02-00	muxli 2.
02-01	am deklaratsiit gamotsxadebuli qvela uphleba da qvela tavisuphleba minichebuli unda hkhondes qovel adamians ganurchevlad raime gansxvavebisa, saxeldobr, rasis, kanis pheris, skhesis, enis, religiis, politikuri tu sxva rtsmenis, erovnuli tu sotsialuri tsarmomavlobis, khonebrivi, tsodebrivi tu sxva mdgomareobisa.
02-02	garda amisa, daushvebelia raime gansxvaveba im khveqnis tu teritoriis politikuri, samartlebrivi an saertashoriso statusis saphudzvelze, romelsats adamiani ekutvnis, miuxedavad imisa es teritoria - damoukidebeli, sameurveo, aratvitmmartveli tu sxvagvarad shezghudulia tavis suverenitetshi.
03-00	muxli 3.
03-01	qovel adamians akhvs sitsotsxlis, tavisuphlebisa da piradi xelsheuxeblobis uphleba.
04-00	muxli 4.
04-01	aravin ar unda imqophebodes monobashi an dzalmomreobiti morchilebis mdgomareobashi. qvela saxis monoba da monatvachroba akrdzalulia.
05-00	muxli 5.
05-01	aravis mimart ar unda ikhnes gamoqenebuli tsameba an sastiki, araadamianuri, tu misi ghirsebis damamtsirebeli mopqroba da sasjeli.
06-00	muxli 6.
06-01	qovel adamians, sadats ar unda imqophebodes igi, uphleba akhvs, rom aghiarebul ikhnes misi samartalsubiekhtoba.
07-00	muxli 7.
07-01	qoveli adamiani tanastsoria kanonis tsinashe da ganurchevlad raime gansxvavebisa, qvelas akhvs uphleba tanabrad iqos datsuli kanonis mier. qvela adamians akhvs uphleba tanabrad iqos datsuli am deklaratsiis damrghvevi qovelgvari diskriminatsiisagan da aseti diskriminatsiis qovelgvari tsakhezebisagan.
08-00	muxli 8.
08-01	qvelas visats daerghva konstitutsiit an kanonit minichebuli dziritadi uphlebebi, unda hkhondes samartlebrivi datsvis ephekhtiani sashualeba kompetenturi erovnuli sasamartloebisagan.
09-00	muxli 9.
09-01	aravin sheidzleba daekhvemdebaros tvitnebur dakavebas, dapatimrebas an gadzevebas.
10-00	muxli 10.
10-01	qovel adamians, mis uphleba-movaleobata da mistvis tsaqenebuli sisxlis samartlebrivi braldebata saphudzvlianobis gansazghvrosatvis , sruli tanastsorobis saphudzvelze, uphleba akhvs, misi sakhme sajarod da samartlianobis qvela motxovnis datsvit ganixilos damoukidebelma da miukerdzoebelma sasamartlom.
11-00	muxli 11.
