00-00	TSpykhu Khuefashchekhem Teukhua Duneipso Dzhepsale
00-01	Duneipso Keral Zegukhenygem (DKZ) i Zekhuesym egepur;
00-02	Duneipso tspykhugem kykhiubyde detkhene zy tspykhuri zegukhenygeri;
00-03	my dzhepsaler sytym shchygui ya negum shchpageture myby kyshchykheshch tspykhu khuefashchekhemre khuitynygekhemre ya nepe zerytragetym, khuashchp lytenygem egedzhenyge-gesenyge guegukpe zrageuzhynu;
00-04	khegegu kpuetspkhemi duneipsomi kpuekhukpe nekhri zyshchyzuzh amalkher zykhuageshchkhepeure my zegukhenygeshkhuem khet keralkhem ezym ya lepkkheri, ya unafem shchpaget negueshchp keralkhem ya lepkkheri kyzeshchpiubydeu, duneipsom i dene shchpyppi my tspykhu khuefashchekhemre khuitynygekhemre leshchu shchyzragekpuenym, kyshchashchtenym, shchagezeshchpenym khushchpekunkheu,
00-05	tspykhu khuefashchekhem teukhuaue zhylaguekhemi lepkkhemi ya zekhuede ideal shchapkhekher kezygeuv my duneipso dzhepsaler.
01-00	1-ne pychygue
01-01	TSpykhu psori shchkhekhuitu, ya shchpykhymre ya khuefashchekhemrekpe zekhuedeu kalkhur. Akylre zekheshchpykp guazere yapeshchi, zyr zym zekuesh zekhashchIe yaku delu zekhushchytyn khueikheshch.
02-00	2-ne pychygue
02-01	Detkhene zy tspykhuri zekhuedeu khuitshch my dzhepsalem khet tsIykhu khuefashchekhemre khuitynygekhemre zykhuigeshchkhepenu, zyshchyshch rasem, i fem, tspykhubz-tspykhukhuu zeryshchytym, i bzem, ipyg dinym, politichne e negueshchp eplykpeu ipem, lepkyu e tspykhu gupu kyzykhekpam, mylkuu ipem, kyshchalkhua-kyzdalkhuam emylytaue zekhegezhynsheu, khuegekpuetenygensheu.
02-02	Kinemyshchpaue, keral shchkhekhuiti, negueshchpym i unafe shchpeti, shchkhekhuityzhnyge (avtonomie) zimypi, negueshchpu zy shchkhekhuitynyge lakhe zyteli, syt khuederei keralym i tspykhuu shchytmi detkhene zy tspykhum zekhegezhnyge khuashchp khunukym zyshchyshch keralym i politichne e yuridicheske sisteme e duneipso keralkhem ya zekhuakum shchipe statusym kykhekpyu.
03-00	3-ne pychygue
03-01	Pseunyr, shchkhekhuitynyr, shynaguenshager kheti i khuefashcheshch.
04-00	4-ne pychygue
04-01	Kheti pshchylpyu plyte e pshchpylpyppe ibget khunukym, syt khuede shchpykpeui pshchylpyger, pshchylp shchen-keshchekhunyr zymi khuebde mykhunu kuedyshch.
05-00	5-ne pychygue
05-01	Kheti leshchyge epkhelpe khunukym, zalymygekpe, tspykhugem kemyzegu e i naper zygeuliin khuedekpe udezekpue, apkhuede tezyr teplkhe khunukym.
06-00	6-ne pychygue
06-01	Kheti khuefashcheshch dene shchpyppi tspykhuu, yuridicheske litsoue kyshchalytenu.
07-00	7-ne pychygue
07-01	Detkhene zy tspykhuri keral khabzem i pashchkhe shchyzekhuedeshch ikpi keral khabzem  kekhumenygekher zekhegezhynsheu, ya zekhuedeu zykhuageshchkhepenu khuitshch.  zekhegezhynsheu, zekhuedeu khuefashcheshch my dzhepsalem kemyzeg, zekhegezh zykhel IuekhushchIafekhemi, apkhuede IuekhushchIafem syt khuedeui tegegushkhuenmi kyshchakhumenu.
08-00	8-ne pychygue
08-01	Detkhene zy tspykhum khuitynyge iIeshch khabze nekhyshchkhem e keral khabzem kyripes tsIykhu khuefashchekher zykute IuekhushchIafe kyshchykhukIe khuitynyge ziIe kheyashchIekhem zykhuigezenu, zykrigekhumenu.
09-00	9-ne pychygue
09-01	Detkhene zy tspykhuri lazhe imyIeu yaubyd, yagetIys e egezygekIe negueshchI shchIypIe yakhu khunukym.
10-00	10-ne pychygue
10-01	Detkhene zy tspykhumi khuitynyge iIeshch i khuefashchekher, i khuitynygekher shchaubzykhukIe ikIi ezym zy lazhe kyshchytralkhekIe zymi fIemylIykI, zymi i unafem shchIemyt,  imytelkhe kheyashchIe shchkhekhuit psekhuityr zakhuagekIe ikIi nakhueue i Iuekhum irigeplynu khueinu.
11-00	11-ne pychygue
11-01	Zy lazhe/shchIapkhedzhage zytralkhe detkhene zy tsIykhuri ziukhiizhyn  zykhuenykuenu shynaguenshagekher zyshchiguetynu kheishchIegu nakhuem i kIeukhyu, keral khabzem tetu yagekuanshekhunkIe kheiue kalyter, mykheife kraplyrkym.
11-02	Kheti yagekuanshe khunukym, shchishchIem shchygue keral khabzekIe e Duneipso khabzekIe shchIepkhedzhageu yamybzha zy Iuekhu zerishchIam e ishchIapkheu kashchykhu  zerimyshchIam shchkhekIe. Kheti shchIapkhedzhage shchishchIam shchygue khuegeuvau shchyta tezyrym nekhybe tralkhe khunukym.
12-00	12-ne pychygue
12-01	Detkhene zy tspykhum i gashchIe uneim, i unaguem, i unem e zeryzeryshchIe shchIykIekhem shchkheusyguensheu zyri kykhezerykh khunukym, i napem, i tsIem keIuse  Kheti khuitynyge iIeshch mypkhuede kykhezerykhnygekhem keral khabzekIe zykshchyrigekhumenu.
13-00	13-ne pychygue
13-01	Detkhene zy tspykhum khuitynyge iIeshch detkhene zy kerali i shchIynalem shchkhekhuitu shchyzekIuenu, shchypseunu.
13-02	Detkhene zy tspykhum khuitynyge iIeshch ezy i keralri khetu detkhene zy keralym iIepkhukIynu ikIi shchIeryshchIeu nigezezhynu.
14-00	14-ne pychygue
14-01	Detkhene zy tspykhum khuitynyge iIeshch zalymyge/lei kyshchrakhym i shchkher negueshchI keral irigezynu, shchkheegeznyge amalkher zykhuigeshchkhepenu.
14-02	Aue pezhypeu politichneu shchymyt shchIepkhedzhagekhem e Duneipso keral zegukham i murad, i bzypkhe kemyzeg IuekhushchIafekhem kykhekI dauedapshchekhem shchygue my khuitynyger zykhuebgeshchkhepe khunukym.
15-00	15-ne pychygue
15-01	Detkhene zy tspykhum khuitynyge iIeshch zy keralym i tsIykhuu shchytynu.
