00-00	KEDENGGA KPEEKPE YOO EYU WALA TOM
00-01	Yee ditisaa se pumuna eyaa se pewee kimang wala esindaa ne pikena wazag puyu koyo, ditisaa dodo se peede ejade yoo ti-yoo weu, toovonum ne laheziye paligna;
00-02	Dinaa se eyu wala tom kiising ne ti-yoo kiidong palabina ne kiweekim toyi ne piceyig eyaa. Mbu pacag se ejade elegzi wetu, eyaa wee pa-ti yoo, poyooduu yem faaa ne piwili se pali kunong taa, soondu eetasig-we kpau;
00-03	Yee wade kewiyag ekandayig eyu wala yoo camiye koyo, widiyi piikag eyu enu kenau kijeyuu se ekuyi kewiyag ngga ko-yoo se kalaki-i nang;
00-04	Puwe camiye se pasina ajeya, akpeeti ne ala taabaliye duu tumiye deu ne puhuuna-ye;
00-05	Dinaa se ajeya kigbenduu nggbeye pagtu takayag taa ke eyaa kpeekpe tasi tisuu eyu wala ne e-wazag po-tom, ne poto se abalaa ne halaa pewe kimang wala ana a-esindaa; mbu labina ne paka nuu se pekpeetig samag sinau tumiye yoo ne pisa pewee pa-ti yoo camiye;
00-06	Ajeya kigbeduu nggbeye taa ajeya tisaa se alaki ne eyaa kpeekpe na eyu wala, ele puwee se nggbeye edu-ye nisi;
00-07	Yee eyaa tingge iwena limagziye kudumdiye eyu wala ne e-ti yoo weu tom yoo koyo, pisang ne pala tumiye ndi.
00-08	MBU AJEYA KIGBENDUU NGGBEYE KEDIGZAG SOSOO TOM SE:
00-09	KEDENGGA KPEEKPE YOO EYU WALA TOM tune tike ajeya wena kedengga kpeekpe yoo eyu wala tom we a-nung taa yo a-limagziye; ne pisa aceyi a-ti, akuli nggbeye dine da-ajeya eyaa ne ajeya leena eyaa ese ne pana eyu wala ne e-ti yoo weu tom.
01-00	Hoolag 1
01-01	Paluluu eyaaa ne pa-ti yoo weu kpaagbaa ne pewee kimang wala esindaa. Paluluu-we ne po-long ne pa-magzim; mbu yekina ne posooli dama se peke eyaa pa-tingge.
02-00	Hoolag 2
02-01	Paa eyu weyi, eke kisem, kikpedu, kuhulum, nimdu, kedeyag, paa eke cooci nggu ki-taa tu, elag siinaa, epizig eto se kedengga kpeekpe yoo eyu wala wena poyoodi a-tom ciellne yo, ake dodo e-nina.
02-02	Mbu dodo paa eyu elina le, eke ejade ndi diwe di-ti yoo yo, difeyi di-ti yoo yo di-taa tu, yaa di-poliitikii ke nggu, paapizig poto se eyu wala tom tune tidatagna-i.
03-00	Hoolag 3
03-01	Paa ani, ewena wade se eweena wezuu, ewee e-ti yoo ne ekandayi e-ti yoo.
04-00	Hoolag 4
04-01	Pifeyi se nooyu ewee yomiye taa; ele padaadu-i dodo kunong. Pekizi yomiye tom.
05-00	Hoolag 5
05-01	Pifeyi se padu nooyu kunong, pekpenggesi-i, yaa palabi-i mbu pidamuna se pala eyu yo.
06-00	Hoolag 6
06-01	Paa ani, ewena wade se paa le, paya-i se caa akele.
07-00	Hoolag 7
07-01	Eyaa kpeekpe we kimang pagtu esindaa ne peweena wade dodo se pagtu ekandayi po-yoo kimang. Yee palaki-we nabuyu ne pifeyi deu, yaa piidong pagtu numau ta, piwee dodo se pakandayi po-yoo kimang.
08-00	Hoolag 8
08-01	Paa ani, ewena wade se pacag-i tom yaa pomuluu-i fangngng wala wena pagtu ha-i yo a-numau taa, ewolo eheyi ejade taa tom huyaa.
09-00	Hoolag 9
09-01	Paapizig pakpa nooyu fangng padig yaa pekezi-i tetu.
10-00	Hoolag 10
10-01	Yee pakpa eyu nooyu se elabi nabuyu, ewena wade se pahuu e-tom fayii ne pana; tideg yaa tisiki.
11-00	Hoolag 11
11-01	Eyu weyi pakpa-i ne padahuda e-tom yo, pocongna-i se edeweeki puyu; a-asegde tinaa ne e-yoo kandiyaa pasinggig e-wayi, pahuu e-tom fayii ezi pagtu pozuu yo, ne pana toovonum.
11-02	Paakpag eyu sono dooo mbu eelaba ne pidaafeyi pagtu taa yo, pu-yoo; yee pu-wayi pukoma pilii se eelabi mbu yo pike kiweekim, ne pupozuu se poho e-nanggbangguu koyo, pagtu kibindu yoo patinggig.
12-00	Hoolag 12
12-01	Pifeyi deu se eyu nooyu edu e-noo lelu tom taa yem yem.
13-00	Hoolag 13
13-01	Paa ani, ewena wade se ewolo paa le, ecag dende e-liu wee yo paa ejade ndi le di-taa.
13-02	Paa eyu weyi, ewena wade se ekuyi ejade ndi ewe di-taa yo, paa pike e-ninde, ne pimag-i dooye le, episi.
14-00	Hoolag 14
14-01	Yee pali eyu nooyu wayi doli fangngng, ewena wade se enini kuyuu duduye. Etali le, padaalo-i.
14-02	Ele, yee toovonum, eweeki nabuyu ne paninig-i se pakpa-i, efeyina wade se edu kuyuu doli.
15-00	Hoolag 15
15-01	Paa eyu weyi, ewena wade se eyaa ejade nadiye se e-te.
15-02	Pifeyi se pekizina nooyo se edaayaa e-ejade se e-te yaa edaa legzi te.
16-00	Hoolag 16
16-01	Halibiya ne abalibiya, paa pe-te le, palaki cooci nggu, patalig pe-dede le, pewena wade se pawali, pakpag halaa ne papisi disi ne si-tinaa. Pa-wala we kimang halikpagye dede; abalu wena wade se ekizi e-halu ne edooni-i; halu newena wade dodo se ekizi e-walu ne ekui e-yoo.
16-02	Pelo ne evebu, petisig se posooli dama ne puco palabi-we halikpagye sonzi. Pifeyi pakpa pa-taa nooyo ne dong.
16-03	Mizag kena samag hoye; kewena wade se samag ne kewiyag pakandayi ko-yoo.
17-00	Hoolag 17
17-01	Eyu paa weyi, paa ewe e-deke, paa ewe lalaa hekudaa, ewena wade se eweena nim.
17-02	Pifeyi deu se peleg nooyu e-nim fangngng.
18-00	Hoolag 18
18-01	Paa ani, ewena wade se elizi e-limagza faaa, eting eso tom numau nggu esoolaa yo. Pu-tobuu se wade dine diyekina ne eyu pizi eyele eso tom numau nakuyu ne eting leeku, epizi ewili eso tom numau nggu etinggig-ku yo ku-tom lalaa faaa; paa ewe e-deke yaa e ne lalaa, epizig ela pu-tumiye.
19-00	Hoolag 19
19-01	Paa eyu weyi, ewena wade se eyoodi faaa ndu emagzig yo; pu-tobuu se soondu edaakpa eyu nooyu se eeyoodi natuyu ne palabi-i nabuyu. Pu-tobuu dodo se eyu wena wade se ekedi lalaa ndu esima, enaa yaa eniwa yo.
20-00	Hoolag 20
20-01	Paa ani, ewena wade se ewolo kedigzag ne eweena nggbeye.
20-02	Pifeyi se pakpa nooyu ne dong se esuu nggbeye nadiye taa.
21-00	Hoolag 21
21-01	Paa eyu weyi, ewena wade se edu e-noo e-ejade dokuu tumiye tom taa. Emagmag epizig ela limagza yaa etingna samag lizi eyaa mba se podoki ejade yo po-yoo.
21-02	Paa ani, ewena wade se ela kewiyag tumiye nadiye.
21-03	Samag soolim kena kewiyag dong tigide. Takayisi duzuu panagna samag soolim mbu.
22-00	Hoolag 22
22-01	Paa eyu weyi, ewena wade se samag ekandayi e-yoo. Kandayuu mbu piyekina ne eyu wee e-ti yoo, ehezi nim ne esekuliye pa-ninuu numau taa.
23-00	Hoolag 23
23-01	Paa ani, ewena wade se ehig tumiye, tumiye ndi esoolaa yo, elabi-di ne mulum edaawee.
23-02	Eyaa kpeekpe wena wade se, palaki tumiye kudumdiye koyo, peheyi-we kimang, mulum edaawee.
23-03	Eyu weui elaki tumiye yo, pumunaa se peheyi-i camiye, pitali e ne e-mizag ne padaala kunong samag taa.
23-04	Paa ani, ewena wade se e ne lalaa padu nggbeye; e-nggbeye ekpendi anggba leena yoo, anggba ana awee dong ne akandayi e-yoo.
24-00	Hoolag 24
24-01	Paa ani, ewena wade se ehezi ne ecalasi e-ese, padaakili-i nazuu tumiye taa; ewena wade dodo se paa pinag ngga, paha-i fenag kudumag, ehezi ne pete peheyi-i ke-liidiya.
25-00	Hoolag 25
25-01	Paa ani, ewena wade se eweena nim ne piwazi e ne e-nimba pe-wezuu cagu taa; ezi toonag, toola, duzuye ne ko yo. Ewena wade se elaki kunong, piwig-i, elabi ejam, episi edane yaa leluu, ekpadayaa, pala nabuyu ne pasina-i.
25-02	Asong ne piya pumunaa se pasina pingngng.
26-00	Hoolag 26
26-01	Paa eyu weyi, ewena wade se pokuli e-ese. Pidamuna se peheyi koonoo sukuli yoo. Pikena paa ani kijeyuu se ewolo-ku. Puwee se legtu ne tuma kpasuu sukuli potoyi. Pupozuu dodo se patuli sukuli kitezuu nonosi paa ani.
26-02	Eyu woki sukuli se e-ese ikuli, piwazi-i e-wezuu cagu taa, pisina-i ne ena eyu wala. Kisigna eyaa ne panigna dama, pekpegu dama pa-kiweekim, paduu nggbeye. Kisigna dodo ajeya kigbenduu nggbeye tuma wena aninig langheziye yo.
26-03	Piya nimba wena wade se palizi sukuli nggu posoola se pepiya iwobi-ku yo.
27-00	Hoolag 27
27-01	Paa ani, ewena wade se edu noo faaa e-ejade sonzi tom taa ne mbu pilig pi-taa yo, piwazi-i.
27-02	Paa ani ewena wade se ekandayi mbu elaba ne e-hide see yo pu-yoo.
28-00	Hoolag 28
28-01	Paa ani, ewena wade se enag pana ne yedeyedetu edaawe ejade yoo, ezi poyooduu kedengga kpeekpe yoo eyu wala tom takayag taa yo.
29-00	Hoolag 29
29-01	Paa ani, etili esii se ewe samag ngga ka-taa feee ne pikedigna-i yo, etoo-ke kimiye.
29-02	Paa eyu weyi, edigzina se e-wala ninuu numau ne e-ti yoo weu leleng niu pa-taa le, kamag wee; pifeyi se ecezi-ke; pagtu duna-ke. Mbu yekina ne eyaa nang dama wala; mbu hagna mumau dodo se demookrasii samag taa eyaa iniina dama.
29-03	Eyu nooyu eepizig eto se enang wala ana ne pudodo ezi ajeya kigbenduu nggbeye sooluu yo.
30-00	Hoolag 30
30-01	Kedengga kpeekpe yoo eyu wala tom tune, ti-taa tu kpayi kpayi. Eyu nooyu feyi etong se hooluu kune, yaa nggu yo, kutongna se padaana wala naaye ejade dine,yaa ndi yo di-taa.
