00-00	Iru-dee yikowa-do ferii-dee fatima lizii
00-01	A doogboo sisi iru-dee kezembiidi tijaaree ne dee tilii tidamaana iraa na bedee yikowa deyi-deyi ndi tidendem ne keena iru-dee idi yuu, na toovonum, na feezire dudo dee yuu,
00-02	A doogboo sisi iru-dee yikowa-dee soonaa na kpeenaa weeyele yooni woogona iraa-dee laakari kusi bika dudo iiyele iraa-dee lomaaze waabisi wenbi bite bila boyuu duulinya wenki kidaa iraa wonyuu daama bangmati kama balii fitiina na kadamburuti-daa ne,
00-03	A doogboo sisi bigee doole ge yikowa-dee kujuu dinaa ifere iraa-dee yikowa kama bikabisi iru doole isi ikpoona doni iyoona iru-dee imuulide na idee yomti,
00-04	A doogboo sisi bimoona disina wenbi bite bila teediwa-dee dondire-tam itasi binyoozi ne,
00-05	A doogboo sisi teediwa-dee mara baangmaa takarada balizi ti fatima sisi banzinaa iraa-dee yikowa tijaaree ne, na iru-dee kezenbiidi, na iru-dee girima, na alaa na abaalaa-dee yikowa-dee deyi-deyi lam, bika dudo bazingee sisi banzinaa iraa-dee biizan-daa bode na bonyoozi iraa-dee cowure feezire-daa,
00-06	A doogboo sisi teediwa tiingmaa takarada kina do ne na teediwa-dee bowude banyaa de sisi Nations Unies waazim sisi banzinaa wenbi bite bila iraa duulinya ringa-daa ifa iraa-dee yikowa na bedee feezire girima,
00-07	A doogboo sisi yikowa tim na feezire tim tidee bala ti kudumuu keena wenbi bitebila baa weeni ikpoo ti yini ne,
00-08	Wenba ringa boojoo bangmaa bowuti tina ne
00-09	baazii sisi: duulinya ringa bowuti tina tidamaana iraa-dee yikowa keena kpinde wende iraa ringa na teediwa ringa waala tilasi isi bofu ne kama iru baa weeni na zamoo baa wenki baanii bowuti tina ne bala konkari basina balizi fatima yikowa tim na feezire na wilii yaa bedee biya keti-daa, bika biila tilasi dudo bacaari badi defee-defee bedee teedi-daa yaa duulinya ringa-daa beyele iraa itili bika bofu ye deyi-deyi-daa baa lenle, teediwa wenti tiiva bowutiwa tina toovonum ne tidaa na teediwa wenti tiwe tideezi ne.
01-00	Wede kadaa-nde
01-01	Banluruu iru baa weeni na kezenbiidi ge bika bedee dooziti na yikowa kegee deyi-deyi ge. Bowena laakari na iruti bika biiboozi bocoona dama koobire cowure.
02-00	Wede 2
02-01	Baa weeni wanbiizi ideezina yikowa na kezenbiidi tiwe bowuti tina ti-daa ne, bidakeena taazi bidamaana tanuu yaa alu yaa abaalu yaa kunum yaa adiini yaa kowurodom-dee lomaaze yaa cowure-daa yaa iru-dee ariziki yaa idee luruu-jo yaa yaasi baa wenki-daa.
02-02	Bika dudo, bidala kamaata taaziti icoo teedi mara-dee cowure-daa, yaa tom fuudi-dee cowure yaa teedi na teediwa-dee dama-daa suu-dee cowure yaa teedi wenti-daa iru waagaliina ne. Baa biila sisi teedi tim tiiyuu tidi yaa tiwe natiri-deezi ne, tidayuuta tidi yaa teedi natiri wenbeemi koroozi.
03-00	Wede 3
03-01	Iru baa weeni wena yiko idi idee duulinya, kezenbiidi na befere idee alaafiya cowure.
04-00	Wede 4
04-01	Badangbaa naaru yomti yaa bowuta lam. Beegizi kpataa yomti na yomaa-dee yam.
05-00	Wede 5
05-01	Badanlam naaru deciridi yaa banaazi yi yaa bala yi wenbi bidamoona bala iru ne yaa bangmiizi yi.
06-00	Wede 6
06-01	Iru baa weeni wena yiko batili idee iruti na idee tilasiwa baa lenle.
07-00	Wede 7
07-01	Iraa ringa kee deyi-deyi ge mara-jo bidakeena taazi na binboozi beketi iraa deyi-deyi bidakeena taazi yaa na wenbi biyaavoo mara awe bowuti tina tidaa ne.
08-00	Wede 8
08-01	Iru baa weeni wena yiko iyele bonyoozi bafuu idee tom teedi-dee tomvuuraa-jo abigee si boomuuli yi belee idee yikowa wenti mara waava yi.
09-00	Wede 9
09-01	Bedengbim naaru boto yaa balizi yi teedi bidekeena seriya nakiri.
10-00	Wede 10
10-01	Iru baa weeni wena yiko tomvuuraa bowe badi ne yaa gominanti inii idee tom. Bika bala wenbi wanjaadi ne deyi-deyi-daa yaa zamoo-daa. Bile binaa sisi babiizi betisi becele yi idee yikowa yaa wenbi biila idee tilasi ne yaa wenbi binbiizi bilizi yi tom-daa ne.
11-00	Wede 11
11-00	Bidoboozi bakpa iru baa weeni ge boobuuna tom bidamaana kideeveeniti-dee lam ne, hali bafuuna yi bila daciri-ciri sisi waala wenbi bombuunaa yi ne.
11-01	Bidoboozi bakpa naaru sisi waala bideeve bika saati wenki bidee lakasi waala ne, teedi yaa duulinya yiko dinaa beena sisi bidakee bideeve. Bidoboozi dudo bamili inigbamuu bicezi mara weena baazii zaamaani wenki waayisi ne.
12-00	Wede 12
12-01	Bidoboozi naaru isuu irowu, yaa ile idee koobire yaa ile idee daana yaa ile idondinaa-dee tom-daa na iwenbire soolim yaa ila wenbi bite biforosi irowu yaa bitisi ile ne. Iru baa weeni wena yiko mara ifere iroozi na bidee koromoto na wenbi si biforosi yi ne.
13-00	Wede 13
13-00	Iru baa weeni wena yiko ikili yaa ilizi lenle izoolee siicoo idee laadoo-ro ne.
13-01	Iru baa weeni wena yiko ilii laadoo baa wenka-daa bikpedina idee laadoo bika ikabisi kadaa dudo.
14-00	Wede 14
14-00	Iru baa weeni a bigee si bala yi deciridi, iwena yiko icaa bika iyuu yaajoozide laadasi siiganaa-daa.
14-01	Iraa wenba baajaa baranaa tom yaa badanum na bowude baayaade sisi Nations Unies ne-dee mara yaa wenbi banjaadi ne tomoona boyuu yikowa wenti daangmati ne-dee alibaraka.
15-00	Wede 15
15-00	Iru baa weeni wena yiko iyuu idee teedibiidi-dee takarada.
15-01	Bidoboozi bekizi iru takarada faa wenbire soolim roozi yaa bekiziyi sisi ikekee teedibiidi takarada.
16-00	Wede 16
16-00	Alu na abaalu wenba baadala saare ne wena yiko bokpoo dama bidakeena taazi tidamaana tanuu yaa teedi yaa adiini. Alu na abaalu wena yikowa deyi-deyi wenbi bidamaana hiiye yaa kidee cowure yaa kidee tarii-daa ne.
16-01	Bigee tilasi ge iraa ingmati banii dama naani na bala hiiye.
16-02	Koobire keena zamoo-daa-dee kpinde wende dijaaree ne, bile buroozi ne, biila tilasi zamoo yaa teedi ifere diro.
17-00	Wede 17
17-00	Binboozi iru baa weeni ijoo irike ne yaa zamoo-daa ne iyuu icoo daciri-ciri.
17-01	Bidoboozi naaru ibe irowu-dee daciri-ciriti.
18-00	Wede 18
18-01	Baa weeni wena yiko imaazi yaa ikuna laakari idi iroozi yaa ila idee adiini, bile bigee na sisi wanbiizi ikee adiini a izoolee, yaa idee wenbirefuule yaa iwili sisi moo medee adiini ndo yaa iwenbire fuule. Wenbi biringa daadi do ne, iru wanbiizi ilizi ye fatima yaa isiina ye idi yaa zamoo wilii-daa yaa lam-daa yaa bowuti-daa yaa soozi-dee lam-daa.
19-00	Wede 19
19-01	Iru baa weeni wena yiko ila bayaana idee lomaaze yaa ingmati wenti tivaa yi ne, binaa sisi bidaboozi iru inye si ilizi idee lomaaze ne yaa idee si icaa yaa iyuu laabaaru yaa ila bayaana baa lenle laabaaru kim yaa lomaaze na nibaani ringa kpataa laabaaru wanbiizi kibana kitala iru ne.
20-00	Wede 20
20-00	Iru baa weeni wena yiko ibo kediiziya zamoo-daa bika dudo iwena yiko icoo zamoo-daa.
20-01	Bidoboozi bamili naaru nuuni si isuu bowude nadere-daa.
21-00	Wede 21
21-00	Iru baa weeni wena yiko isina idee teedi-dee keti yaa ibana nebere baalizi we zamoo-daa ne bidekeena doole.
21-01	Bimoona teedi bu baa weeni, a si bokpoo yi timere idee teedi-daa, bofu mara deyi-deyi nna.
